Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,28.93,29.23,28.52,29.190001,5808500,24.617435
2009-01-05,28.92,29.5,28.610001,29.08,6677000,24.524666
2009-01-06,29.26,29.26,28.200001,28.290001,13002500,23.858419
2009-01-07,28.049999,28.709999,27.870001,28.34,13265500,23.900586
2009-01-08,28.129999,28.309999,27.57,27.76,7361200,23.411442
2009-01-09,27.77,28.17,27.67,27.959999,7054900,23.580112
2009-01-12,27.5,28.0,26.74,26.9,7366300,22.686159
2009-01-13,26.84,28.08,26.530001,27.879999,8891600,23.512644
2009-01-14,26.27,26.389999,24.08,24.25,14894100,20.451278
2009-01-15,24.58,25.66,24.35,25.299999,11663800,21.336796
2009-01-16,25.790001,25.879999,24.879999,25.620001,8184100,21.60667
2009-01-20,25.379999,26.1,25.040001,25.120001,9942900,21.184994
2009-01-21,25.620001,27.18,25.51,27.120001,9023300,22.871698
2009-01-22,26.65,27.639999,26.389999,26.860001,9289000,22.652426
2009-01-23,26.309999,27.24,25.68,26.93,7875200,22.711461
2009-01-26,27.049999,27.85,26.940001,27.5,6879800,23.192171
2009-01-27,27.65,27.93,27.26,27.790001,10391400,23.436743
2009-01-28,28.01,28.23,27.73,28.09,8872200,23.689748
2009-01-29,27.190001,27.620001,26.870001,27.43,10723600,23.133136
2009-01-30,27.309999,27.969999,26.889999,27.379999,10496500,23.090968
2009-02-02,26.700001,27.809999,26.51,27.5,11728400,23.192171
2009-02-03,28.35,28.75,26.16,27.65,12461600,23.318673
2009-02-04,27.0,27.1,24.99,25.540001,15783600,21.539202
2009-02-05,25.5,26.92,25.43,26.66,10090500,22.483755
2009-02-06,26.629999,27.77,26.58,27.610001,7194700,23.28494
2009-02-09,27.43,29.26,27.35,29.030001,12518900,24.482499
2009-02-10,28.35,29.030001,28.1,28.52,13438500,24.05239
2009-02-11,28.65,28.77,27.48,27.99,7815400,23.605413
2009-02-12,27.41,28.57,27.129999,28.540001,7182700,24.069257
2009-02-13,28.48,28.99,28.25,28.559999,4819600,24.086123
2009-02-17,27.75,27.98,26.82,27.059999,8224600,22.933513
2009-02-18,27.040001,27.780001,26.73,27.540001,7966400,23.340317
2009-02-19,27.9,28.440001,27.5,27.84,5366300,23.594568
2009-02-20,26.459999,28.07,26.459999,27.68,8139900,23.458968
2009-02-23,27.84,28.17,27.25,27.370001,10438300,23.196241
2009-02-24,27.700001,28.459999,27.389999,27.98,8899400,23.713219
2009-02-25,27.85,28.209999,27.280001,27.540001,9862900,23.340317
