Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,28.35,28.75,27.059999,28.52,7264400,24.746469
2009-01-05,27.719999,28.51,27.51,27.73,6225200,24.060994
2009-01-06,28.049999,28.49,27.34,27.690001,8297500,24.026288
2009-01-07,27.049999,27.9,26.559999,26.780001,7407300,23.236692
2009-01-08,26.4,27.01,25.98,26.379999,7910100,22.889615
2009-01-09,26.530001,27.1,25.41,25.59,6854300,22.204142
2009-01-12,25.43,25.84,24.75,25.049999,8723000,21.73559
2009-01-13,24.73,25.48,24.51,25.26,8785500,21.917805
2009-01-14,24.370001,24.629999,23.299999,23.379999,10651700,20.28655
2009-01-15,23.41,24.02,22.33,23.27,14092500,20.191106
2009-01-16,23.77,24.35,22.059999,22.959999,13975300,19.922121
2009-01-20,19.139999,19.75,15.44,19.0,49269200,16.486077
2009-01-21,20.76,23.77,20.76,23.0,32959800,20.212142
2009-01-22,22.51,24.24,21.860001,22.08,18734800,19.403656
2009-01-23,21.129999,24.25,20.73,23.879999,12981500,20.985475
2009-01-26,24.35,24.700001,23.139999,23.84,12202000,20.950324
2009-01-27,24.34,24.780001,23.49,24.690001,9913400,21.697295
2009-01-28,26.200001,28.4,25.51,28.059999,19229400,24.658812
2009-01-29,27.059999,27.75,25.780001,25.9,12181000,22.760629
2009-01-30,26.35,27.24,25.32,25.74,10957600,22.620023
2009-02-02,25.110001,27.23,25.110001,27.18,11073700,23.885479
2009-02-03,27.57,27.6,25.35,27.15,14297100,23.859115
2009-02-04,27.389999,28.190001,26.700001,27.49,10872100,24.157903
2009-02-05,27.08,28.49,26.51,27.49,13940200,24.157903
2009-02-06,28.049999,29.280001,27.49,28.41,14959000,24.966389
2009-02-09,28.65,28.889999,27.610001,28.26,7397300,24.834571
2009-02-10,27.709999,28.26,25.700001,25.959999,14569900,22.813356
2009-02-11,26.27,27.75,25.799999,27.65,9779100,24.298509
2009-02-12,26.42,26.950001,25.0,26.93,13182200,23.665782
2009-02-13,26.01,26.290001,25.209999,25.26,11041300,22.198205
2009-02-17,23.52,24.719999,23.01,23.129999,17416400,20.326383
2009-02-18,23.74,24.91,22.67,23.68,13533300,20.809718
2009-02-19,24.139999,24.58,23.200001,23.34,9855800,20.51093
2009-02-20,22.34,23.32,21.530001,22.83,18664700,20.062748
2009-02-23,23.120001,23.43,21.66,21.68,14042300,19.052141
2009-02-24,21.83,24.48,21.68,24.370001,19256800,21.416083
2009-02-25,24.07,24.66,22.780001,23.790001,16331800,20.906386
2009-02-26,24.530001,25.17,22.809999,23.290001,16398200,20.466991
2009-02-27,21.889999,23.24,21.889999,22.17,15383700,19.482747
2009-03-02,21.559999,22.74,21.299999,21.389999,16790400,18.797291
2009-03-03,22.719999,23.15,21.57,22.209999,17868600,19.517898
2009-03-04,22.9,23.059999,21.389999,21.969999,16677500,19.306989
2009-03-05,21.15,21.82,19.280001,19.65,19043700,17.268199
2009-03-06,19.969999,20.280001,15.67,18.25,29965200,16.037895
2009-03-09,18.0,18.860001,17.459999,18.02,17491800,15.835774
2009-03-10,19.0,20.559999,18.059999,20.559999,26104900,18.067897
2009-03-11,20.860001,23.190001,20.540001,22.530001,25355100,19.799112
2009-03-12,22.76,24.889999,21.99,24.66,26535700,21.670931
2009-03-13,24.51,24.51,22.540001,23.67,15813600,20.80093
2009-03-16,23.85,24.940001,22.459999,22.66,17162000,19.913353
2009-03-17,22.68,24.68,22.280001,24.549999,15887100,21.574264
2009-03-18,23.99,28.459999,23.67,28.129999,30514000,24.720327
2009-03-19,28.48,28.530001,25.02,25.139999,25081600,22.092749
2009-03-20,25.51,25.51,23.799999,23.799999,19547900,20.915172
2009-03-23,25.049999,28.25,25.049999,27.73,25285700,24.368812
2009-03-24,27.379999,28.49,26.049999,26.299999,21336000,23.112144
2009-03-25,26.639999,27.76,25.59,27.700001,20006300,24.34245
2009-03-26,27.940001,28.65,27.1,28.16,18805400,24.746692
2009-03-27,28.120001,29.1,27.65,28.030001,15286400,24.63245
2009-03-30,26.879999,27.280001,25.65,25.92,16420700,22.778205
2009-03-31,26.940001,28.48,26.66,28.25,19863700,24.825783
2009-04-01,27.5,28.75,27.27,28.389999,17939800,24.948813
2009-04-02,29.799999,29.9,28.01,28.41,20969200,24.966389
2009-04-03,28.389999,29.040001,27.82,29.0,14929100,25.484874
2009-04-06,28.35,28.719999,27.559999,28.16,12984100,24.746692
2009-04-07,27.389999,27.98,26.85,27.309999,13569400,23.999721
2009-04-08,27.469999,27.98,27.08,27.67,14043900,24.316085
2009-04-09,29.16,30.0,28.35,29.65,23827600,26.056087
2009-04-13,28.950001,32.759998,28.6,32.43,21819900,28.49912
2009-04-14,31.540001,31.959999,30.68,31.200001,26284100,27.41821
2009-04-15,30.99,32.849998,30.379999,32.560001,16643400,28.613364
2009-04-16,32.830002,32.860001,29.809999,31.209999,21394200,27.426997
2009-04-17,31.49,31.700001,30.049999,30.219999,21933900,26.556996
2009-04-20,29.870001,30.59,28.030001,28.030001,22743000,24.63245
2009-04-21,25.42,28.110001,23.75,27.98,41474800,24.588509
2009-04-22,26.790001,28.4,25.93,26.25,23824300,23.068205
2009-04-23,26.23,27.15,25.58,26.85,19303200,23.595479
2009-04-24,26.950001,27.67,26.370001,26.879999,22837200,23.621841
2009-04-27,26.200001,26.690001,25.530001,25.809999,16109300,22.681538
2009-04-28,25.27,25.68,24.690001,25.02,15313900,21.987295
2009-04-29,25.379999,26.700001,25.030001,26.65,15971900,23.504268
2009-04-30,27.110001,27.209999,25.33,25.48,17144400,22.472373
2009-05-01,25.34,26.200001,25.209999,25.9,9410000,22.842797
2009-05-04,26.379999,28.34,26.18,27.84,20704000,24.553802
2009-05-05,27.35,28.290001,27.040001,27.41,11636400,24.174559
2009-05-06,28.290001,30.549999,27.950001,30.459999,24726700,26.86454
2009-05-07,32.099998,33.619999,28.51,29.51,34582000,26.026678
2009-05-08,30.129999,32.150002,29.77,32.150002,22773000,28.355057
2009-05-11,31.200001,31.440001,29.549999,29.549999,18686500,26.061955
2009-05-12,28.860001,29.08,28.040001,28.43,47860400,25.07416
2009-05-13,28.07,28.9,27.76,27.950001,22854700,24.650819
2009-05-14,27.959999,28.68,27.52,28.440001,20634700,25.082979
2009-05-15,28.1,28.370001,27.49,27.68,14885300,24.412689
2009-05-18,28.08,28.610001,27.450001,28.469999,23429000,25.109437
2009-05-19,28.389999,28.969999,27.67,27.709999,20459600,24.439146
2009-05-20,28.35,28.370001,26.450001,26.66,20585800,23.513088
2009-05-21,26.41,27.73,26.309999,27.200001,15598500,23.989348
2009-05-22,27.299999,27.790001,26.690001,26.91,8732900,23.733578
2009-05-26,26.809999,28.940001,26.809999,28.84,17675900,25.435764
2009-05-27,28.559999,28.950001,27.41,27.43,17555200,24.192198
