Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,17.02,17.639999,16.41,17.57,7741900,16.34961
2009-01-05,17.469999,17.950001,17.209999,17.58,8941900,16.358916
2009-01-06,17.790001,18.870001,17.67,18.77,15680800,17.46626
2009-01-07,18.309999,18.4,17.68,17.83,10722000,16.591551
2009-01-08,17.58,17.629999,16.98,17.530001,11743000,16.312389
2009-01-09,17.280001,17.280001,16.42,16.940001,13973900,15.76337
2009-01-12,17.0,17.209999,16.450001,16.700001,9385900,15.54004
2009-01-13,16.57,17.280001,16.200001,16.690001,12053300,15.530734
2009-01-14,16.51,16.52,16.07,16.15,9467500,15.028241
2009-01-15,16.23,16.969999,16.040001,16.719999,11732500,15.55865
2009-01-16,17.190001,17.26,16.4,17.129999,11874300,15.940171
2009-01-20,16.99,16.99,15.84,15.84,11019400,14.739774
2009-01-21,16.049999,16.879999,15.73,16.790001,14485400,15.623789
2009-01-22,16.469999,16.959999,16.01,16.58,12815200,15.428374
2009-01-23,16.309999,17.68,16.139999,17.459999,18992600,16.24725
2009-01-26,17.5,18.0,17.25,17.389999,11964400,16.182112
2009-01-27,17.4,17.92,17.360001,17.639999,13792700,16.414748
2009-01-28,17.879999,18.58,17.68,18.309999,16058200,17.03821
2009-01-29,17.74,17.92,17.15,17.43,20986000,16.219335
2009-01-30,16.34,17.15,15.62,15.85,25897200,14.74908
2009-02-02,15.73,16.49,15.54,16.41,13539200,15.270182
2009-02-03,16.540001,16.85,16.07,16.77,12555100,15.605178
2009-02-04,16.469999,17.49,16.299999,16.48,22005300,15.33532
2009-02-05,16.16,17.5,16.01,17.469999,20407900,16.256555
2009-02-06,17.450001,18.299999,17.309999,18.08,20001800,16.824186
2009-02-09,17.809999,18.4,17.75,18.209999,16143500,16.945156
2009-02-10,18.059999,18.870001,17.26,17.530001,24554900,16.312389
2009-02-11,17.49,17.66,16.889999,17.280001,18897000,16.079754
2009-02-12,16.940001,17.92,16.860001,17.780001,15414700,16.545025
2009-02-13,17.51,18.280001,17.51,18.1,12749100,16.842797
2009-02-17,17.719999,18.17,17.16,17.200001,17530700,16.005311
2009-02-18,17.48,18.110001,17.35,17.67,13093700,16.442664
2009-02-19,17.98,17.98,16.59,16.629999,17242600,15.474901
