Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,16.540001,16.950001,16.469999,16.799999,3318300,13.099717
2009-01-05,16.790001,16.969999,16.379999,16.620001,5486500,12.959364
2009-01-06,16.700001,16.959999,16.540001,16.790001,5431000,13.091921
2009-01-07,16.75,16.85,16.629999,16.74,4202000,13.052933
2009-01-08,16.73,16.83,16.66,16.790001,3570000,13.091921
2009-01-09,16.91,16.92,16.700001,16.73,4484300,13.045135
2009-01-12,16.67,16.74,16.370001,16.530001,4093400,12.889187
2009-01-13,16.5,16.9,16.49,16.889999,4753600,13.169894
2009-01-14,16.65,16.809999,16.540001,16.76,4652700,13.068528
2009-01-15,16.77,16.870001,16.309999,16.629999,4755700,12.96716
2009-01-16,16.879999,17.129999,16.68,16.99,5276600,13.247869
2009-01-20,16.82,17.24,16.530001,16.59,4680400,12.935971
2009-01-21,16.610001,16.85,16.43,16.780001,6089900,13.084123
2009-01-22,16.65,17.17,16.6,17.040001,6026200,13.286857
2009-01-23,17.049999,17.709999,16.83,17.66,9753200,13.770298
2009-01-26,17.799999,17.98,17.51,17.67,8209700,13.778096
2009-01-27,17.75,17.92,17.51,17.860001,4883800,13.926248
2009-01-28,17.76,17.940001,17.67,17.870001,5535700,14.083874
2009-01-29,17.889999,17.940001,17.5,17.629999,3686700,13.894722
2009-01-30,17.790001,17.790001,16.99,17.1,4257600,13.477014
2009-02-02,17.049999,17.48,16.940001,17.42,3301700,13.729215
2009-02-03,17.42,17.98,17.309999,17.870001,3421400,14.083874
2009-02-04,17.92,17.950001,17.440001,17.52,3963300,13.808028
2009-02-05,17.52,17.629999,17.26,17.459999,5180000,13.760739
2009-02-06,17.43,17.690001,17.379999,17.48,4246900,13.776502
2009-02-09,17.41,17.610001,16.85,16.950001,7538900,13.358795
2009-02-10,16.889999,16.950001,16.440001,16.48,5849800,12.988373
2009-02-11,16.57,16.75,16.389999,16.5,5440100,13.004136
2009-02-12,16.51,16.51,16.16,16.5,5327000,13.004136
2009-02-13,16.49,16.540001,16.209999,16.219999,3927500,12.783459
2009-02-17,16.370001,16.5,15.81,16.26,6459300,12.814985
2009-02-18,16.360001,16.41,15.94,16.07,4185900,12.66524
2009-02-19,16.200001,16.469999,16.059999,16.24,4023900,12.799222
2009-02-20,16.120001,16.17,15.44,15.66,7079700,12.342107
2009-02-23,15.78,15.84,15.24,15.28,3656700,12.042618
2009-02-24,15.52,15.83,15.37,15.74,4013000,12.405157
2009-02-25,15.72,15.8,15.46,15.54,4088000,12.247532
2009-02-26,15.61,15.74,15.05,15.05,3825400,11.861348
2009-02-27,15.0,15.32,14.85,15.08,4121200,11.884992
2009-03-02,14.95,15.04,14.82,14.94,5692300,11.774654
2009-03-03,15.1,15.32,14.82,14.96,4876200,11.790417
2009-03-04,15.07,15.47,14.91,15.26,4406300,12.026856
2009-03-05,15.19,15.21,14.38,14.49,5025700,11.419996
2009-03-06,14.62,14.91,14.43,14.71,4198000,11.593384
2009-03-09,14.64,14.73,14.29,14.34,2836600,11.301776
2009-03-10,14.47,14.62,14.38,14.58,4277200,11.490927
2009-03-11,14.67,14.73,14.0,14.02,6982600,11.049575
2009-03-12,14.03,14.6,14.0,14.6,4719500,11.50669
2009-03-13,14.66,14.83,14.54,14.81,3230700,11.672197
2009-03-16,14.92,15.16,14.8,14.9,4372900,11.743128
2009-03-17,14.93,15.27,14.81,15.27,3731600,12.034737
2009-03-18,15.08,15.12,14.69,14.89,4392700,11.735248
2009-03-19,14.96,15.02,14.55,14.58,3948200,11.490927
2009-03-20,14.58,15.21,14.58,15.07,7869000,11.877111
2009-03-23,15.28,15.6,14.9,15.6,6161700,12.29482
2009-03-24,15.55,15.64,15.35,15.42,4744500,12.152956
2009-03-25,15.51,15.59,15.28,15.56,6545800,12.263295
2009-03-26,15.94,17.059999,15.91,16.99,11148600,13.390319
2009-03-27,16.93,17.459999,16.75,16.950001,6007100,13.358795
2009-03-30,16.719999,16.93,16.4,16.620001,4185900,13.098712
2009-03-31,16.73,17.059999,16.620001,16.870001,5658300,13.295744
2009-04-01,16.700001,16.860001,16.370001,16.73,7185600,13.185405
2009-04-02,16.91,17.4,16.790001,17.15,6493800,13.51642
2009-04-03,17.120001,17.23,16.950001,17.1,3330200,13.477014
2009-04-06,16.92,17.290001,16.75,17.120001,3951100,13.492777
2009-04-07,17.08,17.370001,17.07,17.190001,3325400,13.547946
2009-04-08,17.209999,17.43,17.1,17.41,3512200,13.721334
2009-04-09,17.450001,17.66,17.26,17.65,4223000,13.910484
2009-04-13,17.51,17.9,17.469999,17.700001,4795300,13.949892
2009-04-14,17.57,17.709999,17.379999,17.67,4583400,13.926247
2009-04-15,17.68,17.879999,17.59,17.83,2945600,14.052348
2009-04-16,17.870001,18.17,17.639999,18.110001,4498100,14.273025
2009-04-17,18.16,18.48,18.01,18.27,4102800,14.399125
2009-04-20,18.129999,18.309999,17.84,17.84,4432700,14.060229
2009-04-21,17.719999,18.219999,17.719999,17.969999,3572400,14.162686
2009-04-22,17.959999,18.16,17.85,17.98,5348100,14.170567
2009-04-23,17.940001,18.08,17.809999,18.030001,4611800,14.209975
2009-04-24,18.07,18.15,17.74,17.889999,3053400,14.099635
2009-04-27,17.83,17.98,17.51,17.57,3811200,13.847434
2009-04-28,17.41,18.040001,17.389999,17.9,2842900,14.107517
2009-04-29,17.85,18.059999,17.76,17.889999,2888100,14.250902
2009-04-30,17.950001,18.09,17.549999,17.700001,5143300,14.099552
2009-05-01,17.719999,18.059999,17.67,17.950001,3289700,14.298699
2009-05-04,17.879999,18.08,17.879999,18.049999,4719800,14.378356
2009-05-05,18.1,18.35,17.99,18.07,2941300,14.394288
2009-05-06,18.15,18.23,17.6,17.690001,4351100,14.091586
2009-05-07,17.75,17.85,17.459999,17.530001,4547300,13.964133
2009-05-08,17.68,17.84,17.48,17.57,4960200,13.995995
2009-05-11,17.5,17.75,17.440001,17.610001,4429700,14.02786
2009-05-12,17.67,17.91,17.59,17.82,4348400,14.195142
2009-05-13,17.73,17.85,17.4,17.6,4156600,14.019894
2009-05-14,17.75,17.85,17.610001,17.709999,2936600,14.107517
2009-05-15,17.709999,17.809999,17.549999,17.66,4015600,14.067688
2009-05-18,17.76,18.110001,17.66,18.08,4362600,14.402254
2009-05-19,18.17,18.379999,17.99,18.360001,5380900,14.625298
2009-05-20,18.389999,18.719999,18.370001,18.549999,6205300,14.776648
2009-05-21,18.4,18.6,18.08,18.309999,4086900,14.585468
2009-05-22,18.25,18.620001,18.25,18.440001,2659900,14.689025
2009-05-26,18.379999,18.719999,18.290001,18.700001,3343800,14.896137
2009-05-27,18.66,18.74,18.209999,18.27,3457700,14.553605
2009-05-28,18.34,18.41,17.940001,18.360001,3713000,14.625298
2009-05-29,18.379999,18.59,18.219999,18.59,3439000,14.808512
2009-06-01,18.77,19.030001,18.67,18.959999,3561000,15.103248
2009-06-02,18.969999,19.67,18.940001,19.5,4838000,15.533404
2009-06-03,19.299999,19.450001,19.25,19.41,3209900,15.461712
2009-06-04,19.299999,19.66,19.209999,19.610001,3678100,15.621029
2009-06-05,19.75,19.85,19.549999,19.84,4264200,15.804243
2009-06-08,19.700001,19.9,19.610001,19.76,2864100,15.740517
2009-06-09,19.809999,19.84,19.51,19.6,2908400,15.613063
2009-06-10,19.74,19.809999,19.1,19.309999,4192800,15.382053
2009-06-11,19.469999,19.92,19.370001,19.620001,3691500,15.628995
2009-06-12,19.52,19.690001,19.34,19.459999,4408300,15.50154
2009-06-15,18.799999,18.83,18.5,18.639999,5807400,14.848341
2009-06-16,18.68,18.809999,18.57,18.59,3967500,14.808512
2009-06-17,18.610001,18.809999,18.469999,18.51,3732800,14.744786
2009-06-18,18.57,19.1,18.57,18.959999,6327600,15.103248
2009-06-19,19.08,19.110001,18.66,18.76,3742600,14.943932
2009-06-22,18.74,19.07,18.73,18.940001,4758600,15.087317
2009-06-23,19.790001,19.9,19.549999,19.780001,7644700,15.756449
2009-06-24,19.84,20.059999,19.75,20.030001,6361800,15.955595
2009-06-25,19.940001,19.959999,18.559999,19.18,12993700,15.278498
2009-06-26,19.18,19.440001,19.07,19.34,4436100,15.405951
2009-06-29,19.34,19.450001,19.129999,19.440001,3274000,15.48561
2009-06-30,19.360001,19.450001,18.879999,19.059999,6124600,15.182907
2009-07-01,19.16,19.559999,19.08,19.209999,5173300,15.302394
2009-07-02,19.030001,19.209999,18.559999,18.559999,5215700,14.784614
2009-07-06,18.540001,19.35,18.51,19.27,4505000,15.35019
2009-07-07,19.219999,19.35,18.93,18.98,5989300,15.11918
2009-07-08,19.0,19.09,18.65,18.799999,3953100,14.975794
2009-07-09,18.9,18.950001,18.6,18.799999,4189000,14.975794
2009-07-10,18.780001,19.200001,18.540001,18.690001,2956800,14.888171
2009-07-13,18.73,18.9,18.559999,18.84,4768600,15.007659
2009-07-14,18.889999,18.91,18.73,18.9,4622700,15.055453
2009-07-15,19.0,19.059999,18.889999,19.049999,4494100,15.174941
2009-07-16,19.040001,19.24,18.950001,19.120001,3507600,15.230703
2009-07-17,19.07,19.09,18.83,18.91,4549100,15.063419
2009-07-20,19.0,19.059999,18.74,19.040001,3328300,15.166976
2009-07-21,19.139999,19.290001,18.91,19.129999,3802000,15.238667
2009-07-22,19.040001,19.280001,19.01,19.049999,3495800,15.174941
2009-07-23,19.07,19.65,18.950001,19.42,4044700,15.469678
2009-07-24,19.389999,19.719999,19.309999,19.67,3115500,15.668824
2009-07-27,19.690001,19.780001,19.33,19.780001,4536400,15.756449
2009-07-28,19.65,19.9,19.51,19.9,4296600,15.852038
2009-07-29,19.559999,19.74,19.5,19.690001,3689800,15.835953
2009-07-30,19.940001,20.0,19.700001,19.709999,4126400,15.852037
2009-07-31,19.700001,19.82,19.58,19.629999,2980500,15.787696
2009-08-03,19.870001,19.870001,19.48,19.809999,3529900,15.932464
2009-08-04,19.82,20.0,19.68,19.75,2155400,15.884208
2009-08-05,19.790001,19.889999,19.57,19.65,3535900,15.803782
2009-08-06,19.73,19.84,19.5,19.6,2530900,15.763569
2009-08-07,19.639999,19.809999,19.49,19.59,3099900,15.755526
2009-08-10,19.58,19.620001,19.5,19.58,2273100,15.747483
2009-08-11,19.58,19.690001,19.450001,19.6,2034400,15.763569
2009-08-12,19.57,19.809999,19.52,19.65,2533900,15.803782
2009-08-13,19.75,19.76,19.32,19.530001,4384000,15.707271
2009-08-14,19.549999,19.65,19.139999,19.200001,4736800,15.441864
2009-08-17,19.15,19.379999,19.0,19.379999,4973200,15.58663
2009-08-18,19.389999,19.57,19.27,19.48,4328000,15.667057
2009-08-19,19.35,19.85,19.290001,19.709999,3824000,15.852037
2009-08-20,19.6,19.9,19.5,19.85,3622400,15.964635
2009-08-21,19.9,20.309999,19.82,20.209999,4001400,16.254169
2009-08-24,20.26,20.299999,20.09,20.299999,2958700,16.326553
2009-08-25,20.309999,20.49,20.190001,20.41,3588400,16.415022
2009-08-26,20.33,20.52,20.25,20.450001,2739500,16.447194
2009-08-27,20.379999,20.49,20.18,20.43,3723900,16.431108
2009-08-28,20.469999,20.469999,20.209999,20.27,3374800,16.302426
2009-08-31,20.18,20.559999,20.18,20.530001,4485900,16.511535
2009-09-01,20.52,20.639999,20.07,20.120001,4454800,16.181787
2009-09-02,20.110001,20.219999,19.799999,19.92,4770200,16.020933
2009-09-03,19.959999,20.040001,19.74,20.02,4670300,16.10136
2009-09-04,20.059999,20.74,19.92,20.719999,6801000,16.664344
2009-09-08,20.969999,21.809999,20.799999,21.639999,8670600,17.404266
2009-09-09,21.690001,21.93,21.219999,21.860001,3979600,17.581205
2009-09-10,21.82,21.860001,21.57,21.84,4240500,17.56512
2009-09-11,21.92,22.24,21.92,22.219999,5268500,17.870739
2009-09-14,22.17,22.309999,22.049999,22.27,5028000,17.910953
2009-09-15,22.280001,22.370001,22.1,22.32,5157700,17.951166
2009-09-16,22.389999,22.389999,21.98,22.209999,3786700,17.862696
2009-09-17,22.15,22.25,21.950001,22.15,5888500,17.814441
2009-09-18,22.200001,22.440001,21.93,22.32,5208900,17.951166
2009-09-21,22.299999,22.73,22.17,22.33,6096500,17.959209
2009-09-22,22.35,22.5,21.58,22.0,7848100,17.693802
2009-09-23,22.110001,22.200001,21.809999,21.860001,5033600,17.581205
2009-09-24,21.85,21.99,21.67,21.74,3296100,17.484693
2009-09-25,21.709999,21.76,21.42,21.469999,4827300,17.267541
2009-09-28,21.48,21.83,21.450001,21.719999,3561400,17.468607
2009-09-29,21.780001,21.940001,21.459999,21.84,3572800,17.56512
2009-09-30,21.860001,21.860001,21.42,21.68,3981300,17.436437
2009-10-01,21.68,21.700001,21.16,21.16,4841900,17.01822
2009-10-02,21.07,21.58,21.0,21.41,5743600,17.219286
2009-10-05,21.459999,21.459999,21.09,21.34,6479300,17.162988
2009-10-06,21.4,21.49,21.17,21.32,5139800,17.146902
2009-10-07,21.360001,21.379999,21.15,21.209999,3369600,17.058433
2009-10-08,21.32,21.32,21.16,21.219999,3507000,17.066475
2009-10-09,21.129999,21.42,21.01,21.41,3137600,17.219286
2009-10-12,21.5,21.700001,21.43,21.549999,2119500,17.331882
2009-10-13,21.49,21.65,21.27,21.5,3278800,17.29167
2009-10-14,21.469999,21.75,20.969999,21.1,6918500,16.969965
2009-10-15,21.110001,21.549999,21.0,21.540001,5253500,17.323841
2009-10-16,21.52,21.780001,21.41,21.700001,3993000,17.452523
2009-10-19,21.700001,22.120001,21.700001,22.030001,3642600,17.71793
2009-10-20,22.08,22.25,22.02,22.07,3046400,17.7501
2009-10-21,22.08,22.389999,21.85,21.870001,2721900,17.589248
2009-10-22,21.809999,22.110001,21.549999,22.049999,3180100,17.734014
2009-10-23,22.049999,22.049999,21.48,21.559999,3210600,17.339925
2009-10-26,21.51,21.719999,21.18,21.379999,3795000,17.195157
2009-10-27,21.49,21.690001,21.280001,21.540001,3906900,17.323841
2009-10-28,21.25,21.440001,21.040001,21.049999,3751700,17.088418
2009-10-29,21.23,21.370001,20.9,21.360001,3832800,17.340078
2009-10-30,21.309999,21.5,21.0,21.0,4747000,17.047829
2009-11-02,21.129999,21.190001,20.74,20.889999,4122600,16.95853
2009-11-03,20.99,20.99,20.549999,20.73,3029200,16.828642
2009-11-04,20.77,21.07,20.690001,20.9,3407500,16.966648
2009-11-05,20.91,21.309999,20.91,21.290001,3786800,17.283252
2009-11-06,21.17,21.4,21.15,21.4,3321700,17.372549
2009-11-09,21.440001,21.719999,21.440001,21.700001,4105600,17.61609
2009-11-10,21.629999,21.82,21.610001,21.709999,2404500,17.624207
2009-11-11,21.82,22.08,21.690001,21.98,3821200,17.843394
2009-11-12,22.01,22.4,21.99,22.209999,5913400,18.030108
2009-11-13,22.27,22.48,22.139999,22.41,3759000,18.192469
2009-11-16,22.459999,22.49,22.15,22.440001,6316000,18.216823
2009-11-17,22.450001,22.5,22.299999,22.450001,1898800,18.224941
2009-11-18,22.4,22.48,22.23,22.35,2203800,18.143761
2009-11-19,22.280001,22.48,22.07,22.370001,2414100,18.159997
2009-11-20,22.379999,22.5,22.209999,22.35,2722700,18.143761
2009-11-23,22.469999,22.84,22.459999,22.559999,2531700,18.314239
2009-11-24,22.540001,22.6,22.34,22.43,3222600,18.208705
2009-11-25,22.49,22.559999,22.34,22.52,1587900,18.281767
2009-11-27,22.16,22.299999,21.98,22.18,1516700,18.005755
2009-11-30,22.25,22.299999,22.09,22.190001,2252500,18.013873
2009-12-01,22.370001,22.75,22.32,22.57,3940300,18.322357
2009-12-02,22.559999,22.68,22.51,22.610001,3210100,18.35483
2009-12-03,22.59,22.74,22.42,22.450001,2094900,18.224941
2009-12-04,22.68,22.790001,22.370001,22.6,2564200,18.346711
2009-12-07,22.540001,22.76,22.540001,22.610001,2217300,18.35483
2009-12-08,22.57,22.57,22.17,22.309999,2486300,18.111288
2009-12-09,22.280001,22.4,22.1,22.370001,2647900,18.159997
