Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,16.240002,17.359999,16.090004,17.269996,14861900,14.86464
2009-01-05,17.600002,18.670004,17.259996,18.130004,22244500,15.604866
2009-01-06,19.050006,19.780002,18.749997,19.090003,26205900,16.431157
2009-01-07,18.430001,19.200003,17.850004,18.290001,19802300,15.742579
2009-01-08,17.809995,18.250004,17.430005,17.610002,21410200,15.157289
2009-01-09,17.750001,17.760001,16.54,16.68,18813400,14.356818
2009-01-12,16.279999,16.439997,15.820004,16.049996,14101200,13.81456
2009-01-13,15.990001,16.729996,15.749998,16.250002,18352700,13.98671
2009-01-14,15.869999,15.960003,15.130005,15.410004,18339600,13.263707
2009-01-15,15.209998,15.550003,13.589997,15.329999,24755500,13.194845
2009-01-16,15.909996,16.080004,14.900001,15.260005,15604900,13.134599
2009-01-20,14.990005,15.410004,13.7,13.739997,22839100,11.826297
2009-01-21,14.279996,15.209998,13.820001,15.130005,19654300,13.022705
2009-01-22,14.77,14.77,13.760005,14.200003,18498200,12.222233
2009-01-23,13.69,14.979995,13.500005,14.900001,18864100,12.824737
2009-01-26,14.799998,16.240002,14.750002,15.800005,23661700,13.599389
2009-01-27,15.840002,16.14,15.170001,15.639996,15877700,13.461665
2009-01-28,15.670004,17.129996,15.580001,16.750005,24819000,14.417072
2009-01-29,16.179997,17.170003,16.049996,16.699998,18065300,14.374031
2009-01-30,17.160005,17.160005,15.670004,15.810004,19365400,13.607995
2009-02-02,15.499996,15.990001,15.069998,15.759997,12717400,13.564953
2009-02-03,15.960003,16.579997,15.749998,16.480005,15285300,14.184678
2009-02-04,16.740006,17.340002,16.55,17.089999,17260200,14.709713
2009-02-05,16.979997,17.970005,16.600006,17.890001,18300100,15.398291
2009-02-06,17.649998,18.360007,17.460002,18.110004,16323900,15.587652
2009-02-09,18.739997,19.299996,18.599998,18.869997,17031400,16.241794
2009-02-10,18.889997,19.500002,17.750001,17.990004,21998200,15.484365
2009-02-11,18.130004,18.520004,17.440005,18.030001,16521400,15.518791
2009-02-12,17.629999,18.520004,17.340002,18.430001,16143900,15.86308
2009-02-13,18.300001,19.019997,18.250004,18.599998,14579100,16.009399
2009-02-17,17.730002,17.850004,16.969999,17.119996,16535300,14.735532
2009-02-18,16.910003,17.200002,15.800005,16.380002,21767400,14.098603
2009-02-19,16.949999,17.180003,16.250002,16.719996,17273300,14.391244
2009-02-20,16.210005,16.579997,15.390005,15.700002,21528000,13.513314
2009-02-23,16.309997,16.340005,14.77,14.840005,18003200,12.773097
2009-02-24,15.18,15.810004,14.710005,15.590001,21106900,13.418633
2009-02-25,15.710001,16.500003,15.000003,16.039997,17737400,13.805954
2009-02-26,16.490004,16.900004,14.890002,15.440001,29219300,13.289526
2009-02-27,15.160002,16.100002,14.809997,15.639996,20368400,13.461665
2009-03-02,15.140003,15.46,13.390002,13.500005,21399200,11.619731
2009-03-03,13.810001,14.509999,13.270002,13.979999,18587600,12.032872
2009-03-04,14.600004,15.020002,14.409997,14.760002,15090500,12.704236
2009-03-05,14.310004,15.32,14.109999,14.460004,18071100,12.446022
2009-03-06,14.559996,15.150003,13.479995,14.060003,15720100,12.101733
2009-03-09,13.920003,14.850005,13.7,14.060003,12954800,12.101733
2009-03-10,14.649999,15.18,14.450004,14.77,16311000,12.712842
2009-03-11,14.949997,15.850001,14.900001,15.609999,18857400,13.435846
2009-03-12,15.609999,15.950004,15.000003,15.909996,16502300,13.69406
2009-03-13,16.070005,16.159998,15.290003,15.46,12603000,13.306739
2009-03-16,15.430002,16.500003,15.250006,15.899997,14483100,13.685454
2009-03-17,16.090004,17.020005,15.800005,16.959999,16245500,14.597819
2009-03-18,16.750005,17.840005,16.13,17.509999,22725800,15.071215
2009-03-19,18.140002,18.879997,17.760001,17.970005,22992400,15.467152
2009-03-20,18.229995,18.830001,17.519998,17.639999,20324700,15.183109
2009-03-23,18.250004,19.559997,18.100005,19.500002,21072800,16.784052
2009-03-24,19.200003,20.030002,18.520004,19.470003,18597300,16.758231
2009-03-25,19.669999,20.129995,18.530004,19.299996,18649100,16.611903
2009-03-26,19.65,20.059999,18.729998,19.0,19785800,16.353689
2009-03-27,18.530004,18.790004,18.189998,18.339997,17365100,15.785612
2009-03-30,17.629999,17.899999,16.979997,17.440005,17018500,15.072612
2009-03-31,17.649998,17.830005,16.94,17.060002,16492400,14.744193
2009-04-01,16.640003,17.769999,16.429998,17.549995,13701400,15.167672
2009-04-02,18.219995,19.320006,18.170001,18.85,18985100,16.291208
2009-04-03,18.889997,20.280005,18.560001,19.949999,21671900,17.241887
2009-04-06,19.330004,19.860006,19.230003,19.809999,11920800,17.120892
2009-04-07,19.269999,19.269999,18.560001,18.570001,13052400,16.049217
2009-04-08,18.899997,20.209999,18.589998,19.490003,18389500,16.844333
2009-04-09,20.460001,21.02,20.160002,20.700004,18304200,17.890083
2009-04-13,20.120006,20.909998,19.52,20.740001,14612000,17.924651
2009-04-14,20.359998,21.869997,20.349999,20.990001,18923000,18.140715
2009-04-15,20.779998,21.360004,20.710002,20.929995,14564800,18.088854
2009-04-16,21.309998,21.390003,20.619999,20.940005,14440700,18.097505
2009-04-17,20.639998,21.800003,20.639998,21.630004,16890900,18.69384
2009-04-20,20.960004,20.990001,19.269999,19.569996,17226100,16.913468
2009-04-21,19.040006,20.050002,18.700001,19.669999,17586800,16.999896
2009-04-22,19.289997,19.939999,18.98,19.39,14964200,16.757905
2009-04-23,19.610003,20.140005,19.529999,19.929999,14905900,17.224603
2009-04-24,20.190002,21.080005,20.030002,20.799995,17413800,17.976501
2009-04-27,20.150005,20.389995,19.709996,20.290005,14483500,17.535739
2009-04-28,19.780002,20.199999,19.419997,19.880003,16515300,17.181393
2009-04-29,20.160002,20.369998,19.699996,19.949999,18044000,17.241887
2009-04-30,20.120006,20.629998,19.399999,19.709996,18488800,17.034464
2009-05-01,19.709996,21.000001,19.66,20.889998,16532100,18.054287
2009-05-04,21.100004,22.819996,21.02,22.819996,21723300,19.722297
2009-05-05,21.220004,22.09,20.030002,20.400005,30409600,17.630808
2009-05-06,21.000001,21.69,20.570002,21.390003,21085600,18.486418
2009-05-07,22.269997,23.010002,21.319997,21.920003,25941700,18.944474
2009-05-08,22.249999,24.250001,22.249999,23.840001,29280300,20.603842
2009-05-11,23.239995,23.359998,22.200003,22.389999,18118500,19.35067
