Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,20.49,21.15,19.4,20.950001,2498800,18.767649
2009-01-05,20.99,20.99,19.290001,19.42,2648600,17.397027
2009-01-06,19.629999,20.6,19.51,20.370001,2566600,18.248067
2009-01-07,20.1,20.1,18.700001,18.860001,2323200,16.895363
2009-01-08,18.75,19.35,18.4,18.879999,1932100,16.913278
2009-01-09,18.92,19.049999,17.780001,17.9,2292100,16.035365
2009-01-12,17.75,18.32,16.02,16.23,6193500,14.539328
2009-01-13,15.95,17.15,15.81,16.84,3980300,15.085785
2009-01-14,16.52,16.530001,15.87,16.18,3578700,14.494537
2009-01-15,16.200001,16.200001,13.76,14.6,8577200,13.079125
2009-01-16,15.03,15.51,13.72,14.38,7539900,12.882042
2009-01-20,14.08,14.38,12.8,12.9,8040000,11.556212
2009-01-21,13.26,13.92,12.88,13.86,6370800,12.41621
2009-01-22,14.37,17.1,14.01,15.15,9538900,13.571831
2009-01-23,14.51,17.200001,13.91,17.1,8213100,15.318701
2009-01-26,17.120001,17.620001,16.73,17.16,7013200,15.37245
2009-01-27,17.309999,17.690001,16.93,17.32,5681500,15.515783
2009-01-28,18.66,20.049999,18.299999,19.98,6740400,17.898692
2009-01-29,19.65,19.76,18.040001,18.120001,4472400,16.232449
2009-01-30,18.15,18.610001,16.299999,16.66,7843500,14.924535
2009-02-02,16.42,16.99,16.07,16.809999,5114900,15.058909
2009-02-03,16.83,17.129999,15.93,16.639999,4250000,14.906618
2009-02-04,17.040001,17.68,16.6,16.790001,4197900,15.040994
2009-02-05,16.610001,17.559999,15.51,16.969999,3915800,15.202242
2009-02-06,17.299999,19.309999,17.200001,18.950001,3745000,16.975988
2009-02-09,18.77,19.620001,18.26,19.059999,2672300,17.074528
2009-02-10,18.719999,19.059999,15.38,15.66,5075400,14.028705
2009-02-11,16.07,16.799999,15.77,16.59,3332300,14.861827
2009-02-12,16.1,16.559999,15.28,16.459999,3812100,14.745368
2009-02-13,16.309999,16.559999,15.38,15.49,2954600,13.876414
2009-02-17,14.87,14.92,13.82,13.89,4524700,12.443085
2009-02-18,14.31,14.31,13.08,13.68,3887900,12.254961
2009-02-19,13.89,14.05,12.42,12.48,5233100,11.179964
