Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,20.84,22.17,20.48,22.02,4016700,18.635992
2009-01-05,21.85,22.120001,21.200001,21.9,5743400,18.534433
2009-01-06,21.719999,22.459999,21.1,21.91,5864300,18.542897
2009-01-07,21.5,21.709999,21.120001,21.559999,7888400,18.246684
2009-01-08,21.18,21.18,19.889999,20.9,10547100,17.688112
2009-01-09,19.42,19.450001,18.01,18.110001,15290100,15.326877
2009-01-12,18.030001,18.41,17.16,17.26,9099400,14.607504
2009-01-13,17.24,17.68,16.940001,17.18,8726900,14.539798
2009-01-14,16.52,16.700001,16.0,16.049999,10419800,13.583454
2009-01-15,16.059999,17.27,15.8,16.809999,11344400,14.226658
2009-01-16,17.120001,17.299999,16.35,17.0,6366600,14.38746
2009-01-20,17.0,17.15,15.79,15.87,8489000,13.431117
2009-01-21,16.23,16.49,13.37,14.72,20653000,12.457848
2009-01-22,14.47,14.99,13.98,14.44,10047400,12.220877
2009-01-23,14.1,14.61,14.01,14.4,8617500,12.187024
2009-01-26,14.25,15.13,14.11,14.48,7207900,12.25473
2009-01-27,14.5,14.83,14.09,14.32,6394700,12.119319
2009-01-28,14.82,15.93,14.52,15.38,8111500,13.01642
2009-01-29,15.09,15.24,14.74,14.85,5593700,12.56787
2009-01-30,14.92,15.14,14.48,14.6,10817400,12.356289
2009-02-02,14.38,14.57,13.65,13.97,8859500,11.823107
2009-02-03,13.81,15.05,13.65,14.82,9449400,12.542479
2009-02-04,14.91,15.05,14.43,14.64,5858900,12.390142
2009-02-05,14.66,15.29,14.6,14.91,8780800,12.618648
2009-02-06,15.18,16.200001,14.87,15.87,8041100,13.431117
2009-02-09,15.89,16.01,14.98,15.13,7981500,12.804839
2009-02-10,14.98,15.26,14.14,14.31,7230900,12.110856
2009-02-11,14.45,14.72,13.88,14.2,6279000,12.01776
2009-02-12,14.2,14.38,13.72,14.29,6026600,12.093929
2009-02-13,14.2,14.49,13.91,13.97,3864500,11.823107
2009-02-17,13.51,14.27,13.33,13.97,8893900,11.823107
2009-02-18,14.24,14.37,13.44,13.67,6269500,11.56921
2009-02-19,13.82,14.16,13.56,13.75,5518700,11.636916
2009-02-20,13.47,14.0,13.36,13.74,7029600,11.628453
2009-02-23,13.87,14.03,13.26,13.36,8261700,11.30685
2009-02-24,13.5,14.41,13.22,14.27,8144300,12.077003
2009-02-25,14.19,14.54,13.55,13.86,10091200,11.730011
2009-02-26,14.09,14.49,13.56,13.59,7364500,11.501505
2009-02-27,13.38,14.37,13.38,13.98,8038300,11.83157
2009-03-02,13.55,13.92,12.96,13.0,6847400,11.002175
2009-03-03,13.22,13.39,12.71,13.01,9922400,11.010639
2009-03-04,13.31,13.63,13.03,13.37,7001300,11.315314
2009-03-05,13.03,13.48,12.16,12.28,8405300,10.392824
2009-03-06,12.46,12.46,11.41,11.8,12831500,9.98659
2009-03-09,11.61,11.98,11.46,11.73,11392800,9.927347
2009-03-10,11.87,13.21,11.87,13.15,8769500,11.129123
2009-03-11,12.99,14.35,12.89,13.99,10618200,11.840033
2009-03-12,13.92,14.58,13.73,14.46,8475600,12.237804
2009-03-13,14.55,14.79,14.06,14.69,7008900,12.432458
2009-03-16,14.9,14.9,14.35,14.35,5256500,12.144709
2009-03-17,14.35,15.27,14.03,15.27,5329300,12.923325
2009-03-18,15.17,16.1,14.97,15.8,7863100,13.371875
2009-03-19,15.91,15.94,15.29,15.61,5550300,13.211073
2009-03-20,15.64,15.88,14.84,15.03,7612700,12.720207
2009-03-23,15.55,16.540001,15.13,16.51,5339700,13.972763
2009-03-24,16.27,17.16,16.16,16.799999,7341200,14.218195
2009-03-25,17.01,17.719999,16.49,17.18,10338400,14.539798
2009-03-26,17.26,18.0,17.26,17.76,5677700,15.030664
2009-03-27,17.42,17.76,17.16,17.48,4144800,14.793694
2009-03-30,17.040001,17.299999,16.1,16.370001,5676300,13.854278
2009-03-31,16.530001,16.98,16.110001,16.700001,5238100,14.133564
2009-04-01,16.43,17.09,16.25,17.0,4295100,14.38746
2009-04-02,17.5,18.620001,17.190001,17.92,6807200,15.166075
2009-04-03,17.98,18.65,17.860001,18.65,5191700,15.783889
2009-04-06,18.370001,18.450001,17.4,17.860001,4718900,15.115297
2009-04-07,17.530001,17.68,16.91,16.93,4759600,14.328218
2009-04-08,17.049999,17.68,17.049999,17.65,4716600,14.937568
2009-04-09,18.299999,19.030001,17.969999,18.860001,5377900,15.961618
2009-04-13,18.66,18.799999,18.09,18.469999,5745500,15.631551
2009-04-14,18.190001,18.559999,17.879999,18.25,6791900,15.445361
2009-04-15,18.139999,18.74,17.809999,18.219999,5938500,15.419971
2009-04-16,18.639999,19.09,17.860001,18.889999,7332900,15.987006
2009-04-17,18.93,19.49,18.57,19.299999,5133400,16.333998
2009-04-20,18.940001,19.1,18.0,18.23,5280200,15.428434
2009-04-21,20.18,21.620001,19.969999,20.92,25609600,17.705039
2009-04-22,19.799999,23.52,19.76,22.799999,15073100,19.296122
2009-04-23,22.73,23.27,21.52,22.24,10639200,18.822183
2009-04-24,22.73,23.290001,22.040001,22.52,9847100,19.059153
2009-04-27,22.02,22.709999,21.889999,22.139999,5845600,18.73755
2009-04-28,21.82,23.809999,21.76,23.48,13185900,19.871621
2009-04-29,23.83,24.75,23.200001,24.33,11100800,20.590994
2009-04-30,24.68,25.4,24.33,24.5,8280600,20.734869
2009-05-01,24.469999,25.15,23.950001,24.85,6561200,21.031081
2009-05-04,25.129999,25.83,24.719999,25.48,6312500,21.564263
2009-05-05,25.389999,25.75,24.57,25.42,5514400,21.513484
2009-05-06,25.73,25.950001,24.83,25.860001,9172000,21.885866
2009-05-07,26.209999,26.48,25.58,25.92,9755300,21.936645
2009-05-08,26.030001,26.26,25.02,26.030001,7331200,22.029741
2009-05-11,25.370001,25.790001,24.610001,25.049999,7269000,21.200345
2009-05-12,25.280001,25.559999,23.610001,23.950001,8808900,20.269393
2009-05-13,23.120001,23.35,22.01,22.73,9597200,19.23688
2009-05-14,22.5,23.709999,22.35,23.25,4980900,19.676967
2009-05-15,23.139999,24.110001,23.01,23.139999,5974900,19.583871
2009-05-18,23.719999,25.01,23.41,24.99,7244400,21.149566
2009-05-19,25.0,25.65,24.469999,25.0,6685200,21.158029
2009-05-20,25.299999,25.99,24.48,24.59,6255700,20.811038
2009-05-21,24.18,24.809999,23.690001,24.09,5663500,20.387877
2009-05-22,24.219999,24.74,23.559999,24.35,3894600,20.607921
2009-05-26,24.25,25.83,24.17,25.51,6028800,21.589653
2009-05-27,25.559999,26.41,25.309999,25.450001,5680700,21.538874
2009-05-28,25.99,26.09,24.66,25.41,4596400,21.505021
2009-05-29,25.549999,26.309999,25.549999,26.27,4996600,22.232857
2009-06-01,26.809999,28.74,26.459999,28.360001,7969300,24.001669
2009-06-02,28.51,28.51,27.370001,27.9,7982200,23.61236
2009-06-03,27.540001,27.99,27.190001,27.690001,6610400,23.434634
2009-06-04,27.690001,27.690001,26.309999,26.940001,10229800,22.861815
2009-06-05,27.280001,27.959999,26.43,26.92,6677900,22.844842
2009-06-08,26.809999,27.1,26.110001,26.83,4055900,22.768466
2009-06-09,27.0,28.1,26.83,27.940001,5266200,23.710435
2009-06-10,28.27,28.52,27.17,27.85,5617000,23.634059
2009-06-11,27.93,27.969999,26.709999,26.790001,5775900,22.734523
2009-06-12,26.41,26.559999,25.219999,26.120001,7407900,22.165947
2009-06-15,25.690001,26.950001,25.530001,26.83,7794600,22.768466
2009-06-16,26.91,27.4,26.030001,26.24,7878400,22.267781
2009-06-17,26.200001,26.75,25.549999,26.27,5243600,22.29324
2009-06-18,26.110001,26.25,25.059999,25.440001,5786700,21.588886
2009-06-19,25.75,26.360001,25.6,26.24,4903800,22.267781
2009-06-22,26.200001,26.98,25.75,26.459999,7651400,22.454476
2009-06-23,26.49,26.530001,25.02,25.129999,6431500,21.325812
2009-06-24,25.48,26.02,25.139999,25.360001,5368800,21.520996
2009-06-25,25.370001,26.370001,25.290001,26.24,3996400,22.267781
2009-06-26,26.17,27.24,26.16,26.93,4414300,22.853329
2009-06-29,27.059999,27.16,26.41,26.59,3033200,22.564798
2009-06-30,26.57,27.280001,26.530001,26.879999,4451500,22.810897
2009-07-01,27.110001,27.799999,26.98,27.040001,5202200,22.946677
2009-07-02,26.67,27.040001,25.799999,25.799999,5034100,21.894388
2009-07-06,25.610001,25.879999,24.790001,25.18,6734900,21.368244
2009-07-07,25.27,25.27,23.969999,24.030001,6194100,20.392332
2009-07-08,24.120001,24.42,23.709999,24.200001,8709600,20.536597
2009-07-09,24.33,24.58,23.6,23.860001,5696800,20.248067
2009-07-10,23.790001,24.08,23.43,23.559999,5802400,19.99348
2009-07-13,23.57,23.99,22.940001,23.85,7239700,20.23958
2009-07-14,23.98,24.860001,23.620001,24.77,6027500,21.02031
2009-07-15,25.620001,26.35,25.219999,26.309999,5876100,22.327184
2009-07-16,26.25,26.299999,25.49,26.200001,4530000,22.233837
2009-07-17,26.129999,26.709999,26.07,26.629999,4035000,22.598742
2009-07-20,26.940001,27.17,26.620001,27.07,3023600,22.972135
2009-07-21,27.190001,27.51,26.879999,27.48,5072000,23.320069
2009-07-22,27.799999,28.790001,27.450001,28.42,5337600,24.117772
2009-07-23,28.549999,29.48,28.17,29.23,4940400,24.805153
2009-07-24,29.09,29.4,28.59,29.309999,3454000,24.873043
2009-07-27,28.66,28.77,27.49,28.43,6936500,24.126258
2009-07-28,26.85,28.139999,26.370001,28.049999,12525500,23.803782
2009-07-29,28.129999,29.209999,28.120001,28.889999,6633900,24.516623
2009-07-30,29.190001,29.969999,29.0,29.17,4619100,24.754237
2009-07-31,29.030001,29.76,28.790001,29.59,4142400,25.110657
2009-08-03,29.879999,29.9,29.0,29.9,4975200,25.373729
2009-08-04,29.59,29.879999,29.07,29.309999,4060900,24.873043
2009-08-05,29.450001,29.82,28.91,29.299999,2426500,24.864557
2009-08-06,29.299999,29.68,28.9,29.43,2420200,24.974878
2009-08-07,29.700001,30.610001,29.690001,30.389999,3667400,25.789552
2009-08-10,30.07,30.09,29.48,29.68,3341000,25.187033
2009-08-11,29.33,30.030001,29.190001,29.85,4262200,25.331298
2009-08-12,30.049999,30.24,29.59,29.83,4551600,25.314326
2009-08-13,30.219999,30.24,28.799999,29.17,6997700,24.754237
2009-08-14,29.57,29.57,28.34,28.549999,4953800,24.228092
2009-08-17,27.950001,28.0,27.209999,27.709999,4248300,23.515251
2009-08-18,27.700001,28.24,27.66,28.139999,2535600,23.880158
2009-08-19,27.76,28.4,27.559999,28.17,2651000,23.905617
2009-08-20,28.32,28.76,28.200001,28.74,3095400,24.38933
2009-08-21,29.040001,29.200001,28.360001,28.75,3293100,24.397816
2009-08-24,28.82,28.879999,27.959999,28.030001,4433900,23.786811
2009-08-25,28.34,29.440001,28.02,29.26,5193100,24.830613
2009-08-26,29.07,29.5,28.99,29.309999,2696900,24.873043
2009-08-27,29.16,29.440001,28.709999,29.25,2371700,24.822126
2009-08-28,29.75,29.790001,29.110001,29.27,3296900,24.839099
2009-08-31,28.950001,29.08,28.219999,28.290001,3240400,24.007452
2009-09-01,29.4,29.99,28.77,28.9,6201900,24.525109
2009-09-02,28.73,28.73,28.16,28.23,3861300,23.956534
2009-09-03,28.5,29.02,28.24,28.940001,2787200,24.624477
2009-09-04,28.82,29.82,28.82,29.629999,2338800,25.211583
2009-09-08,29.98,30.459999,29.719999,30.42,4512500,25.88378
2009-09-09,30.43,31.280001,30.209999,31.27,4869000,26.607028
2009-09-10,31.370001,31.73,30.879999,31.24,5340900,26.581501
