Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,28.809999,29.549999,28.559999,29.379999,6352800,26.541422
2009-01-05,29.370001,30.049999,29.370001,29.799999,8583800,26.920843
2009-01-06,30.0,30.469999,29.09,29.35,8914400,26.514322
2009-01-07,29.01,29.58,28.75,29.389999,6758100,26.550456
2009-01-08,28.43,29.389999,27.950001,29.34,8779900,26.505288
2009-01-09,27.0,27.09,25.5,25.690001,47044900,23.207936
2009-01-12,25.99,25.99,24.6,24.93,21745300,22.521364
2009-01-13,24.959999,26.84,24.16,26.690001,32529300,24.11132
2009-01-14,26.129999,26.690001,25.799999,25.9,22730600,23.397646
2009-01-15,25.85,26.41,25.549999,26.16,13804700,23.632526
2009-01-16,26.41,26.99,26.18,26.83,13394500,24.237793
2009-01-20,26.799999,26.84,26.030001,26.190001,13949700,23.659628
2009-01-21,26.5,26.58,25.84,26.35,13800600,23.873448
2009-01-22,25.77,27.700001,25.75,27.34,17449300,24.770401
2009-01-23,26.860001,28.24,26.6,27.73,16093900,25.123745
2009-01-26,28.18,28.549999,27.42,27.93,10415600,25.304949
2009-01-27,28.049999,28.27,27.389999,27.59,12131200,24.996904
2009-01-28,27.950001,28.48,27.85,28.09,10437600,25.449911
2009-01-29,27.93,28.120001,27.290001,27.370001,9216700,24.797582
2009-01-30,27.530001,27.530001,26.620001,26.879999,11672300,24.353634
2009-02-02,26.559999,27.129999,26.4,26.790001,7683000,24.272094
2009-02-03,26.950001,27.48,26.49,27.41,11340000,24.833821
2009-02-04,27.440001,28.200001,27.08,27.48,8743200,24.897242
2009-02-05,27.23,28.700001,27.17,28.559999,10502000,25.875736
2009-02-06,28.5,29.139999,28.25,29.040001,9747200,26.310624
2009-02-09,28.969999,28.969999,27.959999,28.68,8463800,25.984459
2009-02-10,28.6,28.68,27.57,27.799999,10172500,25.187166
2009-02-11,27.98,28.129999,27.040001,27.65,9761200,25.051264
2009-02-12,27.33,28.15,26.950001,28.07,8108100,25.43179
2009-02-13,28.040001,28.1,27.309999,27.469999,7813200,24.888182
2009-02-17,27.0,27.559999,26.6,27.299999,11405700,24.734159
2009-02-18,27.43,27.49,26.92,26.99,11241200,24.453296
2009-02-19,28.65,29.610001,28.459999,28.709999,18128100,26.011638
2009-02-20,28.450001,29.049999,27.639999,27.82,16169900,25.205287
2009-02-23,28.110001,28.52,26.84,26.950001,10928400,24.417056
2009-02-24,26.959999,27.32,26.530001,26.959999,13211100,24.426115
2009-02-25,26.889999,27.049999,26.07,26.450001,12001900,23.96405
2009-02-26,26.620001,26.92,25.52,25.870001,14398600,23.438562
2009-02-27,25.74,26.17,25.57,25.74,12769400,23.320779
2009-03-02,25.559999,25.65,24.6,25.360001,16766900,22.976495
2009-03-03,25.58,25.700001,24.58,24.6,15893300,22.287925
2009-03-04,24.860001,26.1,24.450001,25.58,16266800,23.175817
2009-03-05,25.190001,25.43,24.459999,24.690001,13798700,22.369466
2009-03-06,24.83,25.09,23.77,24.459999,11878800,22.161082
2009-03-09,24.200001,24.59,23.74,23.98,9123000,21.726196
2009-03-10,24.290001,25.049999,23.98,24.92,15470500,22.577849
2009-03-11,25.02,25.76,24.98,25.219999,11612800,22.849652
2009-03-12,25.23,26.200001,25.0,26.120001,9052400,23.665065
2009-03-13,26.24,27.25,25.85,26.530001,10884700,24.036531
2009-03-16,26.77,27.5,26.559999,26.860001,8640800,24.335515
2009-03-17,26.84,27.66,26.719999,27.66,7499400,25.060325
2009-03-18,27.559999,28.34,27.16,27.459999,13956600,24.879121
2009-03-19,27.65,27.65,26.35,26.65,9814000,24.145251
2009-03-20,26.690001,27.23,26.48,26.690001,12444700,24.181493
2009-03-23,27.15,28.389999,27.049999,28.360001,11327600,25.694535
2009-03-24,28.040001,29.08,27.76,28.540001,12301700,25.857617
2009-03-25,28.549999,29.74,28.34,29.219999,10360600,26.473705
2009-03-26,28.969999,29.0,27.950001,28.6,16145900,25.911978
2009-03-27,28.360001,28.73,28.08,28.26,8051200,25.603933
2009-03-30,27.6,27.85,26.85,27.299999,8313200,24.734159
2009-03-31,27.440001,27.98,27.049999,27.49,9197700,24.906302
2009-04-01,27.25,28.309999,27.08,28.1,11651900,25.458971
2009-04-02,28.559999,29.59,28.469999,29.389999,12127600,26.627727
2009-04-03,29.35,29.549999,28.15,28.450001,11747200,25.776076
2009-04-06,28.530001,29.02,27.75,28.99,10037000,26.265322
2009-04-07,28.66,28.809999,28.379999,28.57,5827200,25.884797
2009-04-08,28.719999,29.5,28.629999,29.5,9118700,26.727389
2009-04-09,29.389999,30.24,29.02,30.09,8547700,27.261937
2009-04-13,29.959999,30.389999,29.48,29.9,7108900,27.089794
2009-04-14,29.57,29.809999,29.110001,29.48,8749500,26.709268
2009-04-15,29.52,29.629999,28.940001,29.24,9457200,26.491825
2009-04-16,29.440001,30.700001,29.200001,30.450001,11743800,27.588102
2009-04-17,30.469999,30.77,30.09,30.139999,9331600,27.307237
2009-04-20,29.92,30.120001,28.9,29.129999,11839000,26.45888
2009-04-21,29.059999,30.629999,29.059999,30.209999,11963900,27.439848
2009-04-22,29.92,30.75,29.719999,30.280001,10947200,27.503431
