Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,5.4,5.74,5.0,5.68,5197400,3.882957
2009-01-05,6.12,6.48,5.61,5.7,7517200,3.896629
2009-01-06,5.93,8.28,5.75,7.75,12799100,5.298049
2009-01-07,7.55,7.97,7.05,7.27,8215000,4.969912
2009-01-08,7.07,7.88,7.07,7.87,4876300,5.380083
2009-01-09,7.85,8.39,7.55,7.64,6291700,5.222851
2009-01-12,7.61,7.61,5.92,6.02,5996500,4.115388
2009-01-13,5.93,7.25,5.72,6.97,7721600,4.764826
2009-01-14,6.7,6.7,5.85,6.22,7095500,4.252111
2009-01-15,6.14,6.8,5.51,6.21,6670300,4.245275
2009-01-16,6.31,6.69,5.8,6.28,5962900,4.293129
2009-01-20,6.1,6.1,4.8,4.83,7089000,3.301881
2009-01-21,5.13,5.49,4.57,5.49,7493500,3.753069
2009-01-22,5.22,5.45,4.69,5.12,5914200,3.50013
2009-01-23,4.82,5.19,4.7,5.07,4465800,3.465949
2009-01-26,5.13,5.16,4.6,4.73,4526100,3.233519
2009-01-27,4.85,4.9,4.56,4.69,3603700,3.206174
2009-01-28,4.96,5.29,4.85,5.25,6543800,3.589001
2009-01-29,5.07,5.07,4.7,4.81,6069600,3.288208
2009-01-30,4.77,5.13,4.6,4.8,7151900,3.281372
2009-02-02,4.9,4.9,4.59,4.87,5802600,3.329225
2009-02-03,4.95,5.04,4.65,5.0,5086100,3.418096
2009-02-04,5.0,5.09,4.68,4.69,4788200,3.206174
2009-02-05,4.74,4.79,3.95,4.2,6329300,2.871201
2009-02-06,4.3,4.85,4.25,4.8,5774400,3.281372
2009-02-09,5.04,5.15,4.68,4.82,4215000,3.295045
2009-02-10,4.75,4.82,3.8,4.03,8654700,2.754986
2009-02-11,4.13,4.19,3.55,3.78,6472600,2.584081
2009-02-12,3.85,3.85,3.41,3.71,10252800,2.536227
2009-02-13,3.68,3.79,3.42,3.44,4813700,2.35165
2009-02-17,3.18,3.3,2.84,2.85,6638700,1.948315
2009-02-18,3.03,3.2,2.83,3.08,4990000,2.105547
2009-02-19,3.13,3.25,2.91,2.94,6179100,2.00984
2009-02-20,2.9,2.9,2.37,2.63,10136000,1.797919
2009-02-23,2.71,3.17,2.4,2.5,8459400,1.709048
2009-02-24,3.1,4.02,2.96,3.85,20231500,2.631934
2009-02-25,3.81,3.81,3.31,3.47,9127900,2.372159
2009-02-26,3.57,3.68,2.77,2.87,8139000,1.961987
2009-02-27,2.72,2.97,2.7,2.95,9425500,2.016677
2009-03-02,2.75,2.85,2.28,2.34,7483600,1.599669
