Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,18.020006,19.359995,18.000002,19.11,2436500,16.17496
2009-01-05,19.050002,19.719996,18.659995,18.850004,3443700,15.954896
2009-01-06,19.099998,19.67,19.009995,19.280006,3658500,16.318855
2009-01-07,18.980002,19.159996,18.630002,18.860006,1714900,15.963362
2009-01-08,18.76,19.350006,18.609998,19.25,2005300,16.293458
2009-01-09,19.330002,19.560006,18.780004,18.949996,1428400,16.039531
2009-01-12,19.019996,19.239998,18.529996,18.630002,2094600,15.768684
2009-01-13,18.710004,18.710004,18.34,18.609998,1894200,15.751752
2009-01-14,18.280002,18.469998,17.749996,17.909998,2554100,15.159263
2009-01-15,17.880005,18.500004,17.259996,18.169995,2790200,15.379327
2009-01-16,18.430004,18.69,18.010004,18.440006,3377900,15.607868
2009-01-20,18.459996,18.659995,17.969996,18.099995,2907700,15.320078
2009-01-21,18.329998,19.239998,18.230006,19.219995,3341900,16.268061
2009-01-22,19.000006,19.400002,18.720006,19.18,4006800,16.234209
2009-01-23,18.869995,19.350006,18.55,19.219995,3019700,16.268061
2009-01-26,19.490006,19.980006,19.39,19.540002,3157100,16.53892
2009-01-27,19.630006,19.88,19.410004,19.680002,2499600,16.657418
2009-01-28,20.180004,20.180004,19.620004,19.960002,3196800,16.894413
2009-01-29,19.830004,20.149998,19.359995,19.659998,2564300,16.640486
2009-01-30,19.499995,19.799998,19.169998,19.340004,2410200,16.369639
2009-02-02,19.379998,19.410004,18.770002,19.050002,2510000,16.124177
2009-02-03,19.309998,19.67,18.83,19.589998,1733600,16.581237
2009-02-04,19.820002,20.100002,18.980002,19.210006,2156700,16.259606
2009-02-05,19.130004,19.620004,18.749998,19.25,2186000,16.293458
2009-02-06,19.39,19.410004,18.930006,19.359995,3221300,16.386559
2009-02-09,19.340004,19.420006,18.889998,19.11,2874200,16.17496
2009-02-10,18.9,19.11,17.829996,18.309995,5599200,15.497825
2009-02-11,19.499995,19.989995,19.11,19.589998,8201900,16.581237
2009-02-12,19.480004,20.23,19.130004,20.069996,6035600,16.987514
2009-02-13,19.95,20.520002,19.799998,20.069996,2923900,16.987514
2009-02-17,19.499995,20.139996,19.070006,19.88,4066600,16.826699
2009-02-18,20.030002,20.040004,19.569995,20.009998,3359300,16.936731
2009-02-19,20.069996,20.330006,19.760004,19.859996,3302700,16.809767
2009-02-20,19.480004,20.079998,19.480004,19.849995,4092800,16.801302
2009-02-23,19.970004,20.079998,19.149995,19.410004,3474400,16.428888
2009-02-24,19.630006,20.310002,19.550004,20.139996,3841900,17.046763
2009-02-25,20.09,21.020004,19.890002,20.51,4822200,17.359939
2009-02-26,21.21,21.500002,19.859996,20.050006,5372400,16.970594
2009-02-27,19.81,20.93,19.620004,20.450002,4651500,17.309156
2009-03-02,20.120006,20.279996,19.74,20.190006,3897700,17.089092
2009-03-03,20.359998,20.759995,19.700006,19.900004,3049600,16.84363
2009-03-04,20.219998,20.880004,19.999996,20.330006,3844500,17.207589
2009-03-05,20.030002,20.23,18.949996,19.130004,4658900,16.191892
2009-03-06,19.229996,19.429995,18.720006,19.200004,2978000,16.251141
2009-03-09,19.000006,19.690004,18.879996,19.210006,3004700,16.259606
2009-03-10,19.630006,19.980006,19.359995,19.960002,3215200,16.894413
2009-03-11,19.840006,20.479995,19.750002,20.09,3019900,17.004446
2009-03-12,20.02,21.080002,19.939998,21.020004,2669200,17.791613
2009-03-13,21.199998,21.329996,20.779998,21.129998,3106300,17.884714
2009-03-16,21.21,21.529995,20.3,20.349996,4299200,17.22451
2009-03-17,20.320004,20.870002,20.219998,20.660002,3570700,17.486903
2009-03-18,20.600004,20.600004,20.030002,20.260006,4239600,17.148341
2009-03-19,20.390004,20.489996,19.53,19.760004,3783600,16.725132
2009-03-20,19.840006,19.999996,19.050002,19.079995,4337400,16.149563
2009-03-23,19.470002,19.999996,19.070006,19.999996,2302200,16.928265
2009-03-24,19.919995,20.600004,19.760004,20.37,3818800,17.241441
2009-03-25,19.840006,20.02,18.109996,18.799995,7190700,15.912568
2009-03-26,18.819998,19.029998,18.329998,18.700002,5119500,15.827933
2009-03-27,18.500004,18.710004,18.259998,18.389996,1912400,15.56554
2009-03-30,18.140002,18.329998,17.590004,17.829996,2902000,15.091548
2009-03-31,17.909998,18.34,17.759996,18.080004,2366800,15.303158
2009-04-01,17.909998,19.32,17.85,18.959998,4362700,16.047997
2009-04-02,19.210006,19.560006,18.959998,19.239998,2290700,16.284993
2009-04-03,19.330002,19.970004,19.060004,19.280006,2618300,16.318855
2009-04-06,19.169998,19.369996,18.720006,19.060004,2152100,16.132643
2009-04-07,18.780004,19.11,18.650006,18.97,2012700,16.056463
2009-04-08,18.990004,19.410004,18.990004,19.330002,1956900,16.361173
2009-04-09,19.630006,19.929996,19.410004,19.620004,1906300,16.606634
2009-04-13,19.540002,19.729998,19.04,19.350006,1911300,16.378104
2009-04-14,19.169998,19.519998,19.000006,19.359995,2188000,16.386559
2009-04-15,19.32,19.779995,19.229996,19.690004,3087700,16.665883
2009-04-16,19.779995,20.499998,19.770006,20.320004,4225600,17.199124
2009-04-17,20.419996,20.639998,19.999996,20.199995,3352200,17.097546
2009-04-20,19.999996,20.310002,19.799998,20.040004,2205800,16.962128
2009-04-21,19.929996,20.279996,19.709995,19.779995,2144100,16.742053
2009-04-22,19.729998,19.840006,19.46,19.490006,2860200,16.496602
2009-04-23,19.449998,19.620004,19.099998,19.569995,1829700,16.564306
2009-04-24,19.569995,19.820002,19.400002,19.799998,1803700,16.758984
2009-04-27,19.560006,19.830004,19.32,19.400002,1812600,16.420422
2009-04-28,19.25,20.059995,19.210006,19.760004,1859500,16.725132
2009-04-29,20.079998,20.479995,19.690004,20.390004,2037900,17.258373
2009-04-30,20.489996,20.79,20.100002,20.699996,3185200,17.520755
2009-05-01,19.81,20.149998,18.41,18.930006,8859300,16.022611
2009-05-04,19.6,19.649996,18.850004,19.000006,4648000,16.08186
2009-05-05,19.089996,19.200004,18.389996,18.469998,5734500,15.633254
2009-05-06,18.739996,18.790006,18.020006,18.350002,24247100,15.531688
2009-05-07,18.510006,18.599996,17.549996,17.609996,7704800,14.905337
2009-05-08,17.800004,17.85,17.469996,17.720002,4966700,14.998447
2009-05-11,17.530004,18.169995,17.5,18.029995,5389200,15.260829
2009-05-12,18.010004,18.249996,17.619996,17.78,4332700,15.049231
2009-05-13,17.600004,18.160006,17.409996,18.06,6075500,15.286226
2009-05-14,18.049998,18.469998,17.899996,18.41,3494000,15.582471
2009-05-15,18.34,18.729995,18.34,18.529996,3929200,15.684038
2009-05-18,18.62,18.679998,18.249996,18.659995,3281800,15.79407
2009-05-19,18.749998,19.260002,18.570004,19.089996,5607000,16.158029
2009-05-20,19.089996,19.130004,18.69,18.729995,4091300,15.853319
2009-05-21,18.55,18.819998,18.389996,18.69,2582700,15.819467
2009-05-22,18.679998,18.879996,18.109996,18.669996,3847500,15.802535
2009-05-26,18.519995,18.959998,18.259998,18.939995,2831300,16.031066
2009-05-27,18.790006,19.089996,18.749998,18.790006,3106000,15.904113
2009-05-28,18.850004,18.949996,18.510006,18.850004,1859400,15.954896
2009-05-29,18.879996,18.930006,18.510006,18.799995,2853000,15.912568
2009-06-01,19.000006,19.000006,18.609998,18.770002,3306600,15.887181
2009-06-02,18.729995,19.029998,18.560002,18.710004,3563300,15.836398
2009-06-03,18.599996,18.62,18.259998,18.48,2902800,15.64172
2009-06-04,18.490002,18.609998,18.280002,18.48,3231800,15.64172
2009-06-05,18.580006,18.700002,18.2,18.329998,2194100,15.514756
2009-06-08,18.290004,18.449995,17.959995,18.290004,2273700,15.480905
2009-06-09,18.290004,18.500004,18.2,18.420002,2276700,15.590937
2009-06-10,18.490002,18.679998,17.909998,18.049998,3363400,15.277761
2009-06-11,18.090006,18.570004,18.090006,18.370006,2621400,15.548619
2009-06-12,18.259998,18.570004,18.169995,18.560002,1352700,15.709435
2009-06-15,18.350002,18.500004,17.92,18.000002,2621800,15.235443
2009-06-16,17.959995,18.119998,17.909998,17.99,2991700,15.226977
2009-06-17,18.000002,18.210002,17.889996,18.029995,3179200,15.260829
2009-06-18,17.979998,18.420002,17.979998,18.360004,1977800,15.540153
2009-06-19,18.440006,18.76,18.319996,18.589995,2776400,15.734821
2009-06-22,18.490002,18.570004,18.319996,18.350002,2769400,15.531688
2009-06-23,18.389996,18.430004,18.109996,18.350002,3212600,15.531688
2009-06-24,18.469998,18.570004,18.34,18.449995,2389500,15.616323
2009-06-25,18.319996,18.850004,18.319996,18.850004,2874400,15.954896
2009-06-26,18.790006,18.869995,18.599996,18.770002,4691600,15.887181
2009-06-29,18.809996,19.210006,18.69,19.190002,3154400,16.242675
2009-06-30,19.159996,19.280006,18.990004,19.190002,2863500,16.242675
2009-07-01,19.229996,19.760004,19.149995,19.690004,2052600,16.665883
2009-07-02,19.490006,19.779995,19.200004,19.560006,3036000,16.555851
2009-07-06,19.39,19.859996,19.39,19.859996,2594700,16.809767
2009-07-07,19.770006,19.999996,19.210006,19.799998,2193200,16.758984
2009-07-08,19.81,19.81,19.490006,19.709995,2388200,16.682804
2009-07-09,19.750002,19.849995,19.210006,19.46,1836500,16.471205
2009-07-10,19.369996,19.709995,19.340004,19.700006,1816900,16.674349
2009-07-13,19.709995,19.999996,19.509996,19.970004,2086200,16.902879
2009-07-14,19.859996,20.050006,19.67,20.02,2642300,16.945197
2009-07-15,20.149998,20.260006,19.910006,20.23,2377500,17.122943
2009-07-16,20.279996,20.450002,20.149998,20.409995,3162700,17.275293
2009-07-17,20.37,20.470006,20.260006,20.409995,2148300,17.275293
2009-07-20,20.429998,20.470006,20.009998,20.269995,2202700,17.156795
2009-07-21,20.380002,20.740004,20.380002,20.740004,3158000,17.554617
2009-07-22,20.730002,21.030006,20.65,20.969995,3565400,17.749285
2009-07-23,21.030006,22.089995,20.960006,21.920002,5948300,18.553384
2009-07-24,21.899998,22.000004,21.520006,21.7,1864300,18.367171
2009-07-27,21.720004,21.780002,21.319995,21.549998,2990600,18.240208
2009-07-28,21.49,21.679996,21.380006,21.619998,1577000,18.299457
2009-07-29,21.56,21.689998,21.28,21.35,2613900,18.070927
2009-07-30,21.609996,21.739995,21.399996,21.49,2567700,18.189424
2009-07-31,21.42,21.640002,21.119996,21.189996,3601500,17.935497
2009-08-03,21.440004,21.529995,21.109995,21.310006,3513200,18.037075
2009-08-04,21.300004,21.599995,21.28,21.339998,3487600,18.062461
