Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,7.1,7.44,6.85,7.34,4164400,6.754097
2009-01-05,7.4,8.09,7.15,8.0,7633500,7.361413
2009-01-06,8.28,8.39,7.86,8.0,8488700,7.361413
2009-01-07,7.84,7.96,7.44,7.57,5802300,6.965737
2009-01-08,7.28,8.2,7.28,8.15,6393900,7.499439
2009-01-09,7.97,8.11,7.2,7.88,12101000,7.250992
2009-01-12,8.05,8.05,7.16,7.23,7419900,6.652877
2009-01-13,7.23,7.5,6.87,7.2,6860600,6.625272
2009-01-14,7.16,7.16,6.5,6.57,6465400,6.045561
2009-01-15,6.61,7.1,6.18,6.6,8834100,6.073166
2009-01-16,6.71,6.98,6.28,6.78,7599700,6.238798
2009-01-20,6.73,6.84,5.98,6.07,10323300,5.585472
2009-01-21,6.2,6.35,5.72,6.32,8786400,5.815516
2009-01-22,6.07,6.3,5.89,6.06,6015000,5.57627
2009-01-23,5.98,6.7,5.82,6.38,7674400,5.870727
2009-01-26,6.48,6.9,6.19,6.48,9366400,5.962745
2009-01-27,6.51,6.67,6.25,6.4,5126100,5.88913
2009-01-28,6.7,7.2,6.57,7.01,7786400,6.450438
2009-01-29,6.83,7.01,6.02,6.16,9075800,5.668288
2009-01-30,6.03,6.15,5.84,5.96,6848600,5.484253
2009-02-02,5.9,6.35,5.73,6.11,8526800,5.622279
2009-02-03,6.41,7.82,6.41,7.42,19399200,6.827711
2009-02-04,7.32,7.97,7.3,7.52,14639300,6.919728
2009-02-05,7.5,8.19,7.5,8.07,14639100,7.425825
2009-02-06,8.09,9.81,8.06,9.14,24034900,8.410415
2009-02-09,9.59,9.6,8.7,9.03,12353600,8.309195
2009-02-10,8.85,9.4,8.02,8.17,15009700,7.517843
2009-02-11,8.32,8.83,7.99,8.49,14944300,7.848805
2009-02-12,8.1,8.56,7.76,8.47,13337100,7.830316
2009-02-13,8.41,9.09,8.13,8.96,16118200,8.28331
2009-02-17,8.43,9.15,8.31,8.92,15894500,8.24633
2009-02-18,9.01,9.31,8.34,8.44,16625800,7.802581
2009-02-19,8.77,8.77,7.49,7.54,15325300,6.970553
2009-02-20,7.22,7.86,7.18,7.62,15121900,7.044511
2009-02-23,7.83,8.39,7.76,8.01,11320800,7.405057
2009-02-24,8.11,9.38,8.09,8.9,13345600,8.227841
2009-02-25,8.7,9.24,8.31,8.91,14716000,8.237086
2009-02-26,9.11,9.4,8.33,8.47,9900000,7.830316
2009-02-27,8.37,8.98,8.25,8.45,11993100,7.811826
2009-03-02,8.21,8.67,8.0,8.05,10411600,7.442036
2009-03-03,7.79,8.32,7.21,7.32,14083100,6.767168
2009-03-04,7.47,7.89,7.25,7.7,11996100,7.118469
2009-03-05,7.4,7.48,6.92,7.01,12424600,6.480581
2009-03-06,7.1,7.26,6.72,6.93,9181600,6.406622
2009-03-09,6.67,7.45,6.62,6.89,8689600,6.369643
2009-03-10,7.0,7.97,7.0,7.9,13320000,7.303364
2009-03-11,8.01,8.24,7.79,8.01,6097500,7.405057
2009-03-12,7.83,8.49,7.62,8.41,8676000,7.774847
2009-03-13,8.66,8.67,7.95,8.49,6449800,7.848805
2009-03-16,8.62,8.7,7.98,8.03,8646300,7.423546
2009-03-17,8.3,8.47,7.6,8.42,12094800,7.784092
2009-03-18,8.42,9.4,7.75,9.07,15471100,8.385002
2009-03-19,9.25,9.7,8.81,8.87,13716600,8.200106
2009-03-20,8.92,8.93,8.26,8.37,11756700,7.737868
2009-03-23,8.94,9.91,8.64,9.89,11492300,9.143073
2009-03-24,9.65,10.09,9.47,9.51,11919800,8.791772
2009-03-25,9.7,10.87,9.48,10.06,18910500,9.300234
2009-03-26,10.22,11.04,10.22,10.93,12363500,10.104528
2009-03-27,10.89,11.35,10.6,10.81,9709600,9.993591
2009-03-30,10.45,10.45,9.87,10.07,10218300,9.309478
2009-03-31,10.34,10.34,9.48,9.7,11409100,8.967422
2009-04-01,9.35,10.27,9.29,10.13,10708400,9.364947
2009-04-02,10.49,11.15,10.49,10.99,12343400,10.159997
2009-04-03,10.86,11.6,10.59,11.53,10122400,10.659214
2009-04-06,11.3,11.56,10.64,11.01,13047500,10.178487
2009-04-07,10.71,10.76,10.0,10.2,7642800,9.42966
2009-04-08,10.97,10.97,9.32,9.79,16329900,9.050625
2009-04-09,10.16,10.74,10.0,10.64,8381100,9.83643
2009-04-13,10.5,10.84,10.17,10.72,5097400,9.910388
2009-04-14,10.75,10.95,10.17,10.31,5971400,9.531353
