Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,31.84,33.07,31.4,33.040001,2100400,13.67476
2009-01-05,33.099998,33.82,32.23,33.029999,2306200,13.67062
2009-01-06,33.380001,34.150002,32.529999,33.68,2691200,13.939646
2009-01-07,33.419998,33.57,32.02,32.16,2825400,13.31054
2009-01-08,32.16,33.259998,31.690001,33.009998,2809800,13.662342
2009-01-09,32.889999,33.279999,31.85,32.220001,2107200,13.335374
2009-01-12,31.98,32.18,30.700001,31.08,2003600,12.863545
2009-01-13,30.809999,31.73,30.709999,30.98,2630200,12.822156
2009-01-14,30.440001,30.459999,29.219999,29.469999,2174200,12.19719
2009-01-15,29.290001,30.219999,28.32,29.93,2501200,12.387577
2009-01-16,30.25,30.799999,29.48,30.200001,2539600,12.499326
2009-01-20,30.18,30.18,27.540001,27.59,2803200,11.419086
2009-01-21,28.16,29.32,27.709999,29.32,2442400,12.135107
2009-01-22,28.67,29.120001,27.889999,28.58,2091000,11.828832
2009-01-23,27.66,28.639999,27.26,28.309999,2906000,11.717083
2009-01-26,28.469999,29.110001,27.32,27.639999,2482200,11.43978
2009-01-27,27.709999,27.879999,26.700001,27.16,2743800,11.241116
2009-01-28,27.67,29.030001,27.459999,28.74,2274400,11.895054
2009-01-29,28.33,28.49,27.26,27.34,1990000,11.315615
2009-01-30,25.48,26.790001,24.76,25.950001,6680600,10.740315
2009-02-02,25.559999,26.18,24.969999,25.309999,3146000,10.475428
2009-02-03,25.73,25.99,25.040001,25.42,2466000,10.520956
2009-02-04,25.879999,25.879999,24.84,25.01,2413400,10.351263
2009-02-05,24.9,26.02,24.450001,25.719999,1973600,10.645121
2009-02-06,25.809999,26.559999,25.690001,26.35,1605200,10.905869
2009-02-09,26.17,26.629999,25.809999,26.16,2261400,10.827231
2009-02-10,25.969999,26.280001,24.559999,24.809999,2872200,10.268486
2009-02-11,24.98,25.440001,24.559999,24.940001,2044400,10.322291
2009-02-12,24.559999,24.9,23.879999,24.879999,2036000,10.297458
2009-02-13,25.030001,25.530001,24.690001,24.790001,1931600,10.260209
2009-02-17,24.24,24.24,23.440001,23.610001,3756600,9.771824
2009-02-18,23.68,24.1,23.309999,23.65,2471800,9.788379
2009-02-19,24.02,24.27,23.27,23.48,2309000,9.718019
2009-02-20,22.799999,23.639999,22.299999,22.889999,2886800,9.473827
2009-02-23,23.42,23.42,21.379999,21.450001,2568000,8.877833
2009-02-24,21.559999,22.76,21.219999,22.67,2790600,9.382772
2009-02-25,22.58,22.709999,21.41,21.629999,3376000,8.952332
2009-02-26,21.76,22.459999,21.209999,21.299999,2442800,8.815749
2009-02-27,20.9,21.17,20.450001,20.540001,3443000,8.501198
2009-03-02,20.290001,20.66,19.0,19.1,4290200,7.905203
2009-03-03,19.42,19.790001,18.799999,18.91,3452800,7.826565
2009-03-04,19.1,19.84,19.1,19.43,3784000,8.041785
2009-03-05,18.9,19.139999,17.84,18.0,2813400,7.449929
2009-03-06,18.27,18.719999,17.76,18.26,4377200,7.55754
2009-03-09,18.549999,19.48,18.219999,18.83,5081400,7.793454
2009-03-10,19.24,20.74,19.09,20.73,4195200,8.579835
2009-03-11,20.709999,21.700001,20.629999,21.49,3572200,8.894388
2009-03-12,21.02,22.84,20.969999,22.83,4149200,9.646503
2009-03-13,23.030001,23.51,22.719999,23.360001,3197800,9.870447
2009-03-16,23.4,23.950001,22.700001,22.73,3652000,9.604249
2009-03-17,22.450001,23.43,22.42,23.43,2709400,9.900025
2009-03-18,23.51,24.48,22.99,24.299999,1841000,10.267631
2009-03-19,24.6,25.110001,24.309999,24.82,2207600,10.48735
2009-03-20,25.040001,25.280001,23.959999,24.16,2222400,10.208476
2009-03-23,24.76,26.120001,24.49,26.120001,1634000,11.036647
2009-03-24,25.67,26.32,25.530001,26.120001,2157600,11.036647
2009-03-25,26.280001,27.48,25.459999,26.4,2409400,11.154957
2009-03-26,26.68,27.6,26.629999,27.52,1980400,11.628198
2009-03-27,27.01,27.610001,26.709999,27.309999,2229800,11.539465
2009-03-30,26.629999,26.799999,25.82,26.34,2414200,11.129605
2009-03-31,26.85,27.459999,26.190001,26.799999,2555600,11.323971
2009-04-01,26.33,28.51,26.139999,28.35,2904600,11.978903
2009-04-02,29.049999,29.83,28.85,29.25,2401200,12.359185
2009-04-03,29.209999,30.07,28.379999,30.07,1306600,12.705665
2009-04-06,29.690001,30.15,29.02,29.82,1924200,12.600031
2009-04-07,29.219999,29.360001,28.549999,28.85,1834400,12.190171
2009-04-08,28.85,29.16,28.5,29.09,1862600,12.29158
2009-04-09,30.15,31.02,29.83,31.02,1281000,13.107075
2009-04-13,30.780001,31.02,29.959999,30.790001,1939000,13.009892
2009-04-14,30.5,31.459999,30.02,30.629999,1451000,12.942285
2009-04-15,30.299999,31.440001,30.25,31.42,954000,13.276089
2009-04-16,31.57,32.66,30.91,32.490002,1881400,13.728204
2009-04-17,32.529999,32.57,31.719999,32.349998,1741200,13.669047
2009-04-20,31.76,31.76,30.120001,30.23,1880400,12.773271
2009-04-21,29.83,32.23,29.59,32.189999,1834400,13.601441
2009-04-22,31.83,34.150002,31.49,32.849998,2004600,13.880315
2009-04-23,32.869999,33.560001,32.259998,33.110001,2149600,13.990176
2009-04-24,34.990002,40.439999,34.84,40.02,9066800,16.909901
2009-04-27,39.650002,40.75,37.889999,38.66,5242000,16.335252
2009-04-28,37.860001,40.189999,37.619999,39.310001,2705600,16.609901
2009-04-29,39.709999,41.860001,39.66,41.18,2759000,17.400043
2009-04-30,41.77,41.919998,39.5,39.68,4846800,16.766239
2009-05-01,39.950001,40.18,38.259998,39.799999,2424000,16.816943
2009-05-04,40.189999,42.27,40.189999,42.259998,2235800,17.856381
2009-05-05,42.099998,42.43,40.580002,41.389999,2762200,17.488775
2009-05-06,41.82,42.419998,41.220001,42.02,2863600,17.754974
2009-05-07,42.950001,42.950001,40.169998,40.68,3172800,17.188775
2009-05-08,40.970001,42.919998,40.59,42.82,2196600,18.093002
2009-05-11,42.18,42.18,40.330002,40.700001,3193000,17.197226
2009-05-12,40.689999,40.900002,39.02,40.369999,2964800,17.057788
2009-05-13,39.380001,40.110001,38.189999,38.389999,2909200,16.221167
2009-05-14,38.48,39.490002,37.41,39.080002,2928600,16.512718
2009-05-15,38.610001,39.59,37.560001,38.02,4416600,16.064829
2009-05-18,38.439999,40.41,38.439999,40.220001,4175600,16.994409
2009-05-19,40.18,41.799999,40.009998,41.41,3063800,17.497226
2009-05-20,41.700001,43.369999,41.400002,41.889999,3569600,17.700043
2009-05-21,41.16,41.16,39.619999,40.299999,2085000,17.028211
2009-05-22,40.470001,41.41,40.110001,40.720001,2186000,17.205677
2009-05-26,40.25,41.990002,39.57,41.880001,1987000,17.695819
2009-05-27,41.490002,42.029999,40.150002,40.299999,2145800,17.028211
2009-05-28,40.57,41.110001,39.470001,40.720001,2335600,17.205677
2009-05-29,40.720001,41.439999,40.099998,41.439999,3203800,17.509902
2009-06-01,41.849998,43.610001,41.849998,43.240002,1998000,18.270468
2009-06-02,43.049999,43.669998,42.900002,43.529999,2401400,18.393003
2009-06-03,42.990002,42.990002,41.419998,42.52,3015400,17.966242
2009-06-04,42.66,45.59,42.66,45.029999,3772600,19.026807
2009-06-05,45.849998,45.849998,42.860001,43.040001,3104400,18.185961
2009-06-08,42.869999,42.869999,41.110001,41.470001,2812200,17.522579
2009-06-09,41.98,41.98,41.0,41.860001,2769400,17.687368
2009-06-10,42.18,42.27,40.27,41.240002,1789800,17.425396
2009-06-11,41.209999,42.25,40.68,41.580002,2046600,17.758528
2009-06-12,41.310001,41.310001,40.130001,40.650002,1485600,17.361331
2009-06-15,40.23,40.23,38.66,39.529999,1960200,16.882986
2009-06-16,39.52,39.77,37.889999,38.07,1637200,16.25943
2009-06-17,37.91,38.59,37.189999,37.959999,1594400,16.21245
2009-06-18,38.299999,39.240002,37.599998,38.119999,1839200,16.280785
2009-06-19,39.060001,39.470001,38.139999,38.330002,2138800,16.370475
2009-06-22,37.720001,38.049999,36.02,36.049999,2086400,15.396702
2009-06-23,36.02,36.869999,35.709999,36.299999,1857600,15.503476
2009-06-24,36.610001,37.639999,36.27,36.52,1428400,15.597437
2009-06-25,36.380001,37.759998,36.09,37.599998,1667400,16.058696
2009-06-26,37.509998,37.830002,37.080002,37.41,1461800,15.977549
2009-06-29,37.389999,38.970001,37.200001,38.790001,2341800,16.566938
2009-06-30,38.759998,38.849998,37.529999,37.900002,1653600,16.186825
2009-07-01,38.099998,38.759998,37.700001,37.759998,1426400,16.127031
2009-07-02,37.07,37.07,36.330002,36.709999,1396600,15.678584
2009-07-06,36.139999,36.169998,34.57,35.970001,2337400,15.362536
2009-07-07,35.73,35.959999,35.169998,35.209999,1729800,15.037944
2009-07-08,35.380001,35.810001,34.669998,35.310001,1930000,15.080654
2009-07-09,35.459999,36.240002,35.290001,35.799999,1444400,15.289929
2009-07-10,35.5,36.080002,34.790001,35.68,871400,15.238678
2009-07-13,35.75,36.779999,34.880001,36.779999,1739000,15.70848
2009-07-14,36.700001,37.119999,36.360001,36.849998,1155600,15.738376
2009-07-15,37.540001,38.959999,37.200001,38.919998,2016000,16.622459
2009-07-16,38.919998,40.509998,38.470001,40.34,2332000,17.228932
2009-07-17,40.150002,40.529999,39.720001,40.150002,1431600,17.147785
2009-07-20,40.48,41.560001,40.400002,41.540001,1407600,17.741444
2009-07-21,42.049999,42.84,40.43,41.68,1593200,17.801236
2009-07-22,41.290001,42.560001,41.099998,42.18,1222400,18.014783
2009-07-23,42.189999,45.18,42.16,45.18,3496000,19.296062
2009-07-24,47.009998,49.880001,47.009998,48.060001,5410000,20.52609
2009-07-27,47.73,48.630001,47.599998,48.02,2862800,20.509006
2009-07-28,47.299999,48.459999,46.880001,48.360001,2253400,20.654218
2009-07-29,47.689999,48.400002,46.91,47.580002,1989600,20.321086
2009-07-30,48.43,49.75,48.299999,48.950001,1888000,20.906203
2009-07-31,48.43,50.009998,48.43,49.66,1502400,21.209438
2009-08-03,49.66,51.360001,49.66,51.110001,1670600,21.828723
2009-08-04,50.799999,51.639999,50.150002,51.27,3436200,21.897058
2009-08-05,51.34,51.560001,50.75,51.369999,2056200,21.939767
2009-08-06,51.5,51.860001,50.790001,51.099998,2153800,21.824452
2009-08-07,51.57,53.209999,51.099998,52.73,2409200,22.520614
2009-08-10,52.5,52.880001,52.130001,52.5,3412400,22.422382
2009-08-11,51.84,52.580002,51.380001,52.310001,2538800,22.341235
2009-08-12,52.189999,53.849998,52.029999,53.310001,1299600,22.768328
2009-08-13,53.59,54.93,53.5,54.779999,2908200,23.396154
2009-08-14,54.93,54.93,53.490002,54.119999,3580600,23.114273
2009-08-17,53.080002,53.27,51.150002,51.369999,2044000,21.939767
2009-08-18,51.450001,52.18,51.450001,51.98,1734400,22.200294
2009-08-19,50.799999,53.110001,50.779999,52.189999,2718600,22.289983
2009-08-20,52.200001,54.009998,52.099998,53.959999,1940200,23.045938
2009-08-21,54.57,55.200001,54.349998,55.02,1776200,23.498657
2009-08-24,55.650002,55.650002,53.490002,53.860001,1906400,23.003229
2009-08-25,54.68,54.73,53.709999,54.299999,1661800,23.19115
2009-08-26,54.150002,54.630001,53.450001,53.75,1419200,22.956249
