Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,36.720001,38.169998,36.490002,37.950001,4073400,30.095755
2009-01-05,37.77,38.400002,36.939999,37.310001,4111100,29.588211
2009-01-06,37.639999,39.48,37.450001,39.099998,6794200,31.007745
2009-01-07,38.049999,38.400002,36.459999,36.759998,4957300,29.152039
2009-01-08,36.290001,37.16,36.0,36.990002,4009100,29.33444
2009-01-09,37.139999,37.5,35.560001,35.700001,4557600,28.311421
2009-01-12,35.669998,35.669998,34.389999,34.709999,3846300,27.526313
2009-01-13,34.610001,35.0,33.82,34.34,4794000,27.232891
2009-01-14,33.700001,33.779999,32.560001,33.130001,5014700,26.273317
2009-01-15,33.139999,33.98,31.85,33.619999,5287300,26.661903
2009-01-16,34.389999,34.799999,32.5,33.650002,4638500,26.685696
2009-01-20,33.470001,33.860001,32.130001,32.25,5165600,25.575443
2009-01-21,32.830002,34.0,32.25,33.799999,6754500,26.80465
2009-01-22,33.299999,33.580002,32.130001,32.950001,6349700,26.13057
2009-01-23,32.52,33.419998,32.0,32.790001,4811800,26.003684
2009-01-26,32.759998,34.130001,32.310001,32.810001,4597500,26.019545
2009-01-27,33.200001,34.040001,33.139999,33.720001,4800700,26.741209
2009-01-28,34.349998,35.5,34.349998,35.110001,4926900,27.843529
2009-01-29,34.709999,34.860001,33.380001,33.689999,5247400,26.717415
2009-01-30,33.75,34.27,32.41,32.700001,7626300,25.93231
2009-02-02,31.370001,32.0,30.51,31.700001,11030200,25.139273
2009-02-03,33.759998,34.169998,32.490002,33.599998,9845200,26.646042
2009-02-04,33.66,34.139999,32.279999,32.369999,7359300,25.670607
2009-02-05,32.040001,33.59,32.0,33.27,5781300,26.384341
2009-02-06,33.130001,34.0,33.130001,33.43,7131600,26.511227
2009-02-09,33.400002,35.459999,33.0,34.970001,8864100,27.732505
2009-02-10,34.68,35.110001,32.529999,32.790001,7131000,26.003684
2009-02-11,32.950001,33.950001,32.209999,32.650002,4502500,26.155893
2009-02-12,31.959999,32.59,31.17,32.48,5063300,26.019705
2009-02-13,32.299999,32.799999,31.75,32.02,4849300,25.6512
2009-02-17,31.18,31.18,29.84,29.870001,7735500,23.928837
2009-02-18,30.049999,30.27,29.450001,29.9,7679500,23.952869
2009-02-19,30.280001,30.75,29.299999,29.379999,5859900,23.536297
2009-02-20,28.76,29.639999,28.51,29.200001,7907000,23.3921
2009-02-23,29.67,29.9,28.049999,28.07,7230400,22.486857
2009-02-24,28.42,29.139999,27.940001,28.99,6658100,23.223869
2009-02-25,28.870001,28.870001,27.58,28.02,8402400,22.446803
2009-02-26,28.32,28.57,27.34,27.42,7480000,21.966143
2009-02-27,26.969999,27.49,26.1,26.75,7572000,21.429406
2009-03-02,26.129999,26.370001,25.120001,25.219999,8701100,20.203724
2009-03-03,25.57,25.83,25.17,25.25,8761600,20.227757
2009-03-04,25.77,26.77,25.379999,26.469999,9965000,21.205098
2009-03-05,25.860001,25.860001,24.389999,25.23,10393500,20.211735
2009-03-06,25.41,26.15,24.48,25.17,7289000,20.163669
2009-03-09,24.9,25.610001,24.65,24.870001,5831500,19.92334
2009-03-10,25.34,26.950001,25.34,26.85,7441200,21.509517
2009-03-11,27.129999,27.77,26.809999,27.389999,6587800,21.942109
2009-03-12,27.379999,27.51,26.719999,27.43,7891900,21.974154
2009-03-13,27.639999,27.639999,26.32,26.82,6647900,21.485483
2009-03-16,27.09,27.799999,26.790001,26.85,7547800,21.509517
2009-03-17,26.93,27.040001,26.0,27.040001,8386100,21.661726
2009-03-18,26.889999,28.209999,26.360001,27.75,5950200,22.230506
2009-03-19,27.98,28.209999,27.440001,27.57,6619700,22.086307
2009-03-20,27.780001,28.0,26.709999,26.799999,8055400,21.469461
2009-03-23,27.5,28.959999,27.23,28.959999,5198800,23.199835
2009-03-24,28.51,28.85,27.83,28.48,7231600,22.815308
2009-03-25,28.120001,29.09,27.620001,28.450001,7937400,22.791276
2009-03-26,28.809999,29.620001,28.52,29.57,7390100,23.688506
2009-03-27,29.35,29.370001,28.799999,28.959999,4964300,23.199835
2009-03-30,28.0,28.51,27.35,27.93,6825300,22.374704
2009-03-31,28.209999,29.43,27.9,28.58,8302000,22.895418
2009-04-01,28.190001,29.709999,28.0,29.530001,6783300,23.656463
2009-04-02,30.33,31.93,30.33,31.190001,7035700,24.986288
2009-04-03,31.26,32.150002,31.15,31.959999,5696300,25.603133
2009-04-06,31.540001,31.639999,30.030001,30.889999,5936900,24.745957
2009-04-07,32.25,32.400002,30.129999,30.889999,12577300,24.745957
2009-04-08,30.969999,31.6,29.76,30.209999,6753500,24.201209
2009-04-09,31.219999,32.220001,31.18,32.0,8004800,25.635178
2009-04-13,31.75,31.940001,30.92,31.6,4852800,25.314738
2009-04-14,31.59,32.349998,31.0,31.4,5749200,25.154518
2009-04-15,31.559999,32.139999,31.33,31.889999,3821100,25.547056
2009-04-16,32.139999,33.169998,31.809999,33.009998,5622900,26.444287
2009-04-17,32.799999,33.27,32.419998,33.040001,5804600,26.468322
2009-04-20,32.509998,32.740002,31.49,31.66,5561400,25.362804
2009-04-21,31.450001,32.689999,31.25,32.459999,4858800,26.003683
2009-04-22,32.200001,33.689999,32.0,32.75,5002000,26.236002
2009-04-23,32.75,33.07,31.9,32.759998,4160100,26.244012
2009-04-24,32.849998,34.0,32.720001,33.599998,5084400,26.916935
2009-04-27,33.459999,33.759998,32.700001,33.09,4177600,26.508376
2009-04-28,32.720001,32.959999,32.0,32.75,4615400,26.236002
2009-04-29,32.529999,33.849998,32.0,33.610001,5062000,26.924948
2009-04-30,33.900002,34.98,33.77,34.040001,5755500,27.269421
2009-05-01,34.860001,36.189999,34.09,35.580002,7958400,28.503115
2009-05-04,35.799999,37.349998,35.5,37.349998,6955800,29.921058
2009-05-05,36.849998,37.349998,36.43,36.790001,5842200,29.472444
2009-05-06,37.349998,37.349998,36.0,36.360001,5423000,29.127971
2009-05-07,36.790001,36.939999,34.939999,35.459999,7307700,28.40698
2009-05-08,35.880001,36.630001,35.459999,36.459999,4593200,29.20808
2009-05-11,35.82,35.869999,35.18,35.32,4188200,28.294827
2009-05-12,35.599998,35.790001,34.939999,35.439999,4928000,28.390958
2009-05-13,34.360001,34.459999,33.509998,33.630001,5765900,27.194189
2009-05-14,33.330002,34.330002,33.330002,33.93,3598500,27.436777
2009-05-15,33.91,34.32,33.18,33.75,6764800,27.291224
2009-05-18,34.099998,34.869999,33.880001,34.810001,3721500,28.148372
2009-05-19,34.490002,34.5,33.669998,34.110001,5991100,27.582331
2009-05-20,34.439999,34.5,33.25,33.310001,9193900,26.935428
2009-05-21,33.009998,33.009998,31.440001,31.790001,9249600,25.706312
2009-05-22,31.639999,32.75,31.639999,32.18,5261200,26.021677
2009-05-26,32.169998,33.5,31.700001,33.25,4801900,26.886909
2009-05-27,33.310001,33.32,32.200001,32.259998,5060800,26.086366
2009-05-28,32.689999,32.689999,31.709999,32.220001,4678600,26.054023
2009-05-29,32.459999,32.68,31.73,32.09,6643300,25.9489
2009-06-01,32.669998,34.119999,32.459999,33.84,6460900,27.364001
2009-06-02,33.959999,34.900002,33.779999,34.68,5584000,28.043249
2009-06-03,34.57,34.57,33.759998,34.209999,5616800,27.663192
2009-06-04,34.41,34.68,34.0,34.57,4439300,27.954299
2009-06-05,34.860001,35.57,34.75,35.200001,6192900,28.463736
2009-06-08,35.099998,35.43,34.419998,35.150002,5730200,28.423306
2009-06-09,35.209999,35.439999,34.77,35.110001,4221500,28.39096
2009-06-10,35.400002,35.599998,34.09,34.900002,5134500,28.221148
2009-06-11,34.91,35.540001,34.830002,34.939999,5577900,28.253491
2009-06-12,34.799999,35.080002,34.330002,35.07,3594200,28.358614
2009-06-15,34.709999,34.75,33.82,34.07,5203100,27.549985
2009-06-16,34.220001,34.32,33.240002,33.360001,4577200,26.975859
2009-06-17,33.259998,33.52,32.91,33.07,4863700,26.741356
2009-06-18,33.200001,33.299999,32.560001,33.0,4748100,26.684752
2009-06-19,33.240002,33.43,32.669998,32.759998,6330500,26.49068
2009-06-22,32.639999,32.639999,31.67,31.75,5408600,25.673966
2009-06-23,31.799999,31.969999,31.33,31.67,3830700,25.609276
2009-06-24,31.889999,32.990002,31.889999,32.18,5590000,26.021677
2009-06-25,32.09,33.419998,32.02,32.950001,6535300,26.644321
2009-06-26,32.880001,33.25,32.75,33.09,4627100,26.757529
2009-06-29,33.310001,33.529999,32.91,33.27,3188800,26.903082
2009-06-30,33.049999,33.41,32.299999,32.400002,5898800,26.199576
2009-07-01,32.560001,33.349998,32.52,32.880001,3553500,26.587718
2009-07-02,32.400002,32.740002,31.75,31.790001,3916400,25.706312
2009-07-06,31.59,31.84,31.110001,31.440001,4200400,25.423292
2009-07-07,31.309999,31.469999,30.610001,30.629999,4303000,24.768301
2009-07-08,30.709999,31.1,30.34,30.82,4285800,24.921941
2009-07-09,31.09,31.27,30.799999,30.969999,3834000,25.043235
2009-07-10,30.73,31.1,30.57,31.0,4505400,25.067495
2009-07-13,31.139999,31.74,30.77,31.709999,3852600,25.64162
2009-07-14,31.82,31.98,31.41,31.870001,2811900,25.771002
2009-07-15,32.34,33.209999,32.0,33.200001,5064800,26.846479
2009-07-16,33.119999,34.549999,32.900002,34.439999,6322800,27.849177
2009-07-17,34.240002,34.330002,33.73,33.970001,4317000,27.469123
2009-07-20,34.09,34.970001,34.080002,34.950001,5038400,28.261579
2009-07-21,35.240002,35.740002,34.849998,35.119999,5525400,28.399045
2009-07-22,34.970001,35.470001,34.849998,35.290001,4274600,28.536513
2009-07-23,35.380001,36.549999,35.279999,36.490002,5747400,29.506868
2009-07-24,36.189999,36.849998,36.16,36.799999,4756500,29.757541
2009-07-27,36.740002,37.060001,36.5,36.889999,3676800,29.830318
2009-07-28,36.720001,36.869999,36.09,36.419998,6677200,29.450261
2009-07-29,36.25,36.259998,35.66,36.029999,4944900,29.134897
2009-07-30,36.68,37.57,36.09,37.049999,6247300,29.959699
