Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,17.299999,17.52,16.530001,17.440001,1579500,11.545283
2009-01-05,17.24,18.620001,17.24,18.450001,3040100,12.213904
2009-01-06,18.82,19.92,18.67,19.01,2495500,12.584624
2009-01-07,18.719999,19.370001,18.43,18.549999,1644100,12.280103
2009-01-08,18.379999,19.58,18.379999,19.379999,1475300,12.829563
2009-01-09,19.459999,19.76,18.860001,19.09,2835900,12.637584
2009-01-12,18.98,19.25,18.23,18.440001,1816000,12.207284
2009-01-13,18.15,19.469999,18.129999,19.17,2045800,12.690543
2009-01-14,18.719999,19.139999,17.85,18.5,2774600,12.247003
2009-01-15,18.52,18.76,17.379999,18.26,1816400,12.088123
2009-01-16,18.93,18.93,17.9,18.620001,1528100,12.326444
2009-01-20,17.950001,18.4,16.76,16.860001,2584500,11.161323
2009-01-21,17.15,18.049999,16.24,18.01,2887700,11.922623
2009-01-22,18.469999,18.620001,17.5,17.799999,2576300,11.783603
2009-01-23,17.15,19.809999,16.1,19.48,2922400,12.895763
2009-01-26,19.48,20.110001,18.67,19.129999,2411900,12.664063
2009-01-27,19.200001,19.52,18.82,19.43,1347600,12.862664
2009-01-28,20.57,21.52,20.17,21.51,2321100,14.239624
2009-01-29,20.959999,21.35,20.02,20.07,1698500,13.286343
2009-01-30,19.91,20.530001,19.219999,19.52,1614600,12.922244
2009-02-02,19.290001,20.18,18.92,19.98,1875700,13.226763
2009-02-03,20.110001,20.309999,19.75,19.99,1536900,13.233383
2009-02-04,19.950001,21.15,19.84,20.700001,1778200,13.869926
2009-02-05,20.549999,21.860001,20.42,21.389999,2025500,14.332256
2009-02-06,21.389999,22.93,21.33,22.610001,2150800,15.149712
2009-02-09,22.809999,22.92,22.110001,22.57,1468500,15.122909
2009-02-10,21.57,22.57,20.1,20.42,3551900,13.682313
2009-02-11,20.49,21.370001,20.49,21.200001,2142800,14.204949
2009-02-12,21.09,21.48,19.77,21.309999,3579200,14.278653
2009-02-13,21.08,21.969999,20.73,21.52,1975700,14.419363
2009-02-17,20.25,21.08,20.200001,20.6,2719700,13.802921
2009-02-18,20.780001,21.280001,20.299999,20.77,2856400,13.916829
