Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,16.360001,17.120001,16.219999,17.049999,1374700,15.286797
2009-01-05,16.92,17.200001,16.690001,17.15,1564900,15.376456
2009-01-06,17.370001,17.549999,17.139999,17.42,2500300,15.618534
2009-01-07,16.870001,17.299999,16.32,17.01,2757200,15.250934
2009-01-08,16.65,17.25,16.65,17.16,1579700,15.385422
2009-01-09,17.059999,17.120001,16.709999,16.82,1436400,15.080582
2009-01-12,16.73,16.879999,16.139999,16.27,1032200,14.58746
2009-01-13,16.23,17.02,16.190001,16.85,2048200,15.10748
2009-01-14,16.58,16.860001,16.049999,16.299999,2073600,14.614357
2009-01-15,16.040001,16.719999,15.95,16.440001,2590000,14.73988
2009-01-16,16.799999,16.91,16.219999,16.440001,2918700,14.73988
2009-01-20,16.26,16.57,15.89,15.91,2314400,14.264689
2009-01-21,16.1,16.219999,15.69,16.18,2024200,14.506768
2009-01-22,15.62,16.02,15.62,15.86,2293000,14.219859
2009-01-23,15.54,15.93,15.2,15.79,1918800,14.157099
2009-01-26,15.85,16.290001,15.72,16.030001,1778800,14.37228
2009-01-27,16.030001,16.16,15.89,16.1,1804200,14.435041
2009-01-28,16.49,16.82,16.24,16.74,1523700,15.008855
2009-01-29,16.68,16.690001,16.17,16.219999,1229600,14.54263
2009-01-30,16.33,16.379999,15.8,15.91,2078800,14.264689
2009-02-02,15.82,16.209999,15.66,16.15,1822100,14.479869
2009-02-03,16.16,16.5,15.95,16.41,1500800,14.712982
2009-02-04,16.440001,16.92,16.4,16.68,2239400,14.955061
2009-02-05,16.469999,17.23,16.469999,17.059999,2117000,15.295763
2009-02-06,17.0,17.65,17.0,17.549999,2244000,15.73509
2009-02-09,17.549999,17.76,17.290001,17.66,1314400,15.833715
2009-02-10,17.540001,17.76,16.43,16.540001,2713600,14.829539
2009-02-11,17.709999,18.870001,17.25,18.26,4392300,16.371667
2009-02-12,16.83,18.49,16.83,18.43,2412800,16.524087
2009-02-13,18.33,18.860001,18.24,18.290001,2079800,16.398565
2009-02-17,17.559999,18.030001,17.0,17.700001,2425600,15.869579
2009-02-18,17.860001,17.860001,17.379999,17.58,1463400,15.761988
2009-02-19,17.68,18.09,17.48,17.559999,1969300,15.744056
2009-02-20,17.24,17.799999,15.86,17.629999,2761000,15.806817
2009-02-23,17.799999,17.91,17.17,17.219999,2039000,15.439216
2009-02-24,17.360001,17.68,17.1,17.6,2733100,15.77992
2009-02-25,17.690001,17.84,17.190001,17.52,3568000,15.708193
2009-02-26,17.77,17.889999,17.32,17.469999,2189900,15.663363
2009-02-27,17.120001,17.620001,17.120001,17.5,3428400,15.690261
2009-03-02,17.27,17.629999,16.85,16.879999,3719200,15.134377
2009-03-03,17.1,17.1,16.450001,16.690001,2424100,14.964027
2009-03-04,16.92,17.33,16.75,16.98,3813800,15.224036
2009-03-05,16.42,16.969999,16.27,16.42,2755400,14.721948
2009-03-06,16.540001,16.549999,15.85,16.389999,2762900,14.69505
2009-03-09,16.389999,16.43,15.42,15.52,2834800,13.915021
2009-03-10,15.88,16.459999,15.55,16.42,2638200,14.721948
2009-03-11,16.51,16.709999,16.309999,16.530001,1709200,14.820573
2009-03-12,16.290001,17.02,16.040001,16.98,2295700,15.270225
2009-03-13,16.83,17.48,16.83,17.110001,2548300,15.387135
2009-03-16,17.120001,17.389999,16.969999,17.030001,2456200,15.315191
2009-03-17,17.1,17.49,16.940001,17.48,1994500,15.719878
2009-03-18,17.549999,17.99,17.16,17.879999,2211900,16.0796
2009-03-19,17.959999,17.959999,17.610001,17.629999,1789700,15.854773
2009-03-20,17.65,18.08,17.469999,17.549999,2482400,15.782829
2009-03-23,17.940001,18.559999,17.91,18.549999,2733400,16.682136
2009-03-24,18.280001,18.43,17.77,17.77,2175200,15.980678
2009-03-25,18.07,18.32,17.58,18.030001,2365100,16.214497
2009-03-26,18.110001,18.58,18.07,18.42,2019400,16.565226
2009-03-27,18.18,18.370001,17.719999,17.799999,1832200,16.007656
2009-03-30,17.52,17.879999,17.34,17.82,2223800,16.025642
2009-03-31,18.0,18.459999,17.84,18.200001,2617700,16.36738
2009-04-01,16.950001,17.74,16.6,16.879999,22641300,15.180294
2009-04-02,17.290001,17.790001,16.99,17.700001,9758100,15.917726
2009-04-03,17.639999,17.860001,17.4,17.84,6856800,16.043629
2009-04-06,17.620001,18.65,17.620001,18.58,8056900,16.709115
2009-04-07,18.09,19.26,18.09,19.049999,8039600,17.131789
2009-04-08,19.18,19.280001,18.91,19.059999,6880100,17.140782
2009-04-09,19.299999,19.6,19.129999,19.559999,7270500,17.590435
2009-04-13,19.219999,19.610001,19.219999,19.5,5846600,17.536477
2009-04-14,19.379999,20.0,19.370001,19.799999,3973400,17.806269
2009-04-15,19.530001,19.559999,19.219999,19.459999,4753400,17.500504
2009-04-16,19.57,20.0,19.389999,19.92,3897200,17.914186
2009-04-17,20.040001,20.1,17.370001,19.719999,16569400,17.734324
2009-04-20,19.389999,19.469999,18.959999,18.98,3817600,17.068838
2009-04-21,18.84,19.280001,18.75,19.17,3740000,17.239706
2009-04-22,18.950001,19.65,18.9,19.09,5089600,17.167762
2009-04-23,19.09,19.379999,18.860001,19.209999,3663600,17.275678
2009-04-24,19.43,19.43,18.889999,19.049999,3858500,17.131789
2009-04-27,18.790001,19.35,18.459999,18.85,4163100,16.951929
2009-04-28,18.49,19.02,18.35,18.719999,3219500,16.835018
2009-04-29,18.799999,18.9,18.1,18.35,5690300,16.502275
2009-04-30,18.42,18.57,17.84,17.85,3857400,16.052622
2009-05-01,17.84,17.84,17.58,17.76,3961200,15.971684
2009-05-04,17.99,18.030001,17.52,17.950001,4430000,16.142553
2009-05-05,18.07,18.49,17.83,18.450001,7195700,16.592206
2009-05-06,18.620001,18.690001,18.23,18.4,5006500,16.54724
2009-05-07,18.690001,18.74,18.4,18.57,4403800,16.700122
2009-05-08,18.82,19.309999,18.559999,18.860001,5104500,16.960922
2009-05-11,18.5,18.799999,18.4,18.68,2989700,16.799046
2009-05-12,18.83,18.83,17.940001,18.4,4309700,16.54724
2009-05-13,18.120001,18.35,17.950001,18.02,2210700,16.205504
2009-05-14,18.07,18.299999,17.950001,18.24,2295400,16.403351
2009-05-15,18.219999,18.48,18.059999,18.33,2105700,16.484289
2009-05-18,18.469999,18.799999,18.25,18.76,2966500,16.870991
2009-05-19,18.73,18.98,18.57,18.809999,2185600,16.915955
2009-05-20,18.93,19.110001,18.709999,18.73,1789800,16.844011
2009-05-21,18.48,18.68,18.360001,18.549999,2648500,16.682136
2009-05-22,18.68,18.84,18.549999,18.610001,1360000,16.736095
2009-05-26,18.49,19.34,18.48,19.299999,2564800,17.356615
2009-05-27,19.25,19.6,19.09,19.09,2235700,17.167762
2009-05-28,19.25,19.389999,18.790001,19.129999,2845300,17.203733
2009-05-29,19.09,19.280001,18.82,19.26,2722100,17.320644
2009-06-01,19.530001,20.07,19.43,20.01,3403100,17.995124
2009-06-02,19.940001,20.26,19.91,20.09,1986600,18.067068
2009-06-03,20.040001,20.32,19.969999,20.219999,2544500,18.183978
2009-06-04,20.190001,20.42,19.879999,20.25,2244400,18.210957
2009-06-05,20.26,20.42,20.15,20.200001,2224600,18.165993
2009-06-08,19.98,20.26,19.860001,20.139999,2249200,18.112033
2009-06-09,20.33,20.35,20.129999,20.26,1920300,18.219951
2009-06-10,20.379999,20.51,20.219999,20.49,2771000,18.426791
2009-06-11,20.459999,20.690001,20.25,20.299999,2185300,18.255922
2009-06-12,20.129999,20.139999,19.809999,20.1,1136600,18.120694
2009-06-15,19.9,20.219999,19.9,20.030001,2208400,18.057587
2009-06-16,20.17,20.25,19.780001,19.790001,1521800,17.841221
2009-06-17,19.83,20.049999,19.780001,19.879999,1490700,17.922357
2009-06-18,19.969999,19.969999,19.639999,19.889999,1795800,17.931372
2009-06-19,20.120001,20.15,19.74,19.76,2785000,17.814175
