Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,30.34,31.85,30.34,31.76,3233500,29.644577
2009-01-05,31.01,32.310001,30.66,31.610001,2902900,29.504568
2009-01-06,31.9,32.189999,31.24,31.59,2309500,29.4859
2009-01-07,31.030001,32.099998,30.879999,31.73,1996500,29.616575
2009-01-08,31.68,31.690001,30.82,31.42,1562600,29.327223
2009-01-09,31.32,31.32,30.370001,30.530001,1343800,28.496504
2009-01-12,30.530001,30.799999,29.690001,29.99,1414500,27.99247
2009-01-13,29.98,30.23,29.33,29.59,1863400,27.619113
2009-01-14,29.26,29.379999,28.280001,28.620001,1564100,26.713722
2009-01-15,28.530001,29.549999,27.950001,29.23,1335000,27.283091
2009-01-16,29.48,29.709999,28.700001,29.4,1339000,27.441768
2009-01-20,29.280001,29.889999,28.219999,28.219999,1390500,26.340363
2009-01-21,28.610001,29.49,28.01,29.129999,1738900,27.189751
2009-01-22,29.0,29.0,27.4,28.16,1666700,26.28436
2009-01-23,27.389999,28.530001,27.07,28.030001,1323600,26.16302
2009-01-26,27.969999,29.120001,27.75,28.51,845500,26.611048
2009-01-27,27.34,27.4,26.75,26.85,2490800,25.061615
2009-01-28,26.889999,27.129999,26.08,26.4,2215800,24.641587
2009-01-29,26.08,26.299999,25.540001,26.120001,1587500,24.380238
2009-01-30,26.290001,26.290001,24.77,24.969999,2700800,23.306835
2009-02-02,24.530001,24.950001,23.940001,24.6,2118800,22.96148
2009-02-03,24.629999,24.76,23.030001,23.959999,2948500,22.364107
2009-02-04,24.25,24.77,23.92,24.35,3233900,22.728132
2009-02-05,23.92,24.639999,21.9,22.620001,4684400,21.113361
2009-02-06,23.85,24.0,22.4,23.129999,4285000,21.58939
2009-02-09,23.25,24.02,23.200001,23.6,3238300,22.028086
2009-02-10,23.299999,23.6,22.24,22.360001,3689100,20.870679
2009-02-11,22.299999,22.74,22.16,22.4,2374500,20.908014
2009-02-12,21.73,22.549999,21.389999,22.469999,1818200,20.973351
2009-02-13,22.389999,22.73,22.15,22.190001,1423100,20.712002
2009-02-17,21.1,21.450001,20.59,20.879999,2633200,19.489255
2009-02-18,20.93,21.15,20.370001,20.93,2111700,19.535926
2009-02-19,20.790001,21.459999,20.33,20.4,2327000,19.041227
2009-02-20,20.290001,20.93,20.049999,20.6,2743900,19.227906
2009-02-23,20.66,20.82,20.0,20.030001,2135700,18.695872
2009-02-24,20.09,21.360001,20.02,21.18,2781200,19.769274
2009-02-25,20.99,22.280001,20.68,21.9,4871300,20.441317
2009-02-26,22.0,22.01,21.139999,21.190001,3206100,19.778608
2009-02-27,21.059999,21.450001,20.33,20.41,3082400,19.050561
2009-03-02,20.02,20.32,19.51,19.57,2402500,18.26651
2009-03-03,19.790001,20.309999,19.450001,19.68,2553800,18.369184
2009-03-04,19.879999,20.780001,19.780001,20.440001,1944800,19.078563
2009-03-05,20.02,20.27,19.33,19.440001,3686200,18.14517
2009-03-06,19.540001,19.84,18.950001,19.59,2115600,18.285178
2009-03-09,19.41,19.969999,18.809999,18.870001,3354800,17.613136
2009-03-10,19.120001,20.309999,19.09,20.219999,2247700,18.873215
2009-03-11,20.74,20.74,19.690001,19.879999,2573500,18.555862
2009-03-12,19.940001,20.41,19.719999,20.379999,2461600,19.022558
2009-03-13,20.35,20.719999,20.15,20.459999,1889100,19.09723
2009-03-16,20.52,20.809999,20.200001,20.65,2720500,19.274575
2009-03-17,20.83,22.0,20.76,21.99,3067400,20.525322
2009-03-18,21.93,22.09,21.360001,21.639999,3577400,20.198634
2009-03-19,21.879999,21.879999,21.07,21.18,2991500,19.769274
2009-03-20,21.07,21.219999,20.35,20.610001,5281900,19.23724
2009-03-23,21.0,21.459999,20.66,21.459999,2808000,20.030623
2009-03-24,21.059999,21.459999,20.790001,20.799999,3343600,19.414584
2009-03-25,21.1,21.41,20.709999,21.17,3043100,19.75994
2009-03-26,21.25,21.6,21.120001,21.5,3748500,20.06796
2009-03-27,21.17,21.25,20.83,20.98,1371400,19.582595
2009-03-30,20.68,20.950001,19.799999,20.42,1615500,19.059895
2009-03-31,20.639999,20.9,20.379999,20.48,1530400,19.115898
2009-04-01,20.1,20.809999,19.9,20.76,1338100,19.377249
2009-04-02,21.08,22.48,20.99,22.16,2345300,20.683999
2009-04-03,22.23,22.27,21.58,21.879999,1391700,20.422649
2009-04-06,22.43,22.43,21.25,21.6,1584900,20.161299
2009-04-07,21.280001,21.360001,20.57,20.700001,1213500,19.321246
2009-04-08,20.959999,21.1,20.559999,20.940001,1724700,19.54526
2009-04-09,21.32,22.129999,21.26,22.030001,1346400,20.562659
2009-04-13,21.9,22.0,21.49,21.82,1051700,20.366645
2009-04-14,21.52,21.82,21.23,21.59,1356200,20.151965
2009-04-15,21.34,21.43,20.870001,21.09,1627100,19.685269
2009-04-16,21.25,21.59,21.07,21.27,3082100,19.85328
2009-04-17,21.27,22.040001,21.16,21.84,2855500,20.385314
2009-04-20,21.5,21.68,20.9,21.110001,1767400,19.703937
2009-04-21,21.049999,21.74,21.0,21.700001,1445900,20.254639
2009-04-22,21.469999,22.129999,21.18,21.57,1496700,20.133297
2009-04-23,21.530001,21.68,20.98,21.5,1505200,20.06796
2009-04-24,21.74,22.139999,21.25,22.0,1748300,20.534657
2009-04-27,22.5,23.370001,22.209999,22.280001,2615800,20.796007
2009-04-28,21.6,22.059999,21.59,21.74,1819700,20.291974
2009-04-29,21.889999,22.530001,21.889999,22.35,2305800,20.861345
2009-04-30,22.57,22.77,21.93,22.18,2403400,20.702668
2009-05-01,23.85,25.360001,22.950001,25.209999,4668000,23.530849
2009-05-04,25.35,26.299999,24.950001,26.1,2324300,24.36157
2009-05-05,26.1,26.16,25.4,25.639999,1833600,23.932208
2009-05-06,25.65,26.110001,25.26,25.370001,1720000,23.680193
2009-05-07,25.209999,25.889999,25.120001,25.32,2079900,23.633523
2009-05-08,25.540001,26.65,25.35,26.549999,2358900,24.781596
2009-05-11,26.110001,26.110001,25.120001,25.75,1214500,24.034882
2009-05-12,25.91,26.0,25.41,25.74,1298400,24.025548
2009-05-13,25.469999,25.58,24.629999,24.709999,1557800,23.064152
2009-05-14,24.370001,25.049999,24.190001,24.82,1185000,23.166826
2009-05-15,24.68,24.959999,24.389999,24.65,1199600,23.008149
2009-05-18,25.33,25.33,24.67,25.08,1487200,23.409508
2009-05-19,24.82,25.620001,24.68,25.5,1623400,23.801534
2009-05-20,25.629999,25.940001,25.290001,25.370001,1222500,23.680193
2009-05-21,25.33,25.33,23.940001,24.120001,1683600,22.513451
2009-05-22,24.35,24.66,23.709999,23.77,1305900,22.186763
2009-05-26,23.379999,24.25,23.16,24.25,3027900,22.634792
2009-05-27,23.959999,24.07,23.280001,23.360001,1752300,21.804072
2009-05-28,23.360001,23.469999,22.68,23.17,2210800,21.626727
2009-05-29,22.700001,23.139999,21.99,22.459999,3627500,20.964017
2009-06-01,22.690001,23.049999,22.51,22.860001,2292800,21.337375
2009-06-02,22.27,22.85,22.18,22.57,2038700,21.066691
2009-06-03,22.48,22.9,22.110001,22.51,1981300,21.010687
2009-06-04,22.610001,23.139999,22.610001,23.120001,2806100,21.580058
2009-06-05,25.110001,25.16,24.0,24.5,4174900,22.86814
2009-06-08,24.58,24.790001,23.77,24.01,2353200,22.410778
2009-06-09,24.15,24.67,23.9,24.42,2187200,22.793469
2009-06-10,24.620001,24.91,23.860001,24.219999,1831200,22.606789
2009-06-11,24.1,24.73,24.1,24.32,1329500,22.700129
2009-06-12,23.969999,24.66,23.65,24.639999,2215100,22.998815
2009-06-15,24.43,24.440001,24.0,24.299999,2585200,22.681461
2009-06-16,23.889999,23.950001,22.77,22.889999,5418400,21.365376
2009-06-17,23.33,23.33,22.77,22.889999,3878700,21.365376
2009-06-18,22.83,23.040001,22.51,22.83,2468000,21.309373
2009-06-19,23.049999,23.209999,22.5,22.93,4134200,21.402713
2009-06-22,22.52,22.66,22.25,22.290001,1963300,20.805341
2009-06-23,22.5,22.57,21.889999,22.02,3521500,20.553325
2009-06-24,22.27,22.360001,21.969999,22.24,4311600,20.758671
2009-06-25,22.07,22.82,22.0,22.82,2212000,21.300039
2009-06-26,22.610001,22.83,22.309999,22.790001,1850500,21.272038
2009-06-29,22.549999,22.83,22.459999,22.73,1606400,21.216033
2009-06-30,22.15,22.879999,22.15,22.559999,1776800,21.057356
2009-07-01,22.75,22.85,22.51,22.540001,1214200,21.03869
2009-07-02,22.32,22.32,21.469999,21.67,1573500,20.226637
2009-07-06,21.639999,21.709999,21.27,21.700001,1772400,20.254639
2009-07-07,21.719999,21.719999,21.01,21.02,1533900,19.619931
2009-07-08,21.07,21.09,20.360001,20.709999,3004800,19.330578
2009-07-09,21.02,21.34,20.690001,21.219999,1977800,19.806609
2009-07-10,21.049999,21.07,20.559999,20.84,1478900,19.45192
2009-07-13,20.870001,21.85,20.58,21.85,2909600,20.394648
2009-07-14,21.790001,22.1,21.74,21.83,1965000,20.37598
2009-07-15,21.92,22.73,21.92,22.709999,1893200,21.197365
2009-07-16,22.709999,22.93,22.389999,22.889999,1526300,21.365376
2009-07-17,23.040001,23.75,22.82,23.17,1888100,21.626727
2009-07-20,23.15,23.280001,22.77,23.07,1588500,21.533387
2009-07-21,23.26,23.27,22.629999,23.01,1941700,21.477384
2009-07-22,23.08,23.639999,22.85,23.559999,2127900,21.99075
2009-07-23,22.41,22.41,21.059999,21.209999,6799000,19.797275
2009-07-24,21.1,22.030001,21.059999,22.030001,3868500,20.562659
2009-07-27,21.969999,22.139999,21.33,21.49,2887000,20.058626
2009-07-28,21.469999,21.57,21.030001,21.26,3469600,19.843946
2009-07-29,21.190001,21.65,21.110001,21.540001,3398100,20.105296
2009-07-30,21.75,22.17,21.67,21.809999,2495800,20.357311
2009-07-31,21.84,21.9,21.469999,21.49,1865000,20.058626
2009-08-03,21.57,21.780001,21.309999,21.469999,2771900,20.039957
2009-08-04,21.59,21.860001,21.4,21.639999,2053500,20.198634
2009-08-05,21.58,21.719999,21.09,21.290001,1977900,19.871948
2009-08-06,21.32,21.639999,21.25,21.549999,2523900,20.114629
2009-08-07,21.91,22.129999,21.370001,21.66,2537700,20.217303
2009-08-10,21.799999,21.92,21.43,21.559999,1630300,20.123963
2009-08-11,21.5,21.82,21.42,21.73,1681900,20.28264
2009-08-12,21.700001,23.040001,21.700001,22.85,3010500,21.328041
2009-08-13,22.67,23.42,22.65,23.280001,2785300,21.729401
2009-08-14,23.15,23.280001,22.450001,22.610001,1123200,21.104027
2009-08-17,22.24,22.389999,22.0,22.040001,1546600,20.571993
2009-08-18,22.1,22.34,22.1,22.26,1357900,20.777339
2009-08-19,21.93,22.309999,21.77,22.26,1313800,20.777339
2009-08-20,22.209999,22.66,22.0,22.49,1708600,20.992019
2009-08-21,22.200001,23.120001,22.200001,23.049999,1706800,21.514719
2009-08-24,23.129999,23.25,22.82,22.950001,1403100,21.421381
2009-08-25,23.030001,23.24,22.77,22.879999,1038800,21.356042
2009-08-26,22.77,23.049999,22.51,22.969999,974600,21.440048
2009-08-27,22.9,23.25,22.620001,23.209999,1624200,21.664062
2009-08-28,23.25,23.540001,22.91,23.1,1400600,21.56139
2009-08-31,23.030001,23.1,22.870001,23.02,1764600,21.486718
2009-09-01,23.17,23.49,22.52,22.58,2544600,21.076025
2009-09-02,22.690001,22.940001,22.34,22.74,2047000,21.225367
2009-09-03,22.75,22.959999,22.540001,22.959999,1256100,21.430713
2009-09-04,23.0,23.23,22.73,23.200001,975400,21.654729
2009-09-08,23.43,23.73,23.219999,23.709999,1513600,22.130759
2009-09-09,23.709999,24.07,23.5,23.99,1651900,22.392109
2009-09-10,24.059999,24.74,23.719999,24.73,2223000,23.08282
2009-09-11,24.9,25.93,24.75,25.85,3903000,24.128222
2009-09-14,25.75,27.379999,25.67,27.309999,5407100,25.490975
2009-09-15,26.799999,27.219999,26.77,27.08,5172400,25.276295
2009-09-16,27.0,28.690001,26.98,28.639999,4874000,26.732389
2009-09-17,28.5,29.09,27.940001,28.08,6173900,26.209689
2009-09-18,27.389999,28.120001,27.389999,27.969999,4299300,26.107015
2009-09-21,27.91,28.34,27.6,28.309999,2813600,26.424369
2009-09-22,28.34,28.52,28.01,28.1,1905200,26.228357
2009-09-23,28.32,28.440001,27.77,27.799999,3248600,25.948338
2009-09-24,28.059999,28.34,27.360001,27.5,2690800,25.668321
2009-09-25,27.42,27.889999,27.32,27.610001,1807100,25.770995
2009-09-28,27.629999,28.35,27.5,28.26,1927900,26.3777
2009-09-29,27.99,28.200001,27.52,28.059999,1885100,26.191021
2009-09-30,28.08,28.219999,27.41,27.969999,1468900,26.107015
2009-10-01,27.450001,28.469999,26.67,26.73,2863800,24.949607
2009-10-02,26.610001,27.139999,26.6,26.959999,1808500,25.164287
2009-10-05,26.950001,27.32,26.59,27.110001,1795300,25.304298
2009-10-06,27.32,27.75,27.190001,27.41,1373500,25.584315
2009-10-07,27.469999,27.6,26.98,27.309999,1533000,25.490975
2009-10-08,27.5,27.9,27.32,27.620001,1281300,25.780329
2009-10-09,27.67,27.809999,27.379999,27.799999,928300,25.948338
2009-10-12,27.790001,28.360001,27.65,27.969999,1223100,26.107015
2009-10-13,28.379999,28.379999,27.709999,27.889999,900000,26.032344
2009-10-14,28.15,28.33,27.93,28.16,2110700,26.28436
2009-10-15,27.9,28.620001,27.9,28.52,1768100,26.620382
2009-10-16,28.950001,28.969999,28.389999,28.620001,3024400,26.713722
2009-10-19,28.799999,29.48,28.57,29.299999,1799900,27.348428
2009-10-20,29.190001,29.290001,28.6,28.950001,2254300,27.021742
2009-10-21,29.41,30.200001,29.110001,29.77,2991300,27.787124
2009-10-22,29.1,29.299999,28.07,29.16,2769000,27.217754
2009-10-23,29.17,29.620001,29.030001,29.33,1906700,27.376431
2009-10-26,29.280001,29.84,29.08,29.16,1675600,27.217754
2009-10-27,29.16,29.67,29.110001,29.219999,1630300,27.273757
2009-10-28,29.040001,29.200001,28.059999,28.07,2639000,26.200355
2009-10-29,28.18,28.809999,28.16,28.620001,1921400,26.713722
2009-10-30,28.639999,28.799999,27.790001,27.809999,1578100,25.957672
2009-11-02,27.860001,28.370001,27.68,28.110001,1362900,26.237691
2009-11-03,28.030001,28.030001,27.43,27.6,2346100,25.76166
2009-11-04,28.049999,28.389999,27.559999,27.99,1698000,26.125683
2009-11-05,28.040001,28.860001,28.040001,28.690001,1057100,26.779059
2009-11-06,28.5,28.82,28.1,28.76,1026100,26.844397
2009-11-09,28.879999,29.02,28.559999,29.02,1076900,27.087079
2009-11-10,28.790001,28.940001,28.58,28.84,1170300,26.919068
2009-11-11,29.110001,29.120001,28.59,28.889999,1013300,26.965737
2009-11-12,28.6,29.15,28.530001,28.719999,1010800,26.80706
2009-11-13,28.83,29.040001,28.6,28.969999,822900,27.040408
2009-11-16,28.99,29.780001,28.790001,29.719999,1612300,27.740454
2009-11-17,29.74,30.52,29.52,30.450001,1656300,28.421832
2009-11-18,30.290001,30.42,29.77,30.34,1152600,28.319158
2009-11-19,30.26,30.26,29.309999,29.620001,1189300,27.647116
2009-11-20,30.5,30.5,29.209999,29.57,1028400,27.600445
2009-11-23,30.0,30.059999,29.629999,29.799999,1119300,27.815125
2009-11-24,29.74,29.74,28.969999,29.27,1535700,27.320428
2009-11-25,29.25,29.469999,29.120001,29.32,1484000,27.367097
2009-11-27,28.639999,29.129999,28.08,28.790001,541700,26.872399
2009-11-30,28.540001,28.860001,28.34,28.700001,1151300,26.788394
2009-12-01,28.9,29.32,28.9,29.09,1007900,27.152416
2009-12-02,29.120001,29.639999,28.99,29.610001,1426700,27.637781
2009-12-03,29.65,29.879999,29.32,29.35,844700,27.395099
2009-12-04,29.870001,30.290001,29.5,29.799999,1086000,27.815125
2009-12-07,29.700001,29.93,29.450001,29.809999,878800,27.824459
2009-12-08,30.08,30.4,29.48,29.99,1654500,27.99247
2009-12-09,30.540001,30.540001,29.6,30.08,1962500,28.076476
2009-12-10,30.25,30.389999,30.08,30.209999,1564400,28.197816
2009-12-11,30.200001,30.309999,29.83,29.940001,1319500,27.945801
2009-12-14,30.25,30.280001,30.030001,30.25,1018800,28.235153
2009-12-15,29.68,30.34,29.24,30.219999,1781500,28.20715
2009-12-16,30.23,30.530001,29.969999,30.25,737700,28.235153
2009-12-17,30.280001,30.360001,29.870001,29.92,844000,27.927133
2009-12-18,30.17,30.379999,29.92,30.34,1535000,28.319158
2009-12-21,30.360001,31.01,30.299999,30.709999,1099400,28.664513
2009-12-22,30.83,31.809999,30.77,31.799999,1447700,29.681912
2009-12-23,31.77,32.119999,31.52,31.92,935700,29.79392
2009-12-24,32.040001,32.25,31.92,32.240002,263100,30.092607
2009-12-28,32.259998,32.619999,32.240002,32.529999,740200,30.363289
2009-12-29,32.610001,33.290001,32.0,33.18,1065400,30.969996
2009-12-30,33.040001,33.349998,32.889999,33.189999,860600,30.979328
2009-12-31,33.299999,33.299999,32.720001,32.73,860000,30.549968
2010-01-04,33.220001,33.220001,32.610001,32.639999,2269800,30.465963
2010-01-05,32.689999,32.810001,32.380001,32.720001,1414100,30.540636
2010-01-06,32.970001,33.049999,32.73,32.799999,1497100,30.615305
2010-01-07,32.75,32.919998,32.52,32.84,962700,30.652642
2010-01-08,32.869999,33.02,32.630001,32.93,1293400,30.736648
2010-01-11,32.959999,33.029999,32.380001,32.57,1971400,30.400625
2010-01-12,32.41,32.529999,31.76,31.92,1643500,29.79392
2010-01-13,31.879999,32.099998,31.66,31.82,1927500,29.70058
2010-01-14,31.620001,31.92,31.620001,31.799999,1228300,29.681912
2010-01-15,31.6,32.060001,30.77,30.809999,3259200,28.757853
2010-01-19,31.1,31.559999,30.85,31.290001,2560200,29.205883
2010-01-20,31.24,31.43,30.790001,31.059999,3338400,28.991201
2010-01-21,31.16,31.549999,30.99,31.1,2575100,29.028538
2010-01-22,31.049999,31.26,30.5,30.52,2921500,28.487169
2010-01-25,30.68,30.91,30.1,30.690001,2595600,28.645846
2010-01-26,30.719999,30.91,30.32,30.58,1548000,28.543172
2010-01-27,30.700001,30.709999,30.190001,30.57,1862600,28.533838
2010-01-28,30.6,30.67,29.68,30.0,2334400,28.001804
2010-01-29,30.18,30.33,29.549999,29.58,1482500,27.609779
2010-02-01,29.620001,29.940001,29.4,29.9,1154000,27.908465
2010-02-02,29.84,30.25,29.65,30.08,929400,28.076476
2010-02-03,29.889999,30.209999,29.809999,30.110001,937800,28.104478
2010-02-04,29.9,29.950001,29.559999,29.57,1520100,27.600445
2010-02-05,29.52,29.719999,28.77,29.51,1619800,27.544442
2010-02-08,29.5,29.700001,28.83,29.42,1522800,27.460436
2010-02-09,29.790001,30.02,29.559999,29.780001,2072700,27.796458
2010-02-10,29.68,29.959999,29.370001,29.67,1490100,27.693785
2010-02-11,28.1,28.1,27.26,27.42,7702300,25.593649
2010-02-12,27.09,27.190001,26.5,26.620001,4765400,24.846935
2010-02-16,26.68,26.780001,26.25,26.639999,2907400,24.865602
2010-02-17,26.77,27.07,26.549999,26.93,3120000,25.136287
2010-02-18,26.700001,27.200001,26.700001,26.959999,2698900,25.164287
2010-02-19,26.83,27.35,26.75,27.15,2084900,25.341633
2010-02-22,27.16,27.290001,26.879999,26.959999,1239200,25.164287
2010-02-23,27.040001,27.08,26.629999,26.68,2103100,24.902938
2010-02-24,26.719999,26.860001,26.549999,26.790001,1871000,25.005612
2010-02-25,26.51,26.51,25.889999,26.5,2936300,24.734927
2010-02-26,26.48,26.85,26.200001,26.809999,1872500,25.024279
2010-03-01,26.91,27.07,26.74,26.91,1692400,25.117618
2010-03-02,26.860001,26.91,26.5,26.6,3116400,24.828267
2010-03-03,26.700001,26.73,26.459999,26.549999,2062100,24.781596
2010-03-04,26.549999,26.66,26.35,26.49,1768400,24.725593
2010-03-05,26.549999,26.75,26.42,26.639999,2773600,24.865602
2010-03-08,26.700001,26.75,26.450001,26.49,1645300,24.725593
2010-03-09,26.57,26.67,26.450001,26.549999,2236200,24.781596
2010-03-10,26.530001,26.76,26.5,26.629999,2430700,24.856268
2010-03-11,26.610001,26.790001,26.6,26.639999,2855700,24.865602
2010-03-12,26.700001,26.809999,26.530001,26.68,1769800,24.902938
2010-03-15,26.530001,26.74,26.52,26.66,1292400,24.88427
2010-03-16,26.629999,26.870001,26.5,26.799999,1973300,25.014945
2010-03-17,26.77,26.99,26.629999,26.700001,1866300,24.921607
2010-03-18,26.799999,27.01,26.709999,26.91,3196000,25.117618
2010-03-19,27.059999,27.32,26.799999,27.32,3757400,25.50031
2010-03-22,27.280001,27.639999,27.1,27.459999,1674100,25.630984
2010-03-23,27.709999,27.84,27.459999,27.84,1612400,25.985675
2010-03-24,27.700001,27.879999,27.559999,27.74,1746500,25.892335
2010-03-25,27.92,28.07,27.73,27.9,2206400,26.041678
2010-03-26,27.9,28.059999,27.74,27.91,1591200,26.051012
2010-03-29,28.0,28.25,27.82,27.969999,1506400,26.107015
2010-03-30,27.92,28.110001,27.73,28.030001,880000,26.16302
