Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,9.070003,9.799995,8.840003,9.689999,7358000,7.939469
2009-01-05,9.539997,9.749994,9.389996,9.500004,12507500,7.783798
2009-01-06,9.400003,9.999997,9.400003,9.849996,9488300,8.070563
2009-01-07,9.569995,9.660001,9.0,9.05,14878200,7.415088
2009-01-08,8.990004,9.05,8.619999,8.920001,15467800,7.308574
2009-01-09,9.070003,9.129998,8.599996,8.729995,11186800,7.152893
2009-01-12,8.77,8.77,8.360001,8.449995,10742500,6.923476
2009-01-13,8.619999,8.879997,8.480004,8.690002,19552500,7.120125
2009-01-14,8.460002,8.569998,7.939995,8.109999,24006400,6.644901
2009-01-15,8.070005,8.180002,7.690004,8.03,28554700,6.579355
2009-01-16,8.189997,8.189997,7.649999,8.020004,72317400,6.571165
2009-01-20,7.809996,7.900001,7.139999,7.149995,29871500,5.858325
2009-01-21,7.390001,7.690004,7.149995,7.690004,22123800,6.30078
2009-01-22,6.759998,7.479995,6.759998,7.19,32000600,5.891103
2009-01-23,6.880002,7.19,6.819994,6.950004,22788800,5.694463
2009-01-26,6.750003,7.249996,6.689995,6.919995,25807200,5.669876
2009-01-27,6.989998,7.039998,6.63,6.73,19715700,5.514204
2009-01-28,7.199996,7.609994,7.030003,7.540003,20012900,6.177877
2009-01-29,7.230005,7.360003,6.759998,6.800003,23024300,5.571561
2009-01-30,6.819994,6.850003,6.309994,6.390004,27441000,5.235629
2009-02-02,6.129995,6.750003,6.090001,6.659997,29980300,5.456847
2009-02-03,6.500001,6.830001,6.500001,6.789996,23863200,5.563361
2009-02-04,6.689995,6.950004,6.520003,6.609997,28761800,5.41588
2009-02-05,6.529998,6.96,6.429998,6.939998,34053700,5.686265
2009-02-06,6.770005,7.199996,6.739996,6.980002,34005100,5.719042
2009-02-09,6.969995,7.080003,6.570004,6.780001,24053300,5.555172
2009-02-10,6.670004,6.800003,6.279996,6.359995,32914900,5.211041
2009-02-11,6.390004,6.659997,6.260005,6.470002,24027900,5.301176
2009-02-12,6.149997,6.540005,6.149997,6.540005,22239100,5.358532
2009-02-13,6.500001,6.620004,6.359995,6.500001,18018300,5.325755
2009-02-17,6.010003,6.320001,5.990001,6.12,24355400,5.014402
2009-02-18,6.110004,6.249998,5.990001,6.12,22816200,5.014402
2009-02-19,6.149997,6.290003,5.969998,6.019998,29377600,4.932466
2009-02-20,5.880004,6.149997,5.869997,6.040001,37772500,4.948855
2009-02-23,6.040001,6.249998,5.739998,5.780003,30943400,4.735827
2009-02-24,5.839999,6.190002,5.689998,6.12,41426600,5.014402
2009-02-25,6.090001,6.240003,5.819996,6.060004,23573600,4.965244
2009-02-26,6.309994,6.309994,5.700005,5.769996,29127000,4.727628
2009-02-27,5.530001,5.750005,5.530001,5.559999,31438900,4.555567
2009-03-02,5.459998,5.539997,5.270003,5.279999,26682700,4.32615
2009-03-03,5.539997,5.550004,5.190005,5.339995,28538000,4.375307
2009-03-04,5.370004,5.750005,5.289994,5.66,23818500,4.637503
2009-03-05,5.420005,5.639997,5.320003,5.350002,34060400,4.383507
2009-03-06,5.420005,5.500003,5.140004,5.309997,26600900,4.350729
2009-03-09,5.190005,5.270003,4.949998,4.990003,26066400,4.135266
2009-03-10,5.079997,5.530001,4.949998,5.509998,38631000,4.566191
2009-03-11,5.600004,5.760001,5.359997,5.71,31566800,4.731935
2009-03-12,5.500003,5.889999,5.480001,5.849995,23696000,4.84795
2009-03-13,6.199998,6.199998,5.780003,5.999996,16407800,4.972258
2009-03-16,6.279996,6.320001,5.990001,6.010003,18564600,4.98055
2009-03-17,6.149997,6.359995,6.030005,6.359995,15006200,5.270592
2009-03-18,6.210005,6.639995,6.17,6.529998,17787300,5.411476
2009-03-19,6.589994,6.700002,6.129995,6.22,27511700,5.154577
2009-03-20,6.440005,6.45,6.019998,6.079994,27740200,5.038553
2009-03-23,6.370002,6.750003,6.290003,6.750003,23463100,5.593796
