Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,25.59,26.35,25.23,26.26,1451800,26.26
2009-01-05,26.26,26.4,25.8,26.22,2155400,26.22
2009-01-06,26.3,26.69,25.1,25.39,2844000,25.39
2009-01-07,25.13,25.47,24.68,25.01,1939500,25.01
2009-01-08,24.87,25.18,24.62,25.09,1576200,25.09
2009-01-09,25.11,25.25,24.5,24.94,1741300,24.94
2009-01-12,24.91,24.95,24.4,24.57,1570900,24.57
2009-01-13,24.5,24.8225,24.05,24.73,2519700,24.73
2009-01-14,24.33,24.72,23.81,24.23,1943900,24.23
2009-01-15,25.87,26.13,25.1,26.0,4951900,26.0
2009-01-16,26.17,26.2,25.41,25.76,3332200,25.76
2009-01-20,26.7,27.15,25.31,25.52,5109800,25.52
2009-01-21,24.2,25.24,24.09,25.16,3742100,25.16
2009-01-22,24.75,25.38,24.57,25.16,2758700,25.16
2009-01-23,25.04,25.24,24.24,24.77,2247400,24.77
2009-01-26,24.9,25.56,24.81,24.99,2663400,24.99
2009-01-27,25.2,26.07,24.95,25.81,3059400,25.81
2009-01-28,25.98,26.2,25.56,25.85,1656600,25.85
2009-01-29,25.5,25.85,25.18,25.34,1424400,25.34
2009-01-30,25.29,25.59,24.81,25.04,2120500,25.04
2009-02-02,24.93,25.85,24.86,25.34,2299500,25.34
2009-02-03,25.51,25.79,24.96,25.61,2183200,25.61
2009-02-04,25.63,25.99,25.19,25.36,1624200,25.36
2009-02-05,25.2,25.79,25.02,25.65,1759500,25.65
2009-02-06,25.71,26.35,25.55,26.21,2775200,26.21
2009-02-09,26.19,26.35,25.8,26.12,1597200,26.12
2009-02-10,25.83,26.72,25.39,25.59,2279500,25.59
2009-02-11,25.84,26.51,25.69,26.43,2504300,26.43
2009-02-12,25.6,26.0,25.3,26.0,3795500,26.0
2009-02-13,25.94,26.06,25.5,25.84,1778200,25.84
2009-02-17,25.13,25.48,24.87,25.2,2681300,25.2
2009-02-18,25.51,25.51,24.62,24.98,2420600,24.98
2009-02-19,25.13,25.34,24.69,24.77,2160200,24.77
2009-02-20,24.5,25.04,24.45,24.7,2557200,24.7
2009-02-23,25.0,25.04,24.34,24.36,3815100,24.36
2009-02-24,24.5,24.68,24.08,24.43,3003700,24.43
2009-02-25,24.43,24.43,23.08,23.14,7012300,23.14
2009-02-26,22.8,23.1,21.29,21.36,4434300,21.36
2009-02-27,21.07,21.815,20.91,21.44,5137100,21.44
2009-03-02,20.98,20.98,20.15,20.21,3384800,20.21
2009-03-03,20.39,20.72,19.58,19.95,3039900,19.95
2009-03-04,20.16,20.61,19.87,20.33,2630900,20.33
2009-03-05,20.03,20.03,19.04,19.25,3165100,19.25
2009-03-06,18.75,19.27,18.37,19.12,3519800,19.12
2009-03-09,18.82,19.32,18.5,18.79,2808100,18.79
2009-03-10,19.4,20.01,19.12,19.91,2868900,19.91
2009-03-11,19.99,20.197,19.44,19.56,2132100,19.56
2009-03-12,19.54,20.59,19.37,20.48,2802800,20.48
2009-03-13,20.46,21.0,20.43,20.79,2302000,20.79
2009-03-16,20.92,21.51,20.85,20.85,2337100,20.85
2009-03-17,20.99,21.45,20.77,21.45,1645100,21.45
2009-03-18,21.42,22.17,21.31,21.77,2523800,21.77
2009-03-19,21.72,21.96,20.92,21.14,1913500,21.14
2009-03-20,21.24,21.54,20.59,21.13,2966100,21.13
2009-03-23,21.5,22.26,21.37,22.26,2664900,22.26
2009-03-24,22.14,22.33,21.78,21.88,2013200,21.88
2009-03-25,21.98,22.43,21.39,21.83,2425500,21.83
2009-03-26,22.02,22.635,22.01,22.57,2021400,22.57
2009-03-27,22.28,22.41,21.7,21.75,1647600,21.75
2009-03-30,21.41,21.69,21.08,21.4,2143100,21.4
2009-03-31,21.51,22.36,21.41,21.96,2319200,21.96
2009-04-01,21.76,22.03,21.47,21.97,2075400,21.97
2009-04-02,22.36,23.095,22.04,22.75,4426200,22.75
2009-04-03,22.6,23.12,21.95,22.14,2059700,22.14
2009-04-06,22.0,22.41,21.67,21.87,3002700,21.87
2009-04-07,21.62,22.05,21.5,21.58,1688200,21.58
2009-04-08,21.66,21.75,21.45,21.55,2128000,21.55
2009-04-09,22.02,22.05,21.47,21.55,2735400,21.55
2009-04-13,21.6,21.72,21.25,21.28,2392600,21.28
2009-04-14,21.2,21.41,21.09,21.19,3128500,21.19
2009-04-15,21.14,21.83,21.01,21.79,4190400,21.79
2009-04-16,22.01,22.75,21.73,22.66,3715300,22.66
2009-04-17,22.66,23.09,22.6,22.98,3159500,22.98
2009-04-20,22.97,23.22,22.16,22.39,3009100,22.39
2009-04-21,21.53,22.11,20.93,21.57,4516000,21.57
2009-04-22,21.46,22.4,21.12,21.98,3677800,21.98
2009-04-23,21.85,21.85,20.98,21.43,2991200,21.43
2009-04-24,21.54,21.73,21.11,21.28,3295400,21.28
2009-04-27,21.19,21.81,21.19,21.5,2607800,21.5
2009-04-28,21.46,21.62,21.24,21.42,2535000,21.42
2009-04-29,21.48,22.0,21.25,21.8,2320600,21.8
2009-04-30,21.95,22.23,21.53,21.69,2163700,21.69
2009-05-01,21.77,21.88,21.45,21.87,1476800,21.87
2009-05-04,22.09,22.575,21.56,22.56,2705300,22.56
2009-05-05,22.53,22.7,22.3,22.53,2132300,22.53
2009-05-06,22.61,22.64,22.0,22.37,2304200,22.37
2009-05-07,22.48,22.77,22.05,22.62,2519200,22.62
2009-05-08,22.87,23.36,22.75,23.14,2255800,23.14
2009-05-11,22.91,23.17,22.8,22.97,1412500,22.97
2009-05-12,23.15,23.6,23.0,23.47,2355600,23.47
2009-05-13,23.34,23.68,23.12,23.28,1990100,23.28
2009-05-14,23.35,23.62,23.18,23.25,1940300,23.25
2009-05-15,23.17,23.2,22.8,22.91,1680300,22.91
2009-05-18,23.05,23.54,22.8,23.54,1513900,23.54
2009-05-19,23.58,23.77,23.36,23.47,1613200,23.47
2009-05-20,23.57,24.34,23.51,23.65,2323300,23.65
2009-05-21,23.41,23.67,22.925,23.08,2044300,23.08
2009-05-22,23.08,23.22,22.92,22.94,1628600,22.94
2009-05-26,23.03,23.68,22.73,23.38,3374300,23.38
2009-05-27,23.41,23.48,22.735,22.84,3496000,22.84
2009-05-28,22.98,23.28,22.71,23.12,1604700,23.12
2009-05-29,23.22,23.69,23.04,23.69,2064000,23.69
2009-06-01,23.77,24.37,23.77,24.28,2271100,24.28
2009-06-02,24.26,24.7,24.0,24.6,2393100,24.6
2009-06-03,24.48,24.5,23.75,23.94,2954500,23.94
2009-06-04,24.02,24.13,23.565,23.82,2105100,23.82
2009-06-05,23.9,24.11,23.4,23.66,3230100,23.66
2009-06-08,23.66,23.76,23.11,23.4,3131000,23.4
2009-06-09,23.54,23.5799,23.06,23.29,2715900,23.29
2009-06-10,23.47,23.61,22.94,23.15,2162600,23.15
2009-06-11,23.3,24.25,23.03,23.68,3640500,23.68
2009-06-12,23.62,24.49,23.4901,24.21,2785100,24.21
2009-06-15,23.93,23.954,22.87,23.08,2976200,23.08
2009-06-16,23.18,23.71,23.08,23.1,2996900,23.1
2009-06-17,23.11,23.5098,23.05,23.22,2531100,23.22
2009-06-18,23.36,24.35,23.3,24.2,2877900,24.2
2009-06-19,24.33,24.73,24.26,24.42,4014600,24.42
2009-06-22,24.25,24.4,23.53,23.53,2881300,23.53
2009-06-23,23.54,23.77,23.39,23.54,1955700,23.54
2009-06-24,23.68,24.2,23.47,24.02,2950000,24.02
2009-06-25,23.98,25.38,23.83,25.32,4970100,25.32
2009-06-26,25.21,25.49,24.72,25.23,3443300,25.23
2009-06-29,25.18,25.18,24.48,25.15,2888500,25.15
2009-06-30,25.16,25.23,24.65,25.11,2607600,25.11
2009-07-01,25.14,25.39,24.95,25.23,2414400,25.23
2009-07-02,24.99,25.0,24.26,24.26,3006500,24.26
2009-07-06,24.12,25.04,24.0,24.52,2343300,24.52
