Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,31.42,31.700001,31.200001,31.620001,294000,22.802984
2009-01-05,31.59,31.85,30.93,31.440001,463500,22.673175
2009-01-06,31.469999,31.799999,30.889999,31.030001,492900,22.377501
2009-01-07,30.5,31.559999,30.5,31.15,573800,22.464039
2009-01-08,30.91,31.709999,30.91,31.68,434700,22.846253
2009-01-09,31.610001,31.620001,31.0,31.33,432500,22.593847
2009-01-12,30.99,31.440001,30.84,31.190001,411200,22.492886
2009-01-13,31.09,31.299999,30.790001,31.129999,439900,22.449615
2009-01-14,30.77,31.0,30.41,30.66,361600,22.110672
2009-01-15,30.549999,30.690001,29.67,30.48,587500,21.980864
2009-01-16,30.77,31.42,30.719999,31.32,394200,22.586636
2009-01-20,31.17,31.6,30.75,30.809999,461100,22.218845
2009-01-21,31.129999,31.23,30.32,31.16,533400,22.471251
2009-01-22,30.57,31.27,30.440001,31.0,382900,22.355866
2009-01-23,30.530001,30.83,30.25,30.73,533100,22.161153
2009-01-26,30.860001,31.530001,30.75,31.27,462600,22.550578
2009-01-27,31.59,31.84,31.120001,31.629999,380300,22.810194
2009-01-28,31.83,32.110001,31.129999,31.58,529100,22.774137
2009-01-29,31.34,31.84,31.030001,31.42,408800,22.658752
2009-01-30,31.5,31.799999,30.65,30.83,569900,22.233269
2009-02-02,30.52,31.26,30.49,31.09,521500,22.42077
2009-02-03,31.190001,31.35,30.690001,31.139999,558800,22.456827
2009-02-04,31.24,31.75,31.01,31.43,409200,22.665963
2009-02-05,31.34,32.950001,31.34,32.82,664500,23.668371
2009-02-06,32.990002,34.09,32.689999,33.5,831800,24.158758
2009-02-09,33.990002,34.93,32.950001,33.830002,611300,24.396741
2009-02-10,33.830002,33.990002,32.389999,32.549999,571300,23.473658
2009-02-11,32.450001,32.450001,31.74,31.809999,292800,23.247107
2009-02-12,31.4,31.809999,31.110001,31.809999,403400,23.247107
2009-02-13,31.110001,32.23,30.51,31.450001,365000,22.984016
2009-02-17,31.07,31.17,30.43,30.49,391500,22.282436
2009-02-18,30.559999,30.559999,29.540001,29.65,329500,21.668555
2009-02-19,29.860001,30.09,29.389999,29.41,239400,21.49316
2009-02-20,29.120001,29.26,27.83,28.48,321600,20.813505
2009-02-23,28.48,28.639999,27.709999,27.799999,272300,20.316554
2009-02-24,27.959999,28.23,27.41,28.040001,400400,20.491949
2009-02-25,28.02,28.200001,27.629999,28.1,345600,20.535798
2009-02-26,28.370001,28.51,27.77,27.889999,286500,20.382327
2009-02-27,27.58,28.639999,27.129999,27.74,313400,20.272705
2009-03-02,27.309999,27.49,26.530001,26.610001,518300,19.446889
2009-03-03,26.790001,26.889999,25.84,25.92,309100,18.942629
2009-03-04,26.02,26.84,25.440001,26.299999,354800,19.220337
2009-03-05,25.85,26.0,24.809999,24.950001,243700,18.233742
2009-03-06,25.290001,25.5,24.25,24.700001,386800,18.05104
2009-03-09,24.49,24.73,24.02,24.18,481800,17.671017
2009-03-10,24.469999,24.99,24.129999,24.940001,478700,18.226434
2009-03-11,25.0,25.0,24.42,24.52,411700,17.919493
