Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,27.66,27.77,26.15,26.26,3314500,17.283876
2009-01-05,25.959999,26.99,25.15,25.58,5622200,16.836311
2009-01-06,25.84,26.5,24.870001,25.719999,6608000,16.928457
2009-01-07,25.51,25.73,24.690001,24.85,4200100,16.355838
2009-01-08,24.58,24.690001,23.83,24.190001,3490400,15.921438
2009-01-09,24.25,24.42,22.290001,22.48,5627400,14.795945
2009-01-12,22.33,22.92,21.34,21.73,5031100,14.302308
2009-01-13,21.41,22.809999,21.200001,22.610001,4194000,14.881509
2009-01-14,21.85,22.299999,21.4,21.66,5339100,14.256235
2009-01-15,21.66,23.370001,20.719999,22.700001,6024500,14.940746
2009-01-16,23.280001,23.809999,21.940001,23.27,7466500,15.31591
2009-01-20,22.93,23.870001,20.5,20.700001,9565100,13.624381
2009-01-21,21.1,23.629999,20.43,23.219999,8093600,15.283
2009-01-22,22.52,23.93,21.709999,22.52,7091500,14.822273
2009-01-23,21.59,22.799999,21.23,22.65,6939000,14.907836
2009-01-26,22.77,23.389999,22.0,22.65,4925800,14.907836
2009-01-27,23.040001,23.51,22.549999,23.440001,4436700,15.427801
2009-01-28,24.15,26.4,23.799999,26.15,8905200,17.211475
2009-01-29,25.219999,26.43,24.280001,24.379999,10033300,16.046492
2009-01-30,24.719999,25.280001,22.870001,23.34,9126100,15.361982
2009-02-02,22.790001,23.66,22.17,23.49,8590100,15.46071
2009-02-03,23.83,24.620001,23.139999,24.34,7668600,16.020165
2009-02-04,24.43,25.219999,24.030001,24.1,5229600,15.862201
2009-02-05,23.07,24.1,22.66,22.99,6794400,15.426057
2009-02-06,23.700001,25.15,23.040001,24.969999,6129800,16.754617
2009-02-09,24.969999,25.58,24.540001,25.469999,3925500,17.090112
2009-02-10,25.049999,25.469999,22.24,22.379999,8087100,15.016753
2009-02-11,22.709999,23.01,21.26,22.5,6348900,15.097272
2009-02-12,21.370001,21.77,19.75,21.549999,10542200,14.459831
2009-02-13,21.33,21.540001,20.0,20.07,6491800,13.466767
2009-02-17,19.459999,19.91,18.559999,19.030001,7124800,12.768938
2009-02-18,19.42,19.700001,18.6,19.32,6202600,12.963524
2009-02-19,19.65,19.969999,17.84,18.15,7820900,12.178466
2009-02-20,17.530001,20.219999,16.99,20.16,10661200,13.527156
2009-02-23,20.24,20.440001,18.549999,18.629999,12022700,12.500541
2009-02-24,18.76,20.65,18.76,20.58,10504300,13.808971
2009-02-25,20.58,21.32,19.27,20.27,9719600,13.600965
2009-02-26,20.6,21.27,18.690001,18.870001,9424100,12.661579
2009-02-27,18.559999,19.59,18.059999,18.27,10568600,12.258985
2009-03-02,17.469999,18.16,16.82,17.049999,13546600,11.440377
2009-03-03,17.07,18.33,15.79,17.120001,12405400,11.487347
2009-03-04,17.58,18.09,17.049999,17.51,10340700,11.749033
2009-03-05,17.190001,17.43,15.97,16.16,10772500,10.843196
2009-03-06,16.379999,16.700001,14.93,16.08,10868800,10.789517
2009-03-09,15.83,16.530001,15.46,16.450001,6974800,11.037784
2009-03-10,16.99,18.719999,16.559999,18.719999,13419700,12.56093
2009-03-11,19.0,19.0,17.780001,18.209999,10115500,12.218725
2009-03-12,18.26,20.01,17.85,19.84,10818900,13.312439
2009-03-13,19.940001,20.15,18.23,18.76,8619300,12.58777
2009-03-16,18.99,19.43,17.209999,17.370001,8528500,11.655095
2009-03-17,17.620001,18.73,16.75,18.709999,9315000,12.55422
2009-03-18,18.459999,19.690001,17.610001,19.629999,9632900,13.171531
2009-03-19,19.969999,20.17,18.43,18.66,8647500,12.520671
2009-03-20,18.18,18.799999,16.92,16.93,10132600,11.359859
2009-03-23,17.719999,20.16,17.57,20.120001,12431300,13.500317
2009-03-24,19.23,19.870001,18.02,18.389999,8854400,12.339503
2009-03-25,18.76,19.27,16.82,18.389999,9428900,12.339503
2009-03-26,18.51,18.99,16.76,18.190001,9483800,12.205306
2009-03-27,17.73,18.01,17.209999,17.360001,6083400,11.648385
2009-03-30,16.950001,17.18,16.379999,16.459999,8011100,11.044493
2009-03-31,17.049999,18.190001,16.709999,17.85,11518300,11.977169
2009-04-01,17.280001,17.889999,17.07,17.280001,7488500,11.594705
2009-04-02,17.9,18.959999,17.34,18.59,10266800,12.473702
2009-04-03,18.35,20.299999,17.75,20.17,15536200,13.533866
2009-04-06,19.98,20.74,19.299999,20.27,11930000,13.600965
2009-04-07,19.6,20.07,18.25,18.280001,13544700,12.265695
2009-04-08,18.48,18.969999,17.91,18.469999,7253200,12.393182
2009-04-09,18.83,21.309999,18.75,21.17,10523100,14.204856
2009-04-13,20.620001,21.73,20.059999,21.25,5978300,14.258535
2009-04-14,20.620001,21.049999,19.110001,19.27,9472900,12.929975
2009-04-15,19.120001,21.440001,18.84,21.309999,9870000,14.298794
2009-04-16,21.059999,22.98,20.27,22.040001,7699800,14.788617
2009-04-17,21.940001,22.639999,20.879999,21.790001,7971200,14.62087
2009-04-20,21.0,21.32,19.23,19.309999,8165400,12.956814
2009-04-21,19.08,21.43,18.66,20.93,10288800,14.043818
2009-04-22,20.209999,21.23,19.84,19.879999,8307700,13.339278
2009-04-23,19.83,21.360001,19.700001,21.280001,5655900,14.278665
2009-04-24,21.200001,22.48,20.75,22.040001,7783800,14.788617
2009-04-27,21.549999,22.02,20.67,21.35,6155300,14.325634
2009-04-28,21.139999,22.620001,21.0,22.040001,5114600,14.788617
2009-04-29,22.309999,23.379999,21.77,23.040001,6944800,15.459607
2009-04-30,22.5,23.049999,21.690001,21.950001,6477100,14.728228
2009-05-01,21.6,21.639999,20.700001,20.959999,4862600,14.36499
2009-05-04,20.99,23.129999,20.969999,23.08,8304800,15.817938
2009-05-05,22.4,22.459999,21.549999,21.889999,19336600,15.002369
2009-05-06,21.969999,22.74,21.370001,22.25,8025300,15.249096
2009-05-07,22.73,22.959999,20.83,21.26,8913600,14.570597
2009-05-08,21.75,23.040001,21.139999,22.98,7399700,15.749403
2009-05-11,22.280001,22.67,21.6,21.74,6689100,14.899566
2009-05-12,22.33,22.389999,21.15,21.940001,6796900,15.036637
2009-05-13,21.51,21.799999,20.85,21.0,6445500,14.392405
2009-05-14,20.969999,21.809999,20.48,21.559999,5774400,14.776202
2009-05-15,21.42,21.58,20.27,20.6,5503600,14.118264
2009-05-18,21.040001,22.620001,20.76,22.549999,7512900,15.454701
2009-05-19,22.25,22.709999,21.629999,21.969999,4429900,15.057197
2009-05-20,22.360001,22.809999,21.280001,21.41,5288900,14.6734
2009-05-21,21.129999,21.950001,20.9,21.559999,3902400,14.776202
2009-05-22,21.719999,22.16,21.120001,21.129999,3640900,14.4815
2009-05-26,21.15,22.66,20.889999,22.549999,6613700,15.454701
2009-05-27,22.67,22.690001,21.35,21.450001,6379300,14.700814
2009-05-28,21.76,22.440001,21.309999,22.290001,4862600,15.276511
2009-05-29,22.309999,23.25,21.85,23.23,6352100,15.920741
2009-06-01,23.299999,24.4,22.92,23.52,6569600,16.119494
2009-06-02,23.6,23.709999,22.77,22.83,5653800,15.6466
2009-06-03,22.66,23.040001,22.48,23.040001,3872400,15.790525
2009-06-04,23.24,24.049999,23.059999,23.98,6197300,16.434756
2009-06-05,24.209999,24.5,23.139999,23.469999,6027300,16.085226
2009-06-08,23.41,24.09,23.190001,23.76,4074700,16.283978
2009-06-09,23.83,23.870001,23.450001,23.73,3406400,16.263417
2009-06-10,23.959999,24.0,22.74,23.200001,4500900,15.900181
2009-06-11,23.15,23.49,22.559999,22.67,3792100,15.536944
2009-06-12,22.620001,23.41,22.43,23.41,4466100,16.044105
2009-06-15,23.139999,23.200001,21.370001,21.59,7552100,14.796763
2009-06-16,21.74,22.200001,21.120001,21.440001,2859800,14.693961
2009-06-17,21.440001,21.629999,20.74,20.82,3715800,14.269041
2009-06-18,20.82,21.139999,20.6,20.9,3556800,14.32387
2009-06-19,21.15,21.15,20.42,20.75,6697300,14.221067
2009-06-22,20.6,20.73,19.67,19.73,5936900,13.522007
2009-06-23,19.85,20.27,19.65,19.940001,4547100,13.665932
2009-06-24,20.43,20.83,20.1,20.629999,3526300,14.138824
2009-06-25,20.5,20.99,20.25,20.98,3563900,14.378698
2009-06-26,20.92,21.24,20.700001,21.1,4511300,14.460941
2009-06-29,21.209999,21.27,20.75,21.08,2993800,14.447233
2009-06-30,21.030001,21.280001,20.74,21.190001,2990500,14.522622
2009-07-01,21.280001,21.799999,21.1,21.67,2636900,14.851591
2009-07-02,21.309999,21.440001,20.41,20.41,5407600,13.988047
2009-07-06,20.4,21.540001,20.35,21.49,4897600,14.728228
2009-07-07,21.93,21.940001,20.790001,20.860001,5082200,14.296456
2009-07-08,21.040001,21.24,20.120001,20.73,6624400,14.20736
2009-07-09,20.92,20.92,20.15,20.219999,4069500,13.85783
2009-07-10,20.129999,20.51,19.790001,20.370001,2551200,13.960634
2009-07-13,20.58,21.4,20.26,21.379999,5624700,14.652839
2009-07-14,21.35,21.77,20.959999,21.65,3492900,14.837884
2009-07-15,21.879999,22.620001,21.67,22.360001,5515600,15.324485
2009-07-16,22.16,22.75,21.84,22.549999,2826700,15.454701
2009-07-17,22.639999,22.639999,21.950001,22.040001,3927400,15.105172
2009-07-20,22.23,23.01,22.23,22.940001,3954900,15.72199
2009-07-21,23.030001,23.18,22.34,22.92,2748300,15.708282
