Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,4.51782,4.67426,4.48102,4.66044,879900,21.38447
2009-01-05,4.64204,4.72486,4.59604,4.61904,2447000,21.1945
2009-01-06,4.66044,4.86748,4.65584,4.82608,2727300,22.14451
2009-01-07,4.76626,4.80766,4.66044,4.69266,4421400,21.53231
2009-01-08,4.68346,4.74786,4.63744,4.67886,2140300,21.46899
2009-01-09,4.69726,4.70646,4.58684,4.61444,1757700,21.17339
2009-01-12,4.60064,4.61904,4.50862,4.58224,2605400,21.02564
2009-01-13,4.56844,4.66964,4.51324,4.57304,2213500,20.98343
2009-01-14,4.42582,4.55464,4.42122,4.50862,2616400,20.68784
2009-01-15,4.48102,4.55004,4.41202,4.54084,3161400,20.83568
2009-01-16,4.64664,4.64664,4.49942,4.59144,2069800,21.06786
2009-01-20,4.61904,4.63744,4.51782,4.57764,3558800,21.00454
2009-01-21,4.64664,4.64664,4.44422,4.55464,3594100,20.899
2009-01-22,4.44882,4.63744,4.44882,4.60984,2117900,21.15229
2009-01-23,4.49482,4.57304,4.41662,4.53624,1847900,20.81457
2009-01-26,4.55004,4.68346,4.50862,4.58224,2238800,21.02564
2009-01-27,4.59144,4.74786,4.58224,4.73406,1589900,21.72227
2009-01-28,4.79846,4.86748,4.76166,4.84908,2215500,22.25004
2009-01-29,4.81226,4.89508,4.74786,4.78466,1713500,21.95445
2009-01-30,4.81226,4.84908,4.57764,4.61444,3236100,21.17339
2009-02-02,4.60064,4.67426,4.53624,4.66044,2738100,21.38447
2009-02-03,4.67426,4.82148,4.58224,4.79846,2095100,22.01777
2009-02-04,4.60064,4.65124,4.43042,4.45342,3659000,20.43455
2009-02-05,4.41202,4.47182,4.2924,4.2924,4246900,19.69571
2009-02-06,4.3062,4.41202,4.2832,4.39822,3336000,20.18127
2009-02-09,4.37062,4.43042,4.297,4.366,1829400,20.03342
2009-02-10,4.3384,4.366,4.06696,4.09918,2727400,18.80912
2009-02-11,3.96116,4.15434,3.91974,4.10378,2622300,18.83023
2009-02-12,4.07156,4.16358,4.01176,4.15438,3982100,19.06241
2009-02-13,4.13138,4.17278,4.07156,4.10378,2086500,18.83023
2009-02-17,4.01636,4.01636,3.87144,3.91514,2671300,17.96465
2009-02-18,3.96116,3.96116,3.74032,3.79092,3385600,17.39467
2009-02-19,3.85994,3.86454,3.74492,3.77252,2708400,17.31024
2009-02-20,3.72192,3.76792,3.6161,3.68512,2991500,16.9092
2009-02-23,3.71272,3.75412,3.6483,3.6575,2654400,16.78247
2009-02-24,3.68052,3.80472,3.6391,3.79092,3229800,17.39467
2009-02-25,3.76792,3.77252,3.5701,3.6115,3816200,16.5714
2009-02-26,3.5885,3.68052,3.5609,3.5701,3116000,16.48183
2009-02-27,3.5103,3.6069,3.48268,3.5471,2700400,16.37565
2009-03-02,3.49648,3.5287,3.40908,3.42748,3306800,15.82341
2009-03-03,3.42288,3.49188,3.30786,3.34006,2971100,15.41982
2009-03-04,3.38148,3.50568,3.32166,3.43668,2619100,15.86588
2009-03-05,3.33546,3.37686,3.15144,3.18364,6143300,14.69769
2009-03-06,3.24346,3.28486,3.19284,3.25726,3183100,15.03757
2009-03-09,3.22966,3.24346,3.12844,3.14224,2620100,14.50656
2009-03-10,3.17444,3.28026,3.16064,3.27566,2012200,15.12251
2009-03-11,3.26186,3.30326,3.16984,3.21124,2848200,14.82511
2009-03-12,3.23424,3.35846,3.21584,3.34466,1999300,15.44106
2009-03-13,3.46428,3.6023,3.40448,3.5333,4195700,16.31194
2009-03-16,3.5563,3.70352,3.5195,3.6483,4035300,16.84285
2009-03-17,3.6575,3.69892,3.6207,3.69432,2553400,17.05531
2009-03-18,3.67592,3.76332,3.5977,3.68512,2627800,17.01284
2009-03-19,3.72652,3.77712,3.69432,3.72192,2835600,17.18273
2009-03-20,3.74952,3.80014,3.67132,3.69432,3246300,17.05531
2009-03-23,3.76792,3.85994,3.70812,3.85994,1988100,17.81992
2009-03-24,3.82314,3.93354,3.78632,3.88754,2183300,17.94734
2009-03-25,3.91974,3.92894,3.80014,3.87834,2636800,17.90486
2009-03-26,3.73572,3.94276,3.73572,3.91054,1525400,18.05352
2009-03-27,3.87374,3.87374,3.77942,3.79552,2291100,17.52251
2009-03-30,4.00256,4.03936,3.70352,3.74032,3791500,17.26768
2009-03-31,3.76792,3.77712,3.69892,3.71732,3963600,17.16149
2009-04-01,3.67592,3.79552,3.6115,3.78172,3155900,17.4588
2009-04-02,3.80472,3.94276,3.80014,3.89214,2453100,17.96857
2009-04-03,3.88754,3.95196,3.85074,3.89214,2036800,17.96857
2009-04-06,3.86454,3.92434,3.83694,3.87834,1692700,17.90486
2009-04-07,3.82774,3.86454,3.79552,3.80014,1684400,17.54384
2009-04-08,3.82314,3.99336,3.79092,3.98416,3156900,18.39339
2009-04-09,4.00716,4.08536,3.95196,4.00256,2729400,18.47834
2009-04-13,4.00716,4.00716,3.90594,3.94276,1528500,18.20227
2009-04-14,3.90594,3.95656,3.82774,3.86914,1557000,17.86239
2009-04-15,3.85534,3.93814,3.85534,3.91974,1558800,18.09599
2009-04-16,3.95656,3.97956,3.88754,3.95656,1734700,18.26598
2009-04-17,3.97496,4.02556,3.92434,3.96576,1862300,18.30845
2009-04-20,3.87374,3.97956,3.86914,3.87374,2079500,17.88363
2009-04-21,3.90134,3.95656,3.85534,3.93814,1736900,18.18094
2009-04-22,3.91054,3.93814,3.85074,3.85534,1696100,17.79868
2009-04-23,3.84614,3.89214,3.74492,3.79552,2354400,17.52251
2009-04-24,3.81854,3.85074,3.74952,3.77252,1883500,17.41633
2009-04-27,3.70812,3.81854,3.68512,3.68512,2524200,17.01284
2009-04-28,3.71732,3.79552,3.66212,3.75412,1881500,17.33139
2009-04-29,3.77252,3.86914,3.75872,3.80934,1186700,17.58632
2009-04-30,3.84154,3.93814,3.81394,3.82774,2277800,17.67126
2009-05-01,3.87834,3.87834,3.77252,3.80934,2519300,17.58632
2009-05-04,3.85534,4.02556,3.80472,4.00716,2139700,18.49958
2009-05-05,4.07616,4.15438,3.98416,4.03016,2483200,18.60576
2009-05-06,4.06696,4.13138,4.00716,4.12218,3512900,19.03058
2009-05-07,4.2924,4.42122,4.14518,4.3016,4098500,19.8589
2009-05-08,4.3476,4.37062,4.21418,4.22798,3157500,19.51902
2009-05-11,4.2418,4.2556,4.16818,4.18198,3210400,19.30666
2009-05-12,4.20038,4.2602,4.16818,4.20958,2454100,19.43408
2009-05-13,4.16358,4.2464,4.16358,4.19578,2559700,19.37037
2009-05-14,4.19578,4.3016,4.15898,4.2924,2347300,19.81643
2009-05-15,4.274,4.3338,4.22338,4.2418,2100400,19.58282
2009-05-18,4.2648,4.37522,4.2326,4.37062,2542100,20.17754
2009-05-19,4.3384,4.40742,4.3384,4.38902,1505400,20.26249
2009-05-20,4.41202,4.48562,4.39362,4.42582,2520500,20.43238
2009-05-21,4.38902,4.43042,4.3292,4.38442,2305400,20.24125
2009-05-22,4.38442,4.44422,4.3522,4.3614,1531800,20.13497
2009-05-26,4.3338,4.37522,4.2694,4.2924,3551800,19.81643
2009-05-27,4.2832,4.3246,4.20038,4.21878,4263900,19.47655
2009-05-28,4.20958,4.22338,4.08998,4.14058,5737800,19.21573
2009-05-29,4.14058,4.16358,4.11298,4.13598,3585500,19.19439
2009-06-01,4.10378,4.18658,4.00716,4.14058,4379900,19.21573
2009-06-02,4.12678,4.2786,4.12678,4.2694,4059000,19.81357
2009-06-03,4.251,4.251,4.13598,4.19118,3770800,19.45056
2009-06-04,4.20498,4.2418,4.18198,4.20498,3001100,19.5146
2009-06-05,4.20498,4.21878,4.09458,4.14058,1772800,19.21573
2009-06-08,4.14058,4.19578,4.10378,4.17278,1703400,19.36517
2009-06-09,4.18658,4.18658,4.08998,4.15438,2288800,19.27978
2009-06-10,4.19118,4.20958,4.11298,4.14978,2104100,19.25843
2009-06-11,4.16818,4.251,4.12678,4.18658,3458100,19.42921
2009-06-12,4.17278,4.20038,4.11758,4.14518,2461900,19.23708
2009-06-15,4.11758,4.12218,4.06006,4.07616,1526900,18.91677
2009-06-16,4.09458,4.09458,4.02556,4.03936,2126200,18.74599
2009-06-17,4.01176,4.18258,4.01176,4.14518,3571200,19.23708
2009-06-18,4.21418,4.21418,4.08536,4.18198,1772300,19.40787
2009-06-19,4.20038,4.20498,4.14978,4.16818,2744800,19.34382
2009-06-22,4.14058,4.16818,4.11298,4.11298,2037100,19.08765
2009-06-23,4.08998,4.20038,4.08998,4.19118,3335100,19.45056
2009-06-24,4.22798,4.3384,4.19118,4.3016,7023100,19.963
2009-06-25,4.2924,4.343,4.251,4.3338,3221900,20.11244
2009-06-26,4.3062,4.43042,4.28816,4.40742,3628800,20.45409
2009-06-29,4.40742,4.47182,4.3568,4.45802,3094700,20.68892
