Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,37.380001,37.75,36.279999,37.27,2065500,35.331312
2009-01-05,37.139999,38.59,36.419998,38.119999,2023400,36.137096
2009-01-06,38.43,38.799999,36.779999,37.970001,1971000,35.994901
2009-01-07,37.490002,37.66,36.52,36.689999,1635000,34.781481
2009-01-08,36.509998,37.060001,35.740002,36.650002,1884100,34.743564
2009-01-09,36.650002,37.310001,35.82,36.889999,1591500,34.971078
2009-01-12,36.990002,36.990002,34.990002,35.23,2125800,33.397427
2009-01-13,35.27,35.889999,33.799999,34.349998,3429400,32.563201
2009-01-14,33.84,34.189999,32.290001,32.439999,2667000,30.752555
2009-01-15,32.400002,32.439999,30.49,31.65,4938200,30.003649
2009-01-16,32.439999,33.759998,31.85,33.279999,2932200,31.54886
2009-01-20,33.139999,33.790001,31.780001,31.969999,2833400,30.307003
2009-01-21,32.369999,33.799999,31.940001,33.759998,2556600,32.003891
2009-01-22,33.119999,35.700001,33.119999,35.310001,4284300,33.473267
2009-01-23,34.740002,37.299999,34.130001,37.150002,3270800,35.217555
2009-01-26,37.360001,38.41,36.41,36.880001,2580100,34.9616
2009-01-27,37.060001,39.16,37.040001,38.93,3127200,36.904963
2009-01-28,39.669998,42.279999,39.669998,41.369999,3764400,39.21804
2009-01-29,41.139999,41.189999,39.139999,39.689999,3503100,37.625428
2009-01-30,39.939999,40.009998,37.59,37.93,3027500,35.956981
2009-02-02,36.720001,41.549999,36.060001,40.130001,7410400,38.042543
2009-02-03,40.450001,43.23,39.919998,42.540001,4455900,40.327181
2009-02-04,42.560001,43.02,41.25,41.939999,3563600,39.758389
2009-02-05,41.990002,44.759998,41.990002,44.669998,3677600,42.346381
2009-02-06,44.240002,45.470001,44.169998,44.549999,2983900,42.232625
2009-02-09,44.349998,46.0,44.349998,45.799999,2652300,43.417603
2009-02-10,45.59,46.009998,43.389999,43.560001,3117700,41.294124
2009-02-11,43.16,44.220001,42.459999,43.509998,2529400,41.246722
2009-02-12,42.990002,44.07,41.93,43.950001,2249800,41.663836
2009-02-13,43.75,43.990002,42.389999,42.75,2230400,40.526257
2009-02-17,41.540001,42.5,40.75,42.029999,2358000,39.843708
2009-02-18,42.09,42.419998,40.259998,41.66,2380400,39.492955
2009-02-19,41.869999,42.939999,40.720001,40.93,2385500,38.800928
2009-02-20,40.889999,41.02,39.360001,40.540001,2790500,38.431216
2009-02-23,36.740002,36.860001,30.190001,30.83,14971300,29.226304
2009-02-24,30.969999,32.23,30.299999,31.360001,5090400,29.728735
2009-02-25,31.34,31.5,29.209999,29.360001,5753700,27.83277
2009-02-26,28.860001,28.860001,23.040001,23.639999,14650000,22.410308
2009-02-27,23.67,25.5,22.65,23.67,7998800,22.438748
2009-03-02,22.639999,22.82,19.76,20.0,10079700,18.959652
2009-03-03,20.639999,21.370001,18.65,20.030001,10382700,18.988092
2009-03-04,20.700001,21.709999,20.1,20.99,5598200,19.898155
2009-03-05,20.65,20.65,18.57,18.77,6227000,17.793634
2009-03-06,19.219999,19.84,18.6,19.540001,5648700,18.523581
2009-03-09,19.4,20.82,18.66,19.969999,5687800,18.931212
