Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,11.859998,12.500005,11.859998,12.429998,4486600,9.675429
2009-01-05,12.489996,12.500005,11.909998,12.000001,8006500,9.340722
2009-01-06,12.190004,12.739998,12.119998,12.520001,5745900,9.745487
2009-01-07,12.439996,12.489996,11.580003,11.680003,5991800,9.091638
2009-01-08,11.510006,11.919996,11.000005,11.869996,8859800,9.239527
2009-01-09,11.909998,12.079996,11.360005,11.699999,6122900,9.107203
2009-01-12,11.690001,11.770006,11.110003,11.210004,4528900,8.725794
2009-01-13,11.129999,11.460005,11.000005,11.23,5056200,8.741359
2009-01-14,11.079999,11.079999,10.509999,10.679996,4990500,8.313239
2009-01-15,10.679996,10.860002,9.910005,10.690004,9522300,8.321029
2009-01-16,11.000005,11.110003,10.419996,10.890005,6739100,8.476709
2009-01-20,10.910002,10.989996,9.649995,9.720002,8082500,7.565986
2009-01-21,10.109997,10.690004,9.920003,10.66,8809100,8.297675
2009-01-22,10.800003,11.129999,10.359998,10.779997,10048000,8.391079
2009-01-23,10.700002,11.210004,10.290002,10.829998,6526400,8.429999
2009-01-26,10.929998,11.439999,10.500001,10.729997,4670000,8.352159
2009-01-27,10.82,11.23,10.66,11.160004,5364000,8.686874
2009-01-28,11.33,11.969997,11.28,11.620005,9169600,9.044936
2009-01-29,11.630003,11.630003,10.509999,10.519997,7524500,8.188697
2009-01-30,10.240002,10.340002,9.059999,9.119997,12838300,7.098946
2009-02-02,8.830004,8.830004,7.669998,8.089997,21932900,6.297201
2009-02-03,8.539999,8.539999,8.000004,8.139997,10628800,6.33612
2009-02-04,8.310004,8.33,7.800003,7.900003,8333300,6.149311
2009-02-05,7.960002,8.089997,7.600001,7.800003,10083200,6.071471
2009-02-06,7.960002,8.210004,7.950004,8.000004,10299000,6.227151
2009-02-09,8.100005,8.270002,8.010002,8.120001,8838300,6.320555
2009-02-10,8.139997,8.139997,7.559999,7.740004,17759500,6.024769
2009-02-11,7.66,7.700002,6.529998,7.190001,10575600,5.783455
2009-02-12,6.980001,7.320005,6.920003,7.290001,10842900,5.863893
2009-02-13,7.09,7.270005,6.889998,6.889998,10071800,5.54214
2009-02-17,6.760004,6.760004,6.460002,6.52,11245600,5.244523
2009-02-18,6.529998,6.739998,6.269999,6.47,11047600,5.204304
2009-02-19,6.610003,6.710004,6.190004,6.229996,5573500,5.011251
2009-02-20,6.150002,6.26,5.790001,6.119997,9244400,4.922771
2009-02-23,6.200002,6.200002,5.730003,5.749999,6262100,4.625153
2009-02-24,5.799999,6.529998,5.410005,6.47,12683600,5.204304
2009-02-25,6.439995,6.460002,5.940002,6.019997,9680900,4.842333
2009-02-26,6.279997,6.350003,5.759997,5.830003,9088600,4.689507
2009-02-27,5.690001,6.080005,5.559996,5.690001,11023900,4.576892
2009-03-02,5.489999,5.730003,5.050004,5.120001,10951100,4.118399
2009-03-03,5.239998,5.270002,4.679995,4.740004,20623700,3.812739
2009-03-04,4.850003,4.850003,4.509999,4.630005,14011900,3.724259
2009-03-05,4.580005,4.580005,4.120004,4.170004,8828800,3.354246
2009-03-06,4.280003,4.409998,3.930001,4.09,6676300,3.289892
2009-03-09,4.039999,4.45,3.999997,4.4,10022800,3.539248
2009-03-10,4.519997,4.950004,4.5,4.919999,9811100,3.957523
2009-03-11,5.430001,5.549998,5.160003,5.470003,11250100,4.399932
2009-03-12,5.570004,5.909998,5.430001,5.859998,8769700,4.713634
2009-03-13,6.000001,6.340005,5.940002,6.169997,7616200,4.96299
2009-03-16,6.240004,6.989999,6.240004,6.329997,12534500,5.091689
2009-03-17,6.47,7.390002,6.340005,7.259997,19453200,5.839758
2009-03-18,7.320005,7.819999,6.989999,7.769999,12833400,6.24999
2009-03-19,7.939996,7.989996,7.340002,7.419996,9885300,5.968457
2009-03-20,7.380004,7.569997,6.810004,7.080002,10109100,5.694974
2009-03-23,7.3,8.18,7.159996,8.170002,10783800,6.571742
2009-03-24,7.810001,9.400003,7.779996,9.200002,18667200,7.400249
2009-03-25,9.340005,9.439996,7.719998,8.189997,14924500,6.587826
2009-03-26,8.460005,8.859998,8.23,8.370003,14585100,6.732618
2009-03-27,8.139997,8.320002,7.779996,8.070001,8006700,6.491304
2009-03-30,7.750003,7.750003,7.280003,7.390002,7295400,5.944331
2009-03-31,7.459998,7.66,6.989999,7.04,9731800,5.662797
2009-04-01,6.999997,7.550001,6.799996,7.490003,7881800,6.024768
2009-04-02,7.919999,8.149995,7.800003,8.029998,10516700,6.459127
2009-04-03,8.149995,8.149995,7.600001,7.960002,6997500,6.402824
2009-04-06,7.559999,7.750003,7.030002,7.430005,9436400,5.976507
2009-04-07,7.220005,7.220005,6.83,6.860004,6900700,5.518014
2009-04-08,7.070004,7.3,6.980001,7.170005,7188800,5.76737
2009-04-09,7.550001,7.840005,7.380004,7.819999,6435600,6.290209
2009-04-13,7.740004,7.979998,7.500001,7.879997,4910000,6.33847
2009-04-14,7.829997,7.829997,7.170005,7.220005,7344800,5.807589
2009-04-15,7.750003,9.129995,7.600001,8.8,24536800,7.078497
2009-04-16,9.090004,9.129995,8.399997,8.75,13268700,7.038278
2009-04-17,8.8,9.000001,8.399997,8.819996,10869100,7.094581
2009-04-20,8.499997,8.499997,7.719998,7.760001,8395300,6.241948
2009-04-21,8.060003,8.890002,7.97,8.780004,9632600,7.062412
2009-04-22,8.9,10.099999,8.9,9.439996,13531200,7.593293
2009-04-23,9.849996,9.849996,9.250002,9.620001,8337500,7.738085
2009-04-24,9.639997,11.050005,9.639997,10.860002,13360000,8.73551
2009-04-27,10.559999,10.719998,10.020004,10.490003,12668500,8.437893
2009-04-28,10.180003,10.679996,10.180003,10.409998,7249300,8.373539
2009-04-29,10.650002,11.249996,10.619997,10.900004,9927600,8.767687
2009-04-30,12.119998,12.99,11.790002,12.660004,16256700,10.183387
2009-05-01,12.839999,13.230004,12.720002,13.04,11566900,10.489046
2009-05-04,13.290002,14.480002,13.199999,14.149996,18329400,11.381898
2009-05-05,14.120001,14.139997,13.280004,13.569998,13180700,10.915362
2009-05-06,13.900004,14.260004,13.600002,13.989996,8801500,11.253199
2009-05-07,14.210004,14.430002,12.949998,13.190001,9551500,10.609703
2009-05-08,13.309998,14.360005,13.309998,14.360005,7376200,11.550825
