Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,17.35,18.469999,17.35,18.389999,5909400,17.808533
2009-01-05,18.33,18.65,18.1,18.49,6350800,17.905372
2009-01-06,18.540001,18.84,18.18,18.77,11441400,18.176519
2009-01-07,18.639999,18.83,17.629999,17.82,10060800,17.256556
2009-01-08,17.780001,18.280001,17.549999,18.190001,9362000,17.614858
2009-01-09,18.23,18.27,17.129999,17.639999,9015400,17.082247
2009-01-12,17.690001,17.74,16.75,17.07,5327500,16.53027
2009-01-13,17.129999,17.5,16.530001,16.889999,8527900,16.355961
2009-01-14,16.58,16.66,16.0,16.1,8010800,15.590941
2009-01-15,16.209999,16.559999,15.69,16.35,13382200,15.833036
2009-01-16,16.59,16.65,15.9,16.389999,8731300,15.871771
2009-01-20,16.23,16.469999,15.39,15.43,9352200,14.942125
2009-01-21,15.84,17.040001,15.79,16.969999,16577500,16.433432
2009-01-22,16.42,17.530001,16.42,17.4,16773000,16.849836
2009-01-23,17.139999,17.950001,16.9,17.68,12690400,17.120984
2009-01-26,17.74,18.129999,17.35,17.690001,9514400,17.130668
2009-01-27,17.610001,17.93,17.5,17.790001,8680100,17.227506
2009-01-28,18.129999,18.6,18.02,18.34,11201700,17.760115
2009-01-29,17.93,17.93,16.73,16.969999,20037800,16.433432
2009-01-30,15.38,15.51,13.75,14.16,49747900,13.712281
2009-02-02,13.9,14.66,13.83,14.45,14489500,13.993111
2009-02-03,14.59,14.63,14.03,14.31,16625400,13.857538
2009-02-04,14.45,14.94,14.25,14.65,12153700,14.186787
2009-02-05,14.28,16.440001,14.27,16.0,31866500,15.494102
2009-02-06,16.27,16.83,15.9,16.35,16332400,15.833036
2009-02-09,15.73,16.129999,15.57,15.88,14096600,15.377897
2009-02-10,15.8,16.639999,15.55,15.65,15524400,15.155169
2009-02-11,15.79,15.96,15.43,15.55,8854800,15.058331
2009-02-12,15.27,15.47,14.98,15.45,10124300,14.961493
2009-02-13,15.37,15.66,15.15,15.41,6532500,14.922757
2009-02-17,15.0,15.2,14.9,14.9,8197700,14.428883
2009-02-18,15.1,15.25,14.6,14.71,8261700,14.244891
2009-02-19,15.05,15.08,14.67,14.81,14044900,14.341729
2009-02-20,14.72,14.9,14.44,14.68,10517500,14.215839
2009-02-23,14.81,14.98,14.32,14.35,11318600,13.896274
2009-02-24,14.45,15.24,14.13,14.95,18735800,14.477302
2009-02-25,14.74,15.09,14.09,14.71,14131200,14.244891
2009-02-26,14.49,15.13,14.15,14.25,10056200,13.799435
2009-02-27,14.44,14.65,14.01,14.21,12327000,13.7607
2009-03-02,14.19,14.19,13.47,13.49,11976100,13.063465
2009-03-03,13.51,13.79,13.2,13.33,17304800,12.908524
2009-03-04,13.51,14.05,13.5,13.79,17145700,13.35398
2009-03-05,13.62,13.62,13.06,13.43,17131200,13.005363
2009-03-06,13.28,13.47,12.43,12.67,19648300,12.269392
2009-03-09,12.55,13.43,12.51,12.68,12222600,12.279077
2009-03-10,13.16,13.9,13.06,13.76,17042800,13.324928
2009-03-11,13.84,14.55,13.56,14.31,19020600,13.857538
2009-03-12,14.3,14.78,13.73,14.77,20492200,14.302994
2009-03-13,14.77,14.95,14.47,14.74,14539400,14.273942
2009-03-16,14.99,15.0,14.6,14.64,10957700,14.177104
2009-03-17,14.63,15.39,14.56,15.39,12377800,14.90339
2009-03-18,15.15,16.030001,15.1,15.55,16486300,15.058331
2009-03-19,15.75,15.97,15.46,15.65,15941600,15.155169
2009-03-20,15.41,15.84,14.88,15.09,19088900,14.612876
2009-03-23,15.35,16.5,15.31,16.5,20693800,15.978293
2009-03-24,16.389999,16.639999,15.93,15.99,13186700,15.484418
2009-03-25,16.040001,16.08,15.16,15.65,16896100,15.155169
2009-03-26,15.96,16.49,15.82,16.360001,18324600,15.84272
2009-03-27,15.78,16.16,15.52,15.82,11261500,15.319794
2009-03-30,15.45,15.47,14.88,15.12,14737400,14.641927
2009-03-31,15.32,15.48,14.97,15.05,21029600,14.57414
2009-04-01,15.02,15.92,14.75,15.78,16192900,15.281058
2009-04-02,15.86,17.27,15.84,16.940001,22155200,16.404382
2009-04-03,17.01,17.190001,16.58,17.030001,12687100,16.491536
2009-04-06,16.360001,16.51,15.89,16.059999,19295100,15.552205
2009-04-07,15.73,16.34,15.6,15.62,20750000,15.126117
2009-04-08,17.370001,17.91,16.75,17.51,30880500,16.956359
2009-04-09,17.84,18.57,17.73,18.34,14186000,17.760115
2009-04-13,18.120001,18.290001,17.799999,18.01,11225400,17.440549
2009-04-14,17.790001,18.370001,17.65,18.120001,14118100,17.547072
2009-04-15,17.99,18.66,17.940001,18.370001,9119300,17.789167
2009-04-16,18.57,19.32,18.450001,19.190001,13149800,18.58324
2009-04-17,18.9,18.9,18.23,18.49,15445500,17.905372
2009-04-20,18.01,18.139999,17.549999,17.66,12325600,17.101615
2009-04-21,17.75,18.370001,17.59,18.309999,13422100,17.731063
2009-04-22,18.15,19.299999,18.0,18.790001,14448000,18.195887
2009-04-23,18.940001,19.35,18.040001,19.26,20962200,18.651026
2009-04-24,21.299999,22.43,21.08,22.33,37061600,21.623957
2009-04-27,21.709999,22.0,21.299999,21.370001,15079300,20.694311
2009-04-28,20.959999,21.48,20.75,20.879999,15168700,20.219803
2009-04-29,21.1,21.690001,20.690001,21.27,14338000,20.597473
2009-04-30,21.43,22.35,21.389999,21.65,12165800,20.965457
2009-05-01,21.799999,22.33,21.15,22.16,10394900,21.459332
2009-05-04,22.18,22.459999,21.73,22.33,9541000,21.623957
2009-05-05,22.43,23.110001,22.299999,23.040001,13876400,22.311508
2009-05-06,23.299999,23.41,22.66,22.99,18231000,22.263088
2009-05-07,22.6,22.799999,21.02,21.299999,19019500,20.626523
2009-05-08,21.690001,21.91,21.139999,21.85,12385300,21.159134
2009-05-11,21.549999,21.610001,20.950001,21.25,8810600,20.578105
2009-05-12,21.299999,21.92,20.98,21.73,12353400,21.042927
2009-05-13,21.610001,22.120001,21.120001,21.23,12701700,20.558737
2009-05-14,21.32,21.66,21.26,21.540001,6248200,20.858936
2009-05-15,21.309999,21.799999,21.26,21.559999,6572200,20.878303
2009-05-18,21.559999,22.309999,21.370001,22.27,7339300,21.565854
2009-05-19,22.1,22.940001,22.040001,22.610001,4596000,21.895104
2009-05-20,22.92,23.52,22.67,22.870001,9040200,22.146884
2009-05-21,23.08,23.84,22.9,23.309999,13390400,22.57297
2009-05-22,23.1,23.5,23.1,23.190001,7378000,22.456765
2009-05-26,22.870001,24.27,22.870001,24.02,10982500,23.260522
2009-05-27,24.110001,24.67,23.92,24.139999,13783700,23.376727
2009-05-28,24.25,24.969999,24.23,24.879999,11440800,24.093329
2009-05-29,24.9,25.24,24.379999,24.73,16601700,23.948072
2009-06-01,24.66,25.440001,24.4,25.34,12286700,24.538785
2009-06-02,24.49,24.76,23.76,23.82,20225200,23.066845
2009-06-03,23.49,24.200001,23.4,23.9,14467600,23.144315
2009-06-04,23.93,24.35,23.73,24.129999,7646100,23.367042
2009-06-05,24.209999,24.68,24.0,24.1,8911400,23.337992
2009-06-08,23.76,23.99,23.18,23.700001,10226500,22.95064
2009-06-09,24.0,24.32,23.790001,24.219999,8509100,23.454197
2009-06-10,24.299999,24.49,23.459999,23.790001,11997100,23.037795
2009-06-11,23.530001,24.190001,23.530001,23.879999,9635400,23.124947
2009-06-12,23.58,23.93,23.43,23.870001,6591900,23.115265
2009-06-15,23.549999,23.790001,23.299999,23.68,7178900,22.931272
2009-06-16,23.530001,23.82,23.040001,23.09,10766600,22.359927
2009-06-17,22.9,23.17,22.299999,22.870001,17801200,22.146884
2009-06-18,22.870001,23.030001,22.16,22.35,11966200,21.643325
