Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,8.09,9.01,7.78,8.95,2266900,7.736831
2009-01-05,8.82,9.42,8.73,8.99,2176500,7.771409
2009-01-06,9.1,9.76,8.89,9.66,2410100,8.350591
2009-01-07,9.3,9.49,8.75,8.87,2285000,7.667675
2009-01-08,8.91,8.94,8.51,8.72,2424600,7.538008
2009-01-09,8.73,9.11,8.34,8.69,2242200,7.512074
2009-01-12,8.67,8.67,7.9,8.17,2229000,7.06256
2009-01-13,8.08,8.39,7.3,7.88,3743300,6.81187
2009-01-14,7.6,7.63,6.98,7.08,3316200,6.120309
2009-01-15,7.06,7.2,6.26,6.74,4677800,5.826396
2009-01-16,6.99,7.31,6.23,6.62,3765000,5.722662
2009-01-20,6.27,6.59,5.57,5.62,3636800,4.858211
2009-01-21,6.21,7.06,5.34,5.91,4355700,5.108902
2009-01-22,5.67,6.26,5.03,5.52,5106200,4.771766
2009-01-23,5.26,5.47,5.06,5.32,6315500,4.598877
2009-01-26,5.5,5.51,4.85,5.04,3395400,4.35683
2009-01-27,5.17,5.48,5.09,5.42,5906600,4.685322
2009-01-28,5.8,6.2,5.63,6.17,3690200,5.333659
2009-01-29,6.04,6.04,5.48,5.5,2375700,4.754478
2009-01-30,5.53,5.61,5.03,5.25,2718600,4.538365
2009-02-02,5.1,5.5,5.01,5.37,2032100,4.642099
2009-02-03,5.4,5.57,5.24,5.46,2364800,4.7199
2009-02-04,5.53,6.03,5.35,5.45,3207200,4.711255
2009-02-05,5.4,5.97,5.3,5.81,3259400,5.022457
2009-02-06,5.95,6.68,5.84,6.63,4644400,5.731307
2009-02-09,6.68,6.79,6.32,6.59,2862500,5.696729
2009-02-10,6.47,6.59,5.41,5.5,5700400,4.754478
2009-02-11,5.56,5.76,5.39,5.74,3883100,4.961945
2009-02-12,5.52,5.85,5.44,5.82,3637200,5.031102
2009-02-13,5.76,5.96,5.58,5.71,2700000,4.936012
2009-02-17,5.25,5.65,5.18,5.2,4334600,4.495142
2009-02-18,5.26,5.43,4.88,5.08,2664400,4.391408
2009-02-19,5.26,5.45,4.71,4.73,2787800,4.088851
2009-02-20,4.5,4.79,4.25,4.54,4290700,3.924605
2009-02-23,4.42,4.67,3.73,3.99,7385200,3.449157
2009-02-24,4.03,4.81,3.82,4.58,7658500,3.959183
2009-02-25,4.52,5.16,4.46,4.89,5737300,4.227163
2009-02-26,5.03,5.09,4.64,4.67,5514200,4.036984
2009-02-27,4.25,4.69,4.21,4.41,8509200,3.812226
2009-03-02,4.38,4.41,3.95,3.95,5804300,3.414579
2009-03-03,4.06,4.44,3.96,4.12,5184400,3.561536
2009-03-04,4.32,5.04,4.22,4.7,7279800,4.062917
2009-03-05,4.58,4.72,4.11,4.26,4517700,3.682559
2009-03-06,4.28,4.38,4.05,4.34,6080300,3.751715
2009-03-09,4.48,4.55,4.04,4.19,5704900,3.622047
2009-03-10,4.34,4.48,4.19,4.42,6447700,3.820871
2009-03-11,4.52,4.75,4.24,4.64,4614200,4.01105
2009-03-12,4.57,5.02,4.45,4.97,4595500,4.296319
2009-03-13,4.75,5.36,4.7,5.29,4510200,4.572943
2009-03-16,5.39,5.66,5.06,5.1,4937000,4.408697
2009-03-17,5.05,5.27,4.71,5.24,3869800,4.52972
2009-03-18,5.16,6.36,4.84,5.94,7652000,5.134836
2009-03-19,6.08,6.25,5.56,5.7,6020800,4.927367
2009-03-20,5.63,5.94,5.32,5.46,4412500,4.7199
2009-03-23,5.68,7.2,5.68,7.04,6921000,6.085731
2009-03-24,6.87,7.36,6.57,6.68,6358300,5.774529
2009-03-25,6.76,7.21,6.16,6.82,5559900,5.895552
2009-03-26,6.48,7.27,6.48,7.25,4554300,6.267266
2009-03-27,6.98,7.1,6.67,6.8,4069400,5.878263
2009-03-30,6.17,6.57,6.04,6.09,3319500,5.264503
2009-03-31,6.31,6.76,6.12,6.65,4000400,5.748596
2009-04-01,6.48,7.09,6.35,6.92,2765400,5.981997
2009-04-02,7.21,7.74,7.21,7.4,4535000,6.396933
2009-04-03,7.44,7.58,7.1,7.56,3904300,6.535245
2009-04-06,7.38,7.51,7.2,7.36,2716400,6.362355
2009-04-07,7.13,7.13,6.52,6.56,4789100,5.670795
2009-04-08,6.57,6.8,6.47,6.71,2901100,5.800463
2009-04-09,7.18,8.2,6.98,8.18,4846800,7.071205
2009-04-13,8.0,8.79,7.65,8.63,4883300,7.460208
2009-04-14,8.44,8.57,7.95,8.02,5323800,6.932893
2009-04-15,7.98,8.37,7.59,8.33,4156500,7.200872
2009-04-16,8.43,8.57,8.04,8.33,4233400,7.200872
2009-04-17,8.31,8.84,8.11,8.65,4889200,7.477496
2009-04-20,8.3,8.41,7.8,7.87,5245300,6.803225
2009-04-21,7.55,8.57,7.47,8.55,6028700,7.391052
2009-04-22,8.17,9.31,8.08,8.79,6586800,7.598519
2009-04-23,8.87,9.72,8.8,9.46,6495800,8.177701
2009-04-24,9.57,9.75,8.95,9.58,6785000,8.281435
2009-04-27,9.33,9.45,9.04,9.21,5273100,7.961589
2009-04-28,8.97,9.54,8.97,9.3,3915700,8.039389
2009-04-29,9.32,10.06,9.23,9.9,3535600,8.558059
2009-04-30,10.11,10.8,9.98,10.03,3879000,8.670438
2009-05-01,10.82,11.0,9.53,9.61,4361500,8.307369
2009-05-04,9.9,11.31,9.78,11.28,7026600,9.751001
2009-05-05,11.24,11.61,10.6,10.72,5863800,9.266909
2009-05-06,11.06,11.33,10.7,11.19,4365100,9.6732
2009-05-07,11.45,11.5,10.26,10.35,3489700,8.947063
2009-05-08,10.43,11.93,10.43,11.93,4682700,10.312894
2009-05-11,11.5,11.5,10.74,10.81,5030300,9.34471
2009-05-12,10.39,10.74,9.54,10.09,5075300,8.722305
2009-05-13,9.7,9.77,8.8,8.96,5740400,7.776304
2009-05-14,8.96,9.5,8.84,9.21,4974300,7.993277
2009-05-15,9.03,9.2,8.55,8.62,4042300,7.481221
2009-05-18,8.85,10.25,8.82,10.16,6466800,8.817773
2009-05-19,10.24,10.59,9.99,10.09,4961200,8.757021
2009-05-20,10.35,10.5,9.56,9.63,4512800,8.357791
2009-05-21,9.35,9.76,9.13,9.52,2810100,8.262323
2009-05-22,9.6,9.68,9.24,9.31,2349800,8.080066
2009-05-26,9.22,9.59,8.88,9.55,3697500,8.28836
2009-05-27,9.6,9.79,9.27,9.33,4271300,8.097424
2009-05-28,9.56,9.77,9.25,9.69,3169900,8.409864
2009-05-29,9.77,10.15,9.58,10.14,2393100,8.800416
2009-06-01,10.28,11.0,10.27,10.82,3050200,9.390581
2009-06-02,10.75,11.04,10.49,10.72,2219000,9.303793
2009-06-03,10.59,10.69,10.24,10.5,2326500,9.112856
2009-06-04,10.6,11.39,10.5,11.36,3422000,9.859242
2009-06-05,11.37,12.13,11.24,11.8,4730000,10.241115
2009-06-08,11.55,11.77,11.17,11.43,2288400,9.919995
2009-06-09,11.43,11.77,11.42,11.62,1571100,10.084894
2009-06-10,11.8,11.95,11.45,11.76,4309800,10.206399
2009-06-11,11.89,12.48,11.89,12.37,3008400,10.735812
2009-06-12,12.33,12.46,11.95,12.28,2806400,10.657702
2009-06-15,12.03,12.24,11.78,12.2,2361800,10.588271
2009-06-16,12.3,12.43,11.24,11.54,4279900,10.015463
2009-06-17,11.47,11.68,11.01,11.28,2603500,9.789811
2009-06-18,11.35,11.95,11.22,11.46,3371800,9.946032
2009-06-19,11.63,12.48,11.59,11.69,2427800,10.145646
2009-06-22,11.68,11.68,10.37,10.37,4242100,9.00003
2009-06-23,10.43,10.92,10.25,10.72,3888100,9.303793
