Date,Open,High,Low,Close,Volume,Adj Close
2009-01-07,0.14,0.15,0.14,0.15,3000,0.104
2009-01-27,0.12,0.14,0.12,0.14,100,0.097
2009-01-28,0.12,0.14,0.12,0.14,1000,0.097
2009-02-04,0.13,0.13,0.13,0.13,1000,0.09
2009-02-05,0.14,0.15,0.14,0.15,20000,0.104
2009-02-18,0.13,0.15,0.12,0.12,25500,0.083
2009-02-19,0.13,0.13,0.13,0.13,1100,0.09
2009-02-23,0.14,0.14,0.14,0.14,100,0.097
2009-03-04,0.12,0.14,0.12,0.14,100,0.097
2009-03-24,0.12,0.14,0.12,0.14,700,0.097
2009-04-02,0.13,0.14,0.13,0.14,100,0.097
2009-04-03,0.13,0.14,0.13,0.14,5000,0.097
2009-04-06,0.13,0.14,0.13,0.14,1000,0.097
2009-04-07,0.14,0.15,0.14,0.15,19000,0.104
2009-04-08,0.12,0.15,0.12,0.15,400,0.104
2009-04-09,0.12,0.14,0.12,0.14,3000,0.097
2009-04-14,0.15,0.15,0.15,0.15,0,0.104
2009-04-15,0.14,0.14,0.14,0.14,2000,0.097
2009-04-23,0.12,0.12,0.12,0.12,0,0.083
2009-04-24,0.13,0.14,0.13,0.14,6000,0.097
2009-05-06,0.13,0.14,0.13,0.14,2300,0.097
2009-05-07,0.14,0.14,0.14,0.14,25000,0.097
2009-05-08,0.13,0.14,0.13,0.14,7700,0.097
2009-05-11,0.13,0.14,0.13,0.14,19600,0.097
2009-05-12,0.13,0.14,0.13,0.14,1000,0.097
2009-05-18,0.13,0.14,0.13,0.14,800,0.097
2009-05-19,0.13,0.14,0.13,0.14,3100,0.097
2009-05-21,0.13,0.14,0.13,0.14,67200,0.097
2009-05-22,0.13,0.14,0.13,0.14,1200,0.097
2009-05-25,0.13,0.14,0.13,0.14,10000,0.097
2009-05-27,0.13,0.14,0.13,0.14,5000,0.097
2009-05-28,0.12,0.12,0.12,0.12,0,0.083
2009-05-29,0.13,0.13,0.12,0.13,10300,0.09
2009-06-01,0.14,0.14,0.14,0.14,0,0.097
2009-06-02,0.13,0.14,0.13,0.14,17900,0.097
2009-06-03,0.13,0.14,0.13,0.13,100,0.09
2009-06-04,0.12,0.14,0.12,0.14,4900,0.097
2009-06-11,0.13,0.14,0.13,0.14,3000,0.097
2009-06-17,0.13,0.14,0.12,0.14,8000,0.097
2009-06-19,0.13,0.14,0.13,0.13,500,0.09
2009-06-23,0.14,0.14,0.14,0.14,100,0.097
2009-06-25,0.13,0.14,0.13,0.14,200,0.097
2009-06-26,0.13,0.14,0.13,0.14,1800,0.097
2009-06-30,0.13,0.14,0.13,0.13,600,0.09
2009-07-01,0.14,0.14,0.12,0.14,15800,0.097
2009-07-02,0.13,0.14,0.13,0.14,3400,0.097
2009-07-06,0.12,0.14,0.12,0.14,500,0.097
2009-07-07,0.12,0.14,0.12,0.14,500,0.097
2009-07-08,0.12,0.12,0.12,0.12,2000,0.083
2009-07-09,0.13,0.13,0.13,0.13,0,0.09
2009-07-10,0.12,0.14,0.12,0.14,12500,0.097
2009-07-15,0.13,0.13,0.13,0.13,500,0.09
2009-07-16,0.13,0.13,0.13,0.13,500,0.09
2009-07-17,0.14,0.14,0.14,0.14,200,0.097
2009-07-20,0.13,0.13,0.13,0.13,0,0.09
2009-07-21,0.13,0.14,0.13,0.14,10300,0.097
2009-07-27,0.13,0.14,0.13,0.14,500,0.097
2009-07-28,0.13,0.13,0.13,0.13,0,0.09
2009-07-29,0.13,0.13,0.13,0.13,4000,0.09
2009-08-04,0.13,0.13,0.13,0.13,10000,0.09
2009-08-06,0.13,0.13,0.13,0.13,100,0.09
2009-08-07,0.13,0.13,0.13,0.13,100,0.09
2009-08-11,0.12,0.12,0.12,0.12,2500,0.083
2009-08-13,0.13,0.13,0.13,0.13,0,0.09
2009-08-24,0.12,0.13,0.12,0.13,20000,0.09
2009-08-25,0.12,0.13,0.12,0.13,29200,0.09
2009-08-26,0.12,0.12,0.12,0.12,100,0.083
2009-08-27,0.13,0.13,0.13,0.13,500,0.09
2009-09-01,0.12,0.13,0.12,0.13,8500,0.09
2009-09-04,0.12,0.13,0.12,0.13,500,0.09
2009-09-22,0.13,0.13,0.12,0.13,3400,0.09
2009-09-28,0.13,0.14,0.13,0.14,41800,0.097
2009-09-30,0.12,0.12,0.12,0.12,4100,0.083
2009-10-06,0.13,0.13,0.13,0.13,500,0.09
2009-10-08,0.12,0.14,0.12,0.14,37800,0.097
2009-10-09,0.13,0.13,0.13,0.13,3200,0.09
2009-10-12,0.14,0.15,0.13,0.15,28600,0.104
2009-10-13,0.14,0.16,0.14,0.16,11300,0.11
2009-10-15,0.16,0.17,0.15,0.16,11200,0.11
2009-10-16,0.16,0.16,0.15,0.16,1900,0.11
2009-10-22,0.14,0.15,0.14,0.15,5000,0.104
2009-10-29,0.14,0.15,0.14,0.15,5000,0.104
2009-11-11,0.14,0.14,0.14,0.14,1700,0.097
2009-11-16,0.13,0.14,0.13,0.14,700,0.097
2009-11-19,0.13,0.13,0.13,0.13,0,0.09
2009-11-20,0.12,0.13,0.12,0.12,43400,0.083
2009-11-24,0.12,0.13,0.12,0.12,45600,0.083
2009-11-25,0.12,0.12,0.12,0.12,10000,0.083
2009-11-26,0.12,0.12,0.11,0.11,30000,0.076
2009-12-02,0.13,0.13,0.13,0.13,3500,0.09
2009-12-16,0.11,0.11,0.11,0.11,0,0.076
2009-12-18,0.13,0.13,0.13,0.13,300,0.09
2009-12-23,0.12,0.12,0.12,0.12,2500,0.083
2009-12-28,0.12,0.12,0.12,0.12,5000,0.083
