Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,36.32,37.720001,35.77,37.560001,3423200,32.086834
2009-01-05,37.18,37.919998,36.77,37.560001,5191400,32.086834
2009-01-06,37.939999,39.470001,37.299999,39.209999,6553600,33.496397
2009-01-07,38.650002,38.959999,37.189999,37.73,5933400,32.23206
2009-01-08,38.650002,39.540001,36.720001,39.330002,8657600,33.598913
2009-01-09,39.490002,39.5,37.16,37.290001,6920800,31.856177
2009-01-12,37.119999,37.68,36.290001,36.73,4079200,31.377778
2009-01-13,36.490002,37.689999,36.0,36.450001,5135100,31.13858
2009-01-14,35.810001,36.130001,35.049999,35.669998,4873000,30.472238
2009-01-15,36.330002,38.27,35.57,37.689999,6232400,32.197888
2009-01-16,38.43,38.459999,37.16,38.150002,5524800,32.59086
2009-01-20,37.939999,38.25,35.669998,35.98,5058100,30.737067
2009-01-21,36.66,37.810001,35.810001,37.650002,6911400,32.163719
2009-01-22,36.59,38.48,36.52,37.68,4598000,32.189347
2009-01-23,36.959999,38.75,36.700001,38.099998,4291800,32.548144
2009-01-26,38.220001,39.740002,38.0,38.869999,5135800,33.205941
2009-01-27,38.279999,39.0,36.990002,37.52,7270000,32.052662
2009-01-28,38.209999,39.119999,38.209999,38.75,5099900,33.103428
2009-01-29,38.48,39.32,37.529999,37.77,4937900,32.266232
2009-01-30,38.200001,38.299999,36.439999,36.709999,4068400,31.360692
2009-02-02,36.130001,38.02,36.060001,37.18,6664000,31.762206
2009-02-03,37.580002,39.279999,37.009998,38.599998,7786500,32.975285
2009-02-04,38.099998,38.580002,36.880001,36.950001,7733600,31.565721
2009-02-05,38.0,39.18,37.360001,38.200001,8530300,32.633574
2009-02-06,38.16,39.279999,38.049999,38.48,6672600,32.872772
2009-02-09,38.369999,38.75,37.720001,38.360001,4260700,32.770259
2009-02-10,38.060001,38.360001,37.009998,37.360001,6159200,31.915977
2009-02-11,37.66,38.349998,36.860001,37.93,5503000,32.402917
2009-02-12,35.610001,36.599998,35.0,36.540001,12176100,31.215466
2009-02-13,36.240002,37.549999,36.060001,36.130001,6277900,30.86521
2009-02-17,35.139999,35.650002,34.540001,35.029999,6890300,29.925498
2009-02-18,35.25,36.110001,33.950001,34.240002,8440500,29.250618
2009-02-19,34.310001,35.599998,34.189999,34.709999,7095400,29.652128
2009-02-20,34.09,35.459999,33.93,34.84,7976900,29.763186
2009-02-23,35.32,35.790001,33.720001,33.959999,7452400,29.011417
2009-02-24,34.23,35.82,34.029999,35.52,7177300,30.344098
2009-02-25,35.23,36.130001,34.400002,35.25,7700900,30.113441
2009-02-26,35.740002,36.330002,34.59,34.700001,7577200,29.643587
2009-02-27,32.529999,35.599998,32.5,35.139999,14313000,30.01947
2009-03-02,34.869999,35.810001,34.330002,34.689999,8557400,29.635042
2009-03-03,34.810001,35.310001,33.869999,34.360001,8625400,29.353131
2009-03-04,34.880001,36.48,34.650002,35.810001,8011800,30.59184
2009-03-05,35.68,36.689999,34.75,35.709999,10807600,30.50641
2009-03-06,35.529999,35.93,33.360001,34.5,9311800,29.47273
2009-03-09,34.040001,35.25,33.259998,33.580002,6420500,28.686792
2009-03-10,34.68,37.139999,34.599998,37.0,10987100,31.608435
2009-03-11,37.009998,37.630001,36.529999,37.240002,8651900,31.813464
2009-03-12,37.240002,38.529999,36.5,38.349998,7669400,32.761714
2009-03-13,38.259998,38.639999,37.389999,38.220001,7521900,32.65066
2009-03-16,38.18,38.759998,37.290001,37.400002,6343800,31.950149
2009-03-17,38.34,39.700001,38.220001,39.700001,12578700,33.914997
2009-03-18,39.380001,42.18,39.02,41.09,10198600,35.102448
2009-03-19,41.560001,41.98,40.330002,41.169998,7770700,35.170789
2009-03-20,41.060001,41.380001,39.830002,40.48,7739000,34.581336
2009-03-23,41.470001,42.759998,40.599998,42.700001,6847900,36.477843
2009-03-24,42.209999,42.990002,41.599998,42.779999,8974700,36.546184
2009-03-25,42.52,43.32,39.790001,41.139999,12663400,35.145162
2009-03-26,41.619999,43.349998,41.360001,43.040001,10492500,36.768299
2009-03-27,42.799999,43.5,42.25,43.139999,7334600,36.853726
2009-03-30,42.040001,42.59,40.880001,41.630001,7388500,35.563761
2009-03-31,41.700001,43.150002,40.580002,42.32,7541700,36.153215
2009-04-01,41.630001,44.150002,41.43,43.59,9796000,37.238153
2009-04-02,44.560001,46.169998,44.400002,45.099998,7889300,38.528118
2009-04-03,45.049999,45.619999,44.700001,45.310001,5507100,38.70752
2009-04-06,44.869999,45.889999,44.48,45.799999,6523300,39.126116
2009-04-07,45.27,45.34,43.209999,43.66,6799800,37.297953
2009-04-08,44.040001,45.290001,44.02,45.119999,6932900,38.545204
2009-04-09,45.150002,45.91,44.240002,45.400002,8166500,38.784405
2009-04-13,45.07,45.139999,43.810001,44.619999,5101900,38.118063
2009-04-14,43.77,44.689999,43.310001,44.400002,4801700,37.930123
2009-04-15,43.889999,44.41,43.049999,43.869999,5178300,37.477351
2009-04-16,44.099998,45.66,43.869999,45.02,4582200,38.459777
2009-04-17,44.84,45.279999,44.580002,44.779999,4918600,38.254748
2009-04-20,43.880001,43.950001,42.389999,43.029999,3912400,36.759754
2009-04-21,42.889999,44.209999,42.52,43.959999,4201700,37.554237
2009-04-22,43.450001,46.5,43.080002,44.849998,5483000,38.314547
2009-04-23,44.91,45.299999,43.060001,44.299999,4967900,37.844693
2009-04-24,44.509998,46.330002,44.299999,45.43,5157500,38.810032
2009-04-27,44.560001,45.799999,44.299999,44.860001,4334800,38.323092
2009-04-28,44.310001,45.529999,43.59,43.82,5716700,37.434638
2009-04-29,44.209999,44.82,43.240002,43.73,5388700,37.357752
2009-04-30,44.139999,45.669998,43.869999,45.349998,5633300,38.741688
2009-05-01,45.099998,45.099998,42.299999,42.560001,7035600,36.358244
2009-05-04,42.959999,44.790001,42.450001,43.77,6620900,37.391924
2009-05-05,43.509998,45.560001,43.369999,44.279999,6671200,37.827607
2009-05-06,44.700001,45.990002,42.939999,43.73,6758300,37.357752
2009-05-07,45.02,45.75,43.700001,44.25,9081700,37.801979
2009-05-08,44.459999,45.189999,43.0,43.900002,5785600,37.502982
2009-05-11,43.200001,45.419998,43.09,44.84,5936000,38.306006
2009-05-12,44.900002,45.27,43.27,44.009998,4911700,37.59695
2009-05-13,43.110001,43.189999,41.84,41.950001,6656200,35.837131
2009-05-14,41.939999,43.950001,40.970001,41.240002,9380000,35.230592
2009-05-15,41.84,42.470001,40.950001,41.330002,7358500,35.307478
2009-05-18,41.84,42.790001,41.650002,42.77,4407900,36.537642
2009-05-19,42.560001,44.360001,42.439999,43.82,4856800,37.434638
2009-05-20,44.299999,45.25,41.93,42.189999,5726300,36.042157
2009-05-21,41.740002,42.700001,40.919998,41.27,5905900,35.256219
2009-05-22,41.450001,41.630001,40.700001,40.939999,5247200,34.974305
2009-05-26,41.02,43.889999,40.720001,43.799999,6857300,37.417552
2009-05-27,43.720001,44.41,42.950001,43.040001,5612600,36.768299
2009-05-28,43.470001,43.970001,41.57,41.98,8578800,35.862759
2009-05-29,42.200001,42.990002,41.32,42.470001,7072400,36.281358
2009-06-01,43.810001,46.919998,43.48,46.48,10572800,39.707028
2009-06-02,46.099998,47.77,46.0,47.0,6655200,40.151255
2009-06-03,46.459999,46.919998,45.799999,46.650002,4960100,39.852258
2009-06-04,46.779999,46.82,45.310001,45.849998,5822900,39.168829
2009-06-05,46.400002,47.099998,45.290001,45.970001,3639300,39.271346
2009-06-08,45.43,46.610001,45.099998,46.25,3177100,39.510543
2009-06-09,46.200001,47.099998,46.200001,46.669998,3026300,39.86934
2009-06-10,47.27,47.799999,46.220001,46.830002,4670200,40.006029
2009-06-11,46.630001,47.25,45.869999,45.919998,4900100,39.228629
2009-06-12,46.330002,46.68,45.150002,46.59,3469400,39.801
2009-06-15,45.98,46.080002,44.919998,45.650002,2932300,38.997976
2009-06-16,45.580002,45.580002,43.66,44.0,4554600,37.588409
2009-06-17,44.009998,44.91,43.25,44.259998,5071300,37.810521
2009-06-18,44.040001,44.279999,43.009998,43.689999,6167600,37.32358
2009-06-19,43.990002,44.169998,43.400002,43.740002,5096700,37.366297
2009-06-22,43.599998,43.82,42.470001,43.439999,4606100,37.11001
2009-06-23,43.57,44.0,42.470001,42.75,3607100,36.520556
2009-06-24,43.200001,44.130001,43.029999,43.450001,3049400,37.118554
2009-06-25,43.450001,44.779999,43.23,44.43,4024700,37.95575
2009-06-26,44.349998,45.09,43.77,44.099998,4378500,37.673836
2009-06-29,44.240002,44.400002,43.200001,43.41,5546100,37.084382
2009-06-30,43.450001,43.73,42.279999,42.75,5287000,36.520556
2009-07-01,43.240002,43.610001,42.470001,42.59,3593100,36.383871
2009-07-02,42.240002,42.450001,41.25,41.25,4224400,35.239133
2009-07-06,40.869999,42.799999,40.639999,42.68,7372200,36.460757
2009-07-07,43.700001,43.799999,42.209999,42.299999,5296700,36.136129
2009-07-08,42.560001,43.470001,42.349998,43.349998,7438800,37.033124
2009-07-09,43.66,44.299999,42.41,43.02,4921100,36.751213
2009-07-10,42.669998,43.599998,42.389999,42.720001,2714000,36.494929
2009-07-13,42.869999,43.860001,42.099998,43.84,3364100,37.451724
2009-07-14,43.799999,44.669998,43.240002,44.470001,3082200,37.989923
2009-07-15,45.060001,45.990002,44.740002,45.939999,4781000,39.245715
2009-07-16,45.970001,46.259998,45.09,46.060001,3236000,39.348231
2009-07-17,46.040001,46.32,45.610001,46.259998,3351100,39.519085
2009-07-20,46.43,48.490002,46.32,48.360001,5216400,41.313079
2009-07-21,48.490002,48.490002,47.130001,47.82,3615400,40.851766
2009-07-22,47.5,48.82,47.5,48.32,2925100,41.278907
2009-07-23,48.360001,49.889999,47.580002,48.98,4483200,41.842733
2009-07-24,48.740002,49.439999,48.119999,49.099998,2812600,41.945246
2009-07-27,48.900002,49.310001,48.349998,49.16,2371100,41.996504
2009-07-28,48.93,49.77,48.380001,49.610001,4627800,42.380932
2009-07-29,49.110001,50.240002,49.029999,49.52,3581000,42.304046
2009-07-30,49.98,50.389999,49.279999,49.400002,3287800,42.201533
2009-07-31,49.09,49.959999,48.439999,48.549999,4178800,41.475391
2009-08-03,48.98,50.060001,48.540001,50.02,4075600,42.731187
2009-08-04,49.990002,50.450001,48.950001,49.360001,4232500,42.167361
2009-08-05,49.740002,49.830002,48.43,49.509998,3420600,42.295501
2009-08-06,50.040001,51.419998,49.09,51.02,7998900,43.585469
2009-08-07,51.470001,53.849998,51.009998,53.509998,6378200,45.71263
2009-08-10,53.23,53.23,51.790001,52.529999,4290600,44.875434
2009-08-11,52.07,53.209999,51.709999,52.509998,3127900,44.858348
2009-08-12,52.450001,52.740002,51.790001,52.27,3003100,44.653322
2009-08-13,50.75,52.860001,50.0,52.389999,8233000,44.755835
2009-08-14,52.25,52.959999,51.439999,51.73,3875300,44.192009
2009-08-17,51.169998,51.169998,50.439999,50.599998,3689900,43.226669
2009-08-18,50.73,51.560001,50.57,51.389999,3391300,43.901553
2009-08-19,50.639999,51.59,50.529999,51.470001,4069800,43.969897
2009-08-20,51.279999,51.66,51.060001,51.52,3575000,44.01261
2009-08-21,51.759998,52.82,51.619999,52.360001,2698800,44.730207
2009-08-24,52.43,52.48,51.52,51.630001,2848400,44.106582
2009-08-25,52.130001,53.490002,51.369999,52.990002,5055400,45.268406
2009-08-26,52.790001,53.740002,52.509998,52.939999,2933200,45.225689
2009-08-27,52.849998,53.330002,52.049999,53.099998,2559800,45.362374
2009-08-28,53.560001,53.560001,52.130001,52.549999,2844200,44.89252
2009-08-31,52.389999,52.389999,51.27,51.59,2604700,44.07241
2009-09-01,51.669998,52.91,50.880001,51.040001,5016100,43.602555
2009-09-02,51.080002,52.150002,51.060001,51.860001,4949800,44.303066
2009-09-03,52.470001,54.110001,52.169998,54.009998,5250900,46.139771
2009-09-04,54.110001,54.84,53.799999,54.580002,3176400,46.626714
2009-09-08,54.919998,55.619999,53.799999,55.580002,5392400,47.480996
2009-09-09,55.880001,56.630001,55.41,55.860001,5379500,47.720194
2009-09-10,55.700001,55.959999,55.060001,55.779999,5120500,47.65185
2009-09-11,55.77,55.950001,54.82,55.18,3968000,47.139282
2009-09-14,54.700001,54.990002,53.639999,54.869999,4561900,46.874454
2009-09-15,54.849998,54.950001,53.790001,54.75,4321300,46.771941
2009-09-16,54.77,55.310001,54.48,54.84,4546100,46.848826
2009-09-17,54.73,55.720001,54.580002,54.799999,4529200,46.814654
2009-09-18,54.970001,55.540001,54.939999,55.009998,3529400,46.994053
2009-09-21,54.709999,56.139999,54.560001,55.540001,4973900,47.446824
2009-09-22,55.740002,56.209999,55.25,55.389999,5310700,47.318681
2009-09-23,55.389999,55.450001,54.540001,54.709999,4769300,46.737769
2009-09-24,54.82,54.93,54.0,54.759998,3954000,46.780482
2009-09-25,54.630001,54.950001,54.279999,54.369999,3964700,46.447313
2009-09-28,54.580002,55.189999,54.43,54.91,2117700,46.908626
2009-09-29,55.099998,56.529999,55.099998,56.389999,4500400,48.172963
2009-09-30,56.43,57.369999,55.77,57.049999,6495000,48.736789
2009-10-01,56.900002,57.099998,55.169998,55.23,4486700,47.181996
2009-10-02,54.82,55.82,54.709999,54.860001,3871200,46.865912
2009-10-05,55.209999,56.450001,55.009998,56.209999,4403600,48.019192
2009-10-06,56.360001,57.650002,56.360001,57.459999,4112500,49.087044
2009-10-07,58.369999,58.709999,57.689999,58.540001,4378100,50.00967
2009-10-08,58.060001,59.990002,57.560001,59.970001,7201900,51.231294
2009-10-09,59.93,60.349998,59.490002,60.029999,4214300,51.282549
2009-10-12,60.119999,60.560001,59.259998,59.369999,3526900,50.718723
2009-10-13,59.419998,59.970001,59.209999,59.619999,3157600,50.932293
2009-10-14,60.16,60.740002,59.52,60.73,3555900,51.880547
2009-10-15,60.25,60.889999,59.849998,60.23,2836900,51.453406
2009-10-16,59.889999,60.07,59.110001,59.68,3027700,50.983551
2009-10-19,59.889999,60.84,59.5,60.450001,2244500,51.641349
2009-10-20,60.48,60.689999,59.810001,59.860001,2572700,51.137322
2009-10-21,59.509998,60.689999,57.650002,57.779999,4485600,49.360414
2009-10-22,58.150002,60.279999,57.959999,59.869999,5925200,51.145864
2009-10-23,60.130001,60.290001,58.91,59.189999,2905600,50.564952
2009-10-26,59.220001,60.419998,58.66,58.880001,3602500,50.300126
2009-10-27,59.049999,59.110001,57.77,57.919998,4623200,49.480013
2009-10-28,57.790001,58.349998,56.759998,56.82,3539000,48.540304
2009-10-29,57.639999,58.799999,57.099998,58.23,4254200,49.744842
2009-10-30,58.459999,58.689999,56.959999,57.220001,5377200,48.882018
2009-11-02,57.509998,58.07,56.23,57.73,4119300,49.317701
2009-11-03,57.279999,57.66,55.59,56.709999,6518600,48.446333
2009-11-04,57.0,57.779999,56.130001,56.540001,5000400,48.301106
2009-11-05,54.349998,56.419998,53.360001,55.950001,11647400,47.79708
2009-11-06,55.68,56.82,55.130001,56.68,3057000,48.420705
2009-11-09,56.330002,57.5,55.610001,56.970001,3913400,48.668448
2009-11-10,56.880001,57.740002,56.259998,56.360001,3347300,48.147335
2009-11-11,56.400002,56.400002,53.93,54.59,8110300,46.635256
2009-11-12,55.5,55.599998,54.400002,54.639999,6487500,46.677969
2009-11-13,55.119999,55.599998,54.610001,55.52,3272500,47.429738
2009-11-16,55.990002,56.48,55.610001,56.02,3625200,47.856879
2009-11-17,56.040001,56.540001,54.77,55.419998,4720400,47.344308
2009-11-18,55.130001,55.540001,54.580002,54.700001,3187600,46.729227
2009-11-19,54.5,54.639999,53.82,54.330002,2948200,46.413144
2009-11-20,54.119999,54.93,53.740002,53.959999,3685300,46.097057
2009-11-23,54.34,54.73,53.439999,53.599998,3494100,45.789515
2009-11-24,53.549999,54.400002,53.549999,53.810001,3460100,45.968917
2009-11-25,54.169998,55.560001,53.84,55.540001,4810200,47.446824
2009-11-27,54.400002,54.880001,53.75,54.450001,2399700,46.515657
2009-11-30,54.889999,54.970001,52.939999,53.139999,5879800,45.396546
2009-12-01,53.490002,54.099998,52.700001,52.970001,4982200,45.25132
2009-12-02,52.93,53.93,52.650002,53.73,3696400,45.900573
2009-12-03,53.799999,55.330002,53.639999,54.18,6979700,46.285
2009-12-04,55.0,55.400002,53.419998,53.700001,5003900,45.874945
2009-12-07,55.009998,55.009998,54.049999,54.52,4161900,46.575456
2009-12-08,54.290001,54.580002,53.639999,53.810001,2517100,45.968917
2009-12-09,53.84,53.93,53.380001,53.68,2340400,45.857859
2009-12-10,54.029999,55.299999,54.029999,54.849998,5096200,46.857368
2009-12-11,55.419998,55.740002,54.970001,55.599998,3264100,47.498079
2009-12-14,56.080002,56.389999,55.259998,56.18,3121900,47.993564
2009-12-15,55.790001,55.810001,54.790001,54.869999,3579800,46.874454
2009-12-16,55.25,55.310001,54.330002,54.419998,2904400,46.490026
2009-12-17,53.939999,54.119999,53.220001,53.240002,2844600,45.481976
2009-12-18,53.630001,53.630001,52.240002,53.389999,4169800,45.610117
2009-12-21,53.48,54.720001,53.369999,54.610001,3642800,46.652342
2009-12-22,54.990002,55.630001,54.470001,55.150002,2954000,47.113655
2009-12-23,55.330002,55.709999,54.82,55.150002,1781500,47.113655
2009-12-24,55.259998,55.330002,54.540001,54.650002,755700,46.686514
2009-12-28,54.830002,55.450001,54.57,55.450001,2359900,47.369939
2009-12-29,55.82,55.84,55.099998,55.560001,2122800,47.46391
2009-12-30,55.389999,55.52,54.959999,55.139999,1415700,47.10511
2009-12-31,55.25,55.25,53.93,53.93,1612900,46.07143
2010-01-04,54.5,54.75,53.900002,53.98,3239900,46.114143
2010-01-05,53.880001,54.189999,53.490002,54.02,2539600,46.148315
2010-01-06,54.18,55.02,53.91,54.720001,3207800,46.746313
2010-01-07,54.599998,54.599998,52.279999,53.459999,8330300,45.669916
2010-01-08,53.450001,53.450001,52.509998,52.830002,3438100,45.131721
2010-01-11,53.049999,53.220001,52.080002,52.75,2474500,45.063377
2010-01-12,52.490002,52.509998,50.860001,51.57,5313900,44.055324
2010-01-13,51.669998,52.349998,51.610001,52.200001,3496400,44.593522
2010-01-14,51.689999,51.900002,51.369999,51.689999,3808000,44.157837
2010-01-15,51.580002,52.150002,51.220001,51.509998,4142800,44.004065
2010-01-19,51.380001,52.27,51.200001,52.18,7446700,44.576436
2010-01-20,51.900002,52.080002,51.139999,51.5,3799700,43.995524
2010-01-21,51.630001,52.5,50.82,51.27,5178200,43.79904
2010-01-22,51.220001,52.080002,50.34,50.450001,5391000,43.098529
2010-01-25,50.91,51.060001,49.919998,50.290001,3675900,42.961844
2010-01-26,50.209999,51.049999,49.869999,50.25,3879100,42.927672
2010-01-27,50.200001,50.830002,50.009998,50.509998,3953200,43.149783
2010-01-28,50.77,51.049999,50.360001,50.529999,5394400,43.16687
