Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,15.29,15.87,15.11,15.68,2209500,11.320618
2009-01-05,15.69,15.7,15.18,15.36,2917800,11.089585
2009-01-06,15.53,15.69,14.88,15.09,2655900,10.894651
2009-01-07,14.84,15.31,14.7,14.97,1714800,10.808014
2009-01-08,15.0,15.0,14.52,14.82,1617700,10.699717
2009-01-09,14.82,14.82,14.28,14.4,2497200,10.396486
2009-01-12,14.35,14.5,14.05,14.27,2425600,10.302629
2009-01-13,14.28,14.5,13.97,14.23,1706600,10.273749
2009-01-14,14.25,14.25,13.65,13.77,2736500,9.94164
2009-01-15,13.77,13.89,13.14,13.61,3733800,9.826123
2009-01-16,13.79,13.86,13.3,13.78,2007200,9.948859
2009-01-20,13.88,13.94,12.82,12.91,2492700,9.320738
2009-01-21,12.95,13.29,12.58,13.25,3003500,9.566211
2009-01-22,13.0,13.29,12.75,13.02,1794000,9.400156
2009-01-23,12.72,13.28,12.65,13.0,1597300,9.385716
2009-01-26,12.98,13.4,12.89,13.15,1823100,9.494013
2009-01-27,13.35,13.55,13.06,13.46,1552300,9.717826
2009-01-28,13.65,14.12,13.61,13.93,1510000,10.057156
2009-01-29,13.83,13.92,13.11,13.17,1524500,9.508453
2009-01-30,13.18,13.25,12.39,12.49,2797700,9.017507
2009-02-02,12.36,12.59,12.08,12.25,3573500,8.844233
2009-02-03,12.13,12.85,12.09,12.71,3742600,9.176343
2009-02-04,12.72,12.72,12.29,12.35,3324200,8.916431
2009-02-05,12.38,12.94,12.2,12.76,2888000,9.212442
2009-02-06,12.91,13.77,12.81,13.55,3101300,9.782805
2009-02-09,13.57,13.99,13.25,13.78,2179100,9.948859
2009-02-10,13.63,13.86,12.75,12.97,3062900,9.364057
2009-02-11,13.12,13.15,12.73,13.0,2197300,9.385716
2009-02-12,12.65,12.95,12.42,12.81,2539300,9.248541
2009-02-13,12.85,13.03,12.66,12.84,1750500,9.2702
2009-02-17,12.51,12.79,12.34,12.57,2879700,9.075266
2009-02-18,12.81,12.81,12.35,12.45,2377600,8.988628
2009-02-19,12.71,12.88,12.31,12.63,3766300,9.118585
2009-02-20,12.37,12.62,11.98,12.26,3184500,8.851453
2009-02-23,12.36,12.51,11.7,11.75,2548200,8.483244
2009-02-24,11.94,12.39,11.69,12.24,2531000,8.837013
2009-02-25,12.16,12.31,11.69,12.0,2044500,8.663738
2009-02-26,12.15,12.38,11.71,11.77,1910400,8.497684
2009-02-27,11.66,11.84,11.42,11.43,2629200,8.252211
2009-03-02,11.2,11.37,10.71,10.78,3111100,7.782925
2009-03-03,11.01,11.09,10.67,10.7,2458800,7.725166
2009-03-04,10.93,11.18,10.7,10.99,1689900,7.93454
2009-03-05,10.9,10.95,10.51,10.6,2388600,7.652969
2009-03-06,10.67,10.8,10.03,10.31,2197100,7.443595
2009-03-09,10.21,10.46,10.1,10.21,2022000,7.371397
2009-03-10,10.35,11.18,10.31,11.14,2193000,8.042837
2009-03-11,11.07,11.26,10.88,11.15,1756800,8.23486
2009-03-12,11.11,11.9,10.84,11.85,1752700,8.751848
2009-03-13,12.04,12.09,11.67,11.98,1736000,8.847859
2009-03-16,12.23,12.32,11.91,11.93,1816600,8.810932
2009-03-17,11.92,12.14,11.72,11.94,2463700,8.818317
2009-03-18,11.84,12.68,11.63,12.39,3475400,9.150666
2009-03-19,12.39,12.67,12.22,12.37,1974400,9.135894
2009-03-20,12.41,12.52,11.83,11.94,1861400,8.818317
2009-03-23,12.21,13.25,12.03,13.23,2495200,9.771049
2009-03-24,12.89,13.39,12.89,13.1,1808800,9.675038
2009-03-25,13.1,13.99,12.99,13.51,2399600,9.977845
2009-03-26,13.5,14.22,13.38,14.04,2782700,10.369277
2009-03-27,14.0,14.07,13.62,13.78,1235100,10.177253
2009-03-30,13.52,13.56,12.64,12.81,1986400,9.460858
2009-03-31,12.9,13.25,12.54,12.99,1512500,9.593797
2009-04-01,12.87,13.3,12.58,13.29,2182300,9.815363
2009-04-02,13.64,14.33,13.47,14.0,1815000,10.339735
2009-04-03,14.04,14.33,13.84,14.3,1128200,10.561301
2009-04-06,14.17,14.29,13.47,13.6,2530000,10.044314
2009-04-07,13.35,13.47,13.02,13.16,1517300,9.719351
2009-04-08,13.25,13.43,12.96,13.28,1279800,9.807977
2009-04-09,13.75,14.26,13.52,14.23,1596500,10.509602
2009-04-13,14.13,14.3,13.91,14.19,810600,10.48006
2009-04-14,13.97,14.1,13.54,13.63,1249500,10.066471
2009-04-15,13.67,14.43,13.48,14.4,2321400,10.635156
2009-04-16,14.48,14.7,14.08,14.54,2417600,10.738553
2009-04-17,14.54,15.2,14.53,15.0,1432200,11.078288
2009-04-20,14.75,14.85,14.19,14.35,1336200,10.598229
2009-04-21,14.32,14.83,14.05,14.75,1505200,10.89365
2009-04-22,14.59,15.35,14.55,15.12,2303800,11.166914
2009-04-23,15.0,15.24,14.03,14.51,3136600,10.716397
2009-04-24,14.54,15.1,14.54,14.92,2873900,11.019204
2009-04-27,14.57,14.76,14.15,14.28,1899700,10.54653
2009-04-28,14.15,14.33,14.01,14.21,2406300,10.494831
