Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,64.989998,65.120003,63.32,64.93,737200,64.93
2009-01-05,64.559998,65.900002,64.089996,65.660004,1278900,65.660004
2009-01-06,60.73,62.529999,59.0,61.400002,6281200,61.400002
2009-01-07,60.299999,60.970001,59.59,60.59,2527700,60.59
2009-01-08,60.349998,60.880001,59.900002,60.720001,1321800,60.720001
2009-01-09,60.720001,61.16,59.93,60.849998,1437100,60.849998
2009-01-12,61.27,61.27,59.869999,60.619999,1162700,60.619999
2009-01-13,60.610001,61.98,60.200001,61.490002,880700,61.490002
2009-01-14,60.650002,60.880001,59.790001,59.919998,1707700,59.919998
2009-01-15,59.450001,60.110001,58.860001,59.93,1111100,59.93
2009-01-16,60.490002,61.119999,60.040001,60.799999,928900,60.799999
2009-01-20,60.189999,61.169998,58.169998,58.560001,1326000,58.560001
2009-01-21,59.049999,59.130001,56.599998,58.41,2322500,58.41
2009-01-22,57.84,58.77,57.330002,58.049999,1643500,58.049999
2009-01-23,57.75,58.220001,56.709999,57.560001,985700,57.560001
2009-01-26,57.720001,60.200001,57.720001,59.459999,1642800,59.459999
2009-01-27,59.700001,60.599998,59.25,60.400002,893900,60.400002
2009-01-28,61.080002,61.549999,60.57,60.990002,1265200,60.990002
2009-01-29,60.740002,61.459999,59.970001,60.200001,1195500,60.200001
2009-01-30,60.009998,60.279999,58.709999,59.200001,1225200,59.200001
2009-02-02,58.330002,60.0,58.330002,59.700001,795000,59.700001
2009-02-03,59.779999,60.75,59.439999,60.439999,1160200,60.439999
2009-02-04,60.470001,60.5,58.959999,59.32,1130500,59.32
2009-02-05,58.919998,60.330002,58.849998,60.169998,1234600,60.169998
2009-02-06,60.310001,62.240002,60.080002,61.75,1308700,61.75
2009-02-09,61.709999,62.0,60.849998,61.52,731400,61.52
2009-02-10,61.48,61.689999,59.84,60.040001,1079800,60.040001
2009-02-11,60.439999,60.439999,59.470001,59.75,2319900,59.75
2009-02-12,59.029999,62.740002,58.66,62.419998,2687600,62.419998
2009-02-13,62.439999,63.48,61.990002,62.849998,1197500,62.849998
2009-02-17,61.419998,62.959999,61.419998,62.150002,1426600,62.150002
2009-02-18,62.650002,62.66,61.459999,61.93,1368700,61.93
2009-02-19,62.82,63.849998,62.25,62.509998,1192600,62.509998
2009-02-20,61.959999,62.709999,60.310001,62.119999,1156500,62.119999
2009-02-23,62.549999,62.549999,60.389999,60.560001,1257500,60.560001
2009-02-24,60.779999,61.400002,60.290001,61.150002,1177900,61.150002
2009-02-25,60.98,61.290001,59.48,59.57,1037800,59.57
2009-02-26,60.0,60.389999,57.110001,57.139999,1661000,57.139999
2009-02-27,56.16,56.66,55.0,55.009998,2533300,55.009998
2009-03-02,53.299999,55.09,53.299999,54.439999,2400100,54.439999
2009-03-03,55.02,56.209999,54.459999,55.049999,1777500,55.049999
2009-03-04,55.529999,56.860001,55.18,55.990002,938700,55.990002
2009-03-05,55.18,55.68,54.380001,54.68,1193500,54.68
2009-03-06,54.790001,55.919998,53.66,54.990002,2241200,54.990002
2009-03-09,54.48,54.799999,53.25,53.509998,1405900,53.509998
2009-03-10,54.25,55.310001,53.48,55.080002,1239400,55.080002
2009-03-11,55.470001,56.0,53.290001,53.57,1362500,53.57
2009-03-12,53.43,55.939999,53.27,55.740002,973200,55.740002
2009-03-13,55.849998,57.5,55.389999,57.139999,1169500,57.139999
2009-03-16,57.279999,58.610001,57.060001,57.5,1177500,57.5
2009-03-17,57.419998,58.119999,57.0,58.110001,542000,58.110001
2009-03-18,57.59,59.099998,57.360001,57.810001,1055900,57.810001
2009-03-19,58.130001,58.130001,56.040001,56.68,996500,56.68
2009-03-20,57.060001,57.709999,56.59,56.759998,1427700,56.759998
2009-03-23,57.349998,58.080002,56.299999,58.080002,1133200,58.080002
2009-03-24,57.59,58.580002,57.310001,57.689999,724600,57.689999
2009-03-25,57.68,59.02,57.240002,58.689999,1308600,58.689999
2009-03-26,58.860001,59.630001,58.23,59.52,1209200,59.52
2009-03-27,59.119999,59.150002,58.049999,58.110001,831300,58.110001
2009-03-30,57.549999,58.189999,57.080002,57.990002,997300,57.990002
2009-03-31,58.580002,59.25,58.009998,58.490002,1171700,58.490002
2009-04-01,58.540001,58.709999,57.080002,58.610001,1176100,58.610001
2009-04-02,59.490002,60.130001,58.740002,59.650002,1235800,59.650002
2009-04-03,60.0,60.0,58.18,59.169998,1142800,59.169998
2009-04-06,58.959999,60.119999,58.689999,59.91,954000,59.91
2009-04-07,58.990002,59.919998,58.779999,59.18,775000,59.18
2009-04-08,59.279999,59.810001,58.380001,59.080002,690100,59.080002
2009-04-09,60.110001,60.27,59.040001,59.700001,730400,59.700001
2009-04-13,59.41,59.849998,59.23,59.599998,602100,59.599998
2009-04-14,59.07,60.07,58.939999,59.84,629800,59.84
2009-04-15,59.709999,60.91,59.709999,60.889999,869400,60.889999
2009-04-16,60.880001,61.869999,60.549999,61.57,1071000,61.57
2009-04-17,62.099998,62.549999,61.73,62.43,1516400,62.43
2009-04-20,62.0,63.080002,61.73,61.759998,1379400,61.759998
2009-04-21,62.060001,63.43,62.060001,63.32,1931500,63.32
2009-04-22,62.959999,63.389999,62.290001,62.77,1274000,62.77
2009-04-23,63.060001,63.950001,59.59,61.580002,3321300,61.580002
2009-04-24,61.650002,62.07,60.75,61.119999,1587500,61.119999
2009-04-27,60.889999,62.82,60.830002,62.349998,1638900,62.349998
2009-04-28,62.240002,63.650002,61.68,63.080002,1150300,63.080002
2009-04-29,63.700001,64.029999,62.779999,63.549999,1025800,63.549999
2009-04-30,63.880001,64.580002,63.73,64.150002,1310900,64.150002
2009-05-01,64.029999,64.080002,62.639999,62.950001,1471400,62.950001
2009-05-04,63.439999,64.0,62.5,64.0,1315400,64.0
2009-05-05,63.950001,64.959999,63.459999,64.639999,1159300,64.639999
2009-05-06,64.849998,65.0,63.689999,64.419998,967200,64.419998
2009-05-07,64.529999,65.68,64.480003,64.800003,1195400,64.800003
2009-05-08,64.650002,65.989998,60.560001,65.260002,1596100,65.260002
2009-05-11,64.669998,65.75,64.370003,64.830002,1323700,64.830002
2009-05-12,64.989998,65.349998,63.810001,64.529999,1323400,64.529999
2009-05-13,63.98,64.769997,63.52,63.990002,1099200,63.990002
2009-05-14,64.099998,64.449997,62.93,63.32,1935800,63.32
2009-05-15,63.139999,63.299999,61.48,61.66,2087000,61.66
2009-05-18,61.970001,62.27,61.060001,62.0,1635700,62.0
2009-05-19,62.400002,62.75,61.82,61.900002,1010800,61.900002
2009-05-20,62.189999,62.459999,61.380001,61.48,1154900,61.48
2009-05-21,61.27,61.540001,59.799999,60.209999,1660100,60.209999
2009-05-22,60.209999,60.799999,59.790001,59.810001,996400,59.810001
2009-05-26,59.68,61.23,59.16,61.0,1486500,61.0
2009-05-27,61.0,61.279999,60.490002,60.650002,935100,60.650002
2009-05-28,61.139999,61.599998,60.540001,61.18,1623800,61.18
2009-05-29,61.349998,61.5,60.619999,60.959999,2532600,60.959999
2009-06-01,61.470001,62.060001,61.349998,61.900002,1659000,61.900002
2009-06-02,61.650002,62.5,61.209999,61.84,1622200,61.84
2009-06-03,61.529999,61.939999,61.080002,61.400002,1396800,61.400002
2009-06-04,61.389999,61.630001,60.91,61.59,1503700,61.59
2009-06-05,61.73,62.150002,61.07,61.25,1406800,61.25
2009-06-08,61.25,61.25,60.639999,60.860001,823200,60.860001
2009-06-09,61.189999,61.400002,60.080002,60.490002,872600,60.490002
2009-06-10,60.849998,60.950001,59.759998,60.240002,1222700,60.240002
2009-06-11,60.560001,61.349998,60.32,61.040001,1395300,61.040001
2009-06-12,60.599998,62.389999,60.48,62.360001,1985800,62.360001
2009-06-15,61.900002,62.34,61.110001,62.200001,1976600,62.200001
2009-06-16,62.200001,62.950001,61.75,62.509998,1911300,62.509998
2009-06-17,62.52,65.07,61.900002,64.980003,2590400,64.980003
2009-06-18,65.010002,67.050003,64.93,66.879997,2073300,66.879997
2009-06-19,66.800003,67.540001,66.0,66.760002,1686000,66.760002
2009-06-22,66.260002,66.260002,65.300003,65.709999,1534000,65.709999
2009-06-23,65.900002,66.059998,64.650002,65.449997,1488200,65.449997
2009-06-24,65.68,66.199997,65.059998,66.199997,1555200,66.199997
2009-06-25,65.959999,67.760002,65.709999,67.349998,1965700,67.349998
2009-06-26,67.300003,67.629997,66.410004,67.029999,1080000,67.029999
2009-06-29,67.099998,67.410004,66.120003,67.25,1490300,67.25
2009-06-30,67.010002,68.089996,67.010002,67.790001,1518900,67.790001
2009-07-01,68.0,68.279999,67.209999,67.650002,1028800,67.650002
2009-07-02,67.080002,67.57,65.699997,66.709999,1256700,66.709999
2009-07-06,66.18,67.43,66.040001,67.360001,1233900,67.360001
2009-07-07,67.220001,68.099998,67.209999,67.75,2069000,67.75
2009-07-08,68.059998,68.150002,66.629997,67.580002,1561600,67.580002
2009-07-09,68.0,68.0,66.370003,67.379997,960500,67.379997
2009-07-10,67.230003,67.419998,65.889999,66.260002,1078600,66.260002
2009-07-13,66.160004,67.150002,65.699997,67.0,776400,67.0
2009-07-14,66.959999,67.379997,66.209999,66.739998,1097800,66.739998
2009-07-15,67.0,67.25,66.489998,67.150002,1596000,67.150002
2009-07-16,67.160004,67.690002,66.510002,67.339996,1027000,67.339996
2009-07-17,67.07,67.339996,66.449997,66.970001,1396900,66.970001
2009-07-20,67.129997,67.129997,66.199997,66.790001,1078800,66.790001
2009-07-21,67.339996,68.019997,67.029999,67.809998,1736900,67.809998
2009-07-22,67.389999,68.110001,67.389999,67.809998,1048000,67.809998
2009-07-23,67.959999,68.980003,67.18,68.360001,1635700,68.360001
2009-07-24,68.25,68.769997,67.940002,68.589996,719200,68.589996
2009-07-27,68.540001,68.889999,67.690002,68.260002,1219300,68.260002
2009-07-28,68.309998,69.010002,65.129997,66.269997,4892700,66.269997
