Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,21.5,22.73,21.5,22.639999,8291400,19.81994
2009-01-05,22.42,23.02,22.35,22.959999,10745300,20.10008
2009-01-06,23.17,23.17,22.5,22.959999,13041500,20.10008
2009-01-07,22.34,22.559999,21.99,22.129999,12310800,19.373465
2009-01-08,22.059999,22.139999,21.48,21.950001,10044700,19.215888
2009-01-09,21.9,22.0,21.0,21.190001,11593600,18.550554
2009-01-12,21.129999,21.290001,20.030001,20.23,13070100,17.710132
2009-01-13,20.219999,20.559999,19.969999,20.299999,12422900,17.771412
2009-01-14,19.959999,19.959999,19.41,19.559999,11116200,17.195589
2009-01-15,19.57,20.719999,19.57,20.540001,16442200,18.057128
2009-01-16,20.9,21.15,20.370001,21.040001,15466600,18.496688
2009-01-20,20.52,21.1,19.790001,19.870001,10481400,17.468117
2009-01-21,20.0,20.309999,19.559999,20.25,13372400,17.802182
2009-01-22,19.83,20.690001,19.719999,20.290001,16104100,17.837348
2009-01-23,19.59,20.32,19.59,20.049999,13104000,17.626358
2009-01-26,20.34,20.940001,20.200001,20.65,15559600,18.15383
2009-01-27,20.73,20.799999,19.639999,19.940001,14432600,17.529655
2009-01-28,20.370001,20.43,19.76,19.940001,19012300,17.529655
2009-01-29,19.58,20.0,19.25,19.370001,10802000,17.028557
2009-01-30,19.52,19.75,18.15,18.27,21416100,16.061525
2009-02-02,18.0,18.709999,18.0,18.41,14190500,16.184601
2009-02-03,18.42,19.07,18.08,18.940001,10205600,16.650535
2009-02-04,19.0,19.15,18.35,18.41,11131800,16.184601
2009-02-05,18.389999,19.049999,18.16,18.83,19068700,16.553832
2009-02-06,18.85,19.41,18.85,19.24,34763400,16.914271
2009-02-09,19.200001,19.440001,18.639999,19.01,12039300,16.712074
2009-02-10,18.950001,19.040001,18.01,18.190001,17339400,15.991195
2009-02-11,18.25,18.51,17.85,18.27,16091800,16.061525
2009-02-12,17.969999,18.59,17.610001,18.530001,17330100,16.290096
2009-02-13,18.459999,18.65,17.75,17.799999,15112700,15.648337
2009-02-17,17.41,17.52,17.01,17.07,21876700,15.00658
2009-02-18,17.17,17.299999,16.790001,16.889999,18041800,14.848338
2009-02-19,17.09,17.25,16.940001,16.98,23179400,14.927459
2009-02-20,16.299999,16.84,15.55,15.86,33059200,13.942845
2009-02-23,16.08,16.1,14.96,15.09,15900400,13.265923
2009-02-24,15.21,15.73,14.91,15.61,31154300,13.723065
2009-02-25,15.55,15.84,15.09,15.37,29620800,13.512076
2009-02-26,15.59,16.309999,15.42,15.92,23838200,13.995592
2009-02-27,15.56,16.299999,15.51,15.84,16534500,13.925263
2009-03-02,15.46,15.9,14.64,14.7,23504400,12.923065
2009-03-03,14.9,15.09,13.97,14.14,27017200,12.430759
2009-03-04,14.31,14.36,13.92,14.16,19524400,12.448341
2009-03-05,13.96,14.18,13.22,13.42,20190800,11.797792
2009-03-06,13.79,13.83,13.16,13.39,21445500,11.771419
2009-03-09,13.2,14.16,13.0,13.68,23701400,12.026363
2009-03-10,13.88,14.92,13.81,14.63,21876500,12.861527
2009-03-11,14.9,15.33,14.67,15.1,18428600,13.274714
2009-03-12,15.13,15.69,14.81,15.61,14599400,13.723065
2009-03-13,15.88,15.91,15.2,15.89,15448100,13.969219
2009-03-16,16.01,16.24,15.42,15.46,13898000,13.591197
2009-03-17,15.74,16.440001,15.53,16.42,17099900,14.435152
2009-03-18,16.33,17.5,16.030001,17.190001,24934900,15.112075
2009-03-19,17.17,17.92,17.129999,17.610001,28590400,15.481306
2009-03-20,17.709999,17.74,16.68,17.030001,18408900,14.971416
2009-03-23,17.34,18.07,16.98,18.059999,18090600,15.876909
2009-03-24,17.860001,18.389999,17.84,17.85,16428100,15.692294
2009-03-25,18.040001,19.040001,17.9,18.459999,25688700,16.228556
2009-03-26,18.68,19.469999,18.629999,19.120001,22291400,16.808777
2009-03-27,18.870001,19.190001,18.5,18.809999,14002800,16.536249
2009-03-30,18.35,18.6,17.950001,18.450001,14489200,16.219767
2009-03-31,18.379999,18.5,17.690001,18.25,17600100,16.043942
2009-04-01,17.93,18.610001,17.65,18.48,13866100,16.246139
2009-04-02,18.76,19.92,18.76,19.34,18957400,17.002183
2009-04-03,19.290001,19.530001,18.9,19.120001,13409800,16.808777
2009-04-06,18.959999,19.530001,18.84,19.4,15069900,17.05493
2009-04-07,19.08,19.200001,18.469999,18.610001,11167100,16.360426
2009-04-08,18.85,19.450001,18.85,19.450001,14365900,17.098887
2009-04-09,19.870001,20.620001,19.68,20.32,24146800,17.86372
2009-04-13,20.120001,20.43,20.0,20.280001,10816600,17.828556
2009-04-14,19.940001,20.15,19.610001,19.83,12342200,17.432952
2009-04-15,19.780001,19.780001,19.17,19.43,18364400,17.154838
2009-04-16,19.52,20.25,19.24,20.129999,18205800,17.77287
2009-04-17,20.42,20.870001,20.34,20.73,18530800,18.302613
2009-04-20,20.33,20.49,19.66,19.719999,11385500,17.410879
2009-04-21,19.700001,20.620001,19.440001,20.549999,19864300,18.14369
2009-04-22,20.23,21.83,20.23,20.9,27124300,18.452707
2009-04-23,20.84,21.219999,20.030001,20.370001,17797600,17.984768
2009-04-24,20.5,21.4,20.35,21.09,15033500,18.620459
2009-04-27,20.959999,21.129999,20.49,20.809999,10957200,18.373245
2009-04-28,20.59,21.41,20.440001,21.16,12700300,18.682262
2009-04-29,21.35,21.940001,21.09,21.26,14829500,18.770553
2009-04-30,21.440001,22.09,20.75,21.5,13037000,18.98245
2009-05-01,21.540001,21.75,20.6,20.85,11433800,18.408562
2009-05-04,21.1,21.35,20.76,21.02,16369500,18.558656
2009-05-05,20.969999,21.110001,20.799999,21.02,9022600,18.558656
2009-05-06,21.1,21.18,20.24,20.85,12073300,18.408562
2009-05-07,21.1,21.120001,20.209999,20.370001,17030300,17.984768
2009-05-08,20.299999,20.5,19.309999,19.799999,26317600,17.481511
2009-05-11,19.120001,19.32,18.969999,19.030001,20261100,16.801676
2009-05-12,19.15,19.34,18.77,19.23,15708400,16.978256
2009-05-13,18.99,19.129999,18.57,18.92,17210800,16.704556
2009-05-14,18.92,19.459999,18.82,18.870001,16321000,16.660411
2009-05-15,18.99,19.110001,18.299999,18.450001,22605000,16.289591
2009-05-18,20.309999,20.65,19.190001,19.940001,54292900,17.605119
2009-05-19,19.83,20.389999,19.48,20.049999,26381600,17.702238
2009-05-20,20.26,20.639999,19.52,19.719999,20882300,17.410879
2009-05-21,19.4,19.780001,19.049999,19.299999,14419300,17.040059
2009-05-22,19.360001,19.639999,19.09,19.370001,11265400,17.101864
2009-05-26,19.190001,20.379999,19.190001,20.040001,15964600,17.69341
2009-05-27,20.280001,20.32,19.530001,19.629999,12935100,17.331418
2009-05-28,19.82,19.93,18.76,19.02,19222400,16.792847
2009-05-29,19.190001,19.34,18.58,19.01,18123500,16.784018
2009-06-01,19.23,20.360001,19.23,20.18,17693200,17.817016
2009-06-02,20.08,20.76,19.809999,20.59,12236900,18.179007
2009-06-03,20.360001,20.67,20.030001,20.299999,11302000,17.922964
2009-06-04,20.32,20.4,19.65,20.09,10345400,17.737555
2009-06-05,20.34,20.41,19.709999,20.040001,11059500,17.69341
2009-06-08,20.07,20.370001,19.629999,20.110001,11315700,17.755213
2009-06-09,20.16,20.709999,20.09,20.459999,16328000,18.064228
2009-06-10,20.93,20.99,20.08,20.370001,14603000,17.984768
2009-06-11,20.35,20.540001,19.91,19.950001,13325200,17.613948
2009-06-12,19.860001,19.93,19.540001,19.85,11532300,17.525658
2009-06-15,19.66,19.76,19.5,19.66,9750800,17.357905
2009-06-16,19.790001,19.85,19.030001,19.1,12527900,16.863479
2009-06-17,19.02,19.370001,18.549999,19.02,19347700,16.792847
2009-06-18,19.049999,19.129999,18.4,18.41,19927800,16.254274
2009-06-19,18.549999,18.959999,18.530001,18.780001,16475000,16.58095
2009-06-22,18.6,19.030001,18.030001,18.66,13926500,16.475001
2009-06-23,18.690001,18.74,18.190001,18.309999,11995600,16.165984
2009-06-24,18.41,18.549999,18.02,18.18,17091100,16.051207
2009-06-25,18.139999,19.01,18.120001,18.870001,13558100,16.660411
2009-06-26,18.83,19.620001,18.76,19.219999,20434100,16.969427
2009-06-29,19.33,19.75,19.18,19.469999,12944500,17.190153
2009-06-30,19.440001,19.65,19.02,19.41,11183400,17.137179
2009-07-01,19.48,19.73,19.34,19.51,8192800,17.22547
2009-07-02,19.25,19.43,18.51,18.620001,13313900,16.439685
2009-07-06,18.6,19.049999,18.52,18.870001,11814500,16.660411
2009-07-07,18.860001,18.879999,18.57,18.629999,9649000,16.448513
2009-07-08,18.68,18.950001,18.43,18.85,21406200,16.642753
2009-07-09,18.98,19.1,18.620001,18.950001,11440000,16.731044
2009-07-10,18.799999,19.08,18.700001,18.85,8945000,16.642753
2009-07-13,18.84,19.309999,18.690001,19.26,15193800,17.004744
2009-07-14,19.25,19.639999,19.120001,19.57,10000500,17.278444
2009-07-15,19.68,20.059999,19.459999,20.030001,10369500,17.766285
2009-07-16,19.950001,20.190001,19.65,20.1,10552000,17.828374
2009-07-17,20.129999,20.559999,20.1,20.42,15579700,18.112208
2009-07-20,20.49,20.76,20.4,20.75,8550800,18.404913
2009-07-21,20.77,20.85,20.219999,20.559999,9460300,18.236385
2009-07-22,20.450001,20.969999,20.41,20.75,9107500,18.404913
2009-07-23,20.75,21.9,20.549999,21.65,17840900,19.203198
2009-07-24,21.5,22.059999,21.35,22.0,10519500,19.513643
2009-07-27,21.719999,22.0,21.02,21.280001,12478600,18.875015
2009-07-28,21.18,21.639999,21.09,21.610001,7585000,19.167719
2009-07-29,21.51,22.0,21.4,21.639999,7103900,19.194328
2009-07-30,21.74,22.57,21.74,22.15,11685900,19.64669
2009-07-31,22.139999,22.68,22.1,22.459999,10292000,19.921654
2009-08-03,22.709999,22.799999,22.309999,22.74,9872800,20.17001
2009-08-04,22.700001,22.950001,22.52,22.610001,12678600,20.054703
2009-08-05,22.620001,22.84,22.24,22.469999,9297700,19.930524
2009-08-06,22.540001,23.0,22.41,22.73,9711900,20.16114
2009-08-07,22.9,24.09,22.809999,23.85,12829500,21.154563
2009-08-10,23.73,23.75,23.0,23.33,10188500,20.693331
2009-08-11,23.309999,23.450001,22.99,23.26,8601300,20.631242
2009-08-12,23.23,23.48,22.73,22.85,15725100,20.267579
2009-08-13,22.93,23.360001,22.43,23.309999,13547600,20.675591
2009-08-14,23.280001,23.41,22.57,22.83,11454100,20.249839
2009-08-17,20.43,22.290001,20.25,20.469999,41075300,18.156557
2009-08-18,20.629999,20.67,19.870001,19.99,41510400,17.730805
2009-08-19,19.84,20.27,19.690001,20.219999,30199500,17.934811
2009-08-20,20.27,20.469999,20.139999,20.389999,18285000,18.085598
2009-08-21,20.52,21.219999,20.48,21.16,18461600,18.768576
2009-08-24,21.17,21.42,20.66,20.719999,13778600,18.378303
2009-08-25,21.129999,21.24,20.809999,21.07,35281800,18.688747
2009-08-26,20.940001,21.959999,20.91,21.59,17144800,19.149979
2009-08-27,21.66,21.9,21.360001,21.700001,12831100,19.247548
2009-08-28,21.809999,21.950001,21.34,21.700001,10567900,19.247548
2009-08-31,21.549999,21.610001,21.27,21.5,8610800,19.070151
2009-09-01,21.26,21.610001,20.66,20.860001,15016400,18.502482
2009-09-02,20.809999,20.959999,20.549999,20.860001,10583400,18.502482
2009-09-03,20.870001,21.32,20.799999,21.309999,9293300,18.901623
2009-09-04,21.370001,21.65,21.23,21.620001,8820600,19.176589
2009-09-08,21.889999,21.93,21.66,21.77,11099200,19.309637
2009-09-09,21.76,21.82,21.540001,21.719999,10432100,19.265286
2009-09-10,21.780001,21.940001,21.629999,21.860001,9882000,19.389465
2009-09-11,21.93,21.950001,21.34,21.43,10675400,19.008062
2009-09-14,21.26,21.459999,21.1,21.360001,8143500,18.945973
2009-09-15,21.450001,21.52,20.879999,21.209999,17213100,18.812925
2009-09-16,21.32,21.74,21.25,21.6,12479800,19.158849
2009-09-17,21.690001,21.969999,21.5,21.66,13622400,19.212068
2009-09-18,21.74,22.059999,21.719999,21.969999,13641800,19.487032
2009-09-21,21.84,22.370001,21.6,21.950001,13044800,19.469294
2009-09-22,21.709999,21.82,20.93,21.07,23918700,18.688747
2009-09-23,21.43,22.059999,21.25,21.530001,23684800,19.096761
2009-09-24,21.6,21.74,21.32,21.389999,16353700,18.972582
2009-09-25,21.09,21.219999,20.889999,21.049999,14175000,18.671007
2009-09-28,21.110001,21.48,21.049999,21.25,8242900,18.848405
2009-09-29,21.26,21.49,21.17,21.209999,8732400,18.812925
2009-09-30,21.290001,21.35,20.76,20.940001,12404200,18.57344
2009-10-01,21.049999,21.049999,20.360001,20.360001,17532200,18.05899
2009-10-02,20.1,20.209999,19.940001,20.030001,19365900,17.766285
2009-10-05,20.26,20.57,20.07,20.459999,15603200,18.147687
2009-10-06,20.65,20.870001,20.360001,20.68,18792400,18.342824
2009-10-07,20.59,20.73,20.15,20.200001,15144200,17.917072
2009-10-08,20.700001,20.950001,20.5,20.780001,15740400,18.431523
2009-10-09,20.77,20.950001,20.52,20.940001,17089300,18.57344
2009-10-12,21.049999,21.35,20.959999,21.01,10092500,18.635529
2009-10-13,21.02,21.549999,20.84,21.450001,18071500,19.025802
2009-10-14,21.66,21.99,21.66,21.73,17717900,19.355367
2009-10-15,21.65,21.75,21.33,21.65,11666900,19.28411
2009-10-16,21.530001,21.549999,21.15,21.360001,11405400,19.025802
2009-10-19,21.360001,21.809999,21.33,21.76,11391800,19.38209
2009-10-20,21.73,21.9,21.33,21.389999,10759100,19.052522
2009-10-21,21.34,21.690001,20.76,20.76,28537400,18.491369
2009-10-22,20.77,21.23,20.5,21.17,18710400,18.856564
2009-10-23,21.17,21.309999,20.65,20.709999,17631300,18.446832
2009-10-26,20.74,20.940001,20.280001,20.34,16922100,18.117266
2009-10-27,20.360001,20.42,19.879999,19.93,21423700,17.75207
2009-10-28,19.99,20.07,19.49,19.5,17836400,17.36906
2009-10-29,19.799999,20.1,19.530001,19.98,14692500,17.796606
2009-10-30,20.0,20.1,19.459999,19.57,19405200,17.43141
2009-11-02,19.6,20.0,19.34,19.58,12994800,17.440318
2009-11-03,19.530001,19.799999,19.15,19.450001,17817600,17.324525
2009-11-04,19.530001,19.9,19.34,19.51,14021600,17.377967
2009-11-05,19.639999,20.190001,19.620001,20.07,12327900,17.876771
2009-11-06,20.219999,21.059999,20.219999,20.940001,27174300,18.651699
2009-11-09,21.030001,21.299999,20.889999,21.25,14602000,18.927822
2009-11-10,21.200001,21.49,20.940001,21.01,15444200,18.714049
2009-11-11,21.190001,21.459999,21.01,21.299999,19021100,18.972357
2009-11-12,21.25,21.690001,21.25,21.469999,17345600,19.12378
