Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,8.61,9.03,8.5,8.97,7945300,8.642189
2009-01-05,8.91,8.91,8.5,8.68,8158900,8.362787
2009-01-06,8.75,9.2,8.69,9.14,10760800,8.805977
2009-01-07,9.04,9.21,8.8,8.94,9230600,8.613285
2009-01-08,8.92,9.03,8.7,8.99,8033300,8.661458
2009-01-09,8.94,8.94,8.51,8.56,7572600,8.247173
2009-01-12,8.55,8.69,8.48,8.62,10444700,8.30498
2009-01-13,8.6,8.77,8.32,8.34,11722700,8.035213
2009-01-14,8.27,8.35,7.87,7.99,12025600,7.698003
2009-01-15,7.99,8.49,7.77,8.28,13826300,7.977405
2009-01-16,8.37,8.74,8.27,8.61,10165200,8.295345
2009-01-20,8.64,8.8,8.11,8.14,11061400,7.842522
2009-01-21,8.26,8.42,7.82,8.38,16305100,8.073751
2009-01-22,8.86,9.95,8.58,9.81,25819100,9.451491
2009-01-23,9.23,9.23,7.78,8.0,29740600,7.707638
2009-01-26,8.15,8.15,7.78,7.88,13290000,7.592023
2009-01-27,7.94,8.0,7.15,7.33,19329700,7.062123
2009-01-28,7.7,7.71,7.44,7.66,14707100,7.380063
2009-01-29,7.66,7.8,7.2,7.25,12601000,6.985047
2009-01-30,7.22,7.45,6.97,7.03,13934500,6.773087
2009-02-02,7.08,7.08,6.61,6.75,14062100,6.503319
2009-02-03,6.91,6.91,6.57,6.82,13711800,6.570761
2009-02-04,6.85,6.94,6.56,6.63,11858200,6.387705
2009-02-05,6.61,7.01,6.49,6.89,17767900,6.638203
2009-02-06,6.96,7.4,6.94,7.33,12699000,7.062123
2009-02-09,7.38,7.38,7.01,7.18,12277600,6.917605
2009-02-10,7.13,7.33,7.09,7.2,18463300,6.936874
2009-02-11,7.22,7.35,7.04,7.2,14225800,6.936874
2009-02-12,7.21,7.34,7.01,7.33,11737600,7.062123
2009-02-13,7.33,7.48,7.19,7.29,9569200,7.023585
2009-02-17,7.05,7.11,6.93,6.95,12702400,6.69601
2009-02-18,7.02,7.05,6.6,6.69,13973500,6.445512
2009-02-19,6.76,7.1,6.65,6.68,12580500,6.435877
2009-02-20,6.47,6.65,6.1,6.52,12550200,6.281725
2009-02-23,6.59,6.73,6.42,6.45,9420600,6.214283
