Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,16.059999,16.85,16.059999,16.65,3141900,12.275166
2009-01-05,16.65,16.65,16.25,16.35,5104200,12.053992
2009-01-06,16.450001,16.559999,16.0,16.299999,3596800,12.017129
2009-01-07,16.059999,16.33,15.9,16.02,2965400,11.810701
2009-01-08,15.99,15.99,15.53,15.79,5135600,11.641134
2009-01-09,15.69,15.79,15.27,15.35,2448200,11.316745
2009-01-12,15.29,15.43,15.08,15.19,3485700,11.198785
2009-01-13,15.13,15.39,15.01,15.31,4398000,11.287255
2009-01-14,15.11,15.22,14.81,15.14,4248000,11.161923
2009-01-15,15.1,15.73,15.03,15.56,4292200,11.471567
2009-01-16,15.75,15.84,15.25,15.63,3819200,11.523174
2009-01-20,15.64,15.69,14.99,15.03,4747300,11.080826
2009-01-21,15.05,15.5,14.92,15.47,4680200,11.405215
2009-01-22,15.39,15.63,15.03,15.4,3964300,11.353607
2009-01-23,15.23,15.39,14.95,15.19,3802300,11.198785
2009-01-26,15.38,15.68,14.83,15.03,3940000,11.080826
2009-01-27,15.23,15.44,14.87,15.04,3229200,11.088198
2009-01-28,15.22,15.51,15.15,15.39,2934300,11.346235
2009-01-29,15.25,15.37,14.74,14.78,2908800,10.896514
2009-01-30,14.55,14.87,14.0,14.19,4526100,10.461538
2009-02-02,12.06,12.26,11.29,11.9,18519200,8.773242
2009-02-03,11.71,12.61,11.71,12.46,8637500,9.1861
2009-02-04,12.47,12.55,11.99,12.13,7202700,8.942809
2009-02-05,12.07,12.76,12.01,12.68,6954600,9.348295
2009-02-06,12.67,13.1,12.63,12.91,4140300,9.517862
2009-02-09,12.9,13.36,12.8,13.11,3712000,9.665311
2009-02-10,13.01,13.18,12.49,12.54,4305000,9.24508
2009-02-11,12.58,12.75,12.47,12.61,3340000,9.296687
2009-02-12,12.43,12.55,12.05,12.5,3845900,9.21559
2009-02-13,12.49,12.62,12.16,12.21,3719000,9.001789
2009-02-17,11.89,12.34,11.89,12.11,5485000,8.928064
2009-02-18,12.16,12.16,11.91,12.01,3727800,8.854339
2009-02-19,12.05,12.24,11.97,12.0,3587200,8.846967
2009-02-20,11.94,12.23,11.77,12.05,4801300,8.883829
2009-02-23,12.13,12.19,11.79,11.84,4738800,8.729007
2009-02-24,11.9,12.28,11.83,12.15,3697700,8.957554
2009-02-25,12.07,12.29,11.81,12.01,4377800,8.854339
2009-02-26,12.14,12.25,11.71,11.79,3365000,8.692145
2009-02-27,11.59,12.14,11.5,11.84,4543700,8.729007
2009-03-02,11.7,11.84,11.29,11.29,4621400,8.323521
2009-03-03,11.47,11.57,10.68,10.72,7349000,7.90329
2009-03-04,10.97,11.13,10.61,10.92,8287700,8.05074
2009-03-05,10.89,10.9,10.36,10.45,5187500,7.704233
2009-03-06,10.48,10.83,10.37,10.82,5840600,7.977015
2009-03-09,10.84,10.9,10.5,10.59,4252500,7.807448
2009-03-10,10.68,11.18,10.63,11.18,4334500,8.242424
2009-03-11,11.13,11.26,10.8,10.9,3915200,8.035995
2009-03-12,10.86,11.49,10.7,11.44,2775200,8.434108
2009-03-13,11.46,11.54,11.27,11.54,2178900,8.507833
2009-03-16,11.59,11.65,10.92,11.06,4342900,8.153955
2009-03-17,10.94,11.49,10.94,11.49,2536100,8.47097
2009-03-18,11.46,11.88,11.24,11.7,3636500,8.625792
2009-03-19,11.77,11.82,11.25,11.28,3818800,8.316149
2009-03-20,11.32,11.38,10.95,11.01,3991000,8.117092
2009-03-23,11.21,11.65,11.02,11.65,2842900,8.58893
2009-03-24,11.6,11.98,11.55,11.82,3880600,8.714262
2009-03-25,11.91,12.4,11.82,11.84,6725400,8.729007
2009-03-26,12.04,12.52,11.82,12.45,7501900,9.178728
2009-03-27,12.44,12.44,11.98,12.09,5676500,8.913319
2009-03-30,12.2,12.2,11.43,11.56,4906200,8.522578
2009-03-31,11.6,11.79,11.41,11.53,4293700,8.50046
2009-04-01,11.57,12.02,11.27,11.92,4624300,8.787987
2009-04-02,12.1,12.99,12.04,12.73,4576700,9.385157
2009-04-03,12.77,12.95,12.63,12.95,2548000,9.547351
2009-04-06,12.88,12.92,12.58,12.86,2218400,9.480999
2009-04-07,12.79,12.79,12.47,12.54,2419600,9.24508
2009-04-08,12.59,12.81,12.47,12.76,1801800,9.407275
2009-04-09,12.96,13.4,12.87,13.35,2501600,9.842251
2009-04-13,13.23,13.28,12.93,13.16,2107600,9.702173
2009-04-14,13.08,13.17,12.52,12.53,3899400,9.237708
2009-04-15,12.54,12.63,12.36,12.6,3332400,9.289315
2009-04-16,12.69,13.13,12.54,13.03,3707000,9.606331
2009-04-17,13.7,15.17,13.6,15.01,9302700,11.066081
2009-04-20,14.85,15.43,14.59,14.86,7913700,10.955494
2009-04-21,14.81,15.07,14.59,14.69,7700700,10.830161
2009-04-22,14.73,15.21,14.43,14.81,3640300,10.918632
2009-04-23,14.67,14.87,14.26,14.79,4143500,10.903886
2009-04-24,14.92,15.26,14.78,15.09,2920500,11.125061
2009-04-27,14.75,14.98,14.53,14.68,4138600,10.82279
2009-04-28,14.5,15.1,14.05,14.85,4749800,10.948122
2009-04-29,14.94,15.43,14.8,15.25,3744200,11.24302
2009-04-30,15.34,15.39,14.89,14.96,3362200,11.029219
2009-05-01,14.98,15.09,14.66,15.02,2747700,11.073454
2009-05-04,15.05,15.48,15.02,15.46,3259500,11.397842
2009-05-05,15.44,15.82,15.37,15.76,3119600,11.619016
2009-05-06,15.9,15.9,15.35,15.59,3506100,11.493684
2009-05-07,15.66,15.68,15.06,15.23,2837600,11.228275
2009-05-08,15.41,15.58,14.99,15.52,3399100,11.442077
2009-05-11,15.35,15.37,14.67,15.03,4298100,11.080826
2009-05-12,15.07,15.19,14.67,14.84,3396700,10.940749
2009-05-13,14.69,14.8,14.02,14.11,3433300,10.402558
2009-05-14,14.1,14.33,14.0,14.08,2681300,10.380441
2009-05-15,14.08,14.28,13.88,13.94,2477800,10.277226
2009-05-18,14.11,14.6,14.05,14.59,2177300,10.756437
2009-05-19,14.52,14.93,14.45,14.81,3222100,10.918632
2009-05-20,14.88,14.96,14.49,14.56,3080300,10.73432
2009-05-21,14.4,14.46,13.93,14.21,2778200,10.476283
