Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,4.24,4.63,4.02,4.5,6556300,4.5
2009-01-05,4.42,5.1,4.33,4.85,9028200,4.85
2009-01-06,5.07,5.15,4.88,5.07,9172000,5.07
2009-01-07,4.89,5.41,4.81,5.03,6420500,5.03
2009-01-08,5.05,5.77,4.91,5.61,10881000,5.61
2009-01-09,5.73,5.73,4.99,5.05,4915700,5.05
2009-01-12,5.0,5.1,4.64,4.72,5501400,4.72
2009-01-13,4.64,4.92,4.51,4.71,5555000,4.71
2009-01-14,4.53,4.72,4.24,4.29,7988000,4.29
2009-01-15,4.27,4.32,3.81,3.93,9208100,3.93
2009-01-16,4.12,4.26,3.84,4.1,7363300,4.1
2009-01-20,4.06,4.06,3.21,3.23,9062100,3.23
2009-01-21,3.48,3.48,3.0,3.39,8824200,3.39
2009-01-22,3.35,3.35,3.03,3.03,4101800,3.03
2009-01-23,2.95,3.58,2.86,3.56,6518700,3.56
2009-01-26,3.58,3.86,3.5,3.59,5779700,3.59
2009-01-27,3.56,3.58,3.11,3.52,6193900,3.52
2009-01-28,3.89,4.5,3.76,4.49,8461500,4.49
2009-01-29,4.14,4.33,3.86,3.95,5607400,3.95
2009-01-30,4.08,4.1,3.81,3.86,5109800,3.86
2009-02-02,3.84,3.89,3.62,3.81,3875600,3.81
2009-02-03,3.85,4.03,3.73,3.92,4320400,3.92
2009-02-04,3.97,4.03,3.75,3.86,3527400,3.86
2009-02-05,3.88,4.41,3.76,4.25,5069800,4.25
2009-02-06,4.36,4.91,4.17,4.7,7474500,4.7
2009-02-09,4.73,4.78,4.53,4.66,3801500,4.66
2009-02-10,4.6,4.74,3.98,4.01,6407300,4.01
2009-02-11,4.08,4.26,3.89,4.07,4012200,4.07
2009-02-12,4.01,4.07,3.67,4.02,5324900,4.02
2009-02-13,3.85,4.17,3.8,3.96,5281000,3.96
2009-02-17,3.51,3.83,3.4,3.48,6486100,3.48
2009-02-18,4.84,4.93,3.51,4.51,28784700,4.51
2009-02-19,4.39,4.51,3.83,3.84,8123000,3.84
2009-02-20,3.71,4.09,3.56,4.0,9014600,4.0
2009-02-23,4.04,4.08,3.42,3.43,7048600,3.43
2009-02-24,3.4,3.47,3.29,3.44,8185700,3.44
2009-02-25,3.45,3.6,3.23,3.24,8615400,3.24
2009-02-26,3.43,3.49,2.96,3.0,7605000,3.0
2009-02-27,2.91,2.98,2.51,2.74,13586600,2.74
2009-03-02,2.62,2.76,2.43,2.5,8466600,2.5
2009-03-03,2.63,2.74,2.24,2.49,8737100,2.49
2009-03-04,2.55,3.28,2.49,2.88,8665300,2.88
2009-03-05,2.8,2.8,2.17,2.29,11182300,2.29
2009-03-06,2.32,2.57,2.24,2.53,10122700,2.53
2009-03-09,2.64,3.13,2.55,3.09,9150300,3.09
2009-03-10,3.16,3.68,3.16,3.67,10433100,3.67
2009-03-11,3.71,3.96,3.49,3.74,8060300,3.74
2009-03-12,3.53,3.95,3.31,3.95,6704600,3.95
2009-03-13,4.0,4.25,3.84,4.25,4939000,4.25
2009-03-16,4.28,4.5,4.0,4.04,5792400,4.04
2009-03-17,4.04,4.34,3.87,4.34,5097800,4.34
2009-03-18,4.25,5.08,4.12,5.08,8052600,5.08
2009-03-19,5.25,5.35,4.42,4.46,6855900,4.46
2009-03-20,4.61,4.7,4.01,4.15,6881500,4.15
2009-03-23,4.69,5.05,4.45,5.05,6098000,5.05
2009-03-24,4.9,5.13,4.52,4.9,5139200,4.9
2009-03-25,4.95,5.14,4.39,4.89,5546800,4.89
2009-03-26,4.95,5.05,4.62,4.95,5271600,4.95
2009-03-27,4.73,5.15,4.63,4.97,4568100,4.97
2009-03-30,4.71,4.75,4.2,4.21,5459700,4.21
2009-03-31,4.42,4.65,4.17,4.58,6754900,4.58
2009-04-01,4.4,4.9,4.38,4.9,3489000,4.9
2009-04-02,5.11,5.18,4.73,4.93,4603800,4.93
2009-04-03,4.93,5.35,4.73,5.18,3789100,5.18
2009-04-06,4.98,5.16,4.86,5.07,3791300,5.07
2009-04-07,4.92,5.08,4.75,4.81,2945600,4.81
2009-04-08,4.93,5.04,4.54,4.62,3402600,4.62
2009-04-09,4.89,5.07,4.8,5.03,5603900,5.03
2009-04-13,5.1,5.55,4.94,5.42,7564800,5.42
2009-04-14,5.19,5.46,4.96,4.98,4454200,4.98
2009-04-15,4.91,5.4,4.81,5.38,3728400,5.38
2009-04-16,5.48,5.5,5.15,5.35,3890200,5.35
2009-04-17,5.33,5.5,5.09,5.35,4214100,5.35
2009-04-20,5.27,5.27,4.45,4.46,4453800,4.46
2009-04-21,4.37,4.87,4.29,4.81,5716600,4.81
2009-04-22,4.59,4.91,4.3,4.61,4855400,4.61
2009-04-23,4.67,4.79,4.38,4.68,3007500,4.68
2009-04-24,4.71,4.77,4.51,4.64,4071500,4.64
2009-04-27,4.58,4.76,4.54,4.54,2467300,4.54
2009-04-28,4.5,4.74,4.35,4.53,2674200,4.53
2009-04-29,4.55,4.89,4.53,4.83,4590500,4.83
2009-04-30,4.92,4.95,4.58,4.73,3462100,4.73
2009-05-01,4.69,4.81,4.6,4.6,2286100,4.6
2009-05-04,4.73,5.16,4.72,5.1,7552800,5.1
2009-05-05,4.94,5.95,4.8,5.81,13040600,5.81
2009-05-06,6.08,6.18,5.46,6.08,8823200,6.08
2009-05-07,5.92,6.71,5.92,6.39,9283800,6.39
2009-05-08,6.5,7.21,6.45,7.21,9000700,7.21
2009-05-11,6.95,7.73,6.83,6.96,15433400,6.96
2009-05-12,7.73,7.9,6.02,6.14,29969000,6.14
2009-05-13,5.89,6.04,5.63,5.69,9879300,5.69
2009-05-14,5.17,6.2,5.15,6.06,9268900,6.06
2009-05-15,6.01,6.08,5.54,5.65,4643600,5.65
2009-05-18,5.81,6.43,5.75,6.4,4860400,6.4
2009-05-19,6.3,6.64,6.08,6.32,3711900,6.32
2009-05-20,6.49,6.84,6.19,6.24,4512300,6.24
2009-05-21,6.0,6.23,5.9,6.05,3858700,6.05
2009-05-22,6.12,6.22,5.9,6.11,2927700,6.11
2009-05-26,6.04,6.76,5.96,6.66,5304200,6.66
2009-05-27,6.72,6.83,6.47,6.5,3769200,6.5
2009-05-28,6.6,6.72,6.24,6.52,4026600,6.52
2009-05-29,6.48,6.62,6.3,6.45,4534100,6.45
2009-06-01,6.54,7.09,6.4,6.94,7058200,6.94
2009-06-02,6.87,7.1,6.78,6.89,3557900,6.89
2009-06-03,6.78,7.01,6.51,6.59,3358300,6.59
2009-06-04,6.66,6.72,6.39,6.64,3669100,6.64
2009-06-05,6.71,6.8,6.15,6.28,5300500,6.28
2009-06-08,6.26,6.26,6.02,6.12,4463300,6.12
2009-06-09,6.15,6.45,6.12,6.4,3384000,6.4
2009-06-10,6.53,6.54,6.1,6.15,3314300,6.15
2009-06-11,6.16,6.23,5.8,5.84,4703900,5.84
2009-06-12,5.71,5.95,5.71,5.85,2975300,5.85
2009-06-15,5.73,5.79,5.34,5.34,4490200,5.34
2009-06-16,5.46,5.46,5.04,5.05,5683000,5.05
2009-06-17,5.1,5.2,4.96,4.98,3914500,4.98
2009-06-18,5.05,5.13,4.88,4.91,3133300,4.91
2009-06-19,4.99,5.05,4.92,4.94,3516900,4.94
2009-06-22,4.89,4.91,4.42,4.42,4884700,4.42
2009-06-23,4.55,4.62,4.23,4.3,6307100,4.3
2009-06-24,4.41,4.62,4.22,4.26,3603800,4.26
2009-06-25,4.15,4.36,4.12,4.25,3334300,4.25
2009-06-26,4.12,4.27,4.07,4.22,3884400,4.22
2009-06-29,4.24,4.49,4.19,4.47,2975500,4.47
2009-06-30,4.5,4.51,4.23,4.33,2977000,4.33
2009-07-01,4.31,4.36,4.14,4.21,2427100,4.21
2009-07-02,4.15,4.2,3.96,3.96,2418000,3.96
2009-07-06,4.02,4.1,3.93,4.07,3264100,4.07
2009-07-07,4.05,4.1,3.93,3.95,2878300,3.95
2009-07-08,4.0,4.03,3.67,3.75,3406400,3.75
2009-07-09,3.82,3.86,3.68,3.76,2217700,3.76
2009-07-10,3.7,3.73,3.57,3.65,1515900,3.65
2009-07-13,3.66,3.91,3.63,3.9,2504100,3.9
2009-07-14,3.94,4.12,3.87,4.01,2912700,4.01
2009-07-15,4.14,4.26,4.1,4.25,2856300,4.25
2009-07-16,4.2,4.24,3.96,4.07,2942900,4.07
2009-07-17,4.01,4.07,3.94,3.97,1405500,3.97
2009-07-20,4.0,4.3,4.0,4.27,2740700,4.27
2009-07-21,4.32,4.39,4.1,4.12,1642100,4.12
2009-07-22,4.08,4.19,4.03,4.1,1938100,4.1
2009-07-23,4.08,4.22,4.07,4.21,2022300,4.21
2009-07-24,4.16,4.48,4.12,4.39,2618600,4.39
2009-07-27,4.45,4.64,4.35,4.56,2786800,4.56
2009-07-28,4.43,4.54,4.23,4.38,2872500,4.38
2009-07-29,4.25,4.33,4.11,4.13,2599500,4.13
2009-07-30,4.25,4.5,4.18,4.28,2551500,4.28
2009-07-31,4.29,4.33,4.17,4.19,2412800,4.19
2009-08-03,4.27,4.46,4.25,4.46,2572700,4.46
2009-08-04,4.45,5.75,4.44,5.75,20134500,5.75
2009-08-05,5.85,5.93,5.31,5.53,13761600,5.53
2009-08-06,6.74,6.95,6.01,6.19,26162000,6.19
2009-08-07,6.15,6.16,5.74,5.89,14198400,5.89
2009-08-10,6.0,6.21,5.81,6.17,8766300,6.17
2009-08-11,5.48,5.78,5.1,5.39,17004300,5.39
2009-08-12,5.35,5.59,5.23,5.48,8798000,5.48
2009-08-13,5.63,5.63,5.1,5.41,6592900,5.41
2009-08-14,5.42,5.42,5.15,5.36,4465200,5.36
2009-08-17,5.16,5.19,4.98,5.0,5358100,5.0
2009-08-18,5.07,5.25,5.01,5.14,4971000,5.14
2009-08-19,5.05,5.24,5.02,5.12,4287400,5.12
2009-08-20,5.21,5.4,5.16,5.29,4741700,5.29
2009-08-21,5.35,5.58,5.35,5.47,4351800,5.47
2009-08-24,5.58,5.79,5.36,5.42,5096000,5.42
2009-08-25,5.62,5.77,5.5,5.65,5023400,5.65
2009-08-26,5.67,5.71,5.45,5.6,3167600,5.6
2009-08-27,5.58,6.75,5.31,6.58,25139100,6.58
2009-08-28,6.97,7.0,6.05,6.5,23905100,6.5
2009-08-31,6.15,7.04,6.06,6.72,14490200,6.72
2009-09-01,6.37,6.73,6.06,6.13,12068900,6.13
2009-09-02,5.95,6.12,5.81,5.83,6485600,5.83
2009-09-03,6.1,6.15,5.9,6.05,3785400,6.05
2009-09-04,6.09,6.26,5.92,6.24,4648200,6.24
2009-09-08,6.25,6.43,6.12,6.38,5118500,6.38
2009-09-09,6.34,6.59,6.27,6.5,4337300,6.5
2009-09-10,6.48,6.68,6.22,6.63,5412700,6.63
2009-09-11,6.63,6.7,6.31,6.48,5668900,6.48
2009-09-14,6.31,6.95,6.3,6.91,9221900,6.91
2009-09-15,7.04,7.04,6.7,6.81,6790700,6.81
2009-09-16,6.86,7.19,6.63,6.89,8244600,6.89
2009-09-17,6.91,7.2,6.69,6.69,5916300,6.69
2009-09-18,6.84,7.13,6.64,7.0,9022400,7.0
2009-09-21,6.87,6.97,6.7,6.76,6657300,6.76
2009-09-22,6.9,8.54,6.82,8.24,40711800,8.24
2009-09-23,8.05,8.28,7.73,7.75,15808900,7.75
2009-09-24,7.86,8.09,7.38,7.5,8200400,7.5
2009-09-25,7.4,7.69,7.27,7.38,5889200,7.38
2009-09-28,7.44,8.22,7.4,8.22,8853300,8.22
2009-09-29,7.54,8.19,7.5,7.83,11217500,7.83
2009-09-30,7.87,7.98,7.54,7.76,6856900,7.76
2009-10-01,7.69,7.85,6.88,6.94,10355200,6.94
2009-10-02,7.05,7.85,6.53,6.87,8579400,6.87
2009-10-05,6.98,6.98,6.4,6.43,11187600,6.43
2009-10-06,6.61,6.64,6.12,6.25,13232800,6.25
2009-10-07,6.29,6.35,6.12,6.22,6569200,6.22
2009-10-08,6.29,6.34,6.23,6.26,7505800,6.26
2009-10-09,6.22,6.28,6.07,6.16,5922500,6.16
2009-10-12,6.21,6.28,6.12,6.23,7602700,6.23
2009-10-13,6.17,6.23,6.06,6.12,5019900,6.12
2009-10-14,6.25,6.28,6.07,6.14,5127600,6.14
2009-10-15,6.08,6.11,5.84,5.9,6255100,5.9
2009-10-16,5.62,5.71,5.5,5.52,6582200,5.52
2009-10-19,5.57,5.7,5.44,5.48,4736800,5.48
2009-10-20,5.59,5.59,5.24,5.26,4329100,5.26
2009-10-21,5.34,5.4,5.15,5.15,4053100,5.15
2009-10-22,5.14,5.25,5.09,5.2,3817500,5.2
2009-10-23,5.31,5.31,4.95,4.95,4389200,4.95
2009-10-26,4.96,5.1,4.57,4.58,5592800,4.58
2009-10-27,4.6,4.67,4.37,4.38,4671600,4.38
2009-10-28,4.32,4.35,4.0,4.02,7826600,4.02
2009-10-29,4.31,4.53,4.15,4.45,7317200,4.45
2009-10-30,4.47,4.57,4.01,4.06,8314200,4.06
2009-11-02,4.15,4.19,3.81,3.95,8316700,3.95
2009-11-03,3.88,4.13,3.8,4.11,7323900,4.11
2009-11-04,4.53,4.94,4.34,4.42,17164800,4.42
2009-11-05,4.45,4.48,4.05,4.08,12604800,4.08
2009-11-06,4.07,4.39,4.01,4.35,7711700,4.35
2009-11-09,4.54,4.84,4.41,4.8,12400000,4.8
2009-11-10,4.05,4.21,3.44,3.52,39574200,3.52
2009-11-11,3.67,3.9,3.55,3.75,20134900,3.75
2009-11-12,3.83,3.85,3.68,3.74,10894000,3.74
2009-11-13,3.76,3.8,3.51,3.56,10510800,3.56
2009-11-16,3.63,3.63,3.19,3.27,14100500,3.27
2009-11-17,3.22,3.6,3.22,3.47,12974500,3.47
2009-11-18,3.45,3.99,3.45,3.82,16811700,3.82
2009-11-19,3.75,3.76,3.55,3.57,7226700,3.57
2009-11-20,3.5,3.58,3.45,3.49,4858200,3.49
2009-11-23,3.6,3.68,3.51,3.54,5484600,3.54
2009-11-24,3.55,3.55,3.37,3.44,4704700,3.44
2009-11-25,3.49,3.7,3.37,3.62,8296400,3.62
2009-11-27,3.36,3.52,3.3,3.4,4498400,3.4
2009-11-30,3.44,3.54,3.38,3.46,5443400,3.46
2009-12-01,3.56,3.68,3.49,3.66,8977700,3.66
2009-12-02,3.66,3.75,3.57,3.61,4607300,3.61
2009-12-03,3.77,3.87,3.64,3.66,9933100,3.66
2009-12-04,3.75,3.8,3.57,3.69,6686300,3.69
2009-12-07,3.72,3.83,3.62,3.72,5663400,3.72
2009-12-08,3.67,3.78,3.6,3.62,4153300,3.62
2009-12-09,3.73,3.73,3.56,3.62,3824200,3.62
