Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,16.93,17.77,16.440001,17.639999,615400,13.17594
2009-01-05,17.559999,18.219999,17.17,17.959999,485300,13.41496
2009-01-06,18.18,18.780001,18.18,18.629999,355300,13.915406
2009-01-07,18.4,18.75,18.110001,18.42,350500,13.758551
2009-01-08,18.4,18.620001,18.120001,18.549999,689600,13.855652
2009-01-09,18.629999,18.629999,17.780001,18.190001,462900,13.586756
2009-01-12,18.129999,18.290001,17.389999,17.49,633500,13.0639
2009-01-13,17.389999,17.74,17.129999,17.459999,487100,13.041492
2009-01-14,17.07,17.309999,16.68,17.280001,695200,12.907045
2009-01-15,17.25,18.08,16.65,17.76,963100,13.265573
2009-01-16,17.969999,19.49,17.809999,18.82,969100,14.057325
2009-01-20,18.620001,19.360001,18.370001,18.379999,969200,13.728673
2009-01-21,18.32,18.75,17.879999,18.75,1319100,14.005039
2009-01-22,18.299999,18.43,17.25,17.75,1035800,13.258104
2009-01-23,17.35,17.610001,17.0,17.280001,961500,12.907045
2009-01-26,17.41,17.700001,16.5,16.82,754500,12.563454
2009-01-27,16.959999,17.309999,16.690001,16.98,470900,12.682963
2009-01-28,17.23,17.91,17.23,17.610001,506700,13.153533
2009-01-29,17.24,17.629999,16.77,16.92,432100,12.638147
2009-01-30,16.92,16.92,15.75,15.97,698800,11.928559
2009-02-02,15.95,16.690001,15.55,16.299999,648800,12.175047
2009-02-03,16.360001,16.360001,15.5,15.67,637900,11.704478
2009-02-04,15.56,15.73,15.24,15.4,600900,11.502805
2009-02-05,15.29,15.33,14.78,15.0,789300,11.204031
2009-02-06,15.09,16.07,15.07,15.7,1142000,11.726886
2009-02-09,15.75,15.9,15.5,15.8,825700,11.80158
2009-02-10,15.62,15.9,14.86,15.03,650700,11.226439
2009-02-11,15.08,15.36,14.8,15.01,368600,11.211501
2009-02-12,14.98,15.25,14.64,15.19,478600,11.345949
2009-02-13,15.18,15.32,14.68,14.86,416600,11.09946
2009-02-17,14.5,14.63,13.89,13.93,869400,10.404811
2009-02-18,14.0,14.09,13.29,13.56,718700,10.128445
2009-02-19,13.76,13.97,12.95,13.04,766800,9.740038
2009-02-20,12.98,13.25,12.65,12.96,714500,9.680283
2009-02-23,12.9,13.15,12.67,12.75,775700,9.523427
2009-02-24,12.83,13.61,12.58,13.38,851700,9.993996
2009-02-25,13.12,13.33,12.37,13.08,1166600,9.937017
2009-02-26,13.37,13.64,12.96,12.97,675600,9.853449
2009-02-27,12.72,13.25,12.64,12.85,491400,9.762284
2009-03-02,12.61,12.68,12.09,12.31,763400,9.35204
2009-03-03,12.48,12.61,11.71,11.86,891100,9.01017
2009-03-04,11.79,12.07,11.44,11.93,910800,9.06335
2009-03-05,11.58,11.67,10.6,10.88,1264900,8.265653
2009-03-06,11.1,11.31,10.89,11.28,1111900,8.569537
2009-03-09,11.12,11.51,10.95,10.99,477200,8.349221
2009-03-10,11.22,12.8,11.22,12.79,845300,9.716701
2009-03-11,12.8,13.77,12.61,13.59,1078700,10.32447
2009-03-12,13.53,14.37,13.4,14.33,532900,10.886656
2009-03-13,14.3,15.11,14.22,14.95,657500,11.357676
2009-03-16,15.2,15.54,14.76,14.85,856700,11.281706
2009-03-17,14.7,15.4,14.7,15.4,335600,11.699546
2009-03-18,15.17,16.110001,15.17,15.79,446500,11.995833
2009-03-19,15.87,15.87,15.4,15.52,494300,11.790712
2009-03-20,15.85,16.25,15.25,15.64,833400,11.881877
2009-03-23,16.27,17.48,16.040001,17.48,614200,13.279744
2009-03-24,17.190001,17.969999,17.190001,17.450001,338000,13.256954
2009-03-25,17.4,18.67,17.299999,17.85,524000,13.560838
2009-03-26,17.98,18.700001,17.9,18.629999,805900,14.153411
2009-03-27,18.43,18.540001,16.959999,17.040001,812800,12.945473
2009-03-30,16.98,16.98,16.280001,16.540001,714500,12.565617
2009-03-31,16.629999,17.0,16.42,16.639999,613600,12.641587
2009-04-01,16.48,17.629999,16.4,17.620001,957000,13.386105
2009-04-02,17.879999,19.01,17.6,18.639999,700300,14.161009
2009-04-03,18.790001,19.459999,18.370001,19.42,468300,14.753584
2009-04-06,19.26,19.610001,18.9,19.08,517400,14.495282
2009-04-07,18.74,18.76,18.24,18.280001,335300,13.887514
2009-04-08,18.379999,18.879999,18.27,18.83,284900,14.305354
2009-04-09,19.52,20.01,19.139999,19.99,443500,15.186618
2009-04-13,19.790001,20.32,19.309999,20.129999,903000,15.292978
2009-04-14,19.879999,20.0,19.120001,19.24,976200,14.616835
2009-04-15,19.209999,19.559999,18.9,19.469999,623900,14.791569
2009-04-16,19.52,20.030001,19.35,19.84,1002400,15.072662
2009-04-17,19.93,20.01,19.41,19.790001,958500,15.034677
2009-04-20,19.4,19.4,17.700001,18.219999,919900,13.84193
2009-04-21,18.16,19.07,18.040001,19.059999,925300,14.480087
2009-04-22,18.66,20.0,18.66,19.52,850600,14.829555
2009-04-23,19.52,19.92,19.16,19.84,953100,15.072662
2009-04-24,19.790001,21.379999,19.790001,21.32,1662300,16.197034
2009-04-27,20.99,22.219999,20.629999,21.889999,1411800,16.630069
2009-04-28,21.620001,21.629999,20.780001,21.1,889200,16.029898
2009-04-29,23.09,25.889999,22.66,24.389999,1624800,18.529346
2009-04-30,24.57,25.950001,24.57,25.08,1159700,19.053547
2009-05-01,25.32,26.1,24.85,25.709999,522700,19.532164
2009-05-04,25.780001,26.719999,25.549999,26.67,583300,20.261487
2009-05-05,26.620001,27.040001,26.360001,26.82,468200,20.375443
2009-05-06,27.059999,27.4,26.610001,27.370001,780000,20.793285
2009-05-07,27.52,27.889999,27.08,27.77,893800,21.097169
2009-05-08,28.049999,28.51,27.66,28.51,577900,21.659355
2009-05-11,27.93,28.709999,27.860001,28.280001,594600,21.484622
2009-05-12,28.57,28.809999,27.0,27.85,654900,21.157946
2009-05-13,27.200001,27.67,25.559999,25.610001,601900,19.456194
2009-05-14,25.889999,26.309999,25.450001,25.639999,933600,19.478984
2009-05-15,25.629999,26.41,25.35,25.450001,846000,19.33464
2009-05-18,25.959999,26.889999,25.629999,26.870001,786100,20.41343
2009-05-19,26.870001,28.059999,26.870001,27.610001,777200,20.975615
2009-05-20,27.85,28.83,27.629999,27.719999,834600,21.059183
2009-05-21,27.15,27.49,26.25,26.719999,638400,20.299472
2009-05-22,26.76,26.76,25.959999,26.389999,518200,20.048767
2009-05-26,26.27,28.209999,26.26,28.0,656300,21.271902
2009-05-27,27.959999,28.41,27.23,27.299999,590800,20.908116
2009-05-28,27.57,27.84,26.41,27.190001,647300,20.823872
2009-05-29,27.17,27.34,26.35,26.959999,777400,20.647722
2009-06-01,27.200001,28.450001,27.200001,28.049999,671100,21.482515
2009-06-02,28.040001,28.65,27.969999,28.25,976200,21.635689
2009-06-03,28.200001,28.709999,27.610001,28.709999,856600,21.987986
2009-06-04,28.389999,29.49,28.389999,29.41,809800,22.524092
2009-06-05,29.6,30.1,28.91,29.17,541000,22.340285
2009-06-08,29.16,29.51,28.43,29.15,599000,22.324967
2009-06-09,29.200001,29.65,28.68,29.51,352500,22.600679
2009-06-10,29.790001,29.879999,28.4,28.790001,384000,22.049257
2009-06-11,28.799999,28.950001,28.32,28.6,351300,21.903742
2009-06-12,28.33,28.469999,27.33,28.200001,307900,21.597396
2009-06-15,27.84,27.950001,26.860001,27.07,301000,20.731968
2009-06-16,27.09,27.1,26.16,26.26,361500,20.111617
2009-06-17,26.08,26.18,25.299999,25.5,781200,19.52956
2009-06-18,25.690001,25.84,25.32,25.610001,346100,19.613805
2009-06-19,26.049999,26.879999,25.91,26.5,1176400,20.295425
2009-06-22,26.23,26.299999,25.629999,25.65,726600,19.644439
2009-06-23,25.809999,26.02,25.190001,25.35,658400,19.41468
2009-06-24,25.530001,25.85,25.110001,25.280001,620400,19.36107
2009-06-25,25.360001,25.85,24.83,25.809999,1610400,19.766977
2009-06-26,25.6,25.93,24.959999,25.870001,729600,19.81293
2009-06-29,26.139999,26.25,25.49,25.860001,454600,19.805272
2009-06-30,25.780001,26.040001,25.139999,25.549999,545400,19.567852
2009-07-01,25.52,26.23,25.309999,25.67,704200,19.659757
2009-07-02,25.33,25.33,24.42,24.48,559300,18.748377
2009-07-06,24.290001,24.790001,24.139999,24.74,536700,18.947502
2009-07-07,24.620001,24.9,23.91,23.93,443800,18.327152
2009-07-08,24.200001,24.280001,23.790001,24.08,1046100,18.442031
2009-07-09,24.280001,24.610001,23.84,24.26,403200,18.579887
2009-07-10,24.040001,24.5,23.92,24.23,321300,18.556911
2009-07-13,24.26,24.74,23.610001,24.66,392200,18.886233
2009-07-14,24.9,25.450001,24.52,25.42,395500,19.468291
2009-07-15,25.549999,26.42,25.24,26.389999,418800,20.211179
2009-07-16,26.290001,27.15,26.25,27.040001,480600,20.708993
2009-07-17,26.98,27.02,26.440001,26.75,312800,20.486891
2009-07-20,27.09,28.290001,26.799999,28.219999,746000,21.612712
2009-07-21,27.65,28.24,26.280001,26.85,737100,20.563478
2009-07-22,26.92,27.66,26.719999,27.4,524900,20.984703
2009-07-23,27.299999,28.67,27.1,28.629999,436400,21.926717
2009-07-24,28.629999,28.950001,28.190001,28.809999,327600,22.064573
2009-07-27,28.84,29.860001,28.52,29.809999,498900,22.830438
2009-07-28,29.639999,30.799999,29.48,30.129999,1180200,23.075514
2009-07-29,28.450001,30.450001,25.799999,26.26,1430900,20.111617
2009-07-30,26.690001,26.889999,25.93,26.379999,1138800,20.20352
2009-07-31,26.540001,27.040001,26.209999,26.469999,505200,20.272448
2009-08-03,26.91,27.07,26.040001,27.040001,364600,20.708993
2009-08-04,27.0,27.0,26.41,26.83,386600,20.54816
2009-08-05,27.02,27.370001,26.459999,26.52,337400,20.310742
2009-08-06,26.540001,26.99,26.42,26.6,394200,20.372012
2009-08-07,26.92,27.870001,26.690001,27.799999,408500,21.291049
2009-08-10,27.860001,28.25,27.370001,28.200001,473400,21.597396
2009-08-11,28.25,28.959999,27.85,28.6,601100,21.903742
2009-08-12,28.41,28.77,28.01,28.360001,455800,21.719934
2009-08-13,28.389999,28.48,27.48,28.33,229800,21.696958
2009-08-14,28.4,28.4,27.52,27.709999,181900,21.222121
2009-08-17,27.08,27.219999,26.360001,26.67,251200,20.425622
2009-08-18,26.629999,27.120001,26.48,26.75,238600,20.486891
2009-08-19,26.65,27.33,26.49,27.209999,342000,20.839188
2009-08-20,27.27,27.51,27.049999,27.49,171000,21.053631
2009-08-21,27.84,28.15,27.58,27.950001,371800,21.40593
2009-08-24,28.0,28.530001,27.790001,28.0,419200,21.444222
2009-08-25,28.34,28.34,27.93,28.0,601800,21.444222
2009-08-26,27.889999,28.59,27.65,28.35,343400,21.712276
2009-08-27,28.25,28.33,27.360001,28.25,273600,21.808775
2009-08-28,28.4,28.620001,27.82,28.040001,308600,21.646657
2009-08-31,27.870001,28.4,27.43,27.68,317900,21.36874
2009-09-01,27.629999,28.09,26.559999,26.83,765500,20.712546
2009-09-02,26.76,26.969999,26.07,26.389999,378800,20.372869
2009-09-03,26.530001,26.530001,25.459999,25.870001,501100,19.971434
2009-09-04,25.74,26.52,25.74,26.49,200400,20.450069
2009-09-08,26.65,26.780001,26.120001,26.370001,286200,20.35743
2009-09-09,26.5,27.860001,26.379999,27.450001,523300,21.191182
2009-09-10,27.51,27.84,27.1,27.84,307300,21.492258
2009-09-11,27.879999,27.99,27.33,27.559999,285900,21.2761
2009-09-14,27.27,28.219999,26.92,28.209999,231900,21.777894
2009-09-15,28.290001,29.110001,28.290001,29.059999,312100,22.434088
2009-09-16,29.110001,30.969999,28.950001,30.83,604100,23.800514
2009-09-17,30.91,33.169998,30.610001,31.700001,1328200,24.472148
2009-09-18,31.969999,32.450001,31.690001,31.77,567300,24.526187
2009-09-21,31.540001,31.620001,30.860001,31.540001,415000,24.348629
2009-09-22,31.68,32.0,31.27,31.469999,229900,24.294589
2009-09-23,31.48,31.48,30.48,30.540001,469200,23.576637
