Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,11.36,12.48,11.24,12.28,264700,8.018092
2009-01-05,12.39,13.13,12.3,12.75,276500,8.324973
2009-01-06,12.83,13.48,12.83,13.25,329000,8.651443
2009-01-07,13.51,13.59,12.46,12.59,310200,8.220503
2009-01-08,12.51,13.14,12.27,12.91,263200,8.429443
2009-01-09,12.76,13.41,12.15,12.23,286400,7.985445
2009-01-12,12.36,12.4,11.55,11.63,257000,7.593682
2009-01-13,11.69,12.44,11.69,12.01,212000,7.841799
2009-01-14,11.98,11.99,11.5,11.54,316800,7.534917
2009-01-15,11.71,11.98,11.11,11.29,426200,7.371682
2009-01-16,11.72,11.78,11.06,11.14,426600,7.273742
2009-01-20,11.14,11.29,10.5,10.58,369200,6.908095
2009-01-21,11.1,11.1,10.57,10.85,361200,7.084389
2009-01-22,10.79,10.85,10.1,10.4,222400,6.790566
2009-01-23,10.39,10.79,10.12,10.57,239800,6.901566
2009-01-26,10.5,10.98,10.31,10.52,121000,6.868919
2009-01-27,10.7,10.98,10.45,10.66,145000,6.960331
2009-01-28,10.95,11.1,10.76,10.99,143800,7.1758
2009-01-29,11.0,11.06,10.26,10.37,239100,6.770978
2009-01-30,10.56,10.56,9.8,9.93,218500,6.483685
2009-02-02,9.67,10.08,9.51,9.88,250000,6.451038
2009-02-03,9.89,10.36,9.89,10.31,180700,6.731802
2009-02-04,10.25,10.71,10.16,10.3,211500,6.725273
2009-02-05,10.3,10.41,9.85,10.28,155700,6.712214
2009-02-06,10.28,10.56,10.26,10.51,142200,6.86239
2009-02-09,10.6,10.85,10.55,10.74,180900,7.012566
2009-02-10,10.7,10.98,9.68,9.81,281700,6.405333
2009-02-11,9.96,10.12,9.72,9.83,331000,6.418391
2009-02-12,9.71,10.02,9.52,9.95,178600,6.496744
2009-02-13,9.98,10.03,9.53,9.58,181000,6.255156
2009-02-17,9.64,9.64,8.8,9.22,410100,6.020099
2009-02-18,9.23,9.45,8.65,8.74,284100,5.706687
2009-02-19,8.75,9.09,8.75,8.98,280600,5.863393
2009-02-20,8.92,8.92,8.44,8.72,305100,5.693629
2009-02-23,8.72,8.8,7.93,8.0,311500,5.223513
2009-02-24,7.95,8.4,7.82,8.35,226700,5.452042
2009-02-25,8.39,8.48,7.95,8.15,231100,5.321453
2009-02-26,8.22,8.56,7.88,7.93,173400,5.177807
2009-02-27,7.84,8.17,7.72,7.82,163700,5.105984
2009-03-02,7.61,7.8,7.0,7.12,294400,4.648926
2009-03-03,7.27,7.3,6.8,6.81,240100,4.446515
2009-03-04,6.89,7.19,6.89,6.99,323000,4.564044
2009-03-05,6.9,7.05,6.81,6.84,231600,4.466103
2009-03-06,6.96,7.16,6.74,6.84,200500,4.466103
2009-03-09,6.79,7.34,6.65,6.73,201000,4.39428
2009-03-10,6.8,7.11,6.71,7.06,314300,4.60975
2009-03-11,7.23,7.55,7.02,7.43,323400,4.851337
2009-03-12,7.41,7.75,7.36,7.61,277100,4.968866
2009-03-13,7.73,8.3,7.65,8.2,231300,5.3541
2009-03-16,8.32,8.53,7.8,7.85,194600,5.125572
2009-03-17,7.94,8.25,7.87,8.17,185300,5.334512
2009-03-18,8.23,8.54,8.0,8.12,199400,5.301865
2009-03-19,8.14,8.49,8.14,8.43,125600,5.504277
2009-03-20,8.46,8.67,7.82,7.94,184800,5.184336
2009-03-23,8.29,8.87,8.15,8.76,228400,5.719747
2009-03-24,8.85,9.0,8.51,8.6,184000,5.615276
2009-03-25,8.55,9.0,8.32,8.57,200200,5.595688
