Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,14.49,15.2,14.34,15.14,899500,12.99429
2009-01-05,15.14,15.33,14.93,15.05,951400,12.91704
2009-01-06,15.25,15.9,15.22,15.86,1838600,13.61225
2009-01-07,15.52,15.8,14.86,14.94,1855300,12.82263
2009-01-08,14.99,15.01,14.66,14.97,1171500,12.84838
2009-01-09,14.97,15.01,14.56,14.61,1191700,12.5394
2009-01-12,15.17,15.17,14.06,14.07,1859300,12.07593
2009-01-13,13.47,13.93,13.35,13.75,1732400,11.80129
2009-01-14,13.55,13.66,13.07,13.25,1653300,11.37215
2009-01-15,13.22,13.94,13.03,13.85,2296900,11.88711
2009-01-16,14.1,14.17,13.17,13.77,2043200,11.81845
2009-01-20,13.7,14.0,12.88,12.91,1716200,11.08033
2009-01-21,13.1,13.62,12.93,13.56,1711800,11.63821
2009-01-22,13.28,13.7,13.08,13.39,1573600,11.49231
2009-01-23,13.11,13.69,12.84,13.4,1829600,11.50089
2009-01-26,13.4,13.81,13.23,13.54,1089800,11.62105
2009-01-27,13.56,14.17,13.49,13.98,1793600,11.99869
2009-01-28,13.63,14.76,13.36,14.11,2121200,12.11026
2009-01-29,13.96,14.36,13.69,13.86,1435600,11.8957
2009-01-30,13.92,13.98,13.26,13.37,1344400,11.47514
2009-02-02,13.2,13.24,12.79,13.01,1706000,11.16616
2009-02-03,13.08,13.2,12.62,12.87,1739500,11.046
2009-02-04,12.97,13.5,12.86,13.11,1156500,11.25199
2009-02-05,13.36,13.7,12.88,13.53,1467300,11.61247
2009-02-06,13.49,13.96,13.49,13.87,1440500,11.90428
2009-02-09,13.89,14.11,13.75,13.95,1227000,11.97294
2009-02-10,13.81,13.97,13.17,13.3,1967500,11.41506
2009-02-11,13.31,13.645,13.27,13.5,1627300,11.58672
2009-02-12,13.23,13.63,13.09,13.59,1647000,11.66396
2009-02-13,13.59,13.87,13.54,13.67,1498100,11.73262
2009-02-17,13.25,13.33,12.82,12.84,1485600,11.02026
2009-02-18,12.95,13.145,12.69,12.96,1736300,11.12325
2009-02-19,13.07,13.18,12.3,12.31,2268600,10.56537
2009-02-20,12.23,12.4,11.96,12.28,1980000,10.53962
2009-02-23,12.32,12.38,11.7,11.71,2186200,10.0504
2009-02-24,11.85,12.37,11.69,12.3,1569500,10.55679
2009-02-25,12.2,12.24,11.69,11.99,1300200,10.29072
2009-02-26,12.14,12.2601,11.67,11.69,1208100,10.03324
2009-02-27,11.56,11.72,11.31,11.37,2243200,9.75859
2009-03-02,11.4,11.4,10.36,10.4,1544200,8.92606
2009-03-03,10.58,10.71,10.38,10.48,1605900,8.99473
2009-03-04,10.65,11.17,10.51,10.98,2912000,9.42386
2009-03-05,10.72,10.72,10.04,10.17,1822600,8.72866
2009-03-06,10.3,10.495,9.775,10.05,1953400,8.62567
2009-03-09,9.96,10.25,9.68,9.72,1505200,8.34244
2009-03-10,9.96,10.92,9.75,10.88,2176000,9.33804
2009-03-11,10.9,11.26,10.78,11.13,1280800,9.5526
2009-03-12,11.08,11.68,10.98,11.64,1045000,9.99033
2009-03-13,11.65,11.99,11.48,11.79,1160300,10.11907
2009-03-16,11.86,12.1,11.69,11.71,918000,10.0504
2009-03-17,11.47,12.39,11.47,12.38,1508500,10.62545
2009-03-18,12.33,13.11,12.14,13.0,2259400,11.15758
2009-03-19,13.14,13.26,12.89,13.03,1776900,11.18333
2009-03-20,13.16,13.19,12.51,12.67,1597200,10.87435
2009-03-23,13.01,13.66,12.69,13.64,1258900,11.70688
2009-03-24,13.76,14.01,13.48,13.71,1285300,11.76696
2009-03-25,13.81,14.55,13.61,14.0,1842200,12.01585
2009-03-26,13.44,14.67,13.44,14.66,1682700,12.58232
2009-03-27,14.76,14.76,14.01,14.17,1226400,12.2896
2009-03-30,13.89,13.94,13.2,13.48,1566700,11.69117
2009-03-31,13.65,14.04,13.51,13.74,1591900,11.91667
2009-04-01,13.54,14.07,13.28,14.0,1444200,12.14216
2009-04-02,14.32,15.355,14.23,15.15,2529100,13.13955
2009-04-03,15.22,15.66,15.1,15.59,1553900,13.52117
