Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,8.99,9.59,8.75,9.49,3441800,9.03182
2009-01-05,9.48,10.05,9.22,9.84,3835700,9.364923
2009-01-06,10.22,10.49,9.92,10.19,4274800,9.698024
2009-01-07,10.09,10.09,9.35,9.5,3124800,9.041338
2009-01-08,9.05,9.05,7.9,8.39,12037300,7.984929
2009-01-09,8.58,8.58,7.91,8.12,5109800,7.727964
2009-01-12,8.19,8.19,7.08,7.11,6785900,6.766728
2009-01-13,7.38,7.54,7.06,7.34,3883800,6.985623
2009-01-14,7.26,7.44,6.72,6.86,3810000,6.528798
2009-01-15,6.94,6.95,6.21,6.8,5206000,6.471695
2009-01-16,7.17,7.19,6.48,6.96,3335600,6.62397
2009-01-20,6.9,6.92,6.04,6.2,5484200,5.900662
2009-01-21,6.41,6.92,6.31,6.87,4788000,6.538315
2009-01-22,6.68,6.68,6.14,6.38,3262000,6.071972
2009-01-23,6.02,6.81,6.02,6.44,3147500,6.129075
2009-01-26,6.36,6.64,6.05,6.21,4737900,5.91018
2009-01-27,6.29,6.55,6.2,6.46,2891600,6.14811
2009-01-28,6.66,6.91,6.56,6.84,3337500,6.509763
2009-01-29,6.9,7.0,5.86,5.91,7546800,5.624664
2009-01-30,6.16,6.16,5.28,5.5,6561900,5.234459
2009-02-02,5.4,5.4,5.0,5.07,7165600,4.825219
2009-02-03,5.07,5.16,4.76,4.95,7371500,4.711013
2009-02-04,5.0,5.3,4.93,4.98,4790500,4.739564
2009-02-05,4.9,5.3,4.85,5.22,4582800,4.967977
2009-02-06,5.32,5.74,5.25,5.6,4708800,5.329631
2009-02-09,5.74,5.8,5.45,5.51,3727800,5.243976
2009-02-10,5.57,5.77,5.08,5.17,6258900,4.920391
2009-02-11,5.32,5.53,5.1,5.24,4779400,4.987011
2009-02-12,5.15,5.22,4.85,5.1,5538800,4.853771
2009-02-13,5.15,5.21,4.9,4.98,2986200,4.739564
2009-02-17,4.8,4.97,4.65,4.78,5511700,4.549221
2009-02-18,4.8,4.88,4.6,4.64,4835700,4.41598
2009-02-19,4.72,4.82,4.4,4.42,3040500,4.206601
2009-02-20,4.29,4.4,4.08,4.26,3950100,4.054326
2009-02-23,4.35,4.45,4.0,4.0,3135000,3.806879
2009-02-24,4.1,4.44,3.94,4.41,3095900,4.197084
2009-02-25,4.3,4.4,3.95,4.1,3177300,3.902051
2009-02-26,4.18,4.28,3.99,4.0,2886800,3.806879
2009-02-27,3.93,4.15,3.82,4.1,5061200,3.902051
2009-03-02,3.96,3.99,3.45,3.49,3786400,3.321502
2009-03-03,3.45,3.49,2.55,2.69,11745300,2.560126
2009-03-04,2.93,2.98,2.73,2.74,5692100,2.627246
2009-03-05,2.91,2.91,2.46,2.47,4593400,2.368357
2009-03-06,2.57,2.59,2.35,2.42,4612300,2.320414
2009-03-09,2.46,2.63,2.34,2.48,3239700,2.377945
2009-03-10,2.61,2.94,2.58,2.88,5255400,2.761485
2009-03-11,3.06,3.4,3.0,3.15,5684100,3.020374
2009-03-12,3.19,3.55,2.87,3.49,4954600,3.346382
2009-03-13,3.81,3.96,3.42,3.61,4566700,3.461444
2009-03-16,3.77,4.22,3.71,3.88,4798300,3.720333
2009-03-17,4.0,4.19,3.7,4.14,4219400,3.969634
2009-03-18,4.16,4.49,3.95,4.36,3483000,4.180581
2009-03-19,4.52,4.72,4.29,4.35,3084000,4.170992
2009-03-20,4.37,4.4,3.82,4.02,3900200,3.854572
2009-03-23,4.21,4.64,4.16,4.64,3922600,4.449058
2009-03-24,4.64,4.75,4.29,4.51,2502400,4.324408
2009-03-25,4.68,4.89,4.11,4.47,4316600,4.286054
2009-03-26,4.57,4.84,4.51,4.84,2713400,4.640828
2009-03-27,4.58,4.79,4.5,4.61,2120400,4.420293
2009-03-30,3.92,3.92,2.83,3.07,9377100,2.943666
2009-03-31,3.1,3.5,3.1,3.27,6259600,3.135435
2009-04-01,3.29,3.59,3.11,3.55,3436800,3.403913
2009-04-02,3.8,4.0,3.75,3.9,4008300,3.73951
2009-04-03,3.92,4.2,3.88,4.08,2989900,3.912103
2009-04-06,4.01,4.09,3.9,4.09,1844400,3.921692
2009-04-07,3.98,4.03,3.89,3.92,1791300,3.758687
2009-04-08,3.92,3.93,3.24,3.45,6008100,3.308028
2009-04-09,3.74,4.3,3.68,4.3,5218100,4.12305
2009-04-13,4.2,4.61,4.0,4.57,3211100,4.381939
2009-04-14,4.5,4.67,4.15,4.24,2978800,4.065519
2009-04-15,4.11,4.6,4.11,4.52,3214200,4.333996
2009-04-16,4.65,4.95,4.45,4.87,3699500,4.669593
2009-04-17,4.96,5.06,4.7,4.87,3084400,4.669593
2009-04-20,4.77,4.77,4.26,4.31,2938400,4.132638
2009-04-21,4.19,4.97,4.14,4.8,4157600,4.602474
2009-04-22,4.79,5.2,4.75,4.92,5249400,4.717536
