Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,12.09,12.67,11.93,12.59,1047900,12.59
2009-01-05,12.37,12.53,12.0,12.3,1574500,12.3
2009-01-06,12.29,12.73,12.22,12.67,1182400,12.67
2009-01-07,12.66,12.66,11.17,11.3,2654800,11.3
2009-01-08,11.2,11.53,10.93,11.51,2013500,11.51
2009-01-09,11.51,11.83,11.14,11.66,3194600,11.66
2009-01-12,11.42,11.63,10.89,11.03,2010700,11.03
2009-01-13,11.03,11.11,10.34,10.51,2557200,10.51
2009-01-14,10.26,10.35,9.77,9.77,2180600,9.77
2009-01-15,9.84,9.98,9.37,9.73,2622500,9.73
2009-01-16,9.88,9.96,9.29,9.73,2448800,9.73
2009-01-20,9.77,10.19,9.12,9.35,3172300,9.35
2009-01-21,9.32,9.96,9.25,9.75,2743400,9.75
2009-01-22,9.57,10.0,9.49,9.73,2619000,9.73
2009-01-23,9.15,9.91,9.15,9.69,1865800,9.69
2009-01-26,9.69,10.07,9.53,9.88,1700900,9.88
2009-01-27,9.84,10.11,9.7,9.88,1211000,9.88
2009-01-28,10.16,10.99,10.05,10.76,3122500,10.76
2009-01-29,10.66,10.86,10.39,10.46,2891700,10.46
2009-01-30,10.41,10.41,8.85,9.21,6893600,9.21
2009-02-02,8.94,9.12,8.4,8.57,3760300,8.57
2009-02-03,8.52,8.6,8.2,8.5,2869300,8.5
2009-02-04,8.65,8.91,8.43,8.5,2015800,8.5
2009-02-05,8.53,8.67,8.34,8.51,2171800,8.51
2009-02-06,8.57,9.17,8.51,8.93,2200900,8.93
2009-02-09,8.88,9.12,8.74,8.86,1230100,8.86
2009-02-10,8.85,8.88,8.04,8.14,3148600,8.14
2009-02-11,8.32,8.32,8.05,8.24,1727900,8.24
2009-02-12,8.1,8.34,8.0,8.31,2632500,8.31
2009-02-13,8.31,8.48,8.15,8.16,1659900,8.16
2009-02-17,7.9,7.97,7.4,7.69,2019800,7.69
2009-02-18,7.74,7.81,7.42,7.54,1659500,7.54
2009-02-19,7.55,7.7,7.44,7.46,2796200,7.46
2009-02-20,7.31,7.37,6.9,7.13,3965100,7.13
2009-02-23,7.33,7.33,6.6,6.6,2159600,6.6
2009-02-24,6.61,6.81,6.44,6.75,4455700,6.75
2009-02-25,6.69,6.83,6.44,6.7,3494800,6.7
2009-02-26,6.58,6.95,6.56,6.75,2470800,6.75
2009-02-27,6.7,6.86,6.53,6.59,2213800,6.59
2009-03-02,6.55,7.1,6.3,6.31,2869900,6.31
2009-03-03,6.32,6.56,6.21,6.27,3345900,6.27
2009-03-04,6.26,6.72,6.26,6.6,3765600,6.6
2009-03-05,6.51,6.58,6.24,6.34,3734100,6.34
2009-03-06,6.4,6.45,6.0,6.22,3601900,6.22
2009-03-09,6.22,6.32,5.99,6.01,3757400,6.01
2009-03-10,5.95,6.67,5.95,6.66,3556000,6.66
2009-03-11,6.67,7.07,6.55,6.68,2518200,6.68
2009-03-12,6.7,6.89,6.55,6.87,2081800,6.87
2009-03-13,6.93,6.98,6.77,6.9,2137900,6.9
2009-03-16,6.94,7.39,6.86,7.11,3116600,7.11
2009-03-17,7.14,7.41,7.07,7.38,1618800,7.38
2009-03-18,7.34,8.19,7.19,8.14,4003700,8.14
2009-03-19,8.26,8.34,7.61,7.72,2458800,7.72
2009-03-20,7.49,7.89,7.28,7.34,2888500,7.34
2009-03-23,7.49,8.47,7.38,8.45,3738900,8.45
2009-03-24,8.23,8.4,8.02,8.14,2554100,8.14
2009-03-25,8.12,8.65,8.0,8.43,3516600,8.43
2009-03-26,8.59,9.22,8.54,9.12,3618600,9.12
2009-03-27,9.0,9.22,8.64,8.67,2490400,8.67
2009-03-30,8.44,8.57,7.82,8.11,2790800,8.11
2009-03-31,8.23,8.29,7.92,8.15,2263300,8.15
2009-04-01,8.05,8.5,7.91,8.46,1364600,8.46
2009-04-02,9.07,9.72,8.74,9.44,3279000,9.44
2009-04-03,9.44,9.44,9.05,9.26,2607700,9.26
2009-04-06,9.25,9.28,8.93,9.08,2024600,9.08
2009-04-07,8.89,9.11,8.63,9.0,2122600,9.0
2009-04-08,9.0,9.46,8.86,9.42,2234500,9.42
2009-04-09,9.66,10.57,9.51,10.51,2575700,10.51
2009-04-13,10.91,12.33,10.78,11.82,6682800,11.82
2009-04-14,11.67,11.87,11.3,11.39,2605100,11.39
2009-04-15,11.29,11.67,11.24,11.57,2148300,11.57
2009-04-16,11.59,11.95,11.4,11.85,2447500,11.85
2009-04-17,11.96,12.01,11.66,11.89,2971900,11.89
2009-04-20,11.67,11.75,11.04,11.1,2190600,11.1
2009-04-21,11.0,11.36,10.78,11.33,3606200,11.33
2009-04-22,11.2,12.25,11.04,11.83,4296000,11.83
2009-04-23,11.84,12.0,11.5,11.98,2666500,11.98
2009-04-24,11.88,12.7,11.88,12.48,3793200,12.48
2009-04-27,12.23,12.27,11.92,12.07,2608700,12.07
2009-04-28,11.71,12.0,11.5,11.8,3275400,11.8
2009-04-29,12.05,13.23,11.91,13.11,4048000,13.11
2009-04-30,12.93,14.43,12.5,13.8,5302400,13.8
2009-05-01,14.01,14.33,13.39,14.16,3791300,14.16
2009-05-04,14.48,14.98,14.0,14.83,2592700,14.83
2009-05-05,14.84,15.0,14.23,14.28,3312400,14.28
2009-05-06,14.8,14.91,14.09,14.24,2991700,14.24
2009-05-07,14.62,14.83,13.39,13.39,4119300,13.39
2009-05-08,13.52,14.18,13.52,14.04,2897500,14.04
2009-05-11,13.86,14.04,13.38,13.56,1432100,13.56
2009-05-12,13.83,13.88,12.73,12.93,2161600,12.93
2009-05-13,12.73,12.77,12.09,12.14,2443700,12.14
2009-05-14,12.3,12.79,11.92,12.63,1979000,12.63
2009-05-15,12.57,12.7,12.34,12.56,2282700,12.56
2009-05-18,12.73,13.26,12.61,13.26,1917400,13.26
2009-05-19,13.13,13.83,13.11,13.59,2147100,13.59
2009-05-20,13.7,14.1,13.31,13.43,3105000,13.43
2009-05-21,13.39,13.39,12.6,12.75,1754800,12.75
2009-05-22,12.85,13.03,12.32,12.45,1193700,12.45
2009-05-26,11.44,12.56,11.37,12.38,2599500,12.38
2009-05-27,12.33,12.36,11.7,11.74,2008000,11.74
2009-05-28,11.94,12.12,11.33,11.68,1971900,11.68
2009-05-29,11.74,11.83,11.38,11.68,1541000,11.68
2009-06-01,12.18,12.99,11.91,12.76,2641200,12.76
2009-06-02,12.73,12.87,12.4,12.72,1104500,12.72
2009-06-03,12.61,12.62,12.02,12.22,1134500,12.22
2009-06-04,12.28,12.68,12.0,12.6,1829200,12.6
2009-06-05,12.93,13.77,12.9,13.31,2761700,13.31
2009-06-08,13.53,13.53,12.96,13.23,1212600,13.23
2009-06-09,13.24,13.71,13.15,13.58,1305900,13.58
2009-06-10,13.71,13.71,12.85,13.0,2372800,13.0
2009-06-11,13.1,13.41,12.99,13.18,1419800,13.18
2009-06-12,13.21,13.21,12.76,13.06,1031800,13.06
2009-06-15,12.83,12.88,12.28,12.39,1471600,12.39
2009-06-16,12.46,12.78,11.88,11.91,1656500,11.91
2009-06-17,11.87,12.21,11.67,11.96,1242200,11.96
2009-06-18,11.87,12.17,11.73,12.13,1113200,12.13
2009-06-19,12.27,12.54,12.05,12.25,2272700,12.25
2009-06-22,12.07,12.07,10.99,11.12,1932800,11.12
2009-06-23,11.15,11.33,10.88,11.05,1531600,11.05
2009-06-24,11.15,11.54,10.99,11.34,1222900,11.34
2009-06-25,11.2,11.89,11.2,11.87,1684400,11.87
2009-06-26,11.72,12.14,11.65,12.01,2010300,12.01
2009-06-29,12.06,12.2,11.74,11.98,676600,11.98
2009-06-30,11.87,12.08,11.59,11.81,1089100,11.81
2009-07-01,11.8,12.15,11.78,12.01,1679400,12.01
2009-07-02,11.58,11.81,10.8,11.06,3508100,11.06
