Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,11.0,11.229999,11.0,11.14,8761900,3.178201
2009-01-05,11.14,11.25,11.090001,11.17,10687500,3.18676
2009-01-06,11.260001,11.4,11.1,11.15,10956200,3.181054
2009-01-07,11.1,11.12,10.740001,10.79,10747000,3.078348
2009-01-08,10.760001,10.99,10.75,10.94,9005200,3.121142
2009-01-09,10.950001,11.220001,10.85,11.08,10655400,3.161084
2009-01-12,11.1,11.17,10.910001,10.99,6971300,3.135407
2009-01-13,10.99,11.04,10.75,10.83,7751800,3.089759
2009-01-14,10.770001,10.83,10.46,10.67,8025400,3.044112
2009-01-15,10.68,10.69,10.36,10.590001,11475400,3.021289
2009-01-16,10.700001,10.92,10.54,10.71,8389600,3.055524
2009-01-20,10.65,10.78,10.33,10.380001,8253400,2.961376
2009-01-21,10.560001,10.560001,10.21,10.520001,11297300,3.001318
2009-01-22,10.39,10.550001,10.300001,10.43,8101800,2.975641
2009-01-23,10.25,10.53,10.18,10.48,7106900,2.989906
2009-01-26,10.520001,10.99,10.490001,10.87,10285600,3.101171
2009-01-27,10.93,11.19,10.83,11.1,8858900,3.16679
2009-01-28,11.180001,11.180001,10.73,10.810001,9137600,3.149307
2009-01-29,10.770001,10.950001,10.65,10.71,5797500,3.120174
2009-01-30,10.380001,10.47,9.600001,9.68,27498200,2.820101
2009-02-02,9.62,9.75,9.26,9.38,25939900,2.732702
2009-02-03,9.48,9.970001,9.390001,9.75,18093400,2.840495
2009-02-04,10.12,10.73,10.050001,10.630001,29007900,3.096868
2009-02-05,10.6,10.760001,10.48,10.68,17491000,3.111434
2009-02-06,10.64,10.880001,10.41,10.770001,14231100,3.137654
2009-02-09,10.840001,10.840001,10.64,10.79,8883600,3.143481
2009-02-10,10.75,10.840001,10.33,10.53,14969400,3.067734
2009-02-11,10.53,10.57,10.2,10.37,9813500,3.021121
2009-02-12,10.19,10.36,9.91,10.21,11495500,2.974508
2009-02-13,10.25,10.32,10.060001,10.170001,6438600,2.962854
2009-02-17,9.95,9.95,9.48,9.49,10722800,2.764748
2009-02-18,9.53,9.590001,8.85,8.92,19324200,2.598688
2009-02-19,8.95,9.100001,8.79,8.8,11787200,2.563728
2009-02-20,8.73,8.890001,8.470001,8.7,12469200,2.534595
2009-02-23,8.7,8.880001,8.470001,8.5,9459800,2.476329
2009-02-24,8.770001,9.21,8.73,9.16,19516600,2.668608
2009-02-25,9.21,9.24,8.94,9.100001,13004700,2.651129
2009-02-26,9.180001,9.300001,8.9,8.92,7743200,2.598688
2009-02-27,8.85,9.01,8.6,8.75,14228800,2.549162
2009-03-02,8.61,8.73,8.3,8.310001,9792900,2.420976
2009-03-03,8.39,8.510001,7.96,7.99,9080300,2.327749
2009-03-04,8.09,8.520001,8.010001,8.420001,15799100,2.453022
2009-03-05,8.270001,8.420001,7.79,7.86,11263400,2.289876
2009-03-06,7.83,8.38,7.83,8.17,17896400,2.380189
2009-03-09,8.19,8.520001,8.060001,8.33,14279000,2.426802
2009-03-10,8.32,8.75,8.32,8.720001,11330100,2.540422
