Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,14.01,14.83,13.85,14.77,5720900,13.934293
2009-01-05,14.4,14.82,14.27,14.39,8803000,13.575793
2009-01-06,14.2,14.76,13.93,14.64,10872000,13.811648
2009-01-07,14.33,14.49,13.79,13.94,9483700,13.151254
2009-01-08,14.17,15.15,13.97,15.11,10765200,14.255054
2009-01-09,14.95,15.1,14.35,14.75,6256900,13.915424
2009-01-12,14.33,14.46,13.89,14.18,8390000,13.377676
2009-01-13,14.14,14.33,13.56,13.82,8099200,13.038044
2009-01-14,13.78,14.12,13.57,13.81,6659200,13.028611
2009-01-15,14.12,14.45,13.55,14.26,13015000,13.453149
2009-01-16,14.4,14.99,14.23,14.92,10218100,14.075805
2009-01-20,14.54,14.78,13.58,13.6,7578600,12.830493
2009-01-21,13.82,14.1,13.5,14.01,6769500,13.217294
2009-01-22,13.68,14.61,13.6,14.35,7156100,13.538057
2009-01-23,14.08,15.69,13.85,15.32,14749200,14.453172
2009-01-26,15.3,15.91,14.7,14.85,10679600,14.009766
2009-01-27,14.93,15.53,14.85,15.4,7648400,14.528646
2009-01-28,15.56,16.32,15.53,16.26,8422200,15.339986
2009-01-29,16.0,16.280001,15.84,15.94,6294900,15.038091
2009-01-30,16.049999,16.26,14.77,14.83,9407100,13.990897
2009-02-02,14.77,15.37,14.34,15.19,12256000,14.330528
2009-02-03,15.39,15.39,14.62,15.31,6041800,14.443739
2009-02-04,15.23,15.7,14.97,15.05,8942100,14.19845
2009-02-05,14.85,15.42,14.65,15.37,10442300,14.500343
2009-02-06,15.25,16.26,15.21,16.139999,9533400,15.226775
2009-02-09,16.4,16.74,15.85,16.299999,14211800,15.377722
2009-02-10,15.97,16.299999,14.77,14.93,16317900,14.085239
2009-02-11,15.25,15.5,14.89,15.2,13069400,14.339962
2009-02-12,14.1,16.700001,14.07,16.4,31457100,15.472064
2009-02-13,16.209999,16.48,15.87,16.110001,10119900,15.198474
2009-02-17,15.67,15.92,15.36,15.59,8785500,14.707896
2009-02-18,15.66,15.84,15.01,15.15,10059600,14.292791
2009-02-19,15.34,15.35,14.44,14.45,10231500,13.632398
2009-02-20,14.48,14.71,14.0,14.21,14018200,13.405978
2009-02-23,14.25,14.29,13.0,13.04,16411900,12.302178
2009-02-24,13.29,13.78,13.13,13.54,12522600,12.773887
2009-02-25,13.32,14.06,13.26,13.71,14194900,12.934269
2009-02-26,13.92,13.95,13.12,13.17,11805100,12.424823
2009-02-27,12.86,13.86,12.84,13.44,10332000,12.679545
2009-03-02,13.19,13.5,12.83,12.9,9991700,12.170099
2009-03-03,13.35,13.62,12.96,13.31,9224900,12.556901
2009-03-04,13.6,13.79,13.01,13.59,8991800,12.821058
2009-03-05,13.33,13.62,13.03,13.07,10884400,12.33048
2009-03-06,13.09,13.4,12.6,12.9,11576600,12.170099
2009-03-09,12.72,13.2,12.39,12.52,10869600,11.811601
2009-03-10,12.82,13.88,12.77,13.8,13244300,13.019176
2009-03-11,13.81,14.7,13.75,14.56,12404000,13.736175
2009-03-12,14.48,15.04,14.2,14.99,7182200,14.141844
2009-03-13,15.02,15.31,14.73,15.05,6985500,14.19845
2009-03-16,15.06,15.1,14.4,14.43,8197000,13.61353
2009-03-17,14.53,14.85,14.23,14.85,11558300,14.009766
2009-03-18,14.65,16.4,14.58,16.030001,20601500,15.123
2009-03-19,16.129999,16.190001,15.58,15.66,10224200,14.773935
2009-03-20,15.94,16.0,14.48,14.84,15678500,14.000332
2009-03-23,15.23,16.08,14.69,16.01,15021600,15.104131
2009-03-24,15.77,15.96,15.19,15.5,10373100,14.622988
2009-03-25,15.83,15.9,14.72,15.26,9783100,14.396567
2009-03-26,15.33,15.86,15.25,15.86,11483500,14.962618
2009-03-27,15.63,15.63,15.04,15.09,7858000,14.236186
2009-03-30,14.88,14.89,14.43,14.67,6448900,13.83995
2009-03-31,14.73,15.16,14.65,14.84,6410200,14.000332
2009-04-01,14.56,15.48,14.25,15.4,8403500,14.528646
2009-04-02,15.7,16.030001,15.55,15.7,9682200,14.811671
2009-04-03,15.67,16.129999,15.49,16.129999,8700500,15.217341
