Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,7.21,7.71,7.21,7.59,869800,7.343579
2009-01-05,7.54,7.7,7.08,7.6,965100,7.353254
2009-01-06,7.65,7.81,7.54,7.7,1006300,7.450007
2009-01-07,7.51,7.65,7.26,7.34,736800,7.101695
2009-01-08,7.32,7.36,7.07,7.32,827700,7.082345
2009-01-09,7.36,7.4,7.0,7.06,677400,6.830786
2009-01-12,7.0,7.03,6.72,6.75,720500,6.530851
2009-01-13,6.63,6.91,6.61,6.81,852100,6.588902
2009-01-14,6.62,6.68,6.22,6.26,1273600,6.056759
2009-01-15,6.2,6.39,5.86,6.18,1349200,5.979356
2009-01-16,6.22,6.44,5.93,6.41,1523100,6.201889
2009-01-20,6.49,6.59,5.85,5.91,1295000,5.718122
2009-01-21,6.02,6.12,5.66,6.0,1028400,5.8052
2009-01-22,5.79,6.12,5.42,5.58,1133000,5.398836
2009-01-23,5.5,5.92,5.39,5.75,1308500,5.563317
2009-01-26,5.64,6.08,5.64,5.72,1094900,5.534291
2009-01-27,5.72,5.98,5.54,5.6,1484800,5.418187
2009-01-28,5.76,6.19,5.76,5.98,1465200,5.78585
2009-01-29,5.9,5.99,5.51,5.57,985200,5.389161
2009-01-30,5.57,5.7,4.88,4.97,1743300,4.808641
2009-02-02,4.93,4.96,4.69,4.86,1199200,4.702212
2009-02-03,4.88,5.1,4.68,5.1,1516300,4.93442
2009-02-04,5.07,5.11,4.79,4.79,1017000,4.634485
2009-02-05,4.79,4.95,4.73,4.9,670700,4.740914
2009-02-06,4.88,5.25,4.81,5.05,1374600,4.886044
2009-02-09,5.1,5.1,4.72,4.72,856300,4.566757
2009-02-10,4.67,4.8,4.23,4.23,1835500,4.092666
2009-02-11,4.23,4.42,4.18,4.33,857600,4.18942
2009-02-12,4.28,4.32,4.05,4.31,840200,4.170069
2009-02-13,4.32,4.32,3.99,4.06,1004500,3.928186
2009-02-17,3.94,3.94,3.73,3.77,868700,3.647601
2009-02-18,3.78,3.83,3.65,3.71,826000,3.589549
2009-02-19,4.02,4.02,3.46,3.51,1428300,3.396042
2009-02-20,3.47,4.14,3.44,4.07,3018300,3.937861
2009-02-23,4.05,4.11,3.92,3.99,1565600,3.860458
2009-02-24,3.94,4.17,3.82,3.95,1899700,3.821757
2009-02-25,3.94,4.08,3.49,3.96,1507300,3.831432
2009-02-26,3.98,4.2,3.87,4.2,1889100,4.06364
2009-02-27,4.08,4.19,3.93,4.13,2168800,3.995913
2009-03-02,4.12,4.12,3.8,4.03,1753000,3.89916
2009-03-03,4.14,4.35,3.9,4.09,2227100,3.957212
2009-03-04,4.15,4.69,4.06,4.39,1774500,4.247472
2009-03-05,4.23,4.3,3.87,4.08,2509300,3.947536
2009-03-06,4.1,4.32,3.88,4.07,757400,3.937861
2009-03-09,4.02,4.33,3.89,3.9,1145800,3.77338
2009-03-10,3.97,4.16,3.8,4.02,1149600,3.889484
2009-03-11,4.29,4.29,3.74,3.86,1881600,3.734679
2009-03-12,3.82,4.35,3.51,4.15,2548600,4.015264
2009-03-13,4.25,4.41,4.1,4.25,878200,4.112017
