Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,25.780001,26.48,25.309999,26.440001,1126100,16.968418
2009-01-05,26.129999,26.219999,25.629999,25.9,1936500,16.621861
2009-01-06,26.0,27.049999,26.0,26.889999,1796200,17.257214
2009-01-07,26.629999,27.17,26.389999,26.530001,1487400,17.026178
2009-01-08,26.370001,27.16,26.110001,27.110001,1525300,17.398405
2009-01-09,27.24,27.459999,26.469999,26.690001,953900,17.128861
2009-01-12,26.74,26.74,25.57,25.77,1509100,16.538432
2009-01-13,25.77,25.91,25.07,25.32,1625200,16.249634
2009-01-14,25.040001,25.09,24.530001,24.75,1481100,15.883825
2009-01-15,24.700001,24.860001,23.940001,24.76,1622700,15.890243
2009-01-16,25.200001,25.459999,24.57,25.059999,1779200,16.082774
2009-01-20,24.65,24.690001,22.68,22.719999,2704300,14.58103
2009-01-21,24.02,24.049999,22.129999,22.91,2532100,14.702967
2009-01-22,22.700001,22.940001,22.0,22.610001,1758000,14.510436
2009-01-23,22.08,22.74,21.58,22.379999,2071900,14.362828
2009-01-26,22.309999,22.85,22.030001,22.360001,1995400,14.349994
2009-01-27,22.43,22.709999,22.049999,22.48,2055200,14.427006
2009-01-28,22.9,23.48,22.809999,23.26,2204100,14.927587
2009-01-29,23.0,23.610001,22.75,23.1,2277000,14.824904
2009-01-30,22.99,23.129999,22.09,22.26,1847300,14.285816
2009-02-02,22.02,22.129999,21.559999,21.969999,1683200,14.099702
2009-02-03,22.34,22.83,21.84,22.75,1379400,14.600284
2009-02-04,22.889999,23.09,22.35,22.52,1479100,14.452677
2009-02-05,22.620001,23.17,21.969999,23.01,1874100,14.767144
2009-02-06,23.5,25.309999,22.780001,24.16,3441000,15.505181
2009-02-09,24.950001,24.950001,24.07,24.75,2792700,15.883825
2009-02-10,24.59,24.870001,23.33,23.540001,2565100,15.107283
2009-02-11,23.58,23.77,23.07,23.27,1965900,14.934005
2009-02-12,23.200001,23.280001,22.32,23.129999,1889200,14.844156
2009-02-13,23.1,23.25,22.59,22.85,1808100,14.664461
2009-02-17,22.32,22.540001,22.0,22.129999,3116000,14.202386
2009-02-18,22.120001,22.379999,21.51,21.73,1771500,14.176291
2009-02-19,21.65,22.030001,21.07,21.219999,2146300,13.843575
2009-02-20,20.9,21.35,20.219999,20.58,3014200,13.42605
2009-02-23,20.559999,20.93,19.49,19.52,2281900,12.734524
2009-02-24,19.65,20.17,19.110001,20.01,2406400,13.054192
2009-02-25,19.879999,20.0,19.379999,19.6,3034600,12.786715
2009-02-26,20.02,20.139999,19.110001,19.530001,2072900,12.741048
2009-02-27,19.219999,19.790001,19.01,19.290001,2622000,12.584476
2009-03-02,19.120001,19.34,18.42,18.459999,2808600,12.042997
2009-03-03,18.5,18.77,17.620001,17.780001,3859500,11.599377
2009-03-04,17.959999,18.98,17.959999,18.700001,3025500,12.19957
2009-03-05,18.51,18.51,17.889999,18.030001,2920800,11.762473
2009-03-06,18.35,18.379999,17.65,18.02,3644700,11.755949
2009-03-09,17.809999,18.110001,17.639999,17.77,2804800,11.592853
2009-03-10,18.059999,18.879999,17.860001,18.84,2382100,12.290903
2009-03-11,18.799999,19.77,18.799999,19.5,2779100,12.721476
2009-03-12,19.469999,20.25,19.469999,20.219999,2009300,13.191192
2009-03-13,20.27,20.42,19.969999,20.200001,1398000,13.178145
2009-03-16,20.450001,21.43,20.42,21.040001,3345200,13.726147
2009-03-17,21.02,21.719999,20.93,21.709999,1958400,14.163243
2009-03-18,21.41,22.219999,21.219999,21.969999,2208400,14.332863
2009-03-19,21.91,22.26,21.91,22.120001,1528500,14.430721
2009-03-20,22.26,22.91,21.639999,21.84,2364200,14.248053
2009-03-23,22.4,23.309999,21.940001,23.27,2459200,15.180962
2009-03-24,23.040001,23.719999,22.879999,23.17,2667400,15.115723
2009-03-25,23.25,24.02,22.709999,23.43,2421500,15.285343
2009-03-26,23.549999,24.549999,23.52,24.469999,2315100,15.963821
2009-03-27,24.309999,24.459999,23.860001,24.0,1284300,15.657201
