Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,35.200001,35.380001,33.330002,33.599998,2742600,24.870568
2009-01-05,33.400002,34.139999,32.75,33.110001,3046100,24.507874
2009-01-06,33.740002,34.380001,32.349998,34.130001,4352500,25.262874
2009-01-07,33.580002,33.860001,32.560001,32.740002,2875000,24.234002
2009-01-08,32.57,33.43,32.02,33.169998,2406500,24.552284
2009-01-09,33.34,33.34,31.549999,31.73,2921400,23.486403
2009-01-12,31.559999,31.66,29.99,30.299999,3335300,22.427923
2009-01-13,29.85,31.110001,29.85,30.639999,3465300,22.67959
2009-01-14,29.889999,30.549999,29.67,29.83,4407400,22.080032
2009-01-15,29.76,32.07,29.09,31.74,5265900,23.493805
2009-01-16,32.529999,33.200001,30.809999,32.709999,4254500,24.211795
2009-01-20,32.009998,32.5,29.35,29.51,5371800,21.84317
2009-01-21,30.49,32.439999,29.25,32.25,5186100,23.871305
2009-01-22,31.52,32.169998,30.09,30.860001,4794600,22.842434
2009-01-23,30.209999,31.82,29.82,31.700001,3463300,23.464198
2009-01-26,32.040001,32.200001,30.18,30.74,3469200,22.75361
2009-01-27,31.190001,31.790001,30.51,31.639999,3706700,23.419786
2009-01-28,32.099998,33.650002,31.709999,33.369999,5031900,24.700323
2009-01-29,32.959999,32.990002,31.09,31.24,5200600,23.123708
2009-01-30,31.620001,32.02,30.440001,30.77,5081500,22.775816
2009-02-02,30.190001,31.120001,29.58,30.959999,4439800,22.916452
2009-02-03,32.0,32.240002,30.620001,31.65,4455900,23.427188
2009-02-04,31.799999,32.25,30.68,30.68,3675200,22.709199
2009-02-05,30.639999,31.9,30.0,31.0,4703400,22.946061
2009-02-06,31.389999,33.459999,31.08,33.299999,4158900,24.64851
2009-02-09,33.400002,33.869999,32.759998,33.75,2577600,24.981599
2009-02-10,33.139999,33.799999,31.139999,31.32,5607000,23.182923
2009-02-11,31.5,32.639999,31.049999,32.52,4164600,24.071158
2009-02-12,31.82,32.349998,30.17,32.07,7284700,23.73807
2009-02-13,31.84,32.23,30.700001,30.73,4338200,22.746208
2009-02-17,30.25,30.49,29.559999,29.75,6373400,22.020817
2009-02-18,29.540001,30.209999,28.879999,29.74,5104300,22.328642
2009-02-19,30.1,30.49,28.719999,28.950001,5187600,21.735514
2009-02-20,28.389999,30.5,27.74,30.049999,8123500,22.561388
2009-02-23,30.549999,30.549999,28.030001,28.16,6934800,21.142386
2009-02-24,28.49,30.15,27.639999,30.0,6620100,22.523848
2009-02-25,29.540001,30.200001,28.309999,29.1,7039300,21.848133
2009-02-26,29.49,29.790001,27.219999,27.440001,6016000,20.601814
2009-02-27,26.74,27.43,26.07,26.23,7779000,19.693351
2009-03-02,25.610001,26.190001,24.209999,24.440001,9480800,18.349429
2009-03-03,24.6,25.879999,24.040001,24.940001,8009100,18.724826
2009-03-04,25.540001,25.99,24.709999,25.450001,6841700,19.107732
2009-03-05,24.629999,25.110001,23.559999,23.92,7638200,17.959015
2009-03-06,25.209999,25.209999,22.879999,24.02,8008400,18.034095
2009-03-09,23.459999,24.02,23.08,23.790001,6415400,17.861412
2009-03-10,24.1,26.530001,23.67,26.530001,9315400,19.91859
2009-03-11,26.75,26.84,25.1,25.440001,6745400,19.100224
2009-03-12,25.33,27.0,25.139999,26.860001,7411100,20.166353
2009-03-13,26.98,27.25,25.92,26.9,5906100,20.196384
2009-03-16,26.889999,26.889999,24.469999,24.59,7692700,18.462048
2009-03-17,24.49,26.4,24.379999,26.35,7588400,19.783447
2009-03-18,26.139999,27.5,25.290001,27.34,8317200,20.526734
2009-03-19,27.82,28.48,27.049999,27.459999,8994000,20.616829
2009-03-20,27.52,28.030001,26.5,26.58,7450400,19.95613
2009-03-23,27.42,30.4,27.34,30.379999,9267400,22.80915
2009-03-24,29.530001,30.17,28.209999,28.51,8337600,21.405164
2009-03-25,28.809999,29.18,26.280001,28.049999,7995900,21.059798
2009-03-26,28.129999,28.870001,27.1,28.82,6326600,21.63791
2009-03-27,27.620001,28.790001,27.620001,28.07,5113500,21.074814
2009-03-30,27.280001,27.92,26.889999,26.99,6021500,20.263955
2009-03-31,27.280001,29.379999,27.209999,29.07,8596700,21.825609
2009-04-01,28.889999,29.42,28.35,28.83,5947600,21.645418
2009-04-02,29.620001,30.09,28.629999,29.84,7231500,22.403721
2009-04-03,29.93,30.959999,28.870001,30.76,6727600,23.094453
2009-04-06,30.34,31.17,29.52,30.639999,4939900,23.004357
2009-04-07,30.219999,30.25,28.27,28.299999,5744700,21.247496
2009-04-08,28.540001,29.120001,27.790001,28.809999,5239500,21.630402
2009-04-09,29.83,32.119999,29.030001,31.98,8307100,24.010422
2009-04-13,31.43,33.330002,30.950001,32.799999,5338300,24.626074
2009-04-14,32.189999,33.099998,30.809999,31.030001,6803700,23.297168
2009-04-15,30.83,32.439999,30.040001,32.349998,6551500,24.288215
2009-04-16,32.830002,34.119999,31.360001,33.27,5734300,24.978948
2009-04-17,32.970001,34.369999,32.650002,33.689999,5254600,25.294281
2009-04-20,32.759998,33.02,30.74,31.09,6604600,23.342215
2009-04-21,30.76,33.529999,30.0,33.209999,8281800,24.9339
2009-04-22,32.439999,34.700001,32.150002,32.610001,7553200,24.483424
2009-04-23,32.5,34.830002,32.459999,34.759998,5468600,26.097631
2009-04-24,34.849998,36.970001,34.0,36.349998,6326100,27.291395
2009-04-27,35.689999,36.389999,34.310001,34.900002,4837500,26.202745
2009-04-28,34.66,34.860001,33.25,34.040001,3994600,25.557061
2009-04-29,34.130001,35.02,33.279999,33.799999,5709800,25.376869
2009-04-30,34.200001,35.0,34.060001,34.52,4518300,25.917442
2009-05-01,33.82,34.849998,33.73,34.0,3025500,25.527028
2009-05-04,34.060001,36.48,34.060001,36.450001,5660400,27.366476
2009-05-05,36.130001,36.450001,34.91,35.169998,3492400,26.405457
2009-05-06,35.709999,36.439999,34.43,35.169998,5641000,26.405457
2009-05-07,35.900002,36.349998,32.919998,33.48,5545500,25.136614
2009-05-08,33.759998,35.5,33.759998,35.200001,5714600,26.427983
2009-05-11,34.689999,35.419998,34.189999,34.360001,5658500,25.797315
2009-05-12,34.689999,35.380001,33.630001,34.650002,4957200,26.015046
2009-05-13,33.5,34.200001,32.400002,32.52,6065400,24.715435
2009-05-14,32.419998,33.16,32.049999,32.84,5767800,24.958637
2009-05-15,32.709999,33.07,31.629999,32.07,3898200,24.373431
2009-05-18,32.650002,34.439999,32.43,34.32,5015600,26.083447
2009-05-19,33.970001,34.57,33.52,33.68,3363900,25.597043
2009-05-20,34.310001,34.82,32.529999,32.720001,4432200,24.867437
2009-05-21,32.049999,33.09,31.719999,32.580002,2941400,24.761036
2009-05-22,32.610001,33.220001,32.099998,32.150002,2305700,24.434233
2009-05-26,31.99,33.900002,31.690001,33.740002,4455700,25.642644
2009-05-27,33.900002,34.080002,32.459999,32.689999,4744800,24.844634
2009-05-28,32.959999,33.919998,32.5,33.689999,3652000,25.604642
