Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,61.689999,62.970001,61.060001,62.799999,11135700,49.532896
2009-01-05,62.32,62.439999,61.59,62.349998,14322800,49.177963
2009-01-06,62.5,62.950001,61.509998,62.169998,13401600,49.035989
2009-01-07,61.330002,61.66,60.639999,61.080002,12415600,48.176265
2009-01-08,60.91,61.25,60.0,60.41,11508100,47.647807
2009-01-09,60.639999,60.799999,59.75,59.860001,10843200,47.214001
2009-01-12,59.75,60.419998,59.689999,59.939999,11373200,47.277098
2009-01-13,59.959999,60.290001,59.02,59.470001,15791900,46.906392
2009-01-14,59.049999,59.18,57.220001,57.860001,16108100,45.63652
2009-01-15,57.09,57.48,56.549999,57.459999,18807200,45.321022
2009-01-16,58.080002,58.25,57.119999,57.73,18904200,45.533983
2009-01-20,57.77,58.450001,57.23,57.43,17999300,45.297361
2009-01-21,58.200001,58.200001,56.490002,57.57,18204700,45.72627
2009-01-22,57.380001,57.560001,56.27,56.959999,19133700,45.241763
2009-01-23,56.540001,56.610001,55.59,56.0,21067500,44.479262
2009-01-26,55.950001,56.919998,55.610001,56.369999,17032100,44.773142
2009-01-27,56.48,57.389999,56.200001,56.700001,11962900,45.035254
2009-01-28,57.5,58.380001,56.900002,58.18,17743200,46.210777
2009-01-29,57.790001,59.0,57.560001,58.220001,14550300,46.242548
2009-01-30,56.5,56.84,54.240002,54.5,35110700,43.287854
2009-02-02,54.0,54.380001,52.209999,53.049999,19427200,42.136158
2009-02-03,53.490002,54.09,52.540001,53.91,14898500,42.819233
2009-02-04,54.330002,54.450001,52.209999,52.52,14760300,41.715194
2009-02-05,52.290001,53.599998,52.130001,53.32,17727500,42.350612
2009-02-06,53.419998,54.459999,53.060001,54.0,15338000,42.890717
2009-02-09,53.889999,53.98,52.669998,52.939999,13422200,42.048787
2009-02-10,52.740002,53.459999,50.970001,51.450001,22520700,40.865323
2009-02-11,51.799999,51.91,50.860001,51.16,16404400,40.634983
2009-02-12,50.93,51.400002,49.950001,51.279999,18019300,40.730295
2009-02-13,51.369999,51.68,50.73,51.09,11644800,40.579384
2009-02-17,50.0,50.939999,49.279999,50.110001,20833900,39.800998
2009-02-18,49.84,51.169998,49.75,50.950001,16755100,40.468187
2009-02-19,51.5,52.049999,51.029999,51.130001,13503700,40.611156
2009-02-20,50.240002,51.360001,49.799999,50.25,19555100,39.912195
2009-02-23,50.490002,50.490002,48.790001,48.900002,15129900,38.839929
2009-02-24,49.279999,50.18,48.970001,49.77,14983500,39.530945
2009-02-25,49.59,50.48,49.220001,49.919998,17411600,39.650084
2009-02-26,50.099998,50.200001,48.900002,48.970001,13606800,38.895527
2009-02-27,48.66,49.110001,47.759998,48.169998,20748000,38.260107
2009-03-02,47.32,47.93,46.799999,46.869999,19033100,37.227553
2009-03-03,47.330002,47.880001,46.380001,46.630001,19531800,37.036929
2009-03-04,46.93,48.0,46.669998,47.310001,15699900,37.577035
2009-03-05,46.450001,46.810001,44.93,45.400002,19466600,36.059975
2009-03-06,45.869999,46.59,44.630001,45.709999,19553000,36.306197
2009-03-09,45.299999,45.599998,43.93,44.18,16927300,35.090961
2009-03-10,44.509998,45.189999,44.369999,45.169998,20635700,35.877289
2009-03-11,45.59,45.740002,44.759998,45.07,13395900,35.797863
2009-03-12,44.889999,45.900002,44.52,45.779999,13715200,36.361796
2009-03-13,46.099998,47.080002,45.66,46.950001,13905600,37.291096
2009-03-16,47.369999,48.41,47.169998,47.82,15181900,37.982113
2009-03-17,47.950001,48.139999,47.41,47.98,11481500,38.109196
2009-03-18,47.75,48.75,46.990002,48.02,16707400,38.140968
2009-03-19,48.240002,48.419998,46.200001,46.310001,16169800,36.782763
2009-03-20,46.549999,46.939999,45.52,45.59,25558100,36.210885
2009-03-23,46.110001,47.799999,46.0,47.740002,16278000,37.918572
2009-03-24,47.419998,48.209999,46.889999,47.07,12158800,37.386408
2009-03-25,47.700001,48.599998,47.200001,48.060001,15275900,38.172739
2009-03-26,48.27,48.82,47.509998,48.759998,16256400,38.728728
2009-03-27,48.209999,49.029999,48.130001,48.57,10402200,38.577817
2009-03-30,48.040001,48.099998,46.57,47.279999,12747900,37.553205
2009-03-31,47.560001,47.830002,46.950001,47.09,13847500,37.402294
2009-04-01,46.75,48.48,46.290001,48.209999,17104300,38.291879
2009-04-02,48.720001,50.290001,48.720001,49.419998,18320500,39.252948
2009-04-03,49.540001,49.75,48.720001,49.630001,14799800,39.419747
2009-04-06,49.459999,49.970001,48.91,49.650002,10345400,39.435633
2009-04-07,49.419998,49.419998,48.529999,48.68,9801300,38.665188
2009-04-08,48.799999,49.0,47.880001,48.470001,9434300,38.498391
2009-04-09,49.169998,49.290001,48.369999,49.189999,14766300,39.070265
2009-04-13,48.880001,49.029999,47.950001,48.040001,12908700,38.156854
2009-04-14,47.98,48.029999,46.98,47.25,15096100,37.529378
2009-04-15,47.68,48.860001,47.650002,48.75,14181600,38.720786
2009-04-16,49.200001,50.740002,49.110001,50.43,16333200,40.055165
2009-04-17,51.150002,51.959999,50.82,51.66,21662400,41.032119
2009-04-20,51.57,51.970001,50.619999,50.73,15444400,40.293446
2009-04-21,50.82,51.669998,49.5,51.369999,12604100,40.80178
2009-04-22,50.959999,50.959999,49.540001,49.599998,13385400,39.736268
2009-04-23,49.84,49.84,48.75,49.32,11859200,39.511952
2009-04-24,49.5,49.889999,49.02,49.509998,11324200,39.664166
2009-04-27,49.07,50.41,49.07,49.970001,9603900,40.03269
2009-04-28,49.75,50.18,49.25,49.689999,9004800,39.808371
2009-04-29,49.91,50.970001,49.82,50.419998,11399200,40.393198
2009-04-30,50.23,50.23,48.25,49.439999,24582200,39.608087
2009-05-01,49.599998,49.75,48.549999,49.5,11888500,39.656156
2009-05-04,49.970001,51.029999,49.689999,50.990002,12625200,40.849848
2009-05-05,50.759998,50.990002,49.509998,49.790001,12299300,39.888486
2009-05-06,50.0,50.860001,49.900002,50.84,14932300,40.729676
2009-05-07,51.0,52.189999,50.619999,51.34,13718200,41.130244
2009-05-08,52.0,52.189999,51.189999,51.57,13417100,41.314504
2009-05-11,51.419998,51.549999,50.23,50.369999,13896700,40.353142
2009-05-12,50.400002,51.349998,50.0,50.939999,13779000,40.809789
2009-05-13,50.529999,51.209999,50.110001,50.959999,11238900,40.825812
2009-05-14,51.02,51.639999,50.75,50.799999,11105800,40.69763
2009-05-15,51.43,51.43,50.369999,50.669998,14120300,40.593482
2009-05-18,50.98,52.610001,50.919998,52.52,14066100,42.075583
2009-05-19,52.57,53.509998,52.27,52.950001,15215200,42.420071
2009-05-20,53.740002,54.77,53.560001,54.02,15964200,43.277284
2009-05-21,53.48,53.48,52.509998,53.02,11225900,42.47615
2009-05-22,53.07,53.740002,52.959999,53.029999,6765000,42.48416
2009-05-26,52.939999,54.099998,52.669998,53.779999,10918600,43.085011
2009-05-27,53.720001,53.779999,51.580002,51.779999,14497600,41.482742
2009-05-28,52.259998,52.669998,51.110001,52.59,16611400,42.131662
2009-05-29,52.619999,52.68,51.5,51.939999,15133700,41.610923
2009-06-01,52.549999,53.650002,52.360001,53.360001,12487300,42.748536
2009-06-02,53.23,54.130001,53.16,53.709999,11923400,43.028931
2009-06-03,53.380001,53.84,52.900002,53.810001,12643500,43.109047
2009-06-04,53.759998,53.860001,52.970001,53.349998,9987000,42.740523
2009-06-05,53.560001,53.950001,52.919998,53.18,10551000,42.604331
2009-06-08,52.93,53.580002,52.59,53.139999,10651800,42.572285
2009-06-09,52.84,52.900002,52.25,52.41,11606000,41.987457
2009-06-10,52.689999,52.93,51.57,52.080002,13082500,41.723085
2009-06-11,52.049999,52.740002,51.950001,52.009998,10862400,41.667002
2009-06-12,51.880001,52.77,51.73,52.549999,10352700,42.099616
2009-06-15,52.380001,52.380001,51.07,51.330002,12158000,41.122234
2009-06-16,51.610001,51.610001,50.029999,50.099998,15721900,40.136836
2009-06-17,50.130001,50.75,50.0,50.009998,12696700,40.064733
2009-06-18,50.07,51.360001,50.009998,51.169998,12999600,40.994049
2009-06-19,51.279999,51.470001,50.240002,50.639999,19541900,40.569449
2009-06-22,50.330002,50.869999,50.209999,50.560001,12992200,40.50536
2009-06-23,50.52,50.82,50.389999,50.549999,10611800,40.497347
2009-06-24,50.580002,50.98,50.060001,50.549999,12399000,40.497347
2009-06-25,50.43,52.029999,50.119999,51.68,13723300,41.40263
2009-06-26,51.459999,52.029999,51.049999,51.75,25128800,41.458709
2009-06-29,51.919998,52.400002,51.599998,52.23,8899900,41.843253
2009-06-30,52.23,52.23,50.75,51.099998,14393700,40.93797
2009-07-01,51.470001,52.529999,51.279999,52.0,14314300,41.658992
2009-07-02,51.790001,51.830002,50.740002,51.110001,15212000,40.945983
2009-07-06,50.75,52.419998,50.52,52.169998,16040900,41.795184
2009-07-07,51.990002,52.439999,51.630001,51.91,13430500,41.58689
2009-07-08,52.02,52.810001,51.540001,52.639999,16899500,42.171718
2009-07-09,52.650002,52.75,52.18,52.41,11648100,41.987457
2009-07-10,52.18,52.5,51.939999,52.220001,9267400,41.835243
2009-07-13,52.060001,53.139999,52.049999,52.98,12289100,42.444104
2009-07-14,53.07,53.77,52.740002,53.540001,12817300,42.89274
2009-07-15,53.610001,54.73,53.5,54.650002,15161300,43.782
2009-07-16,54.650002,55.439999,54.5,55.209999,12622000,44.230633
