Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,14.83,15.19,14.45,15.09,3326500,11.465533
2009-01-05,14.95,15.19,14.75,14.95,3315100,11.359159
2009-01-06,14.95,15.24,14.82,14.98,3590000,11.381953
2009-01-07,14.77,15.03,14.58,14.7,4378500,11.169206
2009-01-08,14.67,14.99,14.61,14.94,3190800,11.351561
2009-01-09,15.0,15.08,14.48,14.57,3347300,11.070431
2009-01-12,14.52,14.78,14.28,14.46,4214200,10.986852
2009-01-13,14.62,14.62,14.05,14.36,8034100,10.910871
2009-01-14,14.02,14.2,13.29,13.36,8751200,10.151061
2009-01-15,13.41,14.39,13.29,13.99,9868500,10.629741
2009-01-16,14.28,14.69,13.81,14.15,6514600,10.751311
2009-01-20,13.64,14.8,13.0,13.0,10066000,9.87753
2009-01-21,13.58,13.63,12.77,13.56,10998600,10.303024
2009-01-22,13.05,13.25,12.33,12.36,8942800,9.391251
2009-01-23,11.97,12.7,11.97,12.63,6338600,9.5964
2009-01-26,12.48,12.9,11.95,12.13,7279400,9.216495
2009-01-27,12.25,12.35,11.91,12.3,5567800,9.345663
2009-01-28,13.0,13.47,12.65,13.44,8187100,10.211846
2009-01-29,13.08,13.19,12.49,12.49,6042100,9.490026
2009-01-30,12.64,12.71,11.9,12.15,6517900,9.231691
2009-02-02,11.92,12.25,11.56,12.18,5047900,9.254486
2009-02-03,12.2,12.64,12.14,12.52,5744500,9.512821
2009-02-04,12.62,12.8,12.39,12.61,5993000,9.581203
2009-02-05,12.52,12.9,12.47,12.67,6049000,9.626792
2009-02-06,12.82,13.15,12.61,13.09,6709300,9.945913
2009-02-09,13.1,13.35,12.91,13.23,4157300,10.052286
2009-02-10,13.01,13.23,12.07,12.16,9176900,9.239289
2009-02-11,12.5,12.82,12.35,12.79,5847300,9.717969
2009-02-12,12.56,13.22,11.62,13.14,7762300,9.983903
2009-02-13,13.05,13.26,12.77,12.78,5200500,9.710371
2009-02-17,12.0,12.54,11.92,12.1,6979800,9.193701
2009-02-18,12.17,12.53,11.95,12.09,6181400,9.186103
2009-02-19,12.3,12.41,11.76,11.81,6441600,8.973356
2009-02-20,11.65,12.14,11.4,11.89,10117300,9.034141
2009-02-23,12.08,12.08,11.45,11.48,6704800,8.722618
2009-02-24,11.58,12.24,11.44,12.23,8731200,9.292476
2009-02-25,12.38,12.38,11.62,11.91,8255700,9.049337
2009-02-26,11.95,12.27,11.93,12.06,6880200,9.163309
2009-02-27,11.75,11.82,11.34,11.57,9658900,8.791001
2009-03-02,11.34,11.78,11.18,11.22,7541600,8.525068
2009-03-03,11.42,11.47,10.8,11.08,8304400,8.418694
2009-03-04,11.2,11.63,10.83,11.35,9710000,8.623843
2009-03-05,11.14,11.22,10.19,10.38,10672100,7.886828
2009-03-06,10.42,10.5,9.99,10.32,7934900,7.841239
2009-03-09,10.15,10.42,9.78,9.89,11071300,7.514521
2009-03-10,10.09,10.51,9.76,10.51,13353800,7.985603
2009-03-11,10.61,11.56,10.57,11.12,17019000,8.449087
2009-03-12,10.91,12.1,10.86,12.0,10175300,9.11772
2009-03-13,12.02,12.33,11.83,12.31,7089300,9.353261
2009-03-16,12.45,12.55,11.95,11.99,8841200,9.110121
2009-03-17,12.02,12.78,11.83,12.74,6093700,9.679979
2009-03-18,12.74,13.39,12.3,13.38,9993600,10.166257
2009-03-19,13.67,13.67,12.91,12.97,7696400,9.854736
2009-03-20,13.18,13.33,12.52,12.86,7752300,9.771156
2009-03-23,13.24,14.03,13.07,13.89,9271000,10.553761
2009-03-24,13.55,13.8,13.03,13.47,7714500,10.234641
2009-03-25,13.39,13.84,12.89,13.59,8018800,10.325818
2009-03-26,13.68,13.75,13.2,13.6,6531600,10.333416
2009-03-27,13.21,13.68,13.18,13.43,5535400,10.204248
2009-03-30,13.15,13.35,12.78,12.79,7426500,9.717969
2009-03-31,13.1,13.52,12.8,13.44,7884300,10.211846
2009-04-01,13.11,13.86,13.1,13.8,5806600,10.485378
2009-04-02,14.13,14.52,13.69,13.75,8717600,10.447387
2009-04-03,13.6,13.84,13.35,13.73,5840700,10.432191
2009-04-06,13.0,13.9,13.0,13.82,4614100,10.500574
2009-04-07,13.53,14.0,13.46,13.57,4753000,10.310621
2009-04-08,13.7,14.07,13.7,14.05,3889900,10.67533
2009-04-09,14.81,14.88,13.85,14.73,9851400,11.192001
2009-04-13,14.55,15.05,14.42,14.96,7628900,11.366757
2009-04-14,14.51,15.0,14.3,14.45,10126500,10.979254
2009-04-15,14.15,15.81,13.86,15.8,10937900,12.004998
2009-04-16,15.87,16.030001,15.53,15.78,7464500,11.989801
2009-04-17,15.6,16.02,15.38,15.83,12418300,12.027792
2009-04-20,15.41,16.15,15.22,15.24,9072300,11.579504
2009-04-21,14.83,16.23,14.83,16.190001,9427100,12.301324
2009-04-22,15.78,16.059999,15.35,15.37,9334500,11.678279
2009-04-23,15.37,15.85,14.94,15.74,6794900,11.959409
2009-04-24,15.79,15.95,15.21,15.46,9690800,11.746662
2009-04-27,15.17,15.89,15.17,15.61,6029100,11.860633
2009-04-28,15.84,15.85,15.3,15.44,4954400,11.731466
2009-04-29,15.62,15.79,15.37,15.6,7908200,11.853036
2009-04-30,15.7,15.7,15.24,15.28,6013400,11.609896
2009-05-01,15.26,15.54,15.18,15.29,5081900,11.617494
2009-05-04,15.33,15.76,14.97,15.67,10334800,11.906222
2009-05-05,15.53,15.79,15.36,15.52,5887800,11.792251
2009-05-06,15.56,16.129999,15.55,16.08,8158800,12.217744
2009-05-07,16.24,16.24,15.55,15.62,7435300,11.868232
2009-05-08,15.75,16.17,15.55,16.129999,8711500,12.255734
2009-05-11,15.67,15.88,15.24,15.32,6924500,11.640289
2009-05-12,15.54,15.79,15.21,15.45,7198400,11.739064
2009-05-13,15.39,16.09,15.07,15.52,8798100,11.792251
2009-05-14,15.46,16.35,15.45,16.26,9465000,12.35451
2009-05-15,16.200001,16.379999,15.88,16.0,5562400,12.15696
2009-05-18,16.25,16.6,15.75,16.5,8335700,12.536865
2009-05-19,16.299999,16.91,16.17,16.57,7100500,12.590051
2009-05-20,16.82,17.0,16.120001,16.209999,5539100,12.316519
2009-05-21,16.01,16.219999,15.71,15.94,5807900,12.111371
2009-05-22,16.059999,16.280001,15.78,15.96,3199800,12.126567
2009-05-26,15.85,16.559999,15.85,16.559999,6202000,12.582453
2009-05-27,16.51,16.559999,15.52,15.55,7661800,11.815045
2009-05-28,15.69,15.91,15.44,15.88,6978700,12.065782
2009-05-29,15.94,16.15,15.63,16.129999,5231000,12.255734
2009-06-01,16.43,16.83,16.07,16.68,6972500,12.673631
2009-06-02,16.49,16.969999,16.49,16.76,4918100,12.734415
2009-06-03,16.65,16.860001,16.360001,16.51,4649600,12.544463
2009-06-04,16.58,16.75,16.370001,16.639999,5318400,12.643237
2009-06-05,16.76,16.959999,16.450001,16.58,4868800,12.597649
2009-06-08,16.48,16.91,16.35,16.799999,4113300,12.764807
2009-06-09,16.74,16.74,16.5,16.65,3910700,12.650836
2009-06-10,16.700001,16.74,15.89,16.07,7237900,12.210146
2009-06-11,15.81,16.209999,15.8,15.97,4755200,12.134165
2009-06-12,16.09,16.09,15.35,15.53,6138200,11.799849
2009-06-15,15.39,15.67,15.27,15.51,5004200,11.784653
2009-06-16,15.57,15.57,15.05,15.06,5230200,11.442738
2009-06-17,15.01,15.41,14.88,15.09,5747600,11.465533
2009-06-18,15.14,15.31,15.0,15.16,4638300,11.518719
2009-06-19,15.38,15.45,15.12,15.17,5445600,11.526317
2009-06-22,14.54,15.01,14.42,14.5,8793300,11.017245
2009-06-23,14.49,14.67,14.32,14.6,4931200,11.093226
2009-06-24,14.7,14.9,14.55,14.75,3841300,11.207197
2009-06-25,14.73,15.0,14.45,14.99,3908600,11.389551
2009-06-26,14.99,15.15,14.9,15.05,4795900,11.43514
2009-06-29,15.11,15.35,15.01,15.32,3386400,11.640289
2009-06-30,15.29,15.29,15.0,15.11,3986300,11.480728
2009-07-01,15.17,15.3,15.03,15.17,3893100,11.526317
