Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,43.189999,45.360001,41.91,45.16,1470900,39.112673
2009-01-05,45.290001,45.610001,44.16,45.34,2070800,39.268569
2009-01-06,45.830002,46.450001,44.939999,45.860001,1698100,39.718937
2009-01-07,45.450001,45.450001,42.549999,43.029999,1415400,37.267898
2009-01-08,42.650002,43.200001,41.77,43.200001,1782300,37.415135
2009-01-09,43.32,43.59,41.560001,42.27,1092400,36.60967
2009-01-12,42.259998,42.259998,40.540001,40.849998,1001700,35.379819
2009-01-13,40.810001,41.5,40.040001,40.619999,1214700,35.180618
2009-01-14,40.029999,40.080002,38.59,38.970001,1690100,33.75157
2009-01-15,39.330002,40.200001,38.099998,39.77,1547400,34.444442
2009-01-16,40.939999,40.939999,38.43,39.77,1804200,34.444442
2009-01-20,36.400002,41.380001,36.380001,40.290001,4180100,34.89481
2009-01-21,40.810001,41.0,38.310001,39.470001,3304000,34.184616
2009-01-22,38.919998,39.040001,37.529999,38.560001,3741600,33.396473
2009-01-23,37.5,40.080002,37.23,39.080002,2243700,33.846841
2009-01-26,38.919998,40.349998,38.380001,38.849998,1877600,33.647637
2009-01-27,39.310001,40.119999,39.040001,39.860001,1483600,34.522391
2009-01-28,40.740002,42.200001,40.450001,41.790001,1973200,36.193947
2009-01-29,41.07,41.57,39.290001,39.619999,1672300,34.314527
2009-01-30,39.400002,39.400002,37.810001,38.209999,2477100,33.093339
2009-02-02,37.619999,39.040001,37.400002,38.110001,2360900,33.006731
2009-02-03,38.619999,39.610001,37.560001,39.32,2134400,34.054701
2009-02-04,39.84,40.939999,39.650002,40.02,1676900,34.660965
2009-02-05,39.599998,41.299999,38.880001,40.709999,2255600,35.258567
2009-02-06,40.650002,42.07,40.610001,41.869999,1568600,36.263232
2009-02-09,41.529999,42.119999,40.720001,41.419998,1889400,35.873491
2009-02-10,40.919998,41.5,38.98,39.419998,1670500,34.141308
2009-02-11,40.790001,42.189999,39.639999,40.279999,1784300,34.886147
2009-02-12,39.59,40.049999,38.630001,40.0,1744100,34.643643
2009-02-13,40.220001,41.700001,40.220001,40.689999,1950300,35.241245
2009-02-17,39.77,39.77,38.18,38.560001,2360100,33.60293
2009-02-18,38.990002,39.549999,38.080002,38.669998,1954900,33.698786
2009-02-19,39.32,39.34,37.599998,37.689999,1707700,32.84477
2009-02-20,37.25,38.41,36.630001,37.470001,1898200,32.653054
2009-02-23,37.830002,38.029999,35.419998,35.52,1919700,30.953735
2009-02-24,35.720001,37.029999,35.040001,36.779999,1704000,32.051755
2009-02-25,36.279999,36.610001,35.009998,35.389999,1730000,30.840446
2009-02-26,35.720001,35.970001,34.119999,34.32,1863600,29.908
2009-02-27,33.849998,34.459999,33.209999,33.369999,2490200,29.080127
2009-03-02,32.860001,32.860001,31.309999,31.42,1740700,27.380809
