Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,13.5,13.9,13.44,13.75,1636900,13.75
2009-01-05,13.58,13.75,13.14,13.36,2884600,13.36
2009-01-06,13.15,13.62,13.07,13.56,2352000,13.56
2009-01-07,13.48,13.58,13.15,13.31,1816500,13.31
2009-01-08,13.34,13.39,12.89,13.37,1962400,13.37
2009-01-09,13.37,13.37,12.94,13.02,1551400,13.02
2009-01-12,12.94,13.05,12.69,12.8,990300,12.8
2009-01-13,12.65,12.98,12.47,12.68,1737100,12.68
2009-01-14,12.48,12.61,12.07,12.24,1914900,12.24
2009-01-15,12.17,12.48,11.86,12.35,2476400,12.35
2009-01-16,12.57,12.67,12.14,12.48,1835400,12.48
2009-01-20,12.73,12.73,11.97,11.97,2558500,11.97
2009-01-21,12.04,12.12,11.69,12.08,3082400,12.08
2009-01-22,11.86,12.38,11.85,12.24,3071600,12.24
2009-01-23,11.99,12.54,11.9,12.26,2796000,12.26
2009-01-26,12.28,12.62,12.15,12.32,3458800,12.32
2009-01-27,12.44,12.63,12.01,12.19,2992000,12.19
2009-01-28,12.35,12.46,11.91,12.12,3356200,12.12
2009-01-29,12.0,12.17,11.69,11.8,2264800,11.8
2009-01-30,11.83,11.91,11.27,11.32,1930400,11.32
2009-02-02,11.25,11.44,11.01,11.18,2468900,11.18
2009-02-03,11.27,11.54,11.01,11.49,2105800,11.49
2009-02-04,11.47,11.75,11.25,11.35,1808400,11.35
2009-02-05,11.69,11.73,11.15,11.37,2643700,11.37
2009-02-06,11.33,11.58,11.31,11.49,1628900,11.49
2009-02-09,11.46,11.59,11.16,11.39,1200400,11.39
2009-02-10,11.29,11.45,10.88,11.02,2154500,11.02
2009-02-11,11.02,11.17,10.58,10.73,2660200,10.73
2009-02-12,10.55,10.59,10.23,10.54,4206300,10.54
2009-02-13,10.53,10.75,10.48,10.59,1840000,10.59
2009-02-17,10.29,10.37,10.13,10.22,1743700,10.22
2009-02-18,10.39,10.47,9.92,9.98,2345200,9.98
2009-02-19,10.09,10.25,9.9,9.93,2091200,9.93
2009-02-20,9.75,9.85,9.56,9.7,2566900,9.7
2009-02-23,9.76,9.89,9.42,9.45,2158300,9.45
2009-02-24,9.55,9.82,9.45,9.73,2288400,9.73
2009-02-25,9.55,9.77,9.35,9.57,2268600,9.57
2009-02-26,9.68,9.73,9.33,9.34,1676800,9.34
2009-02-27,9.28,9.37,9.06,9.22,3191000,9.22
2009-03-02,9.05,9.21,8.82,8.97,3617500,8.97
2009-03-03,9.07,9.45,9.05,9.34,3815200,9.34
2009-03-04,9.4,9.79,9.35,9.61,5045300,9.61
2009-03-05,9.5,9.78,9.32,9.56,3475300,9.56
2009-03-06,9.67,9.85,9.42,9.7,2806900,9.7
2009-03-09,9.63,9.86,9.29,9.34,2050300,9.34
2009-03-10,9.47,9.83,9.42,9.79,1899200,9.79
2009-03-11,9.86,10.03,9.79,9.91,1503600,9.91
2009-03-12,9.73,9.99,9.68,9.99,3299600,9.99
2009-03-13,10.0,10.27,9.89,10.22,1815500,10.22
2009-03-16,10.19,10.55,10.16,10.49,3171500,10.49
2009-03-17,10.45,10.86,10.33,10.85,2644100,10.85
2009-03-18,10.75,11.24,10.75,11.13,2057400,11.13
2009-03-19,11.25,11.34,11.08,11.26,1679200,11.26
2009-03-20,11.27,11.53,11.18,11.22,2808600,11.22
2009-03-23,11.27,11.51,11.16,11.51,2566400,11.51
2009-03-24,11.57,11.9,11.54,11.64,3906000,11.64
2009-03-25,11.72,11.89,11.33,11.68,3342300,11.68
2009-03-26,11.82,12.11,11.79,12.11,1828200,12.11
2009-03-27,11.97,12.14,11.69,11.72,2213600,11.72
2009-03-30,11.55,11.65,11.13,11.27,2288300,11.27
2009-03-31,11.37,11.48,11.1,11.12,3042500,11.12
2009-04-01,11.0,11.45,10.91,11.37,2689500,11.37
2009-04-02,11.37,11.92,11.35,11.63,1867800,11.63
2009-04-03,11.55,11.87,11.55,11.87,1206400,11.87
2009-04-06,11.99,11.99,11.53,11.63,1940600,11.63
2009-04-07,11.46,11.51,10.93,10.99,3113500,10.99
2009-04-08,11.17,11.61,11.04,11.57,2569700,11.57
2009-04-09,11.83,12.14,11.72,12.12,2386100,12.12
2009-04-13,11.89,12.07,11.59,11.69,3428600,11.69
2009-04-14,11.64,11.82,11.54,11.72,2231400,11.72
2009-04-15,11.61,11.83,11.58,11.77,2565500,11.77
2009-04-16,11.82,12.39,11.82,12.31,2483400,12.31
2009-04-17,12.35,12.39,12.08,12.36,2866000,12.36
2009-04-20,12.18,12.22,11.85,11.91,1638200,11.91
2009-04-21,12.57,14.2,12.57,14.12,9023900,14.12
2009-04-22,13.88,14.05,13.41,13.46,5392600,13.46
2009-04-23,13.55,13.93,13.2,13.79,4211600,13.79
2009-04-24,13.82,14.15,13.73,14.07,2034100,14.07
2009-04-27,13.63,14.05,13.57,13.65,3070500,13.65
2009-04-28,13.47,13.79,13.29,13.36,3190300,13.36
2009-04-29,13.45,14.76,13.33,14.23,5597700,14.23
2009-04-30,14.62,14.62,14.11,14.18,3039600,14.18
2009-05-01,13.81,13.81,13.0,13.45,5384300,13.45
2009-05-04,13.52,13.89,13.51,13.79,2530900,13.79
2009-05-05,13.37,13.69,13.37,13.56,1922900,13.56
2009-05-06,13.74,13.79,13.33,13.73,2144300,13.73
2009-05-07,13.75,13.8,12.92,13.01,3418200,13.01
2009-05-08,13.14,13.28,12.68,12.92,4102500,12.92
2009-05-11,12.73,12.91,12.55,12.7,3740700,12.7
2009-05-12,12.59,12.93,12.42,12.75,5371800,12.75
2009-05-13,12.72,12.74,12.18,12.26,3882300,12.26
2009-05-14,12.28,12.76,12.25,12.67,2184700,12.67
2009-05-15,12.65,13.1,12.65,12.83,2478600,12.83
2009-05-18,12.86,13.2,12.84,13.16,2264900,13.16
2009-05-19,13.13,13.67,13.02,13.51,3279500,13.51
2009-05-20,13.53,13.53,13.03,13.08,3503700,13.08
2009-05-21,12.94,13.97,12.9,13.96,4455500,13.96
2009-05-22,13.99,14.0,13.54,13.65,2789100,13.65
2009-05-26,13.5,13.99,13.5,13.86,3503900,13.86
2009-05-27,13.83,13.98,13.48,13.52,3251100,13.52
2009-05-28,13.55,13.71,13.2,13.51,1944000,13.51
2009-05-29,13.59,13.68,13.41,13.65,2429300,13.65
2009-06-01,13.7,14.15,13.66,14.07,2411300,14.07
2009-06-02,14.07,14.45,13.92,14.14,2110400,14.14
2009-06-03,14.01,14.29,13.63,13.79,2046800,13.79
2009-06-04,13.79,14.08,13.72,14.01,1716200,14.01
2009-06-05,14.07,14.24,13.62,13.9,2827800,13.9
2009-06-08,13.9,13.99,13.42,13.7,1735400,13.7
2009-06-09,13.77,13.94,13.58,13.74,1797400,13.74
2009-06-10,14.17,14.17,13.75,13.87,2574000,13.87
2009-06-11,13.88,14.2,13.77,13.86,1910700,13.86
2009-06-12,13.77,13.87,13.38,13.74,1720900,13.74
2009-06-15,13.6,13.71,13.18,13.35,1795000,13.35
2009-06-16,13.14,13.47,13.14,13.19,2444500,13.19
2009-06-17,13.17,13.18,12.72,12.83,3351700,12.83
2009-06-18,12.73,12.97,12.54,12.73,1969600,12.73
2009-06-19,12.8,13.07,12.72,12.87,2796200,12.87
2009-06-22,12.77,12.88,12.38,12.38,1756300,12.38
2009-06-23,12.39,12.5,12.14,12.22,2061500,12.22
2009-06-24,12.25,12.64,12.23,12.36,1849300,12.36
2009-06-25,12.27,12.66,12.21,12.58,1383100,12.58
2009-06-26,12.54,12.63,12.41,12.55,3974500,12.55
2009-06-29,12.66,12.92,12.5,12.82,1780700,12.82
2009-06-30,13.09,13.09,12.6,12.68,1680100,12.68
2009-07-01,12.62,13.14,12.62,12.96,1876000,12.96
2009-07-02,12.76,12.87,12.65,12.69,1361900,12.69
2009-07-06,12.49,12.88,12.49,12.7,2213200,12.7
2009-07-07,12.62,12.94,12.48,12.56,2345400,12.56
2009-07-08,12.4,12.64,11.99,12.19,3031300,12.19
2009-07-09,12.26,12.75,12.26,12.52,3021400,12.52
2009-07-10,12.6,13.26,12.6,13.11,4647500,13.11
2009-07-13,13.15,13.26,12.9,13.16,2120200,13.16
2009-07-14,13.1,13.28,12.91,13.05,2952300,13.05
2009-07-15,13.24,13.61,13.2,13.56,3164300,13.56
2009-07-16,13.84,13.94,13.45,13.76,5439900,13.76
