Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,39.529999,40.689999,38.580002,40.419998,616800,33.96428
2009-01-05,40.400002,40.599998,39.279999,40.099998,594700,33.695389
2009-01-06,40.509998,41.240002,40.099998,40.810001,954600,34.291993
2009-01-07,39.98,40.119999,38.23,38.689999,1356000,32.510589
2009-01-08,38.759998,39.18,38.02,38.709999,370100,32.527395
2009-01-09,39.07,39.209999,37.279999,38.200001,950600,32.098851
2009-01-12,38.060001,38.119999,35.849998,36.41,728700,30.594742
2009-01-13,36.119999,37.02,35.110001,35.830002,900600,30.107379
2009-01-14,35.299999,35.759998,33.669998,34.029999,813000,28.594865
2009-01-15,34.139999,35.68,33.0,35.150002,996500,29.535986
2009-01-16,35.860001,35.970001,33.349998,34.75,885200,29.199871
2009-01-20,34.52,35.099998,31.9,32.25,1070500,27.099161
2009-01-21,32.639999,34.07,32.130001,33.970001,1109200,28.54445
2009-01-22,33.57,33.950001,32.259998,33.150002,760800,27.855418
2009-01-23,31.950001,33.529999,31.950001,32.91,643100,27.653748
2009-01-26,32.919998,33.950001,32.799999,33.57,1014600,28.208335
2009-01-27,33.650002,34.619999,33.150002,34.5,851500,28.9898
2009-01-28,35.139999,37.349998,35.139999,36.709999,1420800,30.846827
2009-01-29,36.27,36.57,34.950001,35.130001,1070900,29.51918
2009-01-30,35.73,35.73,33.380001,33.779999,1314200,28.384794
2009-02-02,33.279999,33.650002,32.330002,33.240002,1245200,27.931043
2009-02-03,33.540001,35.09,33.470001,34.529999,1738800,29.015007
2009-02-04,31.309999,33.950001,29.780001,30.0,3340400,25.208521
2009-02-05,30.01,31.68,29.07,31.41,2032400,26.393322
2009-02-06,31.76,34.209999,31.209999,34.040001,1863600,28.60327
2009-02-09,33.779999,34.599998,32.849998,33.779999,1437000,28.384794
2009-02-10,33.419998,33.779999,30.58,31.0,1480000,26.048806
2009-02-11,31.23,32.380001,30.83,31.59,1291100,26.544573
2009-02-12,30.969999,31.68,30.25,31.57,1342500,26.722326
2009-02-13,31.34,31.540001,30.379999,30.440001,942200,25.765841
2009-02-17,29.389999,30.0,28.08,28.309999,2061000,23.962909
2009-02-18,28.219999,28.27,26.41,26.959999,2404000,22.820205
2009-02-19,27.23,28.43,26.049999,26.200001,1713600,22.176907
2009-02-20,25.059999,26.42,24.950001,26.1,2102400,22.092262
2009-02-23,26.299999,26.540001,24.99,25.1,1186100,21.245815
2009-02-24,25.280001,26.43,23.950001,26.190001,1723800,22.168442
2009-02-25,26.23,26.23,24.030001,24.49,1733400,20.729482
2009-02-26,24.83,24.91,22.870001,22.940001,2180900,19.41749
2009-02-27,22.700001,23.51,22.02,22.860001,1465500,19.349775
2009-03-02,22.48,22.559999,20.91,21.0,1450900,17.775383
2009-03-03,21.26,21.33,20.24,20.75,1390900,17.563771
2009-03-04,21.389999,22.870001,21.0,22.360001,1967500,18.926551
2009-03-05,21.889999,22.0,20.129999,20.370001,1380700,17.242122
2009-03-06,20.549999,20.959999,19.0,19.41,1634100,16.429532
2009-03-09,19.23,20.379999,19.09,19.27,1432400,16.31103
2009-03-10,19.49,21.66,19.49,21.629999,2100100,18.308644
2009-03-11,21.77,23.49,21.440001,23.08,2796100,19.535992
2009-03-12,23.120001,23.360001,21.98,23.0,1946800,19.468277
2009-03-13,23.5,23.93,22.77,23.639999,1004300,20.010002
2009-03-16,23.889999,26.719999,23.75,24.799999,1773900,20.99188
2009-03-17,24.75,25.629999,24.540001,25.610001,1194400,21.677503
2009-03-18,25.59,27.34,25.059999,27.17,1484600,22.99796
2009-03-19,27.540001,27.68,26.83,27.16,1654100,22.989495
2009-03-20,27.360001,27.43,24.969999,25.200001,1319100,21.33046
2009-03-23,25.82,28.15,25.129999,28.1,1131400,23.785156
2009-03-24,27.110001,27.68,26.469999,26.549999,1377800,22.473162
2009-03-25,26.709999,28.0,26.030001,27.299999,2063000,23.107997
2009-03-26,27.639999,30.219999,27.280001,29.860001,1321200,25.274902
2009-03-27,29.49,29.49,28.139999,28.360001,1151400,24.005232
2009-03-30,27.9,27.9,26.4,26.93,1170300,22.794813
2009-03-31,27.200001,29.02,26.76,28.309999,1312800,23.962909
2009-04-01,28.26,29.59,27.77,29.18,1804000,24.699318
2009-04-02,30.16,32.889999,29.26,31.66,2124900,26.798506
2009-04-03,30.99,31.83,30.559999,31.49,1711300,26.65461
