Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,8.12,8.67,7.99,8.61,8917000,7.655636
2009-01-05,8.48,9.07,8.4,8.72,12011800,7.753444
2009-01-06,8.86,8.9,8.5,8.83,7774200,7.85125
2009-01-07,8.55,8.55,7.8,7.91,11288800,7.033227
2009-01-08,7.85,7.99,7.74,7.79,9061500,6.926528
2009-01-09,7.88,7.9,7.1,7.17,11123200,6.375251
2009-01-12,7.21,7.34,6.9,7.02,12211500,6.241878
2009-01-13,6.94,7.26,6.7,7.21,13708900,6.410817
2009-01-14,6.92,7.1,6.74,6.85,12115100,6.090721
2009-01-15,6.86,6.86,5.97,6.1,17505500,5.423854
2009-01-16,6.35,6.5,5.81,6.07,16682700,5.397179
2009-01-20,5.6,5.8,4.6,4.6,28075400,4.090119
2009-01-21,4.79,5.02,4.45,4.95,22708300,4.401324
2009-01-22,4.87,4.95,4.14,4.25,18333500,3.778914
2009-01-23,4.05,4.75,4.0,4.66,15574900,4.143468
2009-01-26,4.91,4.91,4.0,4.1,12730100,3.645541
2009-01-27,4.51,4.65,4.01,4.08,13169500,3.627758
2009-01-28,4.5,4.73,4.31,4.56,20610000,4.054553
2009-01-29,4.49,4.49,4.06,4.14,15145500,3.681107
2009-01-30,4.07,4.21,3.4,3.46,19374300,3.076481
2009-02-02,3.4,3.45,2.67,2.92,27033800,2.596337
2009-02-03,3.13,3.16,2.52,2.61,21499800,2.320698
2009-02-04,2.65,2.79,2.38,2.5,15650500,2.222891
2009-02-05,2.5,3.2,2.35,2.83,28918200,2.516312
2009-02-06,3.03,4.55,3.01,4.2,47574100,3.734456
2009-02-09,4.7,5.04,4.34,4.64,32890000,4.125685
2009-02-10,4.65,4.67,3.17,3.24,47192400,2.880867
2009-02-11,3.53,3.79,3.39,3.68,26647700,3.272095
2009-02-12,3.37,3.61,3.22,3.57,21358200,3.174288
2009-02-13,3.5,3.68,3.35,3.38,13067600,3.005349
2009-02-17,2.98,3.23,2.98,3.09,21006300,2.747493
2009-02-18,3.26,3.4,2.93,2.99,17067300,2.658577
2009-02-19,3.0,3.14,2.63,2.64,11355900,2.347373
2009-02-20,2.44,3.02,2.35,2.84,23819600,2.525204
2009-02-23,3.1,3.15,2.64,2.69,16631400,2.391831
2009-02-24,2.66,3.39,2.54,3.29,28278100,2.925324
2009-02-25,3.2,4.1,2.83,3.76,38851300,3.343228
2009-02-26,4.14,4.47,3.61,3.94,38114400,3.503276
2009-02-27,3.3,3.95,3.1,3.42,34587500,3.040915
2009-03-02,3.18,3.8,3.17,3.57,20402200,3.174288
2009-03-03,3.8,3.9,3.41,3.43,13501600,3.049806
2009-03-04,3.6,3.79,3.38,3.52,11990900,3.12983
2009-03-05,3.39,3.49,2.9,3.1,15967600,2.756385
2009-03-06,3.15,3.35,2.76,2.94,16812000,2.61412
2009-03-09,2.94,3.34,2.85,3.27,16474700,2.907541
2009-03-10,3.46,3.85,3.45,3.74,18503000,3.325445
2009-03-11,3.92,4.0,3.41,3.53,17108500,3.138722
2009-03-12,3.47,3.81,3.18,3.76,27849500,3.343228
2009-03-13,3.8,4.0,3.6,3.89,13825900,3.458818
2009-03-16,4.0,4.29,3.81,3.85,16162700,3.513575
2009-03-17,3.85,4.15,3.78,4.09,12704300,3.732603
2009-03-18,4.03,4.95,3.91,4.95,26273600,4.517454
2009-03-19,5.13,5.19,4.25,4.34,20488400,3.960758
2009-03-20,4.46,4.48,3.82,4.02,17175300,3.66872
2009-03-23,4.47,4.63,4.22,4.5,22101900,4.106776
2009-03-24,4.28,4.92,4.23,4.49,20627800,4.09765
2009-03-25,4.51,5.0,4.3,4.69,17119900,4.280173
2009-03-26,4.73,4.9,4.46,4.55,13933500,4.152407
2009-03-27,4.36,4.75,4.32,4.32,11550400,3.942505
2009-03-30,4.06,4.2,3.9,3.9,11894400,3.559206
2009-03-31,4.13,4.3,3.89,4.26,11869100,3.887748
2009-04-01,4.22,4.62,4.1,4.41,13533200,4.02464
2009-04-02,4.75,4.78,4.32,4.45,14059300,4.061145
2009-04-03,4.33,4.56,4.09,4.56,11442700,4.161533
2009-04-06,4.16,4.32,4.1,4.23,11120900,3.86037
2009-04-07,4.05,4.14,3.99,3.99,8528400,3.641341
2009-04-08,4.06,4.11,3.68,3.83,9464700,3.495323
2009-04-09,4.4,4.47,3.89,4.31,24425900,3.933379
2009-04-13,4.22,5.13,4.09,5.03,24725600,4.590463
2009-04-14,5.1,5.37,4.65,4.73,24231400,4.316678
2009-04-15,4.65,5.01,4.5,5.0,13220200,4.563085
2009-04-16,5.17,7.04,5.01,6.7,74214400,6.114533
2009-04-17,6.78,7.6,6.15,7.23,62195300,6.59822
2009-04-20,6.85,6.85,5.65,5.8,28862700,5.293178
2009-04-21,5.01,6.54,4.81,6.14,53901000,5.603468
2009-04-22,5.75,6.93,5.63,5.8,42371300,5.293178
2009-04-23,5.97,6.15,5.2,5.82,37618700,5.311431
2009-04-24,5.81,5.95,5.1,5.56,49489500,5.07415
2009-04-27,5.39,5.48,4.85,4.91,28849400,4.480949
2009-04-28,4.75,5.2,4.48,4.71,27102600,4.298426
2009-04-29,4.95,5.06,4.51,4.66,26766300,4.252795
2009-04-30,4.91,4.92,4.35,4.49,26542100,4.09765
2009-05-01,4.43,4.69,4.36,4.39,14480200,4.006388
2009-05-04,4.41,5.6,4.4,5.53,47691300,5.046772
2009-05-05,5.3,5.58,5.02,5.49,30330200,5.010267
2009-05-06,5.8,6.55,5.41,5.83,66646100,5.320557
2009-05-07,6.52,6.55,5.03,5.23,42991600,4.772986
2009-05-08,5.68,6.6,4.88,6.53,68338400,5.959389
2009-05-11,6.35,6.52,5.87,5.92,34952800,5.402692
2009-05-12,6.04,6.1,5.05,5.35,36450500,4.8825
2009-05-13,5.02,5.18,4.65,4.7,34110900,4.289299
2009-05-14,4.6,5.24,4.55,4.98,24657800,4.544832
2009-05-15,5.0,5.06,4.7,4.85,22590800,4.426192
2009-05-18,5.02,5.54,4.94,5.43,37149300,4.95551
2009-05-19,5.27,5.88,5.16,5.24,32999100,4.782112
2009-05-20,4.87,5.44,4.77,4.89,101898000,4.462697
2009-05-21,3.99,4.22,3.9,4.1,570981700,3.741729
2009-05-22,4.28,4.3,3.98,4.04,101604500,3.686972
2009-05-26,4.0,4.02,3.67,3.83,112017900,3.495323
2009-05-27,4.01,4.12,3.89,3.96,89481300,3.613963
2009-05-28,4.05,4.09,3.77,4.02,65791800,3.66872
2009-05-29,4.04,4.19,3.89,4.19,82740200,3.823865
2009-06-01,4.21,4.24,3.95,3.99,58703700,3.641341
2009-06-02,4.0,4.09,3.87,4.0,47847700,3.650468
2009-06-03,4.01,4.13,4.0,4.04,38673600,3.686972
2009-06-04,4.08,4.2,4.0,4.08,71373600,3.723477
2009-06-05,4.17,4.23,3.97,4.0,51567000,3.650468
2009-06-08,3.99,4.11,3.96,4.07,32855500,3.714351
2009-06-09,4.07,4.11,4.01,4.06,21829400,3.705225
2009-06-10,4.08,4.1,3.97,4.0,29959800,3.650468
2009-06-11,4.12,4.53,4.09,4.37,103980700,3.988136
2009-06-12,4.38,4.63,4.36,4.46,38747400,4.070271
2009-06-15,4.38,4.51,4.25,4.33,47528000,3.960511
2009-06-16,4.38,4.38,4.19,4.25,39745800,3.887338
2009-06-17,4.16,4.19,3.84,3.99,57713200,3.649524
2009-06-18,4.03,4.21,4.0,4.03,35301600,3.686111
2009-06-19,4.13,4.17,3.98,4.13,65579800,3.777578
2009-06-22,4.08,4.12,3.81,3.84,43225800,3.512324
2009-06-23,3.84,3.92,3.66,3.76,33198800,3.439151
2009-06-24,3.88,3.9,3.77,3.81,23272800,3.484884
2009-06-25,3.76,3.96,3.75,3.96,31069100,3.622084
2009-06-26,3.89,3.95,3.77,3.95,30677500,3.612938
2009-06-29,3.92,4.13,3.86,4.07,31828500,3.722698
2009-06-30,4.11,4.14,3.89,4.04,23859900,3.695258
2009-07-01,4.04,4.06,3.95,3.97,16428700,3.631231
2009-07-02,3.91,3.95,3.75,3.75,23419200,3.430004
2009-07-06,3.77,3.9,3.75,3.84,23870000,3.512324
2009-07-07,3.83,3.93,3.78,3.83,24461600,3.503177
2009-07-08,3.85,3.91,3.55,3.76,34906000,3.439151
2009-07-09,3.82,3.89,3.78,3.84,18983400,3.512324
2009-07-10,3.82,3.91,3.77,3.9,18488000,3.567204
2009-07-13,3.99,4.07,3.86,4.07,26174600,3.722698
2009-07-14,4.06,4.16,4.0,4.09,25469500,3.740991
2009-07-15,4.15,4.26,4.1,4.21,34197400,3.850751
2009-07-16,4.15,4.25,4.09,4.22,21168400,3.859898
2009-07-17,4.2,4.2,3.89,4.05,25975500,3.704404
2009-07-20,4.08,4.13,4.01,4.04,24797500,3.695258
2009-07-21,3.69,3.72,3.36,3.42,101115800,3.128164
2009-07-22,3.4,3.67,3.3,3.5,49368600,3.201337
2009-07-23,3.59,3.69,3.43,3.66,41573600,3.347684
2009-07-24,3.61,3.72,3.53,3.69,20355800,3.375124
2009-07-27,3.71,4.06,3.69,4.02,52668900,3.676964
2009-07-28,4.03,4.05,3.88,3.91,26472600,3.576351
2009-07-29,3.92,4.03,3.84,3.89,27424900,3.558058
2009-07-30,4.02,4.28,4.0,4.23,55067800,3.869044
2009-07-31,4.24,4.46,4.18,4.42,33580900,4.042831
2009-08-03,4.33,4.52,4.28,4.44,38427200,4.061125
2009-08-04,4.38,4.73,4.3,4.58,45954000,4.189178
2009-08-05,4.65,4.81,4.58,4.73,46393000,4.326378
2009-08-06,4.84,4.88,4.56,4.6,49824800,4.207471
2009-08-07,4.75,5.0,4.7,4.93,42904400,4.509312
2009-08-10,4.97,5.09,4.8,4.97,36374500,4.545898
2009-08-11,4.94,4.95,4.7,4.76,34391500,4.353819
2009-08-12,4.71,4.87,4.66,4.82,29488000,4.408699
2009-08-13,5.19,5.28,4.93,5.2,66286700,4.756272
2009-08-14,5.38,5.8,5.26,5.64,90586900,5.158726
2009-08-17,5.3,5.46,5.2,5.25,42876400,4.802006
2009-08-18,5.35,5.57,5.28,5.44,42514200,4.975792
2009-08-19,5.34,5.8,5.27,5.51,38734200,5.039819
2009-08-20,5.47,5.65,5.36,5.49,42430400,5.021526
2009-08-21,5.63,5.91,5.59,5.86,52353200,5.359953
2009-08-24,6.02,6.11,5.65,5.7,49706800,5.213606
2009-08-25,5.88,5.99,5.72,5.83,44400900,5.332513
2009-08-26,5.89,6.0,5.73,5.84,43023800,5.34166
2009-08-27,5.86,5.95,5.64,5.92,40537000,5.414833
2009-08-28,6.04,6.08,5.89,5.97,27695800,5.460566
2009-08-31,5.87,5.95,5.78,5.86,34671500,5.359953
2009-09-01,5.78,6.01,5.51,5.54,55743500,5.067259
2009-09-02,5.44,5.5,5.16,5.19,49530900,4.747126
2009-09-03,5.33,5.43,5.19,5.23,41649800,4.783712
2009-09-04,5.27,5.56,5.25,5.53,29040800,5.058113
2009-09-08,5.7,5.74,5.52,5.6,20003300,5.122139
2009-09-09,5.61,5.69,5.52,5.66,23552600,5.177019
2009-09-10,5.65,5.67,5.53,5.6,17469200,5.122139
2009-09-11,5.61,5.65,5.47,5.51,21438800,5.039819
2009-09-14,5.42,5.52,5.33,5.52,22909100,5.048966
2009-09-15,5.6,6.2,5.5,6.06,68683800,5.552946
2009-09-16,6.09,6.73,5.98,6.39,80536800,5.855334
2009-09-17,6.41,6.81,6.13,6.27,68204500,5.745375
2009-09-18,6.34,6.38,6.02,6.13,48860800,5.617089
2009-09-21,6.13,6.66,6.12,6.53,42629900,5.983621
2009-09-22,6.71,6.86,6.61,6.81,38885900,6.240192
2009-09-23,6.9,6.91,6.57,6.57,28920900,6.020274
2009-09-24,6.63,6.67,6.21,6.37,39934400,5.837008
2009-09-25,6.21,6.42,6.2,6.36,27796200,5.827845
2009-09-28,6.39,6.58,6.35,6.58,23837000,6.029437
2009-09-29,6.63,6.72,6.44,6.45,34630800,5.910314
2009-09-30,6.5,6.54,6.05,6.21,47949300,5.690396
2009-10-01,6.16,6.29,5.91,5.97,43100000,5.470477
2009-10-02,5.75,6.13,5.57,5.79,36211500,5.305538
2009-10-05,5.91,6.07,5.86,5.96,27108000,5.461314
2009-10-06,6.11,6.23,5.83,5.9,38988400,5.406334
2009-10-07,5.86,6.01,5.77,6.0,20706300,5.497967
2009-10-08,6.12,6.16,5.93,5.94,26485300,5.442987
2009-10-09,5.94,5.97,5.87,5.95,19185600,5.45215
2009-10-12,5.99,6.09,5.95,6.0,15915600,5.497967
2009-10-13,6.03,6.12,5.91,5.96,34364600,5.461314
2009-10-14,6.08,6.18,5.92,6.09,52926800,5.580436
2009-10-15,6.03,6.2,5.94,6.09,35311700,5.580436
2009-10-16,5.98,6.04,5.83,5.83,26271800,5.342191
2009-10-19,5.88,5.9,5.65,5.7,31722600,5.223068
2009-10-20,5.54,6.11,5.51,5.81,84135300,5.323864
2009-10-21,5.68,6.02,5.68,5.71,43310700,5.232232
2009-10-22,5.74,5.86,5.55,5.81,35075700,5.323864
2009-10-23,5.9,5.9,5.45,5.53,41539800,5.067293
2009-10-26,5.52,5.59,5.04,5.1,48627200,4.673272
2009-10-27,5.05,5.24,4.92,5.07,45645500,4.645782
2009-10-28,5.12,5.13,4.79,4.82,58697900,4.4167
2009-10-29,4.96,5.21,4.94,5.18,46967600,4.746578
2009-10-30,5.15,5.17,4.8,4.84,41091800,4.435027
2009-11-02,4.91,5.04,4.71,4.78,38485000,4.380047
2009-11-03,4.73,4.96,4.65,4.84,34751400,4.435027
2009-11-04,4.97,5.02,4.65,4.67,31342400,4.279251
2009-11-05,4.74,4.87,4.61,4.81,30675200,4.407537
2009-11-06,4.71,4.9,4.68,4.75,24253200,4.352557
2009-11-09,4.84,4.98,4.74,4.96,31464600,4.544986
2009-11-10,4.93,5.0,4.76,4.83,20804000,4.425863
2009-11-11,4.85,5.0,4.79,4.82,23008200,4.4167
2009-11-12,4.82,4.96,4.74,4.77,34436600,4.370883
2009-11-13,4.78,4.89,4.74,4.83,23893300,4.425863
2009-11-16,4.9,5.04,4.85,4.93,29667600,4.517496
2009-11-17,4.92,5.27,4.88,5.18,38180700,4.746578
2009-11-18,5.23,5.57,5.1,5.39,56042900,4.939007
2009-11-19,5.33,5.44,5.29,5.35,39438100,4.902354
2009-11-20,5.31,5.52,5.29,5.45,35099900,4.993986
2009-11-23,5.51,5.82,5.41,5.69,36944000,5.213905
2009-11-24,5.68,5.85,5.57,5.74,28998900,5.259721
2009-11-25,5.82,5.85,5.75,5.8,19397300,5.314701
2009-11-27,5.57,5.76,5.5,5.58,16437100,5.113109
2009-11-30,5.59,5.87,5.59,5.86,31663200,5.369681
2009-12-01,5.91,5.99,5.66,5.78,34446800,5.296375
2009-12-02,5.8,5.98,5.78,5.85,30304700,5.360517
2009-12-03,5.93,5.98,5.48,5.5,36072400,5.039803
2009-12-04,5.7,5.72,5.56,5.71,29569200,5.232232
2009-12-07,5.65,5.67,5.54,5.64,27671600,5.168089
2009-12-08,5.52,5.73,5.46,5.69,26151500,5.213905
2009-12-09,5.71,5.71,5.54,5.56,15592300,5.094782
2009-12-10,5.58,5.6,5.46,5.53,19940800,5.067293
2009-12-11,5.56,5.58,5.49,5.58,10874400,5.113109
2009-12-14,5.58,5.6,5.5,5.58,14594400,5.122289
2009-12-15,5.5,5.58,5.33,5.34,22634400,4.901975
2009-12-16,5.38,5.45,5.3,5.33,19343900,4.892795
2009-12-17,5.25,5.51,5.22,5.33,16413500,4.892795
2009-12-18,5.39,5.5,5.34,5.45,25628200,5.002952
2009-12-21,5.48,5.49,5.44,5.48,11594700,5.030491
2009-12-22,5.49,5.54,5.47,5.54,8637300,5.08557
2009-12-23,5.52,5.54,5.36,5.38,7642600,4.938694
2009-12-24,5.39,5.46,5.36,5.43,3305200,4.984592
2009-12-28,5.43,5.48,5.32,5.35,9044900,4.911155
2009-12-29,5.36,5.39,5.34,5.36,8039500,4.920335
2009-12-30,5.31,5.37,5.27,5.32,10377600,4.883616
2009-12-31,5.32,5.34,5.18,5.29,9583700,4.856076
2010-01-04,5.36,5.47,5.33,5.42,11754800,4.975413
2010-01-05,5.36,5.61,5.36,5.6,23691300,5.140648
2010-01-06,5.61,5.69,5.55,5.67,22415300,5.204906
2010-01-07,5.66,6.22,5.62,6.17,41430700,5.663893
2010-01-08,6.15,6.29,6.07,6.18,25980300,5.673072
2010-01-11,6.27,6.37,6.07,6.32,27433000,5.801589
2010-01-12,6.26,6.35,6.2,6.25,32974200,5.73733
2010-01-13,6.22,6.48,6.08,6.36,41055600,5.838308
2010-01-14,6.34,6.57,6.3,6.55,31881500,6.012722
2010-01-15,6.5,6.55,6.27,6.52,28504300,5.985183
2010-01-19,6.41,6.56,6.36,6.51,22996900,5.976004
2010-01-20,6.46,6.74,6.41,6.73,32758200,6.177957
2010-01-21,6.78,7.27,6.76,6.86,81428500,6.297294
2010-01-22,6.8,6.85,6.49,6.6,48623600,6.058621
