Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,51.189999,52.209999,50.459999,52.0,1753500,41.903117
2009-01-05,51.889999,52.700001,51.689999,52.490002,2903500,42.297974
2009-01-06,52.490002,52.75,51.52,51.790001,2400100,41.733893
2009-01-07,51.529999,51.529999,50.32,50.900002,2517300,41.016706
2009-01-08,50.799999,50.830002,49.790001,50.169998,3048600,40.428448
2009-01-09,50.84,51.630001,49.860001,50.52,3067100,40.71049
2009-01-12,50.619999,50.799999,49.77,50.540001,2829900,40.726607
2009-01-13,51.34,51.34,48.709999,49.290001,3785600,39.71932
2009-01-14,48.950001,52.049999,48.34,50.950001,6339400,41.056997
2009-01-15,50.990002,52.25,50.060001,51.970001,4225400,41.878943
2009-01-16,52.299999,52.990002,51.759998,52.669998,4206400,42.443021
2009-01-20,52.560001,53.0,51.32,51.459999,2877700,41.467968
2009-01-21,52.040001,52.040001,50.490002,51.709999,2870900,41.669426
2009-01-22,51.279999,51.91,50.240002,51.540001,4316700,41.532436
2009-01-23,50.75,51.369999,50.02,50.380001,3937100,40.597674
2009-01-26,50.299999,50.860001,49.93,50.369999,3375400,40.589614
2009-01-27,50.630001,50.630001,49.560001,49.779999,3895000,40.114175
2009-01-28,50.5,51.41,49.330002,49.669998,4802200,40.025533
2009-01-29,49.619999,51.25,49.240002,50.299999,3800000,40.533207
2009-01-30,50.32,51.599998,50.27,50.619999,3564200,40.791072
2009-02-02,50.02,50.189999,47.849998,48.689999,4269700,39.235821
2009-02-03,48.919998,49.080002,46.990002,48.32,3966100,38.937665
2009-02-04,48.32,49.189999,48.0,48.599998,3349700,39.163296
2009-02-05,48.380001,49.380001,47.900002,49.040001,3587300,39.517863
2009-02-06,49.16,49.349998,47.720001,47.799999,4366800,38.518634
2009-02-09,47.869999,48.5,47.32,48.41,2760500,39.01019
2009-02-10,47.82,48.41,46.540001,46.84,3160800,37.745038
2009-02-11,47.16,47.5,46.27,46.98,2675800,37.857854
2009-02-12,46.220001,46.689999,45.43,46.639999,3462200,37.583872
2009-02-13,46.75,47.34,46.639999,46.740002,2918200,37.664457
2009-02-17,45.470001,46.299999,45.09,45.599998,4085200,36.745809
2009-02-18,45.259998,46.73,45.259998,46.130001,3427500,37.1729
2009-02-19,46.389999,46.759998,46.029999,46.380001,4127300,37.374358
2009-02-20,45.799999,46.349998,44.959999,45.560001,4010400,36.713578
2009-02-23,45.889999,45.889999,43.790001,43.84,3948100,35.327551
2009-02-24,44.09,45.200001,43.970001,44.860001,4297200,36.149497
2009-02-25,44.59,44.860001,43.009998,43.02,4670700,34.666771
2009-02-26,43.369999,43.799999,41.93,42.049999,5243600,33.885116
2009-02-27,41.639999,41.639999,39.889999,39.970001,7468000,32.208993
2009-03-02,38.93,39.27,37.599998,37.709999,7766200,30.387817
2009-03-03,37.709999,38.02,36.43,36.450001,7824900,29.372474
2009-03-04,36.860001,38.130001,35.959999,37.400002,4880700,30.138012
2009-03-05,36.650002,37.099998,35.619999,35.790001,5086100,28.840627
2009-03-06,36.009998,36.599998,34.310001,34.880001,6324700,28.107322
2009-03-09,34.5,34.619999,33.639999,33.810001,5182000,27.245085
2009-03-10,34.27,34.669998,33.560001,34.610001,5267000,27.889748
2009-03-11,34.75,34.990002,33.52,33.57,4524000,27.051685
2009-03-12,33.599998,35.330002,33.200001,34.84,6144700,28.075088
2009-03-13,35.099998,35.099998,33.5,33.82,6029300,27.253142
2009-03-16,34.0,35.459999,33.709999,34.639999,5441100,27.913922
2009-03-17,34.830002,35.389999,34.049999,35.389999,3380900,28.518294
2009-03-18,35.32,36.630001,34.860001,36.330002,4754700,29.275775
2009-03-19,36.73,36.73,35.849998,36.209999,3991000,29.179073
2009-03-20,36.380001,36.459999,35.189999,35.349998,6591900,28.48606
2009-03-23,35.900002,35.900002,35.130001,35.299999,7282600,28.445769
2009-03-24,35.049999,36.41,35.029999,36.029999,10691200,29.034024
2009-03-25,36.299999,37.5,36.25,37.23,5899300,30.00102
2009-03-26,38.450001,40.16,38.200001,40.099998,8451800,32.313748
2009-03-27,39.630001,39.869999,39.049999,39.400002,4434800,31.74967
2009-03-30,38.810001,39.330002,38.25,38.799999,3796300,31.266171
2009-03-31,39.16,39.73,38.619999,38.939999,5019500,31.378987
2009-04-01,38.939999,39.669998,38.549999,39.43,3136800,31.773844
2009-04-02,40.02,40.779999,39.41,40.119999,3379700,32.329865
2009-04-03,39.619999,39.84,38.029999,38.470001,4925800,31.241648
2009-04-06,38.099998,41.720001,38.0,41.66,7184100,33.832259
2009-04-07,40.889999,41.900002,40.41,40.880001,5055000,33.198819
2009-04-08,41.099998,41.82,40.73,41.759998,5077500,33.913469
2009-04-09,42.630001,43.189999,42.169998,42.490002,3857600,34.506307
2009-04-13,42.009998,42.57,41.459999,42.07,2511900,34.165222
2009-04-14,41.799999,42.450001,41.419998,42.029999,3243400,34.132737
