Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,15.79,16.709999,15.48,16.559999,2819200,11.927708
2009-01-05,16.530001,17.190001,16.49,16.85,3134600,12.136588
2009-01-06,17.08,17.469999,17.040001,17.17,3649400,12.367074
2009-01-07,16.99,17.09,16.42,16.57,2661500,11.934911
2009-01-08,16.440001,16.950001,16.43,16.870001,2877100,12.150993
2009-01-09,17.0,17.209999,16.16,16.26,3502300,11.711627
2009-01-12,15.77,16.030001,15.4,15.52,3613000,11.178626
2009-01-13,15.53,15.79,15.18,15.35,4322600,11.056179
2009-01-14,14.87,15.15,14.64,14.88,6034100,10.717651
2009-01-15,15.09,15.15,14.54,15.02,5191500,10.818489
2009-01-16,15.22,15.35,14.57,14.78,5596900,10.645624
2009-01-20,14.58,14.84,14.15,14.2,4864700,10.227866
2009-01-21,14.37,14.8,14.1,14.77,3558800,10.638421
2009-01-22,14.56,14.89,14.31,14.63,3571900,10.537583
2009-01-23,14.47,15.06,14.23,14.8,3538600,10.660029
2009-01-26,14.86,15.29,14.54,14.83,3887500,10.681637
2009-01-27,14.66,15.13,14.62,15.02,3020700,10.818489
2009-01-28,15.16,15.58,15.05,15.42,2767800,11.106598
2009-01-29,15.19,15.38,14.82,14.87,2745100,10.710448
2009-01-30,15.04,15.27,14.42,14.51,4340300,10.45115
2009-02-02,14.34,14.51,14.11,14.39,3155900,10.364718
2009-02-03,14.42,14.8,14.2,14.66,3911700,10.559191
2009-02-04,14.43,14.9,14.24,14.69,4001500,10.580799
2009-02-05,14.4,15.14,13.8,14.95,6661300,10.76807
2009-02-06,15.22,16.280001,14.83,15.72,5254500,11.32268
2009-02-09,15.0,15.22,14.75,14.86,6414700,10.703245
2009-02-10,14.75,14.99,14.5,14.65,9555000,10.551988
2009-02-11,14.34,14.65,14.17,14.4,16320300,10.551989
2009-02-12,14.15,14.29,13.9,14.24,6103300,10.434744
2009-02-13,14.18,14.49,14.11,14.37,4791400,10.530005
2009-02-17,13.89,13.89,13.5,13.53,4569300,9.914473
2009-02-18,13.62,13.79,13.14,13.34,3827400,9.775245
2009-02-19,13.46,13.69,13.22,13.35,3920900,9.782573
2009-02-20,13.13,13.37,12.64,13.09,7338700,9.592051
2009-02-23,13.26,13.39,12.37,12.47,4316300,9.137729
2009-02-24,12.9,13.32,12.67,13.2,6305900,9.672656
2009-02-25,13.14,13.57,12.9,13.23,5435200,9.694639
2009-02-26,13.29,13.72,13.23,13.25,4431200,9.709295
2009-02-27,12.92,13.52,12.81,13.0,4889000,9.526101
2009-03-02,12.7,12.85,11.92,12.02,5891600,8.80798
2009-03-03,12.19,12.23,11.68,11.84,4974200,8.67608
2009-03-04,12.15,12.41,12.02,12.13,5672600,8.888585
2009-03-05,11.95,11.95,11.4,11.51,4133200,8.434263
2009-03-06,11.67,12.1,11.21,11.59,5931600,8.492886
2009-03-09,11.42,11.92,11.3,11.5,4766200,8.426935
2009-03-10,11.77,12.25,11.65,12.02,4732700,8.80798
2009-03-11,12.29,12.29,11.84,12.02,4239500,8.80798
2009-03-12,11.98,12.31,11.88,12.3,3833000,9.013157
2009-03-13,12.49,12.63,12.21,12.58,4354600,9.218335
2009-03-16,12.68,13.32,12.68,12.88,4746100,9.438168
2009-03-17,12.99,13.53,12.64,13.41,5255700,9.826539
2009-03-18,13.25,13.83,13.03,13.65,5712300,10.002406
2009-03-19,14.0,14.2,13.66,14.1,5002400,10.332156
2009-03-20,14.25,14.48,13.92,14.03,14377900,10.280861
