Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,39.52,41.439999,38.240002,41.099998,3261800,37.250519
2009-01-05,40.990002,42.759998,40.509998,41.529999,4812000,37.640245
2009-01-06,42.720001,44.75,41.650002,44.27,4518200,40.123614
2009-01-07,42.990002,46.09,41.400002,42.220001,7478400,38.265621
2009-01-08,41.830002,43.459999,41.450001,43.220001,5657700,39.171959
2009-01-09,43.220001,44.0,41.119999,41.560001,3344200,37.667437
2009-01-12,41.5,41.540001,38.380001,39.0,3951200,35.347209
2009-01-13,38.5,39.5,37.330002,38.860001,5781700,35.220322
2009-01-14,37.290001,37.849998,36.630001,37.09,4550400,33.616102
2009-01-15,37.009998,39.349998,35.450001,38.0,5707100,34.44087
2009-01-16,39.02,39.169998,34.880001,36.349998,8907700,32.94541
2009-01-20,19.889999,20.190001,14.43,14.89,76692600,13.495383
2009-01-21,15.87,18.0,15.25,17.07,47151500,15.471201
2009-01-22,17.059999,21.950001,16.84,20.969999,33548400,19.005922
2009-01-23,19.959999,20.17,17.6,19.4,22242700,17.58297
2009-01-26,19.719999,21.49,19.08,20.48,13930800,18.561816
2009-01-27,20.940001,21.5,18.73,19.620001,14382100,17.782366
2009-01-28,22.790001,26.200001,22.65,25.77,33937400,23.356349
2009-01-29,24.51,25.799999,23.700001,24.07,12577600,21.815572
2009-01-30,24.27,24.93,22.82,23.27,14124200,21.090502
2009-02-02,22.889999,23.940001,22.34,23.51,10523600,21.308023
2009-02-03,23.870001,24.51,22.610001,24.18,11233300,21.91527
2009-02-04,24.66,25.25,23.030001,24.129999,7794400,21.869952
2009-02-05,23.82,27.950001,23.25,27.540001,23098200,24.960568
2009-02-06,28.4,32.48,27.530001,30.49,23864900,27.634267
2009-02-09,30.92,31.290001,29.389999,30.530001,6944300,27.670521
2009-02-10,29.860001,30.530001,26.27,26.610001,13513600,24.117673
2009-02-11,27.07,29.049999,27.07,28.48,9768500,25.812526
2009-02-12,27.33,27.889999,25.709999,27.6,9751500,25.014948
2009-02-13,27.299999,27.85,26.610001,27.0,6707000,24.471145
2009-02-17,25.540001,25.690001,23.190001,23.209999,11485800,21.03612
2009-02-18,24.0,24.120001,22.16,23.68,9139600,21.4621
2009-02-19,24.01,24.76,22.379999,22.459999,6428200,20.356366
2009-02-20,21.639999,23.059999,20.799999,22.719999,12558800,20.592014
2009-02-23,24.08,24.32,22.129999,22.299999,8869700,20.211352
2009-02-24,22.450001,27.17,21.540001,26.49,13819100,24.008912
2009-02-25,26.34,27.16,24.860001,25.77,12341200,23.356349
2009-02-26,27.25,29.6,26.52,27.17,14861600,24.625222
