Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,1.18,1.31,1.18,1.27,1384200,5.08
2009-01-05,1.27,1.29,1.08,1.1,3360100,4.4
2009-01-06,1.19,1.3,1.15,1.25,3145600,5.0
2009-01-07,1.28,1.42,1.22,1.31,2830600,5.24
2009-01-08,1.31,1.47,1.31,1.45,2652400,5.8
2009-01-09,1.46,1.48,1.37,1.38,1488100,5.52
2009-01-12,1.38,1.39,1.22,1.23,1479400,4.92
2009-01-13,1.22,1.25,1.2,1.21,1119000,4.84
2009-01-14,1.19,1.23,1.16,1.2,1113200,4.8
2009-01-15,1.16,1.26,1.13,1.21,1225800,4.84
2009-01-16,1.22,1.29,1.17,1.19,1098000,4.76
2009-01-20,1.2,1.21,1.15,1.15,579100,4.6
2009-01-21,1.18,1.25,1.15,1.24,1154200,4.96
2009-01-22,1.3,1.35,1.2,1.22,1579100,4.88
2009-01-23,1.19,1.27,1.14,1.16,1921200,4.64
2009-01-26,1.23,1.23,1.14,1.15,1276300,4.6
2009-01-27,1.16,1.18,1.14,1.15,452600,4.6
2009-01-28,1.18,1.24,1.16,1.19,926700,4.76
2009-01-29,1.17,1.2,1.11,1.13,494400,4.52
2009-01-30,1.14,1.16,1.06,1.07,1087200,4.28
2009-02-02,1.1,1.14,1.05,1.1,695300,4.4
2009-02-03,1.12,1.12,1.06,1.07,957800,4.28
2009-02-04,1.08,1.1,1.07,1.07,616600,4.28
2009-02-05,1.14,1.18,1.07,1.15,880200,4.6
2009-02-06,1.16,1.21,1.1,1.2,1210000,4.8
2009-02-09,1.23,1.23,1.12,1.14,782300,4.56
2009-02-10,1.2,1.25,1.11,1.12,1566900,4.48
2009-02-11,1.2,1.2,1.12,1.15,907500,4.6
2009-02-12,1.14,1.19,1.13,1.17,769800,4.68
2009-02-13,1.19,1.19,1.16,1.17,411700,4.68
2009-02-17,1.15,1.2,1.1,1.11,859600,4.44
2009-02-18,1.11,1.13,1.04,1.06,1038400,4.24
2009-02-19,1.05,1.09,1.03,1.05,1180700,4.2
2009-02-20,1.03,1.05,0.94,0.98,1331400,3.92
2009-02-23,1.0,1.13,0.78,0.98,2734700,3.92
2009-02-24,1.1,1.1,0.93,1.04,1614100,4.16
2009-02-25,1.04,1.07,0.98,1.03,1467300,4.12
