Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,8.89,9.32,8.74,9.26,1519600,4.2402
2009-01-05,9.18,9.78,8.9,9.56,2972100,4.3776
2009-01-06,9.5,9.89,9.16,9.39,2810000,4.2998
2009-01-07,9.25,9.27,8.54,8.64,2460900,3.9563
2009-01-08,8.65,8.73,8.3,8.66,2261500,3.9655
2009-01-09,8.54,8.62,7.97,8.03,2853500,3.677
2009-01-12,8.0,8.15,7.27,7.35,2637100,3.3656
2009-01-13,7.43,7.66,7.26,7.44,1784100,3.4068
2009-01-14,7.34,7.4,6.81,6.9,3069200,3.1596
2009-01-15,6.9,7.07,6.35,6.89,3798900,3.155
2009-01-16,7.07,7.36,6.73,7.24,2530000,3.3153
2009-01-20,7.22,7.35,6.66,6.68,1912400,3.0588
2009-01-21,6.93,6.97,6.6,6.97,2707000,3.1916
2009-01-22,6.8,6.92,6.56,6.8,2703100,3.1138
2009-01-23,6.59,7.35,6.56,7.12,2398400,3.2603
2009-01-26,7.08,7.46,6.9,7.12,2219900,3.2603
2009-01-27,7.18,7.33,7.03,7.19,1599900,3.2924
2009-01-28,7.43,7.7,7.25,7.65,2498300,3.503
2009-01-29,7.53,7.63,7.32,7.39,1950000,3.384
2009-01-30,7.42,7.58,6.98,7.05,2081700,3.2283
2009-02-02,7.03,7.26,6.83,7.13,1805500,3.2649
2009-02-03,7.13,7.58,7.09,7.51,1943800,3.4389
2009-02-04,7.43,8.05,7.41,7.67,2192900,3.5122
2009-02-05,7.56,8.12,7.55,7.94,1787100,3.6358
2009-02-06,8.03,8.34,7.94,8.31,2098400,3.8052
2009-02-09,8.25,8.55,8.12,8.25,1730100,3.7778
2009-02-10,8.25,8.43,7.58,7.68,2372400,3.5167
2009-02-11,7.67,8.07,7.57,7.81,2239100,3.5763
2009-02-12,7.65,7.96,7.45,7.95,2054600,3.6404
2009-02-13,7.93,8.21,7.82,8.09,2447700,3.7045
2009-02-17,7.84,7.84,7.31,7.31,2118000,3.3473
2009-02-18,7.37,7.49,7.03,7.33,2047900,3.3565
2009-02-19,7.37,7.64,7.11,7.15,2026300,3.2741
2009-02-20,7.0,7.1,6.53,6.92,3213800,3.1687
2009-02-23,6.82,6.95,6.17,6.18,2737100,2.8299
2009-02-24,6.22,6.3,5.97,6.1,4194600,2.7932
2009-02-25,6.05,6.25,5.81,5.93,2795800,2.7154
2009-02-26,6.04,6.2,5.9,5.94,2553400,2.72
2009-02-27,5.77,6.09,5.77,5.84,4465400,2.6742
2009-03-02,5.7,5.77,4.84,4.88,4019600,2.2346
2009-03-03,4.95,5.1,4.385,4.47,5818400,2.0469
2009-03-04,4.77,4.95,4.57,4.68,4882600,2.143
2009-03-05,4.6,4.6,4.12,4.17,3701900,1.9095
2009-03-06,4.19,4.43,4.04,4.26,3356300,1.9507
2009-03-09,4.29,4.41,4.11,4.11,2484700,1.882
2009-03-10,4.19,4.65,4.17,4.65,2921800,2.1293
2009-03-11,4.66,4.89,4.57,4.71,2395600,2.1568
2009-03-12,4.7,4.93,4.5,4.9,2235100,2.2438
2009-03-13,4.95,5.02,4.77,4.89,1847800,2.2392
2009-03-16,5.01,5.25,4.95,4.98,2169000,2.2804
2009-03-17,4.99,5.07,4.73,5.07,1893100,2.3216
2009-03-18,5.07,5.27,4.79,5.22,2391300,2.3903
2009-03-19,5.42,5.68,5.3,5.56,3362000,2.546
2009-03-20,5.64,5.64,5.24,5.37,2834500,2.459
2009-03-23,5.49,5.91,5.42,5.91,2330300,2.7062
2009-03-24,5.8,5.95,5.615,5.82,2087600,2.665
2009-03-25,5.76,6.0,5.48,5.74,2395000,2.6284
2009-03-26,5.84,5.95,5.75,5.85,2814500,2.6788
2009-03-27,5.77,5.87,5.47,5.73,2035600,2.6238
2009-03-30,5.51,5.54,5.14,5.27,2278000,2.4132
2009-03-31,5.35,5.59,5.25,5.47,1926400,2.5048
2009-04-01,5.46,5.84,5.25,5.8,2315600,2.6559
2009-04-02,6.02,6.42,6.0,6.3,3087000,2.8848
2009-04-03,6.34,6.5,6.07,6.5,3155100,2.9764
2009-04-06,6.4,6.48,6.16,6.39,1791800,2.926
2009-04-07,6.21,6.21,5.92,6.0,2412000,2.7475
2009-04-08,6.06,6.31,5.93,6.3,1437500,2.8848
2009-04-09,6.6,6.82,6.49,6.82,2047800,3.1229
2009-04-13,6.8,7.37,6.74,7.28,3226000,3.3336
2009-04-14,7.17,7.46,7.12,7.29,3130900,3.3382
2009-04-15,7.29,7.62,7.12,7.61,2288600,3.4847
2009-04-16,7.65,7.86,7.44,7.7,2972500,3.5259
2009-04-17,7.67,7.8,7.4,7.44,3616100,3.4068
2009-04-20,7.19,7.33,6.24,6.27,5028200,2.8711
2009-04-21,6.01,6.29,5.76,6.04,5033500,2.7658
2009-04-22,5.97,6.55,5.89,6.28,4750200,2.8757
2009-04-23,6.32,6.44,6.05,6.19,4273800,2.8345
2009-04-24,6.3,6.53,6.08,6.23,5725100,2.8528
2009-04-27,6.38,6.625,6.28,6.52,6068700,2.9856
2009-04-28,6.42,6.44,6.19,6.26,2814400,2.8665
2009-04-29,6.44,6.7,6.35,6.6,2947400,3.0222
2009-04-30,6.71,6.98,6.66,6.79,3154800,3.1092
2009-05-01,6.83,7.29,6.69,7.06,3591800,3.2328
2009-05-04,7.38,7.79,7.31,7.69,3940600,3.5213
2009-05-05,7.79,7.8,7.45,7.68,2853000,3.5167
2009-05-06,7.8,8.55,7.75,8.37,5741500,3.8327
2009-05-07,8.6,8.73,7.82,8.0,5098500,3.6633
2009-05-08,8.28,8.67,8.21,8.59,3650500,3.9334
2009-05-11,8.5,8.5,8.02,8.13,2699500,3.7228
2009-05-12,8.18,8.39,7.64,8.24,3708100,3.7732
2009-05-13,7.99,8.0,7.4,7.57,4955300,3.4664
2009-05-14,7.46,7.92,7.16,7.82,3676300,3.5809
2009-05-15,7.8,8.04,7.51,7.67,3047700,3.5122
2009-05-18,7.87,8.26,7.75,8.26,3476800,3.7823
2009-05-19,8.32,9.0004,8.28,8.9,4949300,4.0754
2009-05-20,9.19,9.5,8.9,8.99,5490400,4.1166
2009-05-21,8.91,8.95,8.43,8.58,3508700,3.9289
2009-05-22,8.69,8.98,8.58,8.68,2298100,3.9747
2009-05-26,8.6,9.11,8.45,9.07,3603800,4.1532
2009-05-27,9.09,9.49,8.74,8.78,4458400,4.0204
2009-05-28,9.04,9.13,8.65,8.98,3260400,4.112
2009-05-29,9.14,9.38,9.0,9.26,3645700,4.2402
2009-06-01,9.57,10.28,9.48,10.18,5473700,4.6615
2009-06-02,10.05,10.79,9.97,10.69,6192200,4.8951
2009-06-03,10.52,10.52,9.79,9.99,4401400,4.5745
2009-06-04,10.18,10.4,9.84,10.28,3766200,4.7073
2009-06-05,10.8,11.02,10.35,10.92,7576800,5.0004
2009-06-08,10.74,10.88,10.32,10.74,4536600,4.9179
2009-06-09,10.82,11.26,10.54,10.99,4178900,5.0324
2009-06-10,11.25,11.32,10.8,11.04,4326200,5.0553
2009-06-11,11.19,11.52,11.07,11.37,5097500,5.2064
2009-06-12,11.24,11.3,10.85,11.03,3216900,5.0507
2009-06-15,10.71,10.76,10.14,10.31,3747400,4.721
2009-06-16,10.59,10.68,9.86,10.01,4137400,4.5837
2009-06-17,9.92,9.92,9.36,9.65,4818700,4.4188
2009-06-18,9.86,10.19,9.56,9.92,3445800,4.5425
2009-06-19,10.12,10.3,9.9,9.9,7918800,4.5333
2009-06-22,9.7,9.75,8.74,8.74,4982400,4.0021
2009-06-23,8.84,9.05,8.55,8.95,4008100,4.0983
2009-06-24,9.18,9.34,8.88,9.0,3168900,4.1212
2009-06-25,8.86,9.39,8.86,9.38,3420800,4.2952
2009-06-26,9.4,9.48,9.08,9.2,3674900,4.2128
2009-06-29,9.2,9.43,9.0321,9.32,2306200,4.2677
2009-06-30,9.47,9.47,9.05,9.19,1897700,4.2082
2009-07-01,9.29,9.43,9.13,9.15,2125100,4.1899
2009-07-02,8.99,8.99,8.54,8.85,2184900,4.0525
2009-07-06,8.7,8.7,7.81,7.98,4702900,3.6541
2009-07-07,7.99,8.13,7.8,7.82,3311600,3.5809
2009-07-08,7.88,7.96,7.36,7.62,3442500,3.4893
2009-07-09,7.8,7.97,7.62,7.82,2225800,3.5809
2009-07-10,7.68,7.77,7.44,7.58,2339600,3.471
2009-07-13,7.57,7.93,7.34,7.93,2641900,3.6312
2009-07-14,7.86,8.05,7.68,7.77,2788400,3.558
2009-07-15,7.98,8.31,7.98,8.23,2878200,3.7686
2009-07-16,8.26,8.61,8.15,8.55,2290900,3.9151
2009-07-17,8.53,8.53,8.26,8.29,3111100,3.7961
2009-07-20,8.55,8.71,8.465,8.65,2964400,3.9609
2009-07-21,8.71,8.86,8.24,8.53,2728600,3.906
2009-07-22,8.33,8.33,7.81,7.85,5268700,3.5946
2009-07-23,7.88,8.34,7.84,8.13,4491800,3.7228
2009-07-24,8.05,8.36,7.92,8.35,2189300,3.8235
2009-07-27,8.46,8.5,8.28,8.4,2242400,3.8464
2009-07-28,8.26,8.4,8.0,8.32,2370100,3.8098
2009-07-29,8.14,8.2,7.98,8.04,2227700,3.6816
2009-07-30,8.2,8.49,8.2,8.28,2480100,3.7915
2009-07-31,8.32,8.5,8.2,8.37,1875000,3.8327
2009-08-03,8.64,8.92,8.5,8.89,2805800,4.0708
2009-08-04,8.71,8.92,8.48,8.87,3335700,4.0617
2009-08-05,8.85,8.89,8.45,8.53,3117200,3.906
2009-08-06,8.57,8.66,8.042,8.06,4216700,3.6907
2009-08-07,8.19,8.23,7.99,8.03,5225300,3.677
2009-08-10,8.03,8.13,7.91,8.05,2354800,3.6862
2009-08-11,8.05,8.05,7.86,7.96,2267000,3.645
2009-08-12,7.94,8.18,7.9,8.12,2472500,3.7182
2009-08-13,8.26,8.38,8.09,8.32,2210400,3.8098
2009-08-14,8.32,8.37,8.04,8.12,1765800,3.7182
2009-08-17,7.82,7.85,7.55,7.61,2544200,3.4847
2009-08-18,7.69,7.79,7.65,7.73,1451500,3.5396
2009-08-19,7.5,7.91,7.47,7.79,1893200,3.5671
2009-08-20,7.75,8.02,7.75,7.97,1709500,3.6495
2009-08-21,8.08,8.3,8.06,8.22,1846400,3.764
2009-08-24,8.31,8.45,8.12,8.19,1755700,3.7503
2009-08-25,8.24,8.25,7.92,7.96,2097200,3.645
2009-08-26,8.01,8.13,7.84,8.06,2230900,3.6907
2009-08-27,8.12,8.69,7.97,8.62,5805500,3.9472
2009-08-28,8.7,8.82,8.32,8.53,4578600,3.906
2009-08-31,8.45,8.52,8.17,8.22,2808600,3.764
2009-09-01,8.25,8.34,7.87,7.88,3561400,3.6083
2009-09-02,7.88,8.1001,7.67,7.97,2598400,3.6495
2009-09-03,8.035,8.22,8.0,8.2,1941800,3.7549
