Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,18.450001,18.6,17.690001,18.43,2895000,15.979444
2009-01-05,18.219999,19.58,18.15,19.450001,3527400,16.863819
2009-01-06,19.940001,20.51,19.469999,19.969999,4074500,17.314676
2009-01-07,19.379999,19.379999,17.299999,17.43,4938500,15.112409
2009-01-08,17.280001,18.27,17.280001,18.190001,3511700,15.771356
2009-01-09,18.24,18.33,17.129999,17.25,2911200,14.956343
2009-01-12,17.15,17.15,15.87,16.120001,3107500,13.976595
2009-01-13,16.370001,16.940001,15.57,16.559999,3905800,14.358089
2009-01-14,16.09,16.25,15.01,15.26,3622300,13.230945
2009-01-15,15.58,16.26,14.45,15.54,4515500,13.473714
2009-01-16,16.99,18.280001,15.61,16.209999,4712700,14.054626
2009-01-20,16.190001,16.209999,13.87,14.0,6242200,12.138481
2009-01-21,14.57,16.370001,14.46,16.27,5155100,14.10665
2009-01-22,15.43,15.8,13.85,14.5,6973600,12.63022
2009-01-23,14.07,15.65,13.79,15.31,4377100,13.33577
2009-01-26,15.04,15.57,14.25,14.59,4793000,12.708614
2009-01-27,14.88,15.36,14.45,15.28,3356800,13.309638
2009-01-28,16.33,17.290001,15.76,16.43,5200600,14.311346
2009-01-29,15.82,15.82,14.73,14.78,4025900,12.874113
2009-01-30,14.78,15.19,14.01,14.16,4520000,12.334063
2009-02-02,13.82,14.88,13.64,14.67,4005700,12.778298
2009-02-03,14.82,14.82,13.87,14.24,5031800,12.403747
2009-02-04,14.0,14.84,13.15,14.19,4447300,12.360194
2009-02-05,13.87,15.29,13.51,14.77,5956700,12.865404
2009-02-06,15.11,15.25,14.32,14.99,4259700,13.057034
2009-02-09,14.93,15.38,14.45,14.7,3356500,12.80443
2009-02-10,14.5,14.7,12.59,12.69,8954600,11.05362
2009-02-11,12.75,13.25,12.52,12.98,4734300,11.306224
2009-02-12,12.23,13.27,12.23,13.17,4995300,11.471724
2009-02-13,13.07,13.63,12.67,12.82,4717600,11.166856
2009-02-17,12.04,12.42,11.26,11.32,6672900,9.860282
2009-02-18,12.26,12.26,11.15,11.68,5230100,10.17386
2009-02-19,11.97,11.97,10.15,10.24,8080800,8.919548
2009-02-20,10.28,11.16,9.91,10.59,9752900,9.224416
2009-02-23,10.77,11.03,9.83,9.83,6908700,8.562418
