Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,71.260002,71.260002,67.209999,69.739998,1375700,63.668415
2009-01-05,69.389999,71.019997,69.110001,69.949997,2119200,63.860131
2009-01-06,70.970001,71.0,66.550003,67.07,2029900,61.230867
2009-01-07,66.800003,67.050003,63.32,64.0,1603100,58.428143
2009-01-08,63.360001,63.360001,61.0,63.0,1942400,57.515203
2009-01-09,63.009998,63.009998,60.779999,61.189999,1343600,55.862781
2009-01-12,61.459999,61.639999,56.869999,57.169998,1741500,52.192763
2009-01-13,58.41,58.700001,56.93,58.18,1620300,53.114834
2009-01-14,55.990002,56.619999,55.009998,55.799999,1481000,50.942036
2009-01-15,55.5,58.360001,53.330002,56.73,2202500,51.79107
2009-01-16,57.610001,60.639999,57.09,58.669998,2088200,53.562172
2009-01-20,57.139999,57.290001,52.849998,53.830002,2263800,49.143547
2009-01-21,54.5,54.98,51.779999,53.73,1585100,49.052251
2009-01-22,52.720001,53.139999,51.02,52.330002,1657300,47.774138
2009-01-23,51.0,53.98,50.580002,53.18,1490700,48.550135
2009-01-26,53.549999,54.209999,50.110001,50.580002,2552200,46.176493
2009-01-27,51.240002,53.139999,50.529999,52.560001,1488100,47.984113
2009-01-28,54.450001,56.240002,52.810001,53.459999,1469100,48.805757
2009-01-29,53.009998,53.09,50.66,50.860001,1805700,46.432115
2009-01-30,51.389999,51.939999,49.029999,49.459999,1792200,45.153998
2009-02-02,48.68,49.23,47.549999,48.259998,1788700,44.05847
2009-02-03,49.0,51.580002,48.669998,50.82,1898600,46.395597
2009-02-04,50.82,55.25,50.82,51.439999,2036100,46.961618
2009-02-05,50.43,52.689999,50.07,51.07,1473100,46.623832
2009-02-06,51.810001,52.619999,51.0,51.470001,1588500,46.989009
2009-02-09,51.169998,51.169998,48.529999,49.290001,1966500,44.9988
2009-02-10,49.200001,53.799999,46.77,47.34,4105800,43.218567
2009-02-11,46.939999,47.330002,44.0,44.939999,2291000,41.02751
2009-02-12,45.0,47.57,43.900002,47.470001,2494100,43.33725
2009-02-13,47.200001,47.5,45.25,45.73,1162900,41.748733
2009-02-17,45.57,45.59,43.93,44.119999,2010200,40.2789
2009-02-18,44.889999,44.889999,41.0,42.810001,2404400,39.082951
2009-02-19,43.200001,44.0,40.380001,40.75,1663000,37.202294
2009-02-20,40.139999,41.869999,39.299999,40.450001,2833300,36.928413
2009-02-23,40.990002,41.810001,38.75,39.639999,1948200,36.18893
2009-02-24,39.669998,42.580002,38.900002,41.93,1753000,38.279563
2009-02-25,42.689999,43.52,40.34,42.290001,2318500,39.06474
2009-02-26,42.860001,44.900002,41.73,43.09,1719600,39.803727
2009-02-27,42.09,43.400002,41.189999,41.41,2111300,38.251852
2009-03-02,40.509998,42.369999,40.139999,40.630001,1735100,37.53134
2009-03-03,41.16,41.599998,39.119999,39.490002,1814900,36.478283
2009-03-04,40.23,40.75,39.09,39.52,1898700,36.505994
2009-03-05,38.459999,39.200001,36.470001,36.970001,1630000,34.150472
2009-03-06,37.290001,37.650002,35.02,35.82,1611000,33.088175
2009-03-09,35.02,36.299999,34.299999,34.549999,1282300,31.915032
2009-03-10,35.18,36.419998,34.830002,36.349998,2688000,33.577754
2009-03-11,36.349998,37.5,36.259998,36.919998,1309400,34.104282
2009-03-12,36.919998,37.389999,35.919998,37.25,3012500,34.409116
2009-03-13,37.619999,39.639999,37.52,39.619999,2098500,36.598366
2009-03-16,40.049999,40.66,39.630001,39.869999,2349700,36.8293
2009-03-17,39.889999,41.16,39.540001,41.150002,1341100,38.011683
2009-03-18,40.91,40.919998,39.880001,40.610001,2161600,37.512865
2009-03-19,42.09,42.09,39.639999,39.77,1632600,36.736928
2009-03-20,39.830002,40.220001,38.23,38.700001,1888600,35.748532
2009-03-23,39.400002,40.68,38.73,40.68,1753900,37.577526
2009-03-24,40.41,41.970001,40.380001,41.139999,1353600,38.002444
2009-03-25,41.650002,43.950001,41.490002,43.73,2380000,40.394916
2009-03-26,44.080002,46.18,43.830002,46.060001,2094500,42.54722
2009-03-27,45.5,46.040001,43.880001,44.389999,1393300,41.004581
2009-03-30,43.209999,44.450001,42.709999,44.349998,1426800,40.967631
2009-03-31,44.48,45.119999,43.950001,44.290001,1236900,40.912209
2009-04-01,43.560001,46.400002,43.080002,45.959999,1069800,42.454844
2009-04-02,47.02,48.900002,47.009998,47.41,1880600,43.79426
2009-04-03,47.560001,48.349998,46.68,48.299999,845700,44.616384
2009-04-06,47.0,47.759998,45.0,46.509998,1284600,42.962898
2009-04-07,45.639999,45.790001,43.299999,43.669998,842000,40.339491
2009-04-08,44.32,44.540001,43.34,44.009998,760000,40.653561
2009-04-09,46.5,47.200001,45.029999,47.060001,1378200,43.470955
2009-04-13,46.490002,47.779999,45.310001,47.330002,1300500,43.720363
2009-04-14,46.98,47.75,46.549999,46.98,1354200,43.397054
2009-04-15,46.82,48.689999,46.560001,48.650002,1070000,44.939693
2009-04-16,49.080002,53.939999,48.439999,52.630001,3195400,48.616156
2009-04-17,52.68,53.939999,51.970001,52.330002,1413600,48.339037
2009-04-20,51.259998,51.470001,48.599998,48.939999,989100,45.207573
2009-04-21,48.48,49.720001,47.889999,49.110001,921900,45.36461
2009-04-22,48.82,50.869999,48.41,49.23,1424000,45.475457
