Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,10.86,11.8,10.82,11.66,8732300,11.66
2009-01-05,11.68,12.99,11.31,12.57,17789500,12.57
2009-01-06,12.9,14.47,12.8,14.31,27066100,14.31
2009-01-07,13.06,13.6,12.2,12.95,17476800,12.95
2009-01-08,12.74,13.67,12.56,13.62,13664900,13.62
2009-01-09,13.66,13.83,12.75,12.81,12135300,12.81
2009-01-12,12.51,12.76,11.67,11.82,10249700,11.82
2009-01-13,11.81,12.56,11.57,12.25,10857800,12.25
2009-01-14,11.86,12.17,11.0,11.23,13552000,11.23
2009-01-15,11.19,11.38,10.6,11.13,15447100,11.13
2009-01-16,11.48,11.48,10.53,10.77,16212100,10.77
2009-01-20,10.52,10.88,9.32,9.36,22284300,9.36
2009-01-21,9.55,10.63,9.55,10.58,13494800,10.58
2009-01-22,10.36,10.49,9.79,9.99,15306000,9.99
2009-01-23,10.88,11.05,9.25,10.85,15525600,10.85
2009-01-26,11.8,11.9,10.28,10.88,21512500,10.88
2009-01-27,11.19,11.43,10.55,11.16,16960600,11.16
2009-01-28,11.61,12.29,11.34,12.02,18278000,12.02
2009-01-29,11.77,11.84,11.3,11.51,15066000,11.51
2009-01-30,11.69,12.05,10.92,11.03,12898300,11.03
2009-02-02,10.76,10.97,10.28,10.59,13659200,10.59
2009-02-03,10.66,10.83,10.45,10.69,9708300,10.69
2009-02-04,10.79,11.39,10.73,11.04,11209300,11.04
2009-02-05,10.87,11.9,10.56,11.69,15039900,11.69
2009-02-06,11.61,12.53,11.38,12.35,15772800,12.35
2009-02-09,12.55,12.93,11.93,12.17,13426000,12.17
2009-02-10,12.02,12.44,11.0,11.15,17550600,11.15
2009-02-11,11.26,11.46,10.51,10.98,15399000,10.98
2009-02-12,10.73,10.95,10.31,10.79,14943100,10.79
2009-02-13,10.73,11.02,10.57,10.63,12851000,10.63
2009-02-17,9.81,10.0,9.21,9.22,31098900,9.22
2009-02-18,9.55,10.01,9.08,9.75,39474300,9.75
2009-02-19,10.11,10.85,10.1,10.28,35408900,10.28
2009-02-20,10.07,10.29,9.51,10.01,26587800,10.01
2009-02-23,10.19,10.25,9.48,9.52,23960800,9.52
2009-02-24,9.59,9.84,9.2,9.69,36154200,9.69
2009-02-25,9.52,10.0,9.17,9.7,213062900,9.7
2009-02-26,10.18,10.83,10.07,10.58,52694700,10.58
2009-02-27,10.1,11.23,9.88,10.67,27870300,10.67
2009-03-02,10.3,10.6,9.15,9.36,29133900,9.36
2009-03-03,9.85,10.0,9.31,9.55,22298500,9.55
2009-03-04,10.02,10.85,9.73,10.42,25584200,10.42
2009-03-05,10.06,10.65,9.65,9.94,17677400,9.94
2009-03-06,10.39,10.45,9.92,10.31,23672000,10.31
2009-03-09,10.36,11.05,10.1,10.6,19193500,10.6
2009-03-10,10.78,11.68,10.75,11.33,25971300,11.33
2009-03-11,11.18,11.41,10.64,10.83,17531800,10.83
2009-03-12,10.84,11.22,10.61,11.19,15438500,11.19
2009-03-13,11.22,11.4,10.83,11.1,13003700,11.1
2009-03-16,11.2,11.81,10.75,11.27,17056600,11.27
2009-03-17,11.14,11.75,10.95,11.73,14250700,11.73
2009-03-18,11.66,12.4,11.25,12.06,17579700,12.06
2009-03-19,12.47,13.05,12.2,12.49,18299400,12.49
2009-03-20,12.29,12.55,11.76,11.85,17181600,11.85
2009-03-23,12.44,13.1,12.1,13.07,16525600,13.07
2009-03-24,12.57,13.09,12.34,12.78,14938100,12.78
2009-03-25,12.89,13.04,12.11,12.61,14878200,12.61
2009-03-26,12.76,13.14,12.46,12.61,16049000,12.61
2009-03-27,12.12,12.24,11.51,11.67,12947800,11.67
2009-03-30,11.4,11.4,10.72,11.02,10727600,11.02
2009-03-31,11.05,11.45,11.0,11.07,12458800,11.07
2009-04-01,10.66,11.6,10.5,11.51,15067500,11.51
2009-04-02,12.1,12.51,11.9,12.23,12788000,12.23
2009-04-03,12.16,13.23,12.16,13.08,18440000,13.08
2009-04-06,12.86,12.86,12.43,12.74,11502400,12.74
2009-04-07,12.45,12.48,12.12,12.28,8202600,12.28
2009-04-08,12.14,12.65,11.62,12.54,10154300,12.54
2009-04-09,12.68,13.15,12.68,12.99,8677400,12.99
2009-04-13,12.6,13.14,12.24,12.97,11345000,12.97
2009-04-14,13.08,13.44,12.5,12.82,12423000,12.82
2009-04-15,12.69,13.43,12.69,13.3,16695500,13.3
2009-04-16,13.5,14.64,13.46,14.57,24119800,14.57
2009-04-17,14.37,14.92,14.1,14.75,21604600,14.75
2009-04-20,13.69,14.52,13.43,14.17,21710400,14.17
2009-04-21,13.74,15.88,13.74,15.69,25073400,15.69
2009-04-22,15.48,16.59,15.36,15.64,21858200,15.64
2009-04-23,15.86,16.24,15.36,15.98,15532900,15.98
2009-04-24,16.33,17.639999,16.33,17.41,25628800,17.41
2009-04-27,16.66,16.75,16.209999,16.459999,16560600,16.459999
2009-04-28,16.280001,16.32,15.42,16.190001,15845700,16.190001
2009-04-29,16.309999,17.15,16.26,17.049999,14769400,17.049999
2009-04-30,17.25,17.370001,16.110001,16.629999,13604400,16.629999
2009-05-01,16.57,17.139999,16.24,17.08,24582800,17.08
2009-05-04,17.52,18.48,17.17,18.379999,18094300,18.379999
2009-05-05,18.27,18.629999,17.639999,18.16,14704300,18.16
2009-05-06,18.5,19.41,18.5,18.950001,17864000,18.950001
2009-05-07,19.67,19.780001,17.4,18.299999,17009300,18.299999
2009-05-08,18.799999,19.440001,18.35,19.200001,16422400,19.200001
2009-05-11,18.940001,18.940001,17.870001,18.17,13132100,18.17
2009-05-12,18.52,18.99,17.889999,18.66,17269800,18.66
2009-05-13,18.290001,18.549999,17.620001,17.959999,17278700,17.959999
2009-05-14,17.620001,18.68,17.57,18.379999,13174700,18.379999
2009-05-15,18.33,18.9,17.58,17.84,17758400,17.84
2009-05-18,18.290001,19.15,18.290001,18.790001,12632200,18.790001
2009-05-19,18.940001,19.75,18.49,19.389999,16531000,19.389999
2009-05-20,19.879999,20.780001,19.309999,19.389999,19301900,19.389999
2009-05-21,18.959999,18.959999,17.98,18.370001,14333300,18.370001
2009-05-22,18.75,19.059999,18.4,18.719999,10811100,18.719999
2009-05-26,18.59,19.440001,18.07,19.24,11930700,19.24
2009-05-27,19.49,19.93,19.299999,19.33,13029900,19.33
2009-05-28,19.51,20.4,18.940001,20.129999,15949600,20.129999
2009-05-29,20.4,20.950001,20.299999,20.700001,15054700,20.700001
2009-06-01,21.65,22.549999,21.219999,21.780001,16792900,21.780001
2009-06-02,21.91,21.940001,21.17,21.860001,13889100,21.860001
2009-06-03,21.549999,21.74,19.24,20.0,24361600,20.0
2009-06-04,20.450001,21.07,20.17,20.85,14094000,20.85
2009-06-05,21.35,21.35,20.139999,20.629999,11725800,20.629999
2009-06-08,20.219999,20.450001,19.620001,20.26,11662500,20.26
2009-06-09,20.75,21.530001,20.690001,21.32,13472600,21.32
2009-06-10,21.9,22.549999,21.48,22.450001,20311600,22.450001
2009-06-11,22.299999,23.75,22.1,23.440001,16969900,23.440001
2009-06-12,23.01,23.09,22.4,22.65,10579900,22.65
2009-06-15,22.25,22.32,21.17,22.059999,11076600,22.059999
2009-06-16,22.51,22.85,20.93,21.059999,13230300,21.059999
2009-06-17,20.719999,20.959999,19.52,20.129999,19555400,20.129999
2009-06-18,20.23,20.59,19.75,20.1,11198200,20.1
2009-06-19,20.51,20.82,20.0,20.15,13772900,20.15
2009-06-22,19.49,19.49,18.219999,18.25,20023200,18.25
2009-06-23,18.51,18.66,17.58,18.18,22383900,18.18
2009-06-24,18.43,18.98,18.219999,18.700001,17045800,18.700001
2009-06-25,18.93,19.639999,18.799999,19.52,13524000,19.52
2009-06-26,19.5,19.879999,19.15,19.700001,9094600,19.700001
2009-06-29,20.129999,20.360001,19.790001,20.030001,10888600,20.030001
