Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,33.099998,33.959999,32.73,33.779999,3451500,25.695456
2009-01-05,33.700001,33.98,33.380001,33.57,3217800,25.535716
2009-01-06,33.830002,33.990002,32.880001,33.080002,3423200,25.162989
2009-01-07,32.91,33.060001,32.419998,32.57,4711900,24.775045
2009-01-08,32.369999,33.259998,32.119999,33.18,3164000,25.239055
2009-01-09,33.369999,33.66,32.619999,32.73,3080900,24.896752
2009-01-12,32.720001,32.75,32.169998,32.540001,2892600,24.752226
2009-01-13,32.5,32.529999,32.040001,32.32,3669200,24.584877
2009-01-14,32.0,32.139999,31.01,31.43,4010700,23.907881
2009-01-15,30.65,32.41,30.5,32.389999,5364200,24.638124
2009-01-16,32.779999,32.779999,31.68,32.389999,6339200,24.638124
2009-01-20,32.009998,32.470001,31.42,31.540001,4018800,23.991555
2009-01-21,31.92,32.75,31.42,32.639999,4354700,24.828292
2009-01-22,32.23,32.77,31.24,32.57,4276000,24.775045
2009-01-23,32.009998,32.630001,31.559999,32.080002,3906700,24.402318
2009-01-26,32.099998,33.07,32.0,32.580002,3791400,24.782654
2009-01-27,32.810001,33.0,32.43,32.740002,3320700,24.904361
2009-01-28,33.240002,33.400002,32.509998,32.84,3797300,24.980427
2009-01-29,32.66,32.790001,31.639999,31.809999,4323100,24.196935
2009-01-30,32.060001,32.099998,31.0,31.190001,4091200,23.72532
2009-02-02,30.879999,31.16,29.9,30.26,5782100,23.017896
2009-02-03,30.5,30.75,29.799999,30.639999,4219500,23.30695
2009-02-04,30.83,31.15,29.9,30.0,4782500,22.820122
2009-02-05,29.799999,30.02,29.139999,29.48,6078400,22.424573
2009-02-06,29.43,29.879999,29.309999,29.75,4393700,22.629954
2009-02-09,29.68,30.02,29.0,29.5,4467000,22.439786
2009-02-10,29.309999,29.5,28.290001,28.299999,5109200,21.526981
2009-02-11,28.5,29.030001,28.32,28.450001,4651700,21.641083
2009-02-12,29.610001,29.610001,27.6,29.26,7121000,22.257225
2009-02-13,28.959999,29.700001,28.93,29.299999,4480000,22.287652
2009-02-17,28.59,29.15,27.84,28.629999,5140300,21.778002
2009-02-18,28.629999,29.030001,28.4,28.540001,4861300,21.709543
2009-02-19,28.73,28.92,28.309999,28.4,3084600,21.603048
2009-02-20,28.01,28.809999,28.0,28.57,5185700,21.732362
2009-02-23,28.84,28.93,27.450001,27.540001,5316700,20.948872
2009-02-24,27.719999,28.540001,27.209999,28.41,6275300,21.610655
2009-02-25,28.41,28.700001,27.719999,27.969999,4387200,21.27596
