Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,37.720001,40.060001,37.5,39.509998,9965900,37.026934
2009-01-05,39.380001,40.849998,38.049999,39.48,10908600,36.99882
2009-01-06,41.029999,41.470001,38.360001,40.139999,11544800,37.617342
2009-01-07,39.060001,39.220001,36.860001,37.209999,7675100,34.871482
2009-01-08,36.98,38.470001,36.130001,38.34,6591500,35.930466
2009-01-09,38.639999,38.990002,36.509998,36.700001,6376600,34.393535
2009-01-12,35.880001,36.0,31.799999,31.969999,14359100,29.960797
2009-01-13,31.540001,33.310001,31.190001,32.799999,9090900,30.738635
2009-01-14,31.969999,32.200001,30.0,30.34,7903700,28.433238
2009-01-15,30.860001,33.41,28.889999,32.290001,14757800,30.260688
2009-01-16,33.220001,34.09,31.129999,32.580002,9508900,30.532463
2009-01-20,31.610001,32.580002,29.959999,30.1,7220200,28.208321
2009-01-21,31.01,31.99,29.85,31.799999,7786500,29.801481
2009-01-22,30.870001,31.280001,29.629999,30.0,9167200,28.114606
2009-01-23,28.77,32.0,28.360001,30.790001,9369800,28.854958
2009-01-26,30.82,32.200001,29.040001,29.459999,9531000,27.608542
2009-01-27,31.969999,32.349998,30.719999,31.49,18115500,29.510964
2009-01-28,32.700001,34.900002,32.5,34.799999,14858100,32.612942
2009-01-29,33.810001,34.0,32.59,32.889999,10668300,30.822979
2009-01-30,31.85,32.099998,29.5,30.030001,13190800,28.142721
2009-02-02,29.34,29.700001,27.73,28.18,12971700,26.408986
2009-02-03,28.459999,29.67,28.34,29.02,8490000,27.196196
2009-02-04,29.790001,31.459999,29.68,30.41,11519700,28.498838
2009-02-05,30.459999,31.950001,29.200001,31.43,9279100,29.454735
2009-02-06,31.950001,35.0,31.549999,34.459999,14449800,32.294309
2009-02-09,35.0,36.700001,34.16,35.049999,14618300,33.135701
2009-02-10,35.029999,35.049999,30.790001,31.16,15368700,29.458159
2009-02-11,31.969999,32.310001,29.790001,30.75,12790800,29.070551
2009-02-12,30.0,31.610001,29.049999,31.540001,12129400,29.817406
2009-02-13,31.49,32.080002,30.25,30.610001,9702000,28.938198
2009-02-17,28.950001,29.16,27.200001,27.33,12747600,25.837339
2009-02-18,27.690001,27.700001,24.709999,25.459999,17870400,24.06947
2009-02-19,26.51,26.98,24.459999,24.77,12729400,23.417157
2009-02-20,23.82,25.620001,23.389999,24.799999,13268500,23.445517
2009-02-23,25.219999,25.35,20.1,21.530001,19561100,20.354114
2009-02-24,21.610001,22.27,20.280001,22.15,20418200,20.940251
2009-02-25,22.41,22.889999,20.780001,20.92,16681100,19.777429
2009-02-26,21.6,21.98,19.93,20.059999,14660300,18.964398
2009-02-27,19.67,20.809999,19.030001,19.67,15008100,18.595699
2009-03-02,19.200001,19.32,16.799999,16.879999,18678400,15.958078
2009-03-03,17.459999,17.950001,16.940001,17.209999,17755600,16.270054
2009-03-04,18.719999,19.370001,18.15,18.93,23990600,17.896115
2009-03-05,18.0,18.719999,17.389999,17.639999,18555600,16.676569
2009-03-06,18.129999,18.9,16.969999,17.690001,17838200,16.72384
2009-03-09,17.379999,18.4,17.08,17.42,15246600,16.468586
2009-03-10,18.379999,20.4,18.209999,20.08,19390400,18.983306
2009-03-11,20.75,20.870001,18.84,19.33,16989000,18.274269
2009-03-12,18.74,19.280001,17.610001,19.1,21344000,18.056831
2009-03-13,19.5,19.530001,17.620001,18.18,19674800,17.187078
2009-03-16,18.530001,19.6,17.870001,18.4,16882300,17.395061
2009-03-17,17.459999,17.870001,16.66,17.809999,19419800,16.837285
2009-03-18,17.549999,19.57,17.15,19.17,20060900,18.123007
2009-03-19,20.16,22.450001,19.92,20.940001,31628200,19.796337
2009-03-20,21.370001,21.49,19.25,19.719999,20125500,18.642968
2009-03-23,20.9,22.139999,19.91,22.08,22951100,20.874074
2009-03-24,21.6,24.27,21.049999,23.32,26358500,22.04635
2009-03-25,23.790001,25.74,22.48,23.469999,34681600,22.188157
2009-03-26,24.440001,25.110001,24.110001,24.74,19793400,23.388795
2009-03-27,24.200001,24.92,23.26,24.35,16623100,23.020096
2009-03-30,22.74,22.74,20.9,21.549999,17410400,20.37302
2009-03-31,22.309999,22.309999,20.790001,21.129999,18578800,19.975959
2009-04-01,20.5,22.92,20.17,22.620001,18635000,21.384582
2009-04-02,24.09,25.5,23.780001,25.18,22053000,23.804764
2009-04-03,24.65,26.450001,24.5,25.870001,19966500,24.457079
2009-04-06,25.120001,25.379999,24.33,25.16,12910500,23.785856
2009-04-07,24.129999,24.780001,23.309999,23.389999,13448900,22.112526
2009-04-08,24.18,24.360001,22.65,23.85,11565900,22.547404
2009-04-09,25.24,26.16,24.85,26.110001,14525400,24.683971
2009-04-13,25.58,27.719999,25.18,27.370001,13229200,25.875155
2009-04-14,26.870001,27.879999,25.82,26.08,14152500,24.655609
2009-04-15,26.139999,27.610001,25.73,27.610001,15673800,26.102047
2009-04-16,28.23,29.24,27.02,28.74,17929900,27.17033
2009-04-17,28.77,30.379999,28.1,29.959999,19925500,28.323697
