Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,7.97,8.42,7.88,8.38,4503800,7.075854
2009-01-05,8.24,9.06,8.21,8.9,9561500,7.514928
2009-01-06,8.97,9.25,8.92,9.1,7375800,7.683803
2009-01-07,8.9,8.94,8.63,8.73,5516700,7.371384
2009-01-08,8.73,8.89,8.6,8.84,3586500,7.464266
2009-01-09,8.65,9.0,8.59,8.73,4011400,7.371384
2009-01-12,8.54,8.9,8.16,8.27,6068100,6.982973
2009-01-13,8.25,8.46,8.22,8.41,6820400,7.101185
2009-01-14,8.29,8.32,7.78,7.92,7188400,6.687442
2009-01-15,7.88,7.91,7.33,7.82,7207700,6.603004
2009-01-16,7.98,8.17,7.55,7.69,9547700,6.493236
2009-01-20,7.79,7.79,7.33,7.4,8373700,6.248367
2009-01-21,7.53,7.84,7.35,7.82,6716200,6.603004
2009-01-22,7.53,7.81,7.3,7.59,7806200,6.408798
2009-01-23,7.19,7.2,6.05,7.03,12686500,5.935949
2009-01-26,7.11,7.29,6.71,6.89,7070400,5.817736
2009-01-27,6.98,7.27,6.81,7.17,6647600,6.054161
2009-01-28,7.29,7.59,7.11,7.44,5779400,6.282142
2009-01-29,7.33,7.34,6.91,6.97,5113800,5.885286
2009-01-30,7.1,7.25,6.59,6.64,6900900,5.606643
2009-02-02,6.54,6.72,6.45,6.64,4848200,5.606643
2009-02-03,6.65,6.8,6.43,6.78,5333200,5.724855
2009-02-04,6.8,6.98,6.59,6.7,5158200,5.657305
2009-02-05,6.6,6.84,6.44,6.77,4638700,5.716412
2009-02-06,6.76,7.09,6.69,7.06,4954500,5.96128
2009-02-09,7.03,7.05,6.91,7.02,4158400,5.927505
2009-02-10,6.97,7.07,6.44,6.54,6975300,5.522206
2009-02-11,6.64,6.73,6.45,6.65,6525800,5.615087
2009-02-12,6.51,6.54,6.23,6.52,6501700,5.505318
2009-02-13,6.54,6.6,6.36,6.44,4608800,5.437768
2009-02-17,6.27,6.27,6.0,6.06,5729700,5.116906
2009-02-18,6.09,6.13,5.9,5.98,5385500,5.049356
2009-02-19,6.03,6.1,5.8,5.85,5114400,4.939587
2009-02-20,5.58,5.71,5.45,5.52,6839500,4.660944
2009-02-23,5.57,5.57,5.29,5.32,5648800,4.49207
2009-02-24,5.36,5.7,5.3,5.64,6878600,4.762269
2009-02-25,5.62,5.78,5.32,5.65,7937300,4.770713
2009-02-26,5.73,5.82,5.32,5.35,5864700,4.517401
2009-02-27,5.27,5.39,5.14,5.18,8211100,4.373857
2009-03-02,5.09,5.13,4.67,4.75,9605000,4.010776
2009-03-03,4.83,4.83,4.49,4.59,6417700,3.875677
2009-03-04,4.68,4.91,4.52,4.8,6112300,4.052995
2009-03-05,4.71,4.74,4.33,4.45,7326400,3.757464
2009-03-06,4.49,4.58,4.18,4.28,8122900,3.613921
2009-03-09,4.22,4.42,4.12,4.17,7042800,3.521039
2009-03-10,4.24,4.8,4.15,4.79,10244400,4.044551
2009-03-11,4.8,5.01,4.67,4.78,5307200,4.036108
2009-03-12,4.69,5.02,4.66,4.99,6314800,4.213426
2009-03-13,5.02,5.3,5.0,5.19,5037300,4.382301
2009-03-16,5.25,5.35,5.12,5.12,5253800,4.323194
2009-03-17,5.2,5.2,5.0,5.19,5701400,4.382301
2009-03-18,5.16,5.48,5.05,5.38,5473600,4.542732
2009-03-19,5.44,5.51,5.3,5.34,5137000,4.508957
2009-03-20,4.89,5.0,4.25,4.34,15725000,3.664583
2009-03-23,4.56,4.77,4.45,4.77,7631600,4.027664
2009-03-24,4.7,4.85,4.55,4.65,7066100,3.926339
2009-03-25,4.7,5.06,4.7,4.88,8282600,4.120545
2009-03-26,4.94,5.31,4.94,5.31,8243500,4.483626
2009-03-27,5.24,5.24,4.98,5.1,6207600,4.341464
2009-03-30,4.97,5.0,4.52,4.59,8217800,3.907318
2009-03-31,4.73,4.74,4.54,4.55,7309300,3.873267
2009-04-01,4.65,4.8,4.5,4.75,5546300,4.04352
2009-04-02,4.85,5.21,4.78,4.98,8956100,4.239312
2009-04-03,4.98,5.06,4.82,5.0,7323500,4.256337
2009-04-06,4.99,4.99,4.71,4.86,8260900,4.13716
2009-04-07,4.78,4.86,4.67,4.7,5707100,4.000957
2009-04-08,4.81,4.97,4.7,4.9,7226700,4.171211
2009-04-09,4.98,5.48,4.98,5.46,9288500,4.64792
2009-04-13,5.45,5.45,5.16,5.33,6167200,4.537255
2009-04-14,5.28,5.47,5.2,5.36,4736900,4.562794
2009-04-15,5.33,5.45,5.22,5.44,4166900,4.630895
2009-04-16,5.48,5.8,5.4,5.75,4886800,4.894788
2009-04-17,5.78,5.97,5.65,5.92,5367200,5.039503
2009-04-20,5.81,5.82,5.32,5.36,5666800,4.562794
2009-04-21,5.32,5.76,5.32,5.56,7279700,4.733047
2009-04-22,5.49,5.93,5.47,5.67,8053400,4.826687
2009-04-23,5.6,5.8,5.31,5.74,12366300,4.886275
2009-04-24,5.91,6.14,5.76,5.95,8248600,5.065041
2009-04-27,5.8,5.82,5.52,5.61,8257700,4.775611
2009-04-28,5.54,5.77,5.52,5.7,5731300,4.852224
2009-04-29,5.73,6.1,5.7,5.9,7361900,5.022478
2009-04-30,5.98,6.33,5.98,6.11,7390300,5.201244
2009-05-01,6.15,6.49,6.15,6.44,7918200,5.482162
2009-05-04,6.55,6.6,6.41,6.56,7776700,5.584314
2009-05-05,6.57,6.67,6.45,6.52,8309100,5.550264
2009-05-06,6.61,6.71,6.38,6.69,12429700,5.694979
2009-05-07,6.77,6.84,6.52,6.59,11399100,5.609853
2009-05-08,6.73,6.73,6.44,6.69,9537400,5.694979
2009-05-11,6.6,6.63,6.42,6.49,6153600,5.524726
2009-05-12,6.65,6.65,6.02,6.12,9360600,5.209757
2009-05-13,6.04,6.15,5.86,5.96,6048900,5.073554
2009-05-14,5.96,6.45,5.88,6.32,8206600,5.38001
2009-05-15,6.33,6.48,6.15,6.23,7355000,5.303396
2009-05-18,6.28,6.55,6.27,6.54,4863000,5.567289
2009-05-19,6.68,6.83,6.57,6.76,4926100,5.754568
2009-05-20,6.81,7.14,6.8,6.9,11599500,5.873746
2009-05-21,6.82,6.89,6.68,6.82,13357900,5.805644
2009-05-22,6.82,6.96,6.72,6.78,4175000,5.771594
2009-05-26,6.74,7.04,6.63,6.93,9722000,5.899283
2009-05-27,6.83,6.94,6.75,6.78,7341900,5.771594
2009-05-28,6.87,6.91,6.56,6.76,7871500,5.754568
2009-05-29,6.79,6.88,6.65,6.8,6267300,5.788619
2009-06-01,6.91,7.09,6.77,6.99,7237700,5.950359
2009-06-02,6.92,7.11,6.92,7.02,4301700,5.975898
2009-06-03,6.95,7.07,6.77,6.86,6040400,5.839695
2009-06-04,7.02,7.28,6.98,7.25,6558700,6.171689
2009-06-05,7.33,7.45,7.08,7.11,7561600,6.052512
2009-06-08,7.11,7.16,6.9,7.1,4834100,6.043999
2009-06-09,7.15,7.23,7.0,7.12,3225800,6.061024
2009-06-10,7.17,7.26,6.96,7.07,5758800,6.018461
2009-06-11,7.09,7.29,6.97,7.0,7381800,5.958872
2009-06-12,6.97,7.14,6.8,6.98,5265700,5.941847
2009-06-15,6.92,7.06,6.83,6.9,4364100,5.873746
2009-06-16,6.95,7.06,6.89,6.95,6334700,5.916309
2009-06-17,6.96,7.02,6.86,6.9,4807800,5.873746
2009-06-18,6.93,6.99,6.78,6.89,3551800,5.865233
2009-06-19,6.95,6.95,6.7,6.74,8012400,5.737542
2009-06-22,6.67,6.7,6.4,6.42,4008500,5.465137
2009-06-23,6.45,6.49,6.26,6.4,4380900,5.448112
