Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,26.7,27.78,26.59,27.65,1786100,2.13927
2009-01-05,27.36,27.55,26.65,27.12,2060100,2.09826
2009-01-06,27.77,28.4,27.66,27.99,2643500,2.16557
2009-01-07,27.56,27.61,26.46,26.65,2501900,2.0619
2009-01-08,26.29,26.9,26.15,26.78,2105700,2.07196
2009-01-09,27.1,27.1,26.0,26.45,2203500,2.04642
2009-01-12,26.49,27.02,26.25,26.73,2062500,2.06809
2009-01-13,26.6,27.48,26.56,27.34,3031200,2.11528
2009-01-14,26.8,27.45,26.73,27.31,3495400,2.11296
2009-01-15,27.12,27.35,26.29,27.08,3428700,2.09517
2009-01-16,27.54,27.81,26.56,27.39,2256900,2.11915
2009-01-19,15920.0,15920.0,15900.0,15920.0,3000,1231.72341
2009-01-20,27.55,27.58,25.63,25.72,3697500,1.98995
2009-01-21,26.26,26.59,25.73,26.57,2778800,2.05571
2009-01-22,26.27,26.43,25.54,25.93,2914100,2.00619
2009-01-23,25.78,26.5,25.32,26.31,2330600,2.03559
2009-01-26,26.26,26.45,25.42,25.82,2610500,1.99768
2009-01-27,25.82,26.2,25.4,26.05,3432500,2.01548
2009-01-28,26.65,26.83,25.86,26.51,2421400,2.05107
2009-01-29,26.02,26.72,25.91,26.06,1435200,2.01625
2009-01-30,25.89,26.62,25.26,25.33,2523200,1.95977
2009-02-02,25.3,26.06,24.76,25.75,3324000,1.99227
2009-02-03,25.85,26.15,25.35,25.98,2342600,2.01006
2009-02-04,25.92,26.33,25.59,25.89,2657800,2.0031
2009-02-05,26.96,28.45,26.1,28.11,7147400,2.17486
2009-02-06,28.2,28.99,27.95,28.8,3682500,2.22824
2009-02-09,28.71,29.67,28.5,29.49,4096500,2.28163
2009-02-10,29.28,29.94,28.73,29.0,4823300,2.24372
2009-02-11,29.0,29.68,28.78,29.38,2844500,2.27312
2009-02-12,29.01,29.89,28.47,29.83,3392600,2.30793
2009-02-13,29.85,30.3,29.66,29.66,3227100,2.29478
2009-02-16,15980.0,15980.0,15980.0,15980.0,15200,1236.36558
2009-02-17,28.91,29.8,28.89,29.43,3699800,2.27699
2009-02-18,29.39,29.43,28.81,28.94,2916900,2.23908
2009-02-19,28.97,29.25,28.63,28.72,2337100,2.22205
2009-02-20,28.35,29.06,28.26,28.84,3697000,2.23134
2009-02-23,29.0,29.46,28.56,28.97,4441600,2.2414
2009-02-24,29.2,29.51,28.44,29.25,4797800,2.26306
2009-02-25,28.92,29.47,28.53,29.0,3681000,2.24372
2009-02-26,29.25,29.47,28.72,28.79,2380200,2.22747
2009-02-27,29.75,30.12,28.79,29.63,4671100,2.29246
2009-03-02,29.45,29.5,28.54,29.33,5206700,2.26925
2009-03-03,29.63,29.93,28.73,28.91,3128900,2.23675
2009-03-04,29.02,29.41,28.49,28.54,4311400,2.20813
2009-03-05,28.48,28.8,28.02,28.27,3290000,2.18724
2009-03-06,28.46,28.87,27.96,28.84,4372600,2.23134
2009-03-09,28.92,28.98,28.18,28.33,3437000,2.19188
2009-03-10,28.61,28.85,28.35,28.73,4332100,2.22283
2009-03-11,29.1,29.36,28.48,28.53,5332000,2.20735
2009-03-12,28.75,29.6,28.32,29.55,3307100,2.28627
2009-03-13,29.72,29.97,28.98,29.74,4398100,2.30097
2009-03-16,29.95,30.19,28.92,28.98,3399900,2.24217
2009-03-17,29.2,29.75,28.83,29.75,2494700,2.30174
2009-03-18,29.88,30.57,29.38,30.32,3062500,2.34585
2009-03-19,30.66,31.9,30.5,31.67,5428900,2.45029
2009-03-20,31.85,31.98,30.72,30.78,3990300,2.38144
2009-03-23,31.01,33.09,30.88,33.04,5113200,2.55629
2009-03-24,32.7,32.8,31.93,32.2,3785000,2.4913
2009-03-25,31.54,33.52,31.54,33.46,4492900,2.58879
2009-03-26,33.82,33.99,33.3,33.9,4254800,2.62283
2009-03-27,33.73,33.79,33.06,33.53,2597900,2.5942
2009-03-30,33.01,33.11,32.35,33.01,2951700,2.55397
2009-03-31,33.32,33.6,32.81,33.0,2848100,2.5532
2009-04-01,32.71,33.83,32.19,33.16,3627900,2.56557
2009-04-02,33.35,34.9,33.33,34.39,4335100,2.66074
2009-04-03,33.17,34.39,32.55,34.34,2150300,2.65687
2009-04-06,33.16,33.47,32.89,33.15,3422300,2.5648
2009-04-07,32.74,32.74,31.8,32.2,3484800,2.4913
2009-04-08,32.4,33.78,32.4,33.46,5755700,2.58879
2009-04-09,34.2,34.2,33.05,33.63,3568400,2.60194
2009-04-13,33.32,33.74,32.82,33.48,1968200,2.59033
2009-04-14,33.2,33.84,32.97,33.64,2077900,2.60271
2009-04-15,33.5,33.56,32.58,32.98,2560900,2.55165
2009-04-16,33.19,33.4,32.65,33.23,2779500,2.57099
2009-04-17,33.31,33.67,32.56,33.13,2722700,2.56325
2009-04-20,32.13,33.04,31.18,32.89,2599600,2.54468
2009-04-21,32.89,33.4,32.55,33.17,2795800,2.56635
2009-04-22,32.98,34.12,32.61,33.62,2672900,2.60116
2009-04-23,33.05,33.91,32.57,33.63,3170600,2.60194
2009-04-24,33.64,34.92,33.13,34.65,2632100,2.68086
2009-04-27,34.27,35.28,33.81,34.44,2684800,2.66461
2009-04-28,34.4,34.49,33.755,34.25,1690300,2.64991
