Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,6.50123,6.85654,6.42441,6.79893,1323700,6.3977
2009-01-05,6.74131,6.84694,6.59726,6.77012,2541300,6.37059
2009-01-06,6.85654,7.05821,6.64528,6.92376,2237800,6.51517
2009-01-07,6.80853,6.87575,6.59726,6.68369,1873800,6.28926
2009-01-08,6.86615,7.0294,6.57806,6.98138,3944800,6.56939
2009-01-09,6.98138,6.98138,6.7125,6.74131,1708600,6.34348
2009-01-12,6.69329,6.76051,6.3956,6.47242,3890800,6.09046
2009-01-13,6.47242,6.65488,6.44361,6.53004,3773800,6.14468
2009-01-14,6.33798,6.45322,6.19394,6.23235,3000800,5.86456
2009-01-15,6.20354,6.63567,6.03069,6.56845,4263400,6.18083
2009-01-16,6.386,6.74611,6.36679,6.63567,2534500,6.24408
2009-01-20,6.69329,6.7125,6.34758,6.34758,2315700,5.97299
2009-01-21,6.48203,6.82773,6.36199,6.80853,4416900,6.40674
2009-01-22,6.62607,6.7221,6.3956,6.50123,2907400,6.11757
2009-01-23,6.3956,6.93337,6.36679,6.90456,4363000,6.4971
2009-01-26,6.84694,7.05821,6.65488,6.78932,3696100,6.38866
2009-01-27,6.76051,6.84694,6.62607,6.77012,1961300,6.37059
2009-01-28,6.84694,6.96218,6.76051,6.89496,2724000,6.48807
2009-01-29,6.91416,6.91416,6.3956,6.3956,2417000,6.01818
2009-01-30,6.49163,6.63567,6.23235,6.24195,2787400,5.87359
2009-02-02,6.22275,6.47242,6.09791,6.36679,3238000,5.99107
2009-02-03,6.35719,6.54925,6.21314,6.52044,2826700,6.13565
2009-02-04,6.48203,6.59726,6.31878,6.42441,2602100,6.04529
2009-02-05,6.33798,6.53004,6.26116,6.50123,2576800,6.11757
2009-02-06,6.50123,6.63567,6.386,6.61647,1391500,6.22601
2009-02-09,6.58766,6.65488,6.33798,6.50123,1837800,6.11757
2009-02-10,6.41481,6.50123,6.11711,6.13632,3525500,5.7742
2009-02-11,6.13632,6.23235,6.03069,6.18433,1590300,5.81937
2009-02-12,5.99227,6.19394,5.90585,6.17473,3016500,5.81034
2009-02-13,6.11711,6.28997,6.09791,6.20354,1779300,5.83745
2009-02-17,5.94426,5.97307,5.79061,5.83863,2625800,5.49407
2009-02-18,5.83863,5.93466,5.71379,5.7522,2276700,5.41274
2009-02-19,5.82902,5.92505,5.7618,5.83863,2195600,5.49407
2009-02-20,5.72339,5.83382,5.56014,5.70418,2514800,5.36756
2009-02-23,5.70418,5.7618,5.38728,5.39689,1923500,5.0784
2009-02-24,5.46411,5.66577,5.30086,5.56014,2583100,5.23202
2009-02-25,5.51212,5.70418,5.34887,5.61776,3551900,5.28624
2009-02-26,5.65617,5.7618,5.57934,5.63696,3146700,5.30431
2009-02-27,5.47371,5.85783,5.41609,5.67537,3193600,5.34045
2009-03-02,5.60815,5.72339,5.4257,5.4353,2714300,5.11455
2009-03-03,5.47371,5.87704,5.45451,5.49292,4426000,5.16877
2009-03-04,5.57934,5.71379,5.40649,5.60815,2856300,5.2772
2009-03-05,5.54093,5.60815,5.39689,5.45451,3250000,5.13262
2009-03-06,5.50252,5.57934,5.33917,5.56014,3117500,5.23202
2009-03-09,5.46411,5.47371,4.97436,5.03197,5645600,4.73502
2009-03-10,5.1088,5.28165,5.02237,5.28165,2685200,4.96996
2009-03-11,5.30086,5.38728,5.19522,5.30086,1904700,4.98804
2009-03-12,5.28165,5.58895,5.09919,5.57934,2913300,5.25009
2009-03-13,5.58895,5.58895,5.35848,5.51212,1495600,5.18683
2009-03-16,5.57934,5.60815,5.35848,5.37768,1313900,5.06033
2009-03-17,5.34887,5.47371,5.26725,5.47371,1630700,5.15069
2009-03-18,5.38728,5.59855,5.30086,5.54093,2068600,5.21394
2009-03-19,5.58895,5.60815,5.4257,5.49292,1299300,5.16877
2009-03-20,5.56974,5.58895,5.24324,5.29125,1875100,4.979
2009-03-23,5.37768,5.58895,5.32967,5.56014,1652600,5.23202
2009-03-24,5.50252,5.51212,5.26245,5.38728,2222300,5.06936
2009-03-25,5.39689,5.7618,5.36808,5.7522,2978200,5.41274
2009-03-26,5.79061,6.17473,5.72339,6.13632,3186600,5.7742
2009-03-27,6.42441,6.7125,6.42441,6.56845,3945700,6.18083
2009-03-30,6.49163,6.62607,6.19394,6.28997,5318700,5.91878
2009-03-31,6.37639,6.60687,6.31878,6.32838,5106800,5.95492
2009-04-01,6.28036,6.51084,6.23235,6.47242,3631700,6.09046
2009-04-02,6.62607,6.80853,6.57806,6.68369,4041000,6.28926
2009-04-03,6.74131,6.82773,6.65488,6.81813,1724200,6.41577
2009-04-06,6.7317,6.76051,6.52044,6.66448,2575200,6.27119
2009-04-07,6.49163,6.63567,6.42441,6.46282,3036900,6.08143
2009-04-08,6.46282,6.7317,6.25155,6.7317,3417800,6.33444
2009-04-09,6.82773,6.98138,6.81813,6.93337,2739800,6.52421
2009-04-13,6.85654,6.88535,6.66448,6.82773,2514500,6.4248
2009-04-14,6.74131,6.87575,6.7029,6.83734,2901700,6.43385
2009-04-15,6.78932,6.79893,6.54925,6.69329,2175600,6.2983
2009-04-16,6.7317,6.91416,6.67409,6.88535,2308300,6.47902
2009-04-17,6.95257,6.95257,6.55885,6.91416,1850700,6.50613
2009-04-20,6.74131,6.94297,6.53964,6.67409,2062400,6.28023
2009-04-21,6.64528,6.90456,6.59726,6.82773,2628800,6.4248
2009-04-22,6.81813,7.19265,6.54925,7.039,2773600,6.62361
2009-04-23,6.97178,6.98138,6.77012,6.89496,2828200,6.48807
2009-04-24,6.90456,7.0486,6.84694,6.97178,1545300,6.56035
2009-04-27,6.83734,7.01979,6.79893,6.89496,1319700,6.48807
2009-04-28,6.77012,6.98138,6.77012,6.93337,1400700,6.52421
2009-04-29,6.96218,7.16384,6.93337,7.10622,1294100,6.68686
2009-04-30,7.10622,7.26947,6.97178,7.18305,2908100,6.75916
2009-05-01,7.20225,7.22146,6.97178,7.05821,1513000,6.64168
2009-05-04,7.13503,7.24066,6.96218,7.23106,1741200,6.80433
2009-05-05,7.21185,7.25027,7.01979,7.16384,1671400,6.74108
2009-05-06,6.74131,7.20225,6.74131,7.14463,1880600,6.723
2009-05-07,7.12543,7.43272,7.0294,7.14463,2070200,6.723
2009-05-08,7.15424,7.33669,7.08711,7.15424,1222000,6.73205
2009-05-11,7.11582,7.33669,7.0294,7.23106,1450800,6.80433
2009-05-12,7.21185,7.32709,7.0294,7.11582,1331300,6.69589
