Date,Open,High,Low,Close,Volume,Adj Close
2015-05-07,13.25,15.01,12.9,14.95,3302500,14.95
2015-05-08,15.02,19.48,15.02,19.27,655300,19.27
2015-05-11,20.209999,21.700001,19.6,20.75,547900,20.75
2015-05-12,21.68,21.889999,19.24,21.57,271600,21.57
2015-05-13,21.57,22.0,18.200001,19.59,373100,19.59
2015-05-14,19.190001,21.34,18.35,20.58,100400,20.58
2015-05-15,21.07,21.49,18.884001,20.129999,144300,20.129999
2015-05-18,19.709999,20.23,18.9,19.9,93000,19.9
2015-05-19,20.389999,20.389999,19.535,20.1,39100,20.1
2015-05-20,20.040001,23.16,19.08,22.879999,153000,22.879999
2015-05-21,23.200001,27.82,22.9,24.0,184800,24.0
2015-05-22,23.76,25.969999,23.0,24.709999,75500,24.709999
2015-05-26,25.200001,26.5,24.030001,25.34,231100,25.34
2015-05-27,25.83,26.85,23.540001,24.690001,160900,24.690001
2015-05-28,24.219999,25.139999,23.91,23.98,113600,23.98
2015-05-29,23.59,24.0,22.129999,22.889999,165200,22.889999
2015-06-01,24.17,24.27,22.690001,23.48,110800,23.48
2015-06-02,23.610001,26.34,22.874001,25.24,167300,25.24
2015-06-03,24.99,28.23,24.360001,27.879999,380600,27.879999
2015-06-04,28.290001,28.290001,26.6,27.33,63000,27.33
2015-06-05,26.84,27.618,25.059999,25.870001,71500,25.870001
2015-06-08,25.719999,26.99,24.75,24.93,92600,24.93
2015-06-09,24.959999,24.959999,21.799999,22.139999,155900,22.139999
2015-06-10,22.58,23.542,20.290001,22.540001,85800,22.540001
2015-06-11,22.57,23.360001,20.753,21.66,92600,21.66
2015-06-12,21.629999,22.93,21.135,22.23,91100,22.23
2015-06-15,22.0,23.26,21.84,22.65,134700,22.65
2015-06-16,22.35,22.99,21.75,21.950001,108200,21.950001
2015-06-17,21.85,22.975,21.620001,22.42,64300,22.42
2015-06-18,22.27,23.16,21.664,22.09,78700,22.09
2015-06-19,22.200001,23.190001,21.610001,21.82,261500,21.82
2015-06-22,21.6,22.91,21.6,22.85,91300,22.85
2015-06-23,22.85,22.959999,21.6,21.940001,91500,21.940001
2015-06-24,21.719999,22.43,21.719999,21.93,128300,21.93
2015-06-25,21.83,22.370001,19.367001,19.6,263500,19.6
2015-06-26,19.459999,20.129999,18.75,19.66,892400,19.66
2015-06-29,19.719999,19.719999,18.51,18.85,56400,18.85
2015-06-30,18.809999,19.18,18.195,18.52,43000,18.52
2015-07-01,18.469999,18.790001,16.6,17.0,99100,17.0
2015-07-02,17.0,17.0,16.16,16.49,68200,16.49
2015-07-06,16.5,17.02,15.78,16.24,61100,16.24
2015-07-07,16.17,16.639999,15.4,16.16,75700,16.16
2015-07-08,16.059999,16.059999,14.76,14.96,127600,14.96
2015-07-09,15.08,15.662,15.08,15.33,58000,15.33
2015-07-10,15.63,18.629999,15.51,18.360001,164200,18.360001
2015-07-13,18.549999,19.639999,18.4,19.450001,156200,19.450001
2015-07-14,19.25,19.346001,17.700001,17.959999,126300,17.959999
2015-07-15,17.85,17.940001,16.559999,17.49,93400,17.49
2015-07-16,17.59,18.209999,17.389999,17.870001,85200,17.870001
2015-07-17,17.950001,18.709999,16.950001,16.98,127600,16.98
2015-07-20,17.209999,17.209999,15.82,15.99,107900,15.99
2015-07-21,16.1,16.1,15.45,15.8,64100,15.8
2015-07-22,15.72,17.165001,15.72,16.700001,109200,16.700001
2015-07-23,17.5,17.587999,16.42,16.67,128600,16.67
2015-07-24,16.66,18.34,15.326,17.709999,145100,17.709999
2015-07-27,17.57,17.809999,17.114,17.52,30200,17.52
2015-07-28,17.209999,19.49,17.200001,18.91,137400,18.91
2015-07-29,18.799999,18.809999,17.459999,17.639999,113600,17.639999
2015-07-30,17.455999,18.610001,17.455999,18.139999,56900,18.139999
2015-07-31,18.299999,19.308001,17.65,18.75,80600,18.75
2015-08-03,18.67,20.299999,18.41,19.49,79000,19.49
2015-08-04,19.620001,20.427,19.620001,19.879999,46600,19.879999
2015-08-05,20.16,21.0,19.709999,20.85,57900,20.85
2015-08-06,20.84,20.84,18.25,18.75,78000,18.75
2015-08-07,18.75,19.0,18.52,18.52,43700,18.52
2015-08-10,18.59,18.59,17.91,18.129999,67300,18.129999
2015-08-11,18.01,18.01,16.77,17.059999,52500,17.059999
2015-08-12,17.02,17.450001,16.33,17.030001,31000,17.030001
2015-08-13,16.98,17.040001,14.63,14.76,81200,14.76
2015-08-14,14.72,14.94,14.17,14.33,37600,14.33
2015-08-17,14.31,16.99,14.31,16.1,102000,16.1
2015-08-18,16.120001,16.190001,15.0,15.11,65100,15.11
2015-08-19,15.06,15.43,14.33,14.62,113000,14.62
2015-08-20,14.48,14.95,14.251,14.49,47600,14.49
2015-08-21,14.14,14.5,13.802,14.04,50000,14.04
2015-08-24,12.69,14.545,12.05,13.72,78800,13.72
2015-08-25,14.1,14.58,13.3,13.73,136000,13.73
2015-08-26,14.14,14.3,13.39,14.3,46100,14.3
2015-08-27,14.39,15.86,14.25,15.55,43900,15.55
2015-08-28,15.35,15.65,14.29,14.79,119800,14.79
2015-08-31,14.56,14.56,14.0,14.48,42000,14.48
2015-09-01,14.23,15.05,13.56,14.08,69200,14.08
2015-09-02,14.31,14.7,13.62,14.51,80300,14.51
2015-09-03,14.56,15.45,14.1,14.74,48400,14.74
2015-09-04,14.52,14.66,14.06,14.41,52600,14.41
2015-09-08,14.65,15.75,14.6,15.71,56800,15.71
2015-09-09,15.79,15.79,15.2,15.43,40600,15.43
2015-09-10,15.45,18.549999,15.21,18.43,115700,18.43
2015-09-11,18.24,18.35,16.639999,16.959999,85500,16.959999
2015-09-14,16.969999,19.177999,16.940001,18.73,192800,18.73
2015-09-15,18.91,19.667999,18.190001,19.190001,86400,19.190001
2015-09-16,19.219999,19.462,18.620001,18.780001,93600,18.780001
