DATE,STLFSI
1993-12-31,0.034
1994-01-07,0.077
1994-01-14,0.024
1994-01-21,0.039
1994-01-28,0.015
1994-02-04,-0.009
1994-02-11,0.102
1994-02-18,0.101
1994-02-25,0.192
1994-03-04,0.270
1994-03-11,0.302
1994-03-18,0.294
1994-03-25,0.332
1994-04-01,0.444
1994-04-08,0.576
1994-04-15,0.512
1994-04-22,0.539
1994-04-29,0.455
1994-05-06,0.525
1994-05-13,0.705
1994-05-20,0.534
1994-05-27,0.550
1994-06-03,0.589
1994-06-10,0.511
1994-06-17,0.520
1994-06-24,0.588
1994-07-01,0.719
1994-07-08,0.712
1994-07-15,0.624
1994-07-22,0.523
1994-07-29,0.499
1994-08-05,0.480
1994-08-12,0.552
1994-08-19,0.454
1994-08-26,0.460
1994-09-02,0.450
1994-09-09,0.500
1994-09-16,0.533
1994-09-23,0.535
1994-09-30,0.663
1994-10-07,0.690
1994-10-14,0.707
1994-10-21,0.679
1994-10-28,0.707
1994-11-04,0.679
1994-11-11,0.695
1994-11-18,0.671
1994-11-25,0.723
1994-12-02,0.699
1994-12-09,0.692
1994-12-16,0.721
1994-12-23,0.741
1994-12-30,0.760
1995-01-06,0.798
1995-01-13,0.693
1995-01-20,0.635
1995-01-27,0.638
1995-02-03,0.569
1995-02-10,0.545
1995-02-17,0.558
1995-02-24,0.543
1995-03-03,0.551
1995-03-10,0.662
1995-03-17,0.559
1995-03-24,0.538
1995-03-31,0.559
1995-04-07,0.569
1995-04-14,0.561
1995-04-21,0.555
1995-04-28,0.497
1995-05-05,0.473
1995-05-12,0.462
1995-05-19,0.441
1995-05-26,0.364
1995-06-02,0.410
1995-06-09,0.435
1995-06-16,0.513
1995-06-23,0.492
1995-06-30,0.538
1995-07-07,0.512
1995-07-14,0.408
1995-07-21,0.435
1995-07-28,0.528
1995-08-04,0.516
1995-08-11,0.469
1995-08-18,0.477
1995-08-25,0.439
1995-09-01,0.476
1995-09-08,0.415
1995-09-15,0.384
1995-09-22,0.411
1995-09-29,0.455
1995-10-06,0.424
1995-10-13,0.406
1995-10-20,0.399
1995-10-27,0.438
1995-11-03,0.346
1995-11-10,0.280
1995-11-17,0.289
1995-11-24,0.257
1995-12-01,0.221
1995-12-08,0.199
1995-12-15,0.200
1995-12-22,0.327
1995-12-29,0.304
1996-01-05,0.244
1996-01-12,0.294
1996-01-19,0.273
1996-01-26,0.234
1996-02-02,0.181
1996-02-09,0.211
1996-02-16,0.221
1996-02-23,0.302
1996-03-01,0.379
1996-03-08,0.414
1996-03-15,0.543
1996-03-22,0.513
1996-03-29,0.517
1996-04-05,0.539
1996-04-12,0.649
1996-04-19,0.625
1996-04-26,0.526
1996-05-03,0.582
1996-05-10,0.589
1996-05-17,0.478
1996-05-24,0.428
1996-05-31,0.482
1996-06-07,0.545
1996-06-14,0.565
1996-06-21,0.546
1996-06-28,0.534
1996-07-05,0.515
1996-07-12,0.569
1996-07-19,0.596
1996-07-26,0.617
1996-08-02,0.617
1996-08-09,0.453
1996-08-16,0.429
1996-08-23,0.427
1996-08-30,0.528
1996-09-06,0.639
1996-09-13,0.528
1996-09-20,0.513
1996-09-27,0.579
1996-10-04,0.586
1996-10-11,0.527
1996-10-18,0.462
1996-10-25,0.476
1996-11-01,0.448
1996-11-08,0.342
1996-11-15,0.305
1996-11-22,0.280
1996-11-29,0.318
1996-12-06,0.404
1996-12-13,0.501
1996-12-20,0.534
1996-12-27,0.447
1997-01-03,0.472
1997-01-10,0.465
1997-01-17,0.419
1997-01-24,0.400
1997-01-31,0.433
1997-02-07,0.393
1997-02-14,0.287
1997-02-21,0.285
1997-02-28,0.306
1997-03-07,0.357
1997-03-14,0.351
1997-03-21,0.390
1997-03-28,0.397
1997-04-04,0.563
1997-04-11,0.514
1997-04-18,0.508
1997-04-25,0.549
1997-05-02,0.505
1997-05-09,0.518
1997-05-16,0.490
1997-05-23,0.442
1997-05-30,0.505
1997-06-06,0.531
1997-06-13,0.470
1997-06-20,0.416
1997-06-27,0.416
1997-07-04,0.360
1997-07-11,0.307
1997-07-18,0.260
1997-07-25,0.247
1997-08-01,0.205
1997-08-08,0.206
1997-08-15,0.280
1997-08-22,0.284
1997-08-29,0.310
1997-09-05,0.379
1997-09-12,0.371
1997-09-19,0.324
1997-09-26,0.342
1997-10-03,0.324
1997-10-10,0.295
1997-10-17,0.340
1997-10-24,0.375
1997-10-31,0.558
1997-11-07,0.463
1997-11-14,0.526
1997-11-21,0.385
1997-11-28,0.350
1997-12-05,0.289
1997-12-12,0.341
1997-12-19,0.351
1997-12-26,0.295
1998-01-02,0.213
1998-01-09,0.278
1998-01-16,0.230
1998-01-23,0.251
1998-01-30,0.215
1998-02-06,0.165
1998-02-13,0.110
1998-02-20,0.092
1998-02-27,0.054
1998-03-06,0.176
1998-03-13,0.156
1998-03-20,0.069
1998-03-27,0.123
1998-04-03,0.191
1998-04-10,0.154
1998-04-17,0.151
1998-04-24,0.169
1998-05-01,0.271
1998-05-08,0.185
1998-05-15,0.147
1998-05-22,0.078
1998-05-29,0.164
1998-06-05,0.181
1998-06-12,0.127
1998-06-19,0.158
1998-06-26,0.175
1998-07-03,0.124
1998-07-10,0.098
1998-07-17,0.068
1998-07-24,0.125
1998-07-31,0.167
1998-08-07,0.234
1998-08-14,0.321
1998-08-21,0.354
1998-08-28,0.571
1998-09-04,0.823
1998-09-11,0.826
1998-09-18,0.872
1998-09-25,0.844
1998-10-02,0.982
1998-10-09,1.414
1998-10-16,1.466
1998-10-23,1.212
1998-10-30,1.005
1998-11-06,0.854
1998-11-13,0.943
1998-11-20,0.735
1998-11-27,0.455
1998-12-04,0.549
1998-12-11,0.596
1998-12-18,0.672
1998-12-25,0.563
1999-01-01,0.564
1999-01-08,0.534
1999-01-15,0.593
1999-01-22,0.581
1999-01-29,0.469
1999-02-05,0.461
1999-02-12,0.477
1999-02-19,0.485
1999-02-26,0.430
1999-03-05,0.533
1999-03-12,0.409
1999-03-19,0.385
1999-03-26,0.427
1999-04-02,0.426
1999-04-09,0.378
1999-04-16,0.411
1999-04-23,0.393
1999-04-30,0.339
1999-05-07,0.357
1999-05-14,0.397
1999-05-21,0.441
1999-05-28,0.512
1999-06-04,0.595
1999-06-11,0.629
1999-06-18,0.604
1999-06-25,0.585
1999-07-02,0.598
1999-07-09,0.605
1999-07-16,0.569
1999-07-23,0.633
1999-07-30,0.702
1999-08-06,0.765
1999-08-13,0.797
1999-08-20,0.753
1999-08-27,0.623
1999-09-03,0.736
1999-09-10,0.799
1999-09-17,0.818
1999-09-24,0.808
1999-10-01,0.909
1999-10-08,1.163
1999-10-15,1.142
1999-10-22,1.087
1999-10-29,1.039
1999-11-05,0.955
1999-11-12,0.811
1999-11-19,0.735
1999-11-26,0.736
1999-12-03,0.795
1999-12-10,0.775
1999-12-17,0.775
1999-12-24,0.758
1999-12-31,0.813
2000-01-07,0.839
2000-01-14,0.811
2000-01-21,0.761
2000-01-28,0.738
2000-02-04,0.756
2000-02-11,0.774
2000-02-18,0.733
2000-02-25,0.743
2000-03-03,0.703
2000-03-10,0.688
2000-03-17,0.728
2000-03-24,0.688
2000-03-31,0.821
2000-04-07,0.848
2000-04-14,0.931
2000-04-21,0.947
2000-04-28,1.006
2000-05-05,1.139
2000-05-12,1.158
2000-05-19,1.172
2000-05-26,1.262
2000-06-02,1.279
2000-06-09,1.108
2000-06-16,1.090
2000-06-23,1.091
2000-06-30,1.105
2000-07-07,0.984
2000-07-14,0.866
2000-07-21,0.827
2000-07-28,0.766
2000-08-04,0.756
2000-08-11,0.659
2000-08-18,0.643
2000-08-25,0.605
2000-09-01,0.595
2000-09-08,0.680
